band,wavelength
refl_B_1,383.68820
refl_B_2,388.69519
refl_B_3,393.70221
refl_B_4,398.70920
refl_B_5,403.71631
refl_B_6,408.72330
refl_B_7,413.73029
refl_B_8,418.73740
refl_B_9,423.74438
refl_B_10,428.75140
refl_B_11,433.75839
refl_B_12,438.76550
refl_B_13,443.77249
refl_B_14,448.77951
refl_B_15,453.78659
refl_B_16,458.79361
refl_B_17,463.80060
refl_B_18,468.80759
refl_B_19,473.81470
refl_B_20,478.82169
refl_B_21,483.82870
refl_B_22,488.83578
refl_B_23,493.84280
refl_B_24,498.84979
refl_B_25,503.85681
refl_B_26,508.86389
refl_B_27,513.87091
refl_B_28,518.87793
refl_B_29,523.88501
refl_B_30,528.89203
refl_B_31,533.89899
refl_B_32,538.90601
refl_B_33,543.91309
refl_B_34,548.92010
refl_B_35,553.92712
refl_B_36,558.93420
refl_B_37,563.94122
refl_B_38,568.94818
refl_B_39,573.95532
refl_B_40,578.96228
refl_B_41,583.96930
refl_B_42,588.97632
refl_B_43,593.98340
refl_B_44,598.99042
refl_B_45,603.99738
refl_B_46,609.00452
refl_B_47,614.01147
refl_B_48,619.01849
refl_B_49,624.02551
refl_B_50,629.03259
refl_B_51,634.03961
refl_B_52,639.04657
refl_B_53,644.05371
refl_B_54,649.06073
refl_B_55,654.06769
refl_B_56,659.07471
refl_B_57,664.08179
refl_B_58,669.08881
refl_B_59,674.09583
refl_B_60,679.10291
refl_B_61,684.10992
refl_B_62,689.11688
refl_B_63,694.12390
refl_B_64,699.13098
refl_B_65,704.13800
refl_B_66,709.14502
refl_B_67,714.15210
refl_B_68,719.15912
refl_B_69,724.16608
refl_B_70,729.17310
refl_B_71,734.18018
refl_B_72,739.18719
refl_B_73,744.19421
refl_B_74,749.20129
refl_B_75,754.20831
refl_B_76,759.21527
refl_B_77,764.22241
refl_B_78,769.22937
refl_B_79,774.23639
refl_B_80,779.24341
refl_B_81,784.25049
refl_B_82,789.25751
refl_B_83,794.26453
refl_B_84,799.27161
refl_B_85,804.27863
refl_B_86,809.28558
refl_B_87,814.29260
refl_B_88,819.29968
refl_B_89,824.30670
refl_B_90,829.31372
refl_B_91,834.32080
refl_B_92,839.32782
refl_B_93,844.33478
refl_B_94,849.34180
refl_B_95,854.34888
refl_B_96,859.35590
refl_B_97,864.36292
refl_B_98,869.37000
refl_B_99,874.37701
refl_B_100,879.38397
refl_B_101,884.39099
refl_B_102,889.39807
refl_B_103,894.40509
refl_B_104,899.41211
refl_B_105,904.41919
refl_B_106,909.42621
refl_B_107,914.43323
refl_B_108,919.44019
refl_B_109,924.44733
refl_B_110,929.45428
refl_B_111,934.46130
refl_B_112,939.46838
refl_B_113,944.47540
refl_B_114,949.48242
refl_B_115,954.48938
refl_B_116,959.49652
refl_B_117,964.50348
refl_B_118,969.51050
refl_B_119,974.51758
refl_B_120,979.52460
refl_B_121,984.53162
refl_B_122,989.53870
refl_B_123,994.54572
refl_B_124,999.55267
refl_B_125,1004.55969
refl_B_126,1009.56677
refl_B_127,1014.57379
refl_B_128,1019.58081
refl_B_129,1024.58789
refl_B_130,1029.59485
refl_B_131,1034.60193
refl_B_132,1039.60889
refl_B_133,1044.61597
refl_B_134,1049.62305
refl_B_135,1054.63000
refl_B_136,1059.63708
refl_B_137,1064.64404
refl_B_138,1069.65112
refl_B_139,1074.65808
refl_B_140,1079.66516
refl_B_141,1084.67224
refl_B_142,1089.67920
refl_B_143,1094.68628
refl_B_144,1099.69336
refl_B_145,1104.70032
refl_B_146,1109.70728
refl_B_147,1114.71436
refl_B_148,1119.72144
refl_B_149,1124.72839
refl_B_150,1129.73547
refl_B_151,1134.74255
refl_B_152,1139.74951
refl_B_153,1144.75647
refl_B_154,1149.76355
refl_B_155,1154.77063
refl_B_156,1159.77759
refl_B_157,1164.78467
refl_B_158,1169.79175
refl_B_159,1174.79871
refl_B_160,1179.80566
refl_B_161,1184.81274
refl_B_162,1189.81982
refl_B_163,1194.82678
refl_B_164,1199.83386
refl_B_165,1204.84094
refl_B_166,1209.84790
refl_B_167,1214.85498
refl_B_168,1219.86206
refl_B_169,1224.86902
refl_B_170,1229.87598
refl_B_171,1234.88306
refl_B_172,1239.89014
refl_B_173,1244.89709
refl_B_174,1249.90417
refl_B_175,1254.91125
refl_B_176,1259.91821
refl_B_177,1264.92517
refl_B_178,1269.93225
refl_B_179,1274.93933
refl_B_180,1279.94629
refl_B_181,1284.95337
refl_B_182,1289.96045
refl_B_183,1294.96741
refl_B_184,1299.97437
refl_B_185,1304.98145
refl_B_186,1309.98853
refl_B_187,1314.99548
refl_B_188,1320.00256
refl_B_189,1325.00964
refl_B_190,1330.01660
refl_B_191,1335.02356
refl_B_192,1340.03064
refl_B_193,1345.03772
refl_B_194,1350.04468
refl_B_195,1355.05176
refl_B_196,1360.05884
refl_B_197,1365.06580
refl_B_198,1370.07275
refl_B_199,1375.07996
refl_B_200,1380.08691
refl_B_201,1385.09387
refl_B_202,1390.10095
refl_B_203,1395.10803
refl_B_204,1400.11499
refl_B_205,1405.12207
refl_B_206,1410.12915
refl_B_207,1415.13611
refl_B_208,1420.14307
refl_B_209,1425.15015
refl_B_210,1430.15723
refl_B_211,1435.16418
refl_B_212,1440.17126
refl_B_213,1445.17834
refl_B_214,1450.18530
refl_B_215,1455.19226
refl_B_216,1460.19934
refl_B_217,1465.20642
refl_B_218,1470.21338
refl_B_219,1475.22046
refl_B_220,1480.22754
refl_B_221,1485.23450
refl_B_222,1490.24146
refl_B_223,1495.24866
refl_B_224,1500.25562
refl_B_225,1505.26257
refl_B_226,1510.26965
refl_B_227,1515.27673
refl_B_228,1520.28369
refl_B_229,1525.29065
refl_B_230,1530.29785
refl_B_231,1535.30481
refl_B_232,1540.31177
refl_B_233,1545.31885
refl_B_234,1550.32593
refl_B_235,1555.33289
refl_B_236,1560.33984
refl_B_237,1565.34705
refl_B_238,1570.35400
refl_B_239,1575.36096
refl_B_240,1580.36804
refl_B_241,1585.37512
refl_B_242,1590.38208
refl_B_243,1595.38916
refl_B_244,1600.39624
refl_B_245,1605.40320
refl_B_246,1610.41016
refl_B_247,1615.41736
refl_B_248,1620.42432
refl_B_249,1625.43127
refl_B_250,1630.43835
refl_B_251,1635.44543
refl_B_252,1640.45239
refl_B_253,1645.45935
refl_B_254,1650.46655
refl_B_255,1655.47351
refl_B_256,1660.48047
refl_B_257,1665.48755
refl_B_258,1670.49463
refl_B_259,1675.50159
refl_B_260,1680.50854
refl_B_261,1685.51575
refl_B_262,1690.52271
refl_B_263,1695.52966
refl_B_264,1700.53674
refl_B_265,1705.54382
refl_B_266,1710.55078
refl_B_267,1715.55774
refl_B_268,1720.56494
refl_B_269,1725.57190
refl_B_270,1730.57886
refl_B_271,1735.58606
refl_B_272,1740.59302
refl_B_273,1745.59998
refl_B_274,1750.60706
refl_B_275,1755.61414
refl_B_276,1760.62109
refl_B_277,1765.62805
refl_B_278,1770.63525
refl_B_279,1775.64221
refl_B_280,1780.64917
refl_B_281,1785.65625
refl_B_282,1790.66333
refl_B_283,1795.67029
refl_B_284,1800.67725
refl_B_285,1805.68445
refl_B_286,1810.69141
refl_B_287,1815.69836
refl_B_288,1820.70544
