band,wavelength,fwhm
B0,381.543701171875,5.58
B1,386.551696777344,5.58
B2,391.559692382812,5.58
B3,396.567687988281,5.59
B4,401.575592041016,5.59
B5,406.583587646484,5.59
B6,411.591613769531,5.6
B7,416.599609375,5.6
B8,421.607513427734,5.6
B9,426.615509033203,5.6
B10,431.623504638672,5.61
B11,436.631408691406,5.61
B12,441.639404296875,5.61
B13,446.647399902344,5.62
B14,451.655395507812,5.62
B15,456.663299560547,5.62
B16,461.671295166016,5.62
B17,466.679290771484,5.63
B18,471.687194824219,5.63
B19,476.695190429688,5.63
B20,481.703186035156,5.64
B21,486.711212158203,5.64
B22,491.719085693359,5.64
B23,496.727111816406,5.64
B24,501.735107421875,5.65
B25,506.743103027344,5.65
B26,511.751007080078,5.65
B27,516.758972167969,5.65
B28,521.767028808594,5.66
B29,526.77490234375,5.66
B30,531.782897949219,5.66
B31,536.790893554688,5.66
B32,541.798889160156,5.66
B33,546.806823730469,5.67
B34,551.814819335938,5.67
B35,556.822814941406,5.67
B36,561.830688476562,5.67
B37,566.838684082031,5.68
B38,571.8466796875,5.68
B39,576.854675292969,5.68
B40,581.862609863281,5.68
B41,586.87060546875,5.68
B42,591.878601074219,5.69
B43,596.886474609375,5.69
B44,601.894470214844,5.69
B45,606.902526855469,5.69
B46,611.910522460938,5.69
B47,616.918395996094,5.7
B48,621.926391601562,5.7
B49,626.934387207031,5.7
B50,631.9423828125,5.7
B51,636.950317382812,5.7
B52,641.958312988281,5.7
B53,646.96630859375,5.71
B54,651.974182128906,5.71
B55,656.982177734375,5.71
B56,661.990173339844,5.71
B57,666.998229980469,5.71
B58,672.006103515625,5.71
B59,677.014099121094,5.72
B60,682.022094726562,5.72
B61,687.030029296875,5.72
B62,692.038024902344,5.72
B63,697.046020507812,5.72
B64,702.054016113281,5.72
B65,707.061889648438,5.72
B66,712.069885253906,5.73
B67,717.077880859375,5.73
B68,722.085876464844,5.73
B69,727.093811035156,5.73
B70,732.101806640625,5.73
B71,737.109802246094,5.73
B72,742.11767578125,5.73
B73,747.125671386719,5.73
B74,752.133728027344,5.74
B75,757.141723632812,5.74
B76,762.149597167969,5.74
B77,767.157592773438,5.74
B78,772.165588378906,5.74
B79,777.173522949219,5.74
B80,782.181518554688,5.74
B81,787.189514160156,5.74
B82,792.197509765625,5.74
B83,797.205383300781,5.75
B84,802.21337890625,5.75
B85,807.221374511719,5.75
B86,812.229370117188,5.75
B87,817.2373046875,5.75
B88,822.245300292969,5.75
B89,827.253295898438,5.75
B90,832.26123046875,5.75
B91,837.269226074219,5.75
B92,842.277221679688,5.75
B93,847.285217285156,5.76
B94,852.293090820312,5.76
B95,857.301086425781,5.76
B96,862.30908203125,5.76
B97,867.317016601562,5.76
B98,872.325012207031,5.76
B99,877.3330078125,5.76
B100,882.341003417969,5.76
B101,887.348876953125,5.76
B102,892.356872558594,5.76
B103,897.364929199219,5.76
B104,902.372802734375,5.76
B105,907.380798339844,5.76
B106,912.388793945312,5.77
B107,917.396789550781,5.77
B108,922.404724121094,5.77
B109,927.412719726562,5.77
B110,932.420715332031,5.77
B111,937.4287109375,5.77
B112,942.436584472656,5.77
B113,947.444580078125,5.77
B114,952.452575683594,5.77
B115,957.460510253906,5.77
B116,962.468505859375,5.77
B117,967.476501464844,5.77
B118,972.484497070312,5.77
B119,977.492370605469,5.77
B120,982.500427246094,5.77
B121,987.508422851562,5.77
B122,992.516296386719,5.77
B123,997.524291992188,5.77
B124,1002.53228759766,5.78
B125,1007.54028320312,5.78
B126,1012.54821777344,5.78
B127,1017.55621337891,5.78
B128,1022.56420898438,5.78
B129,1027.57214355469,5.78
B130,1032.580078125,5.78
B131,1037.58813476562,5.78
B132,1042.59606933594,5.78
B133,1047.60400390625,5.78
B134,1052.61206054688,5.78
B135,1057.61999511719,5.78
B136,1062.62805175781,5.78
B137,1067.63586425781,5.78
B138,1072.64392089844,5.78
B139,1077.65185546875,5.78
B140,1082.65979003906,5.78
B141,1087.66784667969,5.78
B142,1092.67578125,5.78
B143,1097.68383789062,5.78
B144,1102.69165039062,5.78
B145,1107.69970703125,5.78
B146,1112.70764160156,5.78
B147,1117.71557617188,5.78
B148,1122.7236328125,5.78
B149,1127.73156738281,5.78
B150,1132.73962402344,5.78
B151,1137.74755859375,5.78
B152,1142.75549316406,5.78
B153,1147.76354980469,5.78
B154,1152.771484375,5.78
B155,1157.77941894531,5.79
B156,1162.78735351562,5.79
B157,1167.79541015625,5.79
B158,1172.80334472656,5.79
B159,1177.81127929688,5.79
B160,1182.8193359375,5.79
B161,1187.82727050781,5.79
B162,1192.83520507812,5.79
B163,1197.84313964844,5.79
B164,1202.85119628906,5.79
B165,1207.85913085938,5.79
B166,1212.86706542969,5.79
B167,1217.87512207031,5.79
B168,1222.88305664062,5.79
B169,1227.89099121094,5.79
B170,1232.89904785156,5.79
B171,1237.90698242188,5.79
B172,1242.9150390625,5.79
B173,1247.9228515625,5.79
B174,1252.93090820312,5.79
B175,1257.93884277344,5.79
B176,1262.94677734375,5.79
B177,1267.95483398438,5.79
B178,1272.96276855469,5.79
B179,1277.97082519531,5.79
B180,1282.97875976562,5.79
B181,1287.98669433594,5.79
B182,1292.99475097656,5.79
B183,1298.00256347656,5.79
B184,1303.01062011719,5.79
B185,1308.0185546875,5.79
B186,1313.02661132812,5.79
B187,1318.03454589844,5.79
B188,1323.04248046875,5.79
B189,1328.05053710938,5.79
B190,1333.05847167969,5.79
B191,1338.06640625,5.79
B192,1343.07434082031,5.79
B193,1348.08239746094,5.79
B194,1353.09033203125,5.79
B195,1358.09826660156,5.79
B196,1363.10632324219,5.79
B197,1368.1142578125,5.79
B198,1373.12219238281,5.79
B199,1378.13024902344,5.79
B200,1383.13818359375,5.79
B201,1388.14611816406,5.79
B202,1393.15405273438,5.79
B203,1398.162109375,5.79
B204,1403.17004394531,5.79
B205,1408.17797851562,5.79
B206,1413.18603515625,5.79
B207,1418.19396972656,5.79
B208,1423.20190429688,5.79
B209,1428.2099609375,5.79
B210,1433.21789550781,5.79
B211,1438.22595214844,5.79
B212,1443.23376464844,5.79
B213,1448.24182128906,5.79
B214,1453.24975585938,5.8
B215,1458.2578125,5.8
B216,1463.26574707031,5.8
B217,1468.27368164062,5.8
B218,1473.28173828125,5.8
B219,1478.28955078125,5.8
B220,1483.29760742188,5.8
B221,1488.30554199219,5.8
B222,1493.31359863281,5.8
B223,1498.32153320312,5.8
B224,1503.32946777344,5.8
B225,1508.33752441406,5.8
B226,1513.34545898438,5.8
B227,1518.35339355469,5.8
B228,1523.36145019531,5.8
B229,1528.36938476562,5.8
B230,1533.37731933594,5.8
B231,1538.38525390625,5.8
B232,1543.39331054688,5.8
B233,1548.40124511719,5.8
B234,1553.4091796875,5.8
B235,1558.41723632812,5.8
B236,1563.42517089844,5.8
B237,1568.43310546875,5.8
B238,1573.44104003906,5.8
B239,1578.44909667969,5.8
B240,1583.45715332031,5.8
