Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,-1.355759626,0,0,0,0,0,0.000175596,0.000329672,0.000315824,0.000286149,0.000231631,-0.000189549,-0.000279827,-0.000326253,-0.000267245,-0.000406976,-0.000316763,0.000172606,0.000447704,0.000567798,0.000709456,0.000719264,0.000712089,0.000658165,0.000432963,0.000590841,0.000548213,0.000404958,0.00034021,0.000381028,0.000481781,0.000323484,0.000355596,0.000387111,0.000208954,0.000386425,0.000453037,0.00067224,0.000386072,-0.000928098,-0.001960787,-0.001406992,-0.00028936,-0.000633559,0.000518901,0.000291871,0.000155697,0.000148137,0.000404473,-0.000137621,0.00063062,0.000555276,0.000830515,0.000624277,0.000722652,0.000712688,0.000448908,7.64E-05,0.000279582,0.000210862,0.000269586,-0.001573865,0.003105188,-0.000175655,-0.000437909,-0.000461618,-0.000782227,-0.000311046,-0.000434611,-0.00036936,-0.000157711,-0.000231845,0.000268356,0.000270387,0.000580451,0.000200461,-4.00E-05,6.12E-05,-4.03E-05,-0.000474932,-0.000588914,0.000611415,0.000965016,-0.000382256,0.000413912,0.000491369,-0.000739426,-0.001091238,-0.000794173,-0.000942649,-0.000130424,-0.000325952,-0.000299208,-0.000685727,-0.000521994,-0.000644287,-0.000747426,-0.000580079,-0.001356956,-0.000120143,-0.000659848,-0.001126872,-0.002086825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001668486,-0.00135512,-0.001106499,-0.001343783,-0.001405757,-0.001257657,-0.001016069,-0.000766038,-0.00056268,-0.0005824,-0.000434214,-2.40E-05,1.48E-05,0.000107105,0.000324161,0.000815523,0.000705557,0.000713993,0.001080067,0.00123815,0.001588121,0.001539155,0.001221961,0.001370333,0.001457523,0.001473838,0.001296546,0.001206441,0.001432157,0.000659171,0.001212521,0.000530579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000824109,-0.000882043,-0.001174058,-0.001164968,-0.000709847,-0.000832305,-0.000548087,-0.000504571,-0.000241187,-0.000175331,0.000112005,0.000384022,0.00035943,0.000269625,0.000402917,0.000228386,0.000272968,0.00033708,0.000444819,0.000284463,-2.09E-05,2.80E-05,0.000338683,-0.00015327,-0.000237731,-5.71E-05,-0.000145895,7.24E-05,2.25E-05,-0.00013067,4.83E-06,-0.000448069,-0.000402796,-0.000557463,-0.000660646,-0.000894124,-0.000367104,-0.000768538,-0.001333644,0,0,0,0,0,0,0,0,0
2,-2.350511743,0,0,0,0,0,-0.000240993,-9.39E-05,-0.000560607,-0.000523687,-0.000162491,-0.000428951,-0.000688178,-0.000403003,-0.000453153,-0.00038843,0.000252707,0.000513029,0.000654711,0.000728179,0.000765125,0.000589554,0.000523182,0.000645412,0.000500198,0.000772487,0.000890328,0.000905135,0.000946809,0.000923504,0.001012245,0.000867465,0.001336045,0.000926117,0.000995416,0.001071296,0.001089789,0.000452817,-0.00087498,-0.00216886,-0.00144677,0.000464318,0.001173179,-0.000415521,0.001715701,0.000471169,-8.85E-05,-0.000161638,-0.000104364,-0.000752611,0.000698072,0.000674219,0.000433836,0.000391712,0.000353346,0.000554069,0.000338087,-0.000606044,8.82E-05,4.94E-06,0.000325457,-0.002778446,0.005222893,-0.000949645,-0.001649382,-0.000192513,-0.001685257,-0.000888926,-0.001207133,-0.001110733,-0.000927274,-0.000763462,-0.000237573,-0.000151713,0.00012951,0.000525655,0.000621846,0.000439584,-2.72E-05,-0.000323115,-0.001081935,0.00118322,0.000915314,-4.03E-05,9.21E-05,0.000244593,-0.00099494,-0.000691957,-0.000583834,-0.00095396,-0.000507274,-0.000500675,-0.000359364,2.63E-05,0.00020248,0.000849284,0.001267322,0.000863358,0.000968273,0.001014155,0.000359874,-0.000709,-0.001431231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00266997,-0.002299396,-0.002592927,-0.002494323,-0.002079649,-0.002198016,-0.002297309,-0.001664403,-0.001477124,-0.001030238,-0.000768181,-0.000212194,-0.000353513,-8.33E-05,-1.25E-05,0.000481328,0.000257567,0.000536232,0.000682383,0.000670661,0.001222044,0.000850532,0.000932242,0.000884515,0.000960891,0.000739094,0.000531954,0.000130549,3.79E-05,0.000790748,0.000597406,0.000841884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00175789,-0.001657232,-0.001747133,-0.001482816,-0.000741944,-0.000667213,-0.000480522,-0.000109001,0.000113347,0.000284605,0.000533123,0.000751246,0.001071946,0.000655626,0.000967186,0.001029908,0.001172688,0.001116275,0.00093674,0.00091642,0.000638662,0.000367997,0.000496636,0.0004738,0.000490098,0.0011373,0.000703057,0.000829271,0.000204941,-0.000108772,0.000231816,0.000224532,-0.00019095,0.000152185,-0.000178536,0.000587434,-6.68E-05,-0.000758248,-0.000923947,0,0,0,0,0,0,0,0,0
3,-3.004418864,0,0,0,0,0,-0.001189568,-0.000276344,-0.000544619,-0.000280291,5.93E-06,-0.000288197,-0.000186834,2.09E-05,6.33E-05,-7.91E-05,0.00025213,0.000372164,0.000429684,0.000481839,0.00051608,0.000389115,0.000296066,0.000373604,0.000239558,0.000363198,0.000530535,0.000563863,0.000566071,0.000653365,0.000761547,0.000597018,0.001073602,0.000678877,0.000885905,0.000865656,0.000867271,7.88E-05,-0.000709655,-0.001200582,-0.001066843,0.0003786,0.000937911,-0.000195337,0.001610772,0.000426749,-6.10E-05,-0.000129959,-0.00022989,-0.0006733,0.000218662,0.00023845,-0.000142981,-4.95E-05,0.000153767,0.00015596,-6.82E-05,-0.000515846,-0.000398427,-0.0001771,-0.000242937,-0.002011043,0.003755228,0.000334478,-0.000204983,-5.74E-05,-0.000765054,-0.000623922,-0.000653288,-0.000291964,-7.31E-05,-3.08E-05,0.000268762,0.000652296,0.000738937,0.000429825,0.000722571,0.000547879,0.000310467,-0.000241367,-0.000274227,0.000899127,0.000550092,-0.000104649,-8.91E-05,-0.000107079,-0.0011603,-0.001224091,-0.000892326,-0.001465332,-0.00084258,-0.001013031,-0.000980951,-0.000978419,-0.000761928,-0.000564045,-0.000235483,-0.000651527,-0.000363193,0.000913237,0.000921967,0.000311342,-0.000869475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00204624,-0.002376308,-0.002662777,-0.002456283,-0.002056401,-0.00205141,-0.0018799,-0.001263844,-0.00080497,-0.000974404,-0.00052216,-0.00015825,0.000146441,0.000335352,0.000663557,0.000833031,0.000905339,0.000864201,0.001219313,0.001557769,0.002078275,0.001496086,0.001151393,0.00109276,0.00132437,0.001289969,0.000921742,0.000966426,0.000513512,0.00051854,0.000247393,-0.000137557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000853265,-0.001002841,-0.001041638,-0.000156794,-1.19E-05,-0.000433004,-0.000375354,-0.000218868,0.000128561,0.000593171,0.000531261,0.000669055,0.000804512,0.000659199,0.000599184,0.000780037,0.000844851,0.000606578,0.000559754,0.000435832,0.000111952,2.49E-05,0.000265147,-9.44E-05,-2.95E-05,0.000113887,8.96E-05,-0.000225839,-8.78E-05,-0.000356034,-0.000429763,-0.000468132,-4.95E-05,-0.000358922,-0.000420619,-0.000299981,-0.0007447,-0.000901617,-0.000861058,0,0,0,0,0,0,0,0,0
4,-0.36283148,0,0,0,0,0,-0.002849632,-0.001488172,-0.0015287,-0.001131453,-0.000908823,-0.00079392,-0.000667892,-0.000210993,-0.000230298,-3.52E-05,0.00034164,0.00053241,0.000699489,0.00092101,0.00094439,0.000719864,0.000625877,0.000846324,0.000738298,0.000730068,0.000870412,0.000963455,0.000910077,0.001014344,0.001180332,0.001011843,0.001307557,0.001131456,0.001196187,0.001245374,0.001363586,0.000452692,-0.001310314,-0.002839108,-0.00231181,4.96E-05,0.001253157,0.000923204,0.000700961,0.000330893,0.000279149,0.00039773,0.000324612,0.000104842,0.0003426,0.000289479,0.000103776,0.000322985,0.000202521,0.000118835,0.000131318,-0.000400508,4.54E-05,-0.000212246,-0.000162936,-0.000647243,0.001934673,-0.000555109,-0.000630415,-0.000358351,-0.000628635,-0.000259542,-3.58E-06,0.000151572,0.000184418,4.98E-05,0.000128331,0.000344259,0.00014741,-0.000297189,-0.000148978,-0.000134986,-0.000297659,-0.000594753,-0.000654334,0.001408792,0.000872877,0.000342499,2.33E-05,-0.000752702,-0.000785192,-0.0002238,-9.89E-05,-0.000226242,-0.000395853,-0.000847436,-0.000655337,-0.000743254,-0.000926642,-0.000386737,-0.000986488,-0.000367281,-0.001131613,-0.000495852,0.000310617,6.60E-05,-0.001009527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001829601,-0.00104822,-0.002484714,-0.00323455,-0.003168188,-0.002853171,-0.002845119,-0.002168838,-0.001692176,-0.001612054,-0.001013799,-0.000611464,-0.000523695,3.97E-05,0.000415397,0.000386166,0.000738776,0.000802763,0.001563867,0.001581446,0.00204661,0.001665353,0.001552562,0.001162565,0.001887378,0.001581207,0.00113888,0.000449755,0.001123723,0.000701916,0.000312349,0.000119734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001601763,-0.001771491,-0.001708808,-0.001222131,-0.001001494,-0.000608197,-0.00078026,-7.32E-05,-2.59E-05,0.000408,0.000693362,0.000909668,0.000963721,0.001150538,0.00147679,0.001352944,0.001379161,0.001384099,0.001250682,0.001385671,0.001085737,0.001043702,0.00128717,0.000353148,0.000722541,0.000595318,0.000485105,9.81E-05,1.72E-05,-0.000202671,-4.90E-05,-3.55E-05,-0.000377728,-0.000787337,-0.000658006,-0.000473221,-0.000398248,-0.000925455,-0.000882595,0,0,0,0,0,0,0,0,0
5,-3.756257439,0,0,0,0,0,-0.003151545,-0.002618343,-0.00242553,-0.001757533,-0.000940947,-0.00100476,-0.000605418,-0.000245369,-0.000187557,4.55E-05,0.000698121,0.001328809,0.001413712,0.001416851,0.001161086,0.001027517,0.00085823,0.001232695,0.000906864,0.001400118,0.001582982,0.001725357,0.001468533,0.001516034,0.001444234,0.001414694,0.00157961,0.001439969,0.001320548,0.001267538,0.001518367,0.001515256,0.000342314,-0.001347785,-0.002478063,-0.001713952,-9.89E-05,-0.001421997,0.002043067,0.000994084,0.000432902,0.000267247,-0.000285018,-0.000390138,0.000849496,0.000557318,0.000376767,0.000388651,0.000444855,0.000409242,-1.45E-05,-0.001098147,-0.000493754,-0.00104521,-0.001705995,-0.003358438,0.006352936,0.00030736,0.000181241,0.00103588,-0.001059282,-0.000214022,-0.000313767,-0.000352656,-9.18E-05,-0.000270267,0.000290984,0.000157325,0.000919607,0.00022924,0.000738399,0.000330843,-0.000269726,-0.000355317,-0.000287858,0.002133815,0.000336798,-0.000741367,0.001071004,0.001052152,-0.00115807,-0.001412085,-0.001262443,-0.00189698,-0.001358486,-0.002023942,-0.001457447,-0.000861271,-9.70E-05,1.22E-05,0.000360865,0.000220828,-0.000998666,0.000627376,0.001051395,-0.000900143,0.000536817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002459734,-0.000776959,-0.001987858,-0.001773815,-0.000932465,-0.000699608,-0.001075932,-0.000285362,-0.000225659,-0.0001149,0.000797694,0.001098181,0.001341516,0.001264538,0.000887547,0.001181999,0.000615342,0.000707998,0.001139326,0.000846412,0.000684203,0.000560168,0.000266939,-0.000142902,4.20E-05,-4.55E-05,-0.000762184,-0.000146112,-0.00119924,-0.000329006,-0.000248561,-0.000112759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002047062,-0.001892143,-0.001798138,-0.000958032,-0.000575696,-0.000225581,0.000144694,0.000233237,0.000604881,0.001073439,0.000796901,0.001022979,0.000883494,0.000578972,0.000787331,0.000614111,0.00092502,0.000504824,0.000599963,0.000217729,3.92E-05,0.000297582,0.000539274,-0.000153387,0.000790767,0.000825303,0.000476379,0.000627817,-0.000311332,-0.000544959,-0.000349066,-0.000439767,-0.000354042,-0.00073589,-0.000278408,-0.000214033,-0.000426331,-0.001299845,-0.002448625,0,0,0,0,0,0,0,0,0
6,-2.517158562,0,0,0,0,0,-0.000705988,-2.89E-05,-0.000205811,-0.000213376,-0.000206271,-0.000352382,-0.000276402,-0.000210824,-1.77E-05,-6.58E-06,0.000184774,0.000175203,0.000243574,0.000277632,0.000157142,-2.05E-05,3.67E-05,0.000250696,0.000342785,0.000374998,0.000534243,0.000706415,0.000749782,0.000766949,0.001002103,0.000943157,0.001122078,0.000935217,0.000895833,0.000829642,0.000768027,0.000331839,-0.001040269,-0.001731696,-0.000846282,0.000816749,0.001468024,0.000628947,0.000261017,0.000172984,-2.21E-05,3.38E-05,-1.37E-05,-0.000305777,0.000575436,0.000202937,-9.80E-05,-7.72E-05,-0.000150184,-1.05E-06,-0.000327147,-0.000741956,-0.000388066,-0.000388927,-6.44E-05,-0.001676173,0.003424289,-0.000634738,-0.000589951,0.000536148,-0.000324972,-8.78E-05,-0.000325385,0.000104467,4.84E-05,-3.65E-05,0.000102615,0.000271507,0.000322187,0.000214139,0.000201652,0.000345907,0.000445556,0.000319572,-0.00058944,0.000324192,0.001027155,1.45E-05,0.000346571,-0.000901109,-0.000827534,-0.000557031,-0.000227563,-0.000605766,-0.000599124,-0.000842188,-0.000613976,-0.000423927,-0.000389167,-0.000146465,-0.000281495,-9.34E-05,-0.001174573,-0.001004631,-0.0001428,-5.07E-05,-0.000191655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00238565,-0.001316527,-0.002781949,-0.00257544,-0.002579919,-0.002217092,-0.002005426,-0.00171901,-0.001450743,-0.00113158,-0.000642824,-0.000291846,-0.000335063,0.000104153,0.000206568,0.000579126,0.00083388,0.000801915,0.001394646,0.001614473,0.001908387,0.001491747,0.001114065,0.000935158,0.001128909,0.000759488,0.000352094,9.89E-05,0.000376197,1.70E-05,0.000287765,0.000692002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001540389,-0.001598751,-0.001566499,-0.00095143,-0.000720212,-0.000601114,-0.000762498,-0.000276635,6.71E-05,0.00028117,0.000605882,0.000609007,0.000896202,0.001217238,0.001366321,0.00108902,0.001309655,0.001432622,0.00140399,0.001147586,0.001213634,0.001016228,0.00115336,0.000527682,0.000924839,0.000807935,0.000469842,0.000451383,0.000246451,-3.31E-07,9.12E-05,-0.00047669,-0.000508805,-0.000416714,-0.000429471,-0.00070707,-0.000743706,-0.001125233,-0.001608338,0,0,0,0,0,0,0,0,0
7,-0.678934345,0,0,0,0,0,-0.001064366,-0.000978049,-0.001085601,-0.000816909,-0.00055569,-0.000698818,-0.000400411,-0.000243414,-0.000320305,-0.000179677,0.000149337,0.000562072,0.00078554,0.000930808,0.000996245,0.000873211,0.000969744,0.001144687,0.001030343,0.0009784,0.00123341,0.001375038,0.001245734,0.001261158,0.001327786,0.000983315,0.001438756,0.001093731,0.001156355,0.001332844,0.001348809,0.001193624,-4.96E-05,-0.001588327,-0.002285414,-0.001255757,-2.01E-05,-0.000845816,0.001967552,0.000511241,0.000249699,0.000459321,0.000357559,-0.00012692,0.001045098,0.00078704,0.00062308,0.00057293,0.000266775,0.000496631,-0.000104936,-0.000778925,8.75E-05,-0.000508783,-0.000138862,-0.002910397,0.005596885,-0.001272332,-0.001344293,-0.000473296,-0.001537869,-0.000748906,-0.001250163,-0.000949288,-0.000559694,-0.000720006,-0.000214194,-0.000136597,0.000193516,3.12E-05,0.000219025,0.000149719,-0.000310961,-0.000761091,-0.001551374,0.000796163,0.001308669,-6.78E-05,0.001176146,-0.000153927,-0.000953367,-0.000507104,-0.000274192,-0.000472732,-0.000145556,-0.000437736,0.000172055,3.07E-05,0.000378176,0.000549264,0.000702134,0.000663939,8.53E-05,0.001105349,0.001285987,0.000330917,-0.000436393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004452488,-0.002339536,-0.003004916,-0.003230499,-0.002602798,-0.002512471,-0.002232767,-0.001839935,-0.001783996,-0.00144818,-0.000695246,-0.000548666,-0.000358668,-4.60E-05,0.000235837,0.000272609,0.000506319,0.000470638,0.001049928,0.001111268,0.001002414,0.001096561,0.000971141,0.000529938,0.000950501,0.000971151,0.000424088,0.000449858,0.000530495,-9.88E-05,-1.68E-05,-9.51E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001628557,-0.001873017,-0.001905317,-0.00092069,-0.000845429,-0.000928958,-0.000479947,-0.000372642,0.00013616,0.000198253,0.000661013,0.000813255,0.001129331,0.001235836,0.001163635,0.001197387,0.001212245,0.001198397,0.00086341,0.001174696,0.000949004,0.000666608,0.001028186,0.000304956,0.000949256,0.000551043,0.000768955,0.000314116,0.000536127,0.000227422,0.000181651,-0.000161269,-0.000412827,-0.000656655,-0.000537689,-0.000956231,-0.000255961,-0.001286343,-0.001523828,0,0,0,0,0,0,0,0,0
8,-1.647993435,0,0,0,0,0,-0.000490069,-0.0002348,-0.000465662,-0.000728598,-0.000395023,-0.000712416,-0.000437301,-0.000380483,-0.000400644,-0.000420582,6.64E-05,0.000458827,0.000675287,0.000846552,0.000884811,0.000949802,0.000953008,0.00115832,0.000910957,0.001044834,0.001211088,0.001194658,0.001109696,0.00120616,0.001231706,0.000837243,0.001320245,0.000957019,0.00102792,0.001005641,0.001024462,0.001081317,0.000652172,-0.000628606,-0.002162315,-0.00206376,-0.000897333,-0.001420429,0.00020008,0.00046666,0.000291964,0.000315037,0.00043437,6.39E-05,0.001006637,0.000933954,0.000647534,0.000756694,0.000511077,0.000821032,0.00034026,-0.000399483,-0.000160372,-0.000177861,-5.04E-05,-0.002595686,0.003745104,-0.000187669,-0.0007196,0.000379132,-0.000852685,-0.000249859,-0.000605511,-0.000387971,-0.000313514,-0.000207501,-0.000169132,-2.36E-05,8.62E-05,-0.000184938,0.000208406,0.000234101,0.000109847,-0.000513813,-0.001385346,0.000940347,0.001569972,0.000251454,0.000711848,-3.51E-05,-0.000322459,-0.000218112,0.00024869,-0.000279668,5.93E-05,-0.00013395,-0.000288394,-0.000287348,-0.000127725,4.60E-06,-0.000597389,3.89E-05,-0.000520876,-0.000644382,0.000116773,-0.000884148,-0.001001539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002505044,-0.002613487,-0.002474923,-0.001969936,-0.001668146,-0.001723094,-0.001834887,-0.000860306,-0.000798265,-0.00093572,-0.000272785,-0.00015842,9.16E-05,0.000141435,7.03E-05,0.000418057,0.000668595,0.0004747,0.000945781,0.001188247,0.001126043,0.00056632,0.000325615,0.000520193,0.000811441,0.000986085,0.00046197,0.000982913,0.000583082,0.00027203,0.000595507,-0.000520663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002000154,-0.001428433,-0.001697106,-0.001582427,-0.001172095,-0.000874494,-0.000353781,-0.000383,0.000236264,0.000524434,0.000614438,0.000786655,0.000984314,0.001010597,0.00117658,0.000938509,0.00111252,0.001062752,0.001062582,0.000896056,0.000593233,0.000595231,0.000600408,1.28E-05,0.000264147,0.000113958,0.000600473,-6.70E-05,0.000161824,-0.000137934,-0.000189349,-0.000270927,-0.000203481,-0.000479541,6.62E-05,-0.000946724,0.00029299,-0.001044662,-0.000498042,0,0,0,0,0,0,0,0,0
9,-0.823639466,0,0,0,0,0,8.63E-05,-0.00017933,-0.000497009,-9.54E-05,0.000604378,0.000226913,0.000198861,0.000373609,0.000153468,0.000292119,0.000537213,0.000831551,0.000922636,0.000991035,0.000975607,0.000669365,0.000546638,0.000710555,0.00056733,0.000594815,0.000748963,0.000739661,0.000728246,0.000766297,0.000797011,0.00062029,0.00123053,0.000575138,0.00079656,0.000884164,0.000880105,0.0001328,-0.001111459,-0.002345481,-0.00234791,-0.00076819,0.000594647,-0.001279078,0.001780852,0.000731497,0.000248799,0.000570603,0.000485455,0.000189457,0.002137571,0.001704071,0.00110963,0.001231432,0.00100733,0.000985646,0.000356974,-0.001211906,-0.00078278,-0.000820469,-0.001133104,-0.005235001,0.007051321,-0.000636455,-0.000402581,0.000258494,-0.002020274,-0.00095348,-0.001252898,-0.000951791,-0.000918956,-0.000517127,-0.000548411,0.000239116,0.000510022,0.000364852,0.000347274,0.000277981,-0.000204701,-0.000789866,-0.000771574,0.002755211,0.00217491,0.00113772,0.00117794,-0.000194031,-0.001549509,-0.001331083,-0.001433942,-0.001940562,-0.001450363,-0.002044395,-0.001677852,-0.001234775,-0.000506906,-1.63E-05,-0.000463007,5.40E-05,0.000400284,-0.000726474,0.000353055,-0.000930735,-0.000735245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002809592,-0.003348543,-0.003624195,-0.002464564,-0.001397249,-0.000954868,-0.001424145,-0.000759618,-0.000492436,-0.000143773,0.000215103,0.000838178,0.000790781,0.000851314,0.001252898,0.00089979,0.001133471,0.000918383,0.001501766,0.00170394,0.001593178,0.000823586,0.000912994,0.00110402,0.001147028,0.000830404,0.00026924,0.000704025,0.000198884,-4.30E-05,0.000600342,0.000593591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002019609,-0.001735637,-0.00170728,-0.001414651,-0.001252066,-0.000732765,-0.000264307,6.79E-05,0.00049768,0.000888046,0.000972472,0.001419387,0.001022825,0.001223428,0.001217234,0.001300223,0.001045624,0.001243185,0.000911615,0.001062986,0.000727995,0.000473779,0.000575558,-0.000246287,-0.000155346,3.07E-05,0.000211481,8.02E-05,-0.000340474,-0.000697795,-7.96E-05,-9.14E-05,0.000145201,-0.000845869,-0.000878361,-0.000912488,0.000274314,-0.000888947,-0.000954374,0,0,0,0,0,0,0,0,0
10,-3.886217466,0,0,0,0,0,-0.00421479,-0.002009827,-0.001709923,-0.001238413,-1.44E-06,-0.00054963,-0.00033065,-6.99E-05,-0.000312813,-0.000318533,0.000172231,0.000798006,0.001179808,0.001429601,0.001333229,0.001471767,0.001057409,0.001227658,0.000837095,0.000998825,0.001200444,0.001135365,0.001180056,0.001335686,0.001379139,0.00127393,0.001930232,0.001679569,0.001616349,0.002062922,0.002167112,0.00180687,0.000518348,-0.001660663,-0.0027367,-0.001829195,-0.000867548,-0.001861206,0.001217538,0.000361973,0.000373354,0.000564434,0.000386971,0.000296452,0.001606984,0.001178244,0.001711737,0.001546581,0.001211571,0.001283152,0.001036397,-0.000127259,0.000348632,-0.000559411,-0.000376699,-0.002863215,0.005414624,-0.001826309,-0.001253112,-0.000193115,-0.001808886,-0.000701089,-0.00127933,-0.001268696,-0.000791088,-0.001499055,-0.000660417,-0.000624318,-0.000136559,-0.000191616,-0.000296616,-0.000173153,-0.000298869,-0.000353582,-0.001424026,0.001469122,0.000488839,-6.53E-06,0.000720688,0.001382264,-0.000547365,-0.001419294,-0.001137782,-0.001748144,-0.000795424,-0.001391534,-0.00077143,-0.000490697,-1.48E-05,0.000358425,0.000129725,0.000431605,0.000112883,0.002391836,0.003145068,0.000602018,0.00117404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00265059,-0.000345113,-0.001451985,-0.000937609,-0.000469367,-0.000969396,-0.000809141,-0.000441918,-0.000266417,-0.000704648,-0.00033176,-0.000367237,0.000290262,-1.34E-05,0.000409192,0.000591145,0.000159891,0.000202747,0.00121827,0.001297289,0.000779077,0.000175679,-3.21E-06,-0.000439114,-0.00023444,-4.70E-05,-0.000354155,-0.000110563,0.000336692,0.000287409,9.67E-05,-0.000100328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001995066,-0.002098256,-0.002299665,-0.002121001,-0.001175797,-0.000976735,-0.000979181,-0.000911927,0.000173101,0.000333018,0.000257444,0.000762128,0.000629937,0.000896281,0.000410035,0.001084805,0.001002134,0.000708592,0.001040958,0.000893602,0.00042497,1.06E-05,0.000425526,-0.000387545,0.000637569,3.17E-05,0.000106795,0.000533337,0.000603346,-0.000294838,0.000381945,0.001018385,-0.000353255,0.000442865,-0.000291314,-0.000388786,0.001125914,0.000323123,-0.001712591,0,0,0,0,0,0,0,0,0
