Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,30.5064615,0,0,0,0,0,0.00449652,0.007080374,0.004810772,0.001894005,0.003496712,0.006798603,0.002287904,0.001467178,0.000234473,-0.000975607,-0.001669465,-0.000525099,-0.000465896,0.00019214,0.000978178,0.000136528,-0.001669372,-0.00471415,-0.003490517,-0.004083085,-0.004706037,-0.005834745,-0.006194065,-0.006063251,-0.005633586,-0.007911137,-0.005967151,-0.007296876,-0.005498153,-0.005063913,-0.005958647,-0.006636676,-0.013227492,-0.013296888,0.00427903,0.015975564,0.011648969,0.007745775,0.010471448,-0.00261504,-0.003713957,-0.000655824,-0.000533187,0.00263635,0.002195018,-0.000434629,-0.004408719,-0.003180439,-0.007210117,-0.006123513,-0.007797545,-0.004616304,-0.000749666,-0.001001273,6.83E-06,0.00046246,-0.00485388,-0.001460849,0.000909356,0.001664381,-0.006439742,-0.010039281,-0.016792735,-0.012963261,-0.009972513,-0.006253135,-0.002962753,0.001387292,0.002520582,0.010152219,0.013100851,0.015127088,0.018846676,0.022202387,0.015912822,-0.009273408,4.81E-05,-0.003787629,-0.007196755,-0.003854835,-0.00179477,-0.004345987,-0.009545964,-0.008635711,-0.010382129,-0.007613347,-0.004033356,-0.001691914,-0.000543909,0.004174821,0.009073278,0.005335544,0.00515151,0.006986467,0.007203597,0.005414591,0.004171536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00865637,-0.014669832,0.004216574,0.01708268,0.016291465,0.014797022,0.009671161,0.008998565,0.00267053,0.005073386,-0.000553053,-0.003147986,-0.004243169,-0.003110134,-0.002833127,-0.004918817,-0.002052178,-0.00447868,-0.002263827,-0.00371103,-0.00523866,-0.007771156,-0.006307708,-0.00591782,0.001805731,0.002381075,-0.001795398,-0.003021139,0.004581674,0.000584584,0.000114874,0.002583361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00844586,0.010707707,0.007548615,-0.000816342,-0.001249871,0.001081239,0.003574375,-0.001748831,-0.001551009,-0.00201739,-0.003985705,-0.000959548,-0.001694826,-0.001796165,-0.004727021,0.000580444,-0.00118176,0.00360687,0.003764767,0.002769584,0.0017277,0.000122026,0.00079014,-0.001124541,-0.0035609,-0.000991223,-0.001958997,0.00014224,-0.000177813,0.003404189,-5.38E-05,0.004914911,-0.003638201,0.005195578,0.005200207,0.001591908,0.003734141,0.004833264,0.014696073,0,0,0,0,0,0,0,0,0
2,48.80426901,0,0,0,0,0,0.024828935,0.015960812,0.012907869,0.009916461,0.004503994,0.003242432,0.004075178,0.003544133,0.002295404,0.002388525,0.000996677,-0.001385932,-0.005928356,-0.009813683,-0.010082666,-0.011300092,-0.010561107,-0.011314666,-0.010898271,-0.011826931,-0.010387541,-0.009782636,-0.008387053,-0.00817712,-0.006694433,-0.005152343,-0.00628222,-0.007948549,-0.004621033,-0.003298596,-0.005780485,-0.011195083,-0.019109125,-0.012750018,0.01016814,0.02085099,0.018982985,0.016893361,0.002753726,-0.003474994,-0.005871412,-0.003774176,-0.005708773,-0.002350272,-0.011257358,-0.00918078,-0.00655161,-0.002256371,-0.002982942,-0.001815722,-0.000200925,0.003092635,0.001129223,-0.000577039,-0.002584871,0.009080476,-0.004391562,-0.005266693,0.001906204,-0.002468376,0.001885595,0.00010105,-0.001772419,-0.00011329,-0.001973276,0.000151005,0.002347571,0.000913971,0.000652806,0.007469237,0.006910574,0.007322984,0.008848697,0.003721708,0.006783538,-0.001247898,-0.000830483,-0.00414719,-0.001500942,0.001801165,-0.000710116,-0.00334564,-0.013761555,-0.015195235,-0.015015254,-0.012452922,-0.009796304,-0.005386879,-0.001264695,0.003141654,0.009756367,0.003704671,0.010913891,0.002833477,0.007069326,-0.002711852,-0.000310451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000665655,0.005795,0.011076266,0.010083062,0.015042756,0.01057318,0.011314614,0.008872381,0.003617795,0.000668832,-0.000297337,-0.00074368,-0.005127319,-0.005184133,-0.00467866,-0.003194693,-0.001999833,-0.004313556,-0.001946912,-0.001909629,-0.001341816,-0.003331558,-0.006449899,0.001466747,-0.001391734,-0.001200005,0.000759757,-0.001443342,-0.005121932,0.002610956,-0.000643482,0.007820115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003185657,0.004446173,0.002373189,-0.005622589,-0.00362048,-0.001016704,-0.000405062,-0.002065445,-0.002502667,-0.00313352,-0.004057423,-2.14E-06,-0.001076303,-0.000738104,-0.003674465,0.000768952,0.002510365,0.003099109,0.007672339,0.007144502,0.006560062,0.007265649,0.004382793,0.00219184,0.000137446,-0.002956339,0.001991785,0.000965424,-0.000588167,0.001662567,-0.001155319,0.004455279,-0.004433129,0.004268479,-0.001388932,-0.000716273,0.003717834,0.006209011,0.012046124,0,0,0,0,0,0,0,0,0
3,44.64297302,0,0,0,0,0,0.010757307,0.011175954,0.007351288,0.004859671,0.000330005,0.004914378,0.001636299,0.003840983,0.003368088,0.004179351,0.001619621,0.000232835,-0.003290053,-0.006349308,-0.009331886,-0.010452105,-0.010648176,-0.00984,-0.007428352,-0.0061642,-0.005898257,-0.004678752,-0.003395357,-0.004235651,-0.003229165,-0.000954208,-0.001046803,-0.001753968,0.000321102,-0.000709897,-0.00144821,-0.007470798,-0.01830769,-0.015819786,0.005070446,0.018558897,0.014693188,0.012676531,0.022963209,-0.003724329,-0.008270177,-0.008796479,-0.007717248,-0.004773053,-0.009498753,-0.007267567,-0.005445686,-0.003971703,0.000297294,-0.000350676,0.002238286,0.008748892,0.003252051,0.007130278,0.006969431,0.016314538,-0.016041142,0.001001804,0.001262525,-0.009419675,-0.001746615,-0.00868156,-0.014169502,-0.008543378,-0.005934857,-0.004429958,0.001602195,0.002006132,0.004135587,0.009325684,0.012384449,0.009922439,0.009909792,0.009332786,0.008882021,-0.016228904,-0.009795644,-0.011465056,-0.002881867,0.002028038,-0.002272454,-0.006715896,-0.014612052,-0.015207718,-0.016246344,-0.013705079,-0.010793332,-0.004202284,-0.002187025,0.001446087,0.01395755,0.003871484,0.012011353,0.017122251,0.008964818,0.003214909,0.00806291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006418835,-0.004053101,0.011201073,0.011365433,0.012110854,0.008014389,0.005588471,0.001076856,-0.000751039,-0.002099507,-0.004569814,-0.004688312,-0.006058363,-0.008822204,-0.003865579,-0.002522222,-0.004929341,-0.004890011,0.00084394,-8.73E-05,-0.001925543,-0.006932828,-0.001388965,0.00179676,0.007670594,0.002980375,0.002860726,-0.00302649,0.013908228,0.004054987,0.003621948,0.009369867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005619082,0.002394315,0.001310721,-0.002961217,-0.00490644,-0.004746454,-0.003022977,-0.006775276,-0.008510627,-0.009488102,-0.006225195,-0.002585614,-0.004164017,-0.003189862,-0.00594583,0.000266429,-0.002401987,0.001124483,0.003227768,0.002742744,0.002896993,0.004312817,0.004847854,0.003463785,-0.000229241,0.002249782,-0.000952783,0.002278857,0.001505531,0.004509276,0.00538315,0.006990076,0.00285251,0.007131383,-7.83E-05,0.010950899,0.009279829,0.010400306,0.013433161,0,0,0,0,0,0,0,0,0
4,26.80966664,0,0,0,0,0,-0.007128163,0.002516878,0.003316024,0.008917334,0.005381243,0.011348141,0.007855186,0.006930369,0.008157995,0.007780725,0.005628357,0.004325994,0.000365584,-0.002095018,-0.00257016,-0.005448505,-0.00690022,-0.009225044,-0.00664895,-0.007381467,-0.007720846,-0.007684971,-0.007278467,-0.007095874,-0.005311522,-0.002053171,-0.00330858,-0.004381506,-0.001911781,-0.001125985,-0.001266915,-0.009354898,-0.01729815,-0.013722501,0.00825876,0.019001224,0.014267968,0.010636471,0.00681574,0.004820581,-0.003226129,0.001080638,-0.00216568,-0.000534956,4.87E-05,-2.32E-05,-0.005874456,-0.009061163,-0.008133559,-0.009097946,-0.008809313,-0.006403112,-0.005334334,0.002219163,0.004281611,0.001219642,0.000483149,0.000244637,0.004217908,-0.001320358,-0.010001978,-0.010923686,-0.016438647,-0.012955676,-0.010306604,-0.001684018,0.00404982,0.006203609,0.007010747,0.013409474,0.015908621,0.017752036,0.021048338,0.022970336,0.011986251,-0.010260844,-0.004793684,0.002907446,-0.018095762,-0.000326367,-0.006937072,-0.011000305,-0.016612505,-0.016029366,-0.013952907,-0.008890342,-0.006067162,-0.00184906,-0.002648521,0.001866347,0.007620056,0.004216848,0.004038191,0.003043201,-0.000384499,0.005721301,0.007289582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000173915,-0.00853393,0.007869764,0.010092813,0.009216961,0.008431805,0.007130851,0.004547375,0.003658367,0.003158934,-0.000432842,-0.002889466,-0.005500609,-0.005759184,-0.004297661,-0.001905918,-0.004167616,-0.000914395,0.002192343,-0.001451629,-0.000381509,-0.005827721,-0.001958959,-0.000395188,0.006209396,0.003015765,0.007734022,0.005170242,0.002107607,0.007406801,0.002849958,0.002086336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006139173,0.007229175,0.001085143,-0.003636338,-0.001381222,0.000420912,0.002772328,-0.000503695,-0.005265222,-0.000535542,-0.004820478,-0.00319015,-0.000867467,0.000635955,-0.001659654,0.002434876,0.001829676,0.002185867,0.004248749,0.004046023,-0.003822495,0.000397057,-0.002907042,-0.003638558,-0.007181041,-0.002550636,-0.004105789,0.005648785,0.003489298,0.00347598,0.001524826,0.006010113,-0.003657182,0.002613192,0.002288704,0.004298752,0.004433283,0.007828842,0.008653208,0,0,0,0,0,0,0,0,0
5,44.676908,0,0,0,0,0,0.006407296,0.009320658,0.008247022,0.005210048,0.003141014,0.004039631,0.00315791,0.002992359,0.003883246,0.003490501,0.003035675,0.003408168,-0.000527477,-0.003983386,-0.005276367,-0.008564979,-0.008524631,-0.009204841,-0.007414961,-0.006970305,-0.005868014,-0.005203336,-0.003988844,-0.003829313,-0.001872961,-0.002655327,-0.000883476,-0.001535581,-0.00051093,-0.000623754,-0.002296407,-0.005230921,-0.014992026,-0.01598145,0.003601769,0.017406517,0.015019405,0.010999892,0.002625203,-0.003401967,-0.006274213,-0.003578821,-0.004612712,-0.001180025,-0.003087179,-0.003274697,-0.002968605,-0.000680991,-0.001061904,-0.001690214,-0.002922307,0.003070263,0.002039684,0.008353935,0.00556723,0.013050925,-0.00580199,-0.001388715,-0.003163015,-0.003213173,-0.003417153,-0.00648239,-0.01070387,-0.006993371,-0.004613159,-0.003523294,-8.72E-05,-0.000393081,0.000282789,0.008935884,0.008204541,0.009552784,0.012867426,0.011679417,0.003102816,-0.018084726,-0.000772064,-0.000890852,-0.008836365,-0.003653887,-0.002189089,-0.006335149,-0.014197866,-0.011218142,-0.014860017,-0.013124712,-0.008497784,-0.002780493,-0.003676708,0.000775105,0.008504627,0.002471785,0.007331391,0.017253716,0.014288003,0.001642559,0.003552923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001906093,-0.003624578,0.007609036,0.011039695,0.015168488,0.012490373,0.010024574,0.008191191,0.004480174,0.002742417,0.00046394,-0.003458528,-0.003813512,-0.001505493,-0.001450521,-0.00125016,-0.000998672,-0.002690787,-0.001856085,0.001747961,-0.001576372,-0.002793441,-0.002306234,-0.000921524,0.003124605,-0.001380106,-0.00267941,-0.002302966,0.001523432,0.001423087,0.001166698,0.001262063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002760955,0.002974753,0.003090694,-0.003540448,-0.002961535,-0.000357693,0.000505212,-0.004254715,-0.003844161,-0.003311721,-0.005246991,-0.001235067,-0.003576094,-0.001469842,-0.004827091,0.000270723,-0.000404876,0.004478885,0.003708961,0.005406433,0.004026277,0.00325467,0.002201898,0.004184482,-0.000825783,0.001004285,0.001038241,0.001769449,0.000474075,-0.000656809,0.001980828,0.001115281,-0.005902162,0.000602516,-0.000749404,-0.006766775,0.000397954,0.003802647,0.006477273,0,0,0,0,0,0,0,0,0
6,31.2084783,0,0,0,0,0,0.016144873,0.012980306,0.010261017,0.008221231,0.007538855,0.008215942,0.004670242,0.001879854,0.001377579,-0.000148036,-0.001479542,-0.003413963,-0.005374084,-0.006366554,-0.006070663,-0.006804505,-0.00723319,-0.00930598,-0.007092113,-0.008571611,-0.00913582,-0.008946516,-0.009090153,-0.009481489,-0.00897984,-0.007804159,-0.008947913,-0.008759763,-0.008357497,-0.008296704,-0.008716415,-0.008240549,-0.011805721,-0.006114667,0.012124794,0.01872917,0.01001311,0.005643812,0.006662057,-0.004916342,-0.007461768,-0.005023534,-0.004320672,-0.0037763,0.000760576,-0.000707173,-0.004276172,-0.004635951,-0.005182673,-0.003957284,-0.004572211,-0.001081341,-0.000485269,0.003414759,0.00483906,0.000984795,0.001213299,-0.000757674,-0.000304265,-0.004712838,-0.008350216,-0.008754549,-0.012752371,-0.00810432,-0.005622311,-0.001362026,0.002146911,0.004434367,0.007185752,0.009454905,0.012316479,0.014185352,0.01649459,0.016130592,0.014878722,-0.011661067,-0.006531057,-0.001594956,-0.005913572,0.001918677,-0.002550146,-0.008893577,-0.011776029,-0.008881827,-0.009670114,-0.008926055,-0.005359814,-0.001854445,-0.002576624,0.002925957,0.00482156,0.001925683,0.001652486,0.005833891,0.003804964,0.005002157,0.008243985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002265895,-0.008410304,0.011160886,0.012649289,0.011062415,0.009709051,0.005132496,0.005620877,0.002331287,0.001696163,-0.003528976,-0.00519719,-0.004707969,-0.004946412,-0.003062724,-0.002403762,-0.003710219,-0.004844371,-0.001108073,-0.001666346,-0.004228252,-0.004331445,-0.003205216,0.000194624,0.003511633,0.000136579,0.00193433,-0.003378049,0.00471967,0.00067566,-4.51E-05,-0.000402742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011813746,0.009465049,0.009769119,0.003546425,0.000962317,0.001619936,0.000298856,-0.00049458,-0.003174713,-0.001902573,-0.003380057,-0.001670493,-0.002045033,-0.001773051,-0.000265288,0.000660403,0.001708952,0.005048026,0.003570131,0.004573389,0.00253792,0.00053695,0.003602518,-0.00074407,-0.003832804,-7.42E-05,-0.000110657,0.003554942,0.001436874,0.001369429,0.00217431,0.005720199,-0.004265086,0.002323794,0.00323794,0.004681151,0.001849384,0.006005377,0.005256354,0,0,0,0,0,0,0,0,0
7,44.85479381,0,0,0,0,0,0.012714576,0.007656688,0.008164866,0.007718107,0.006709279,0.0070201,0.005874514,0.005263482,0.004773697,0.004720834,0.00402243,0.00284915,-0.000822022,-0.003433591,-0.005291478,-0.008289556,-0.008525395,-0.008880443,-0.008966424,-0.008770518,-0.008894276,-0.008398429,-0.008002756,-0.009066508,-0.00920806,-0.007004223,-0.007115436,-0.007929391,-0.006348163,-0.004662121,-0.005844978,-0.009311047,-0.012234107,-0.010345178,0.007308734,0.016349772,0.011659947,0.006221162,-0.001366296,-0.002348792,-0.005295616,-0.004848331,-0.003337028,-0.002577097,0.000691724,-0.000475191,-0.000132944,0.00194702,0.000104656,0.002550829,0.004109239,0.004745256,0.006698678,0.007799538,0.009045181,0.009007086,-0.000366704,-0.004557854,-0.00812436,-0.011442548,-0.012379523,-0.011524654,-0.013205459,-0.008835131,-0.008866685,-0.007299063,-0.002355423,-0.000236033,0.003699993,0.007052464,0.007892374,0.008208678,0.009055428,0.004429382,0.003815669,-0.011792732,-0.002195485,-0.000467091,-0.006753122,-0.000397944,-0.00420023,-0.007642446,-0.012473918,-0.010419005,-0.010250211,-0.010895332,-0.006215757,-0.002877372,0.002764266,0.005424388,0.012368113,0.006442403,0.012643704,0.012259607,0.006183873,0.007205992,0.00666547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003758312,-6.60E-05,0.010460543,0.012957545,0.01347481,0.012337955,0.009051485,0.007760442,0.003472113,0.003286408,0.002469768,0.002320778,-0.000958152,-0.001611188,-0.001841789,-0.002417606,-0.002805159,-0.004301896,-0.000967867,-0.00409074,-0.004636009,-0.006681555,-0.004385653,-0.001339479,0.002028982,-0.000402827,0.000472046,-0.004655306,-0.002184943,-0.000907208,0.000995646,0.001722533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003945476,-0.000380366,-0.000957504,-0.009322415,-0.007813097,-0.003825088,0.001032865,-0.001885946,-0.002043556,-0.003350074,-0.002868913,1.81E-05,-0.001268199,0.000588766,-0.002847439,-0.000685409,-0.001239392,0.004630951,0.002874918,0.003064402,0.001820944,0.004639685,0.003111858,0.004113806,0.002351199,0.00261991,0.001294329,0.004625993,0.004063118,0.002424777,0.006852109,0.006518263,0.002122663,0.004192107,0.003432769,0.000132895,0.005028538,0.007395166,0.005059917,0,0,0,0,0,0,0,0,0
8,30.8274941,0,0,0,0,0,0.002251404,-0.005279104,-0.000424006,0.003848821,-0.00206771,0.006259228,0.008040248,0.009670524,0.007692221,0.011704828,0.007349979,0.009206996,0.000979635,-0.006114025,-0.008384873,-0.013440346,-0.00860289,-0.008361421,-0.006377077,-0.007441587,-0.00586595,-0.005191261,-0.002366159,-0.001845585,-0.003109178,0.001956466,-0.000580046,-0.001709384,0.000530018,0.001758208,-0.002873142,-0.005781003,-0.021332887,-0.02033986,0.007424501,0.022229655,0.020293188,0.019475348,-0.023293797,0.006351971,0.002904913,0.006481242,0.006767496,0.009235428,0.001504623,-0.003212543,-0.003903099,-0.00467211,-0.009022831,-0.006733032,-0.009332525,-0.001998254,0.000717343,0.002066765,-0.002350385,0.01676677,-0.010518462,-0.00953112,0.001702679,0.001456413,-0.008925308,-0.012249059,-0.01867789,-0.013984485,-0.013504062,-0.00689319,-0.001873389,-0.002980799,0.000368259,0.008820026,0.013194364,0.012772093,0.015609174,0.01718662,0.008406242,-0.017805657,0.002380699,-0.007147876,-0.016276764,-0.005813727,-0.000871486,-0.005359609,-0.012475128,-0.011819396,-0.01276632,-0.005055653,-0.00388388,-0.002020792,-0.00044523,0.000337553,0.002430027,0.007225041,0.012284207,-0.000656382,0.017923429,0.024343532,0.019602251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004722016,0.002418186,0.012527569,0.012232596,0.014679617,0.010202767,0.00912516,0.003112156,-0.000905175,-8.09E-05,-0.004834138,-0.008095857,-0.009277934,-0.009153474,-0.011302544,-0.009914816,-0.002348904,-0.000951921,-0.001461534,-0.00208987,-0.004304985,-0.005941131,-0.002529962,0.000952011,0.004697157,0.00471974,0.004499652,0.005787961,0.011873682,-0.000918835,-0.00213015,0.006688241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009027286,0.012254163,0.008856416,-0.013453152,-0.014227663,-0.002588951,0.000458448,-0.00258641,-0.003151222,-0.007044977,-0.005013771,-0.001180019,-0.003253145,0.00080823,-0.004648426,0.001354775,0.000942903,0.001576482,0.003886572,0.00200691,-0.001655337,0.006637198,-0.003344957,0.003552373,-0.002109978,-0.002404038,0.001302883,0.00015857,0.001637784,0.006269126,0.00364729,0.001425547,-0.004963828,0.000306426,0.003785363,0.006011542,0.002803805,0.007350181,0.016609999,0,0,0,0,0,0,0,0,0
9,36.89666205,0,0,0,0,0,-0.003007494,-0.00185506,-0.001535082,0.003009773,0.004035977,0.010345208,0.006221476,0.005875137,0.004895452,0.00523317,0.000950355,0.000255861,-0.002653171,-0.00419074,-0.004414207,-0.006762189,-0.005780586,-0.006333755,-0.003550852,-0.004046151,-0.004896914,-0.004215091,-0.003502326,-0.004599789,-0.004211162,-0.002412896,-0.003490536,-0.00489558,-0.002259713,-0.001674905,-0.004292252,-0.005798764,-0.014740645,-0.013503719,0.003896124,0.01680579,0.011529117,0.010519464,-0.000880928,-0.002353099,-0.003656189,-0.001753712,-0.000188429,0.001735049,-0.002071353,-0.001719419,-0.003258546,-0.005330623,-0.002951861,-0.003980433,-0.002703816,0.004443463,-0.000225363,0.003955441,0.004280781,0.012139606,-0.015783659,0.000629953,0.006989624,-0.006363936,-0.008772924,-0.013035947,-0.018276443,-0.011775947,-0.010341848,-0.004129647,-0.000568693,0.003669816,0.003384968,0.00845349,0.013258949,0.014269054,0.017707103,0.017474952,0.01394782,-0.01897135,-0.00455179,-0.012311302,-0.005819105,0.004189605,0.001460267,-0.005673785,-0.009675701,-0.008573691,-0.010981635,-0.005946228,-0.004905212,0.000188946,-0.000596959,0.003537073,0.000351795,0.006271163,-0.00147449,0.002719833,0.003767742,0.010588603,0.012474298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007081933,0.003572263,0.014091715,0.021831967,0.01702982,0.012407039,0.006165981,0.004274106,0.001449289,0.003630872,-0.00365097,-0.006615497,-0.005542727,-0.006459443,-0.006938878,-0.002672426,-0.002501463,-0.003841864,-0.001245933,-0.001055934,-0.002371508,-0.004846227,-0.001907663,0.000581097,0.006139762,0.00147262,0.005151681,-0.000281368,0.004196824,0.002007909,-0.001027897,0.000794143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005351142,0.006988924,0.001974395,-0.006232439,-0.008847699,-0.008395615,-0.002851671,-0.006474049,-0.005587267,-0.004874452,-0.007833311,-0.002850028,-0.001511932,-0.00024475,-0.001829158,0.001579863,0.001116531,0.002908918,0.005169358,0.005532952,0.004231444,0.000419026,-0.000594037,-0.000166077,-0.008230595,-0.004260065,-0.003953595,-0.005802576,-0.001879585,0.001873866,-1.53E-05,0.001984383,0.001500481,0.003716461,0.0007479,0.001938501,0.005432419,0.006730993,0.013396885,0,0,0,0,0,0,0,0,0
10,42.13089853,0,0,0,0,0,0.006104427,0.007403613,0.003208532,0.001219378,-0.000834072,0.002573362,0.000293881,-0.000220791,-0.000458226,0.002706037,0.00247283,0.002584735,0.000492862,-0.000244639,-0.000189216,-0.003580929,-0.004551902,-0.00642512,-0.004885386,-0.005417873,-0.004622039,-0.004931158,-0.003459277,-0.004373545,-0.002470961,-0.003121167,-0.002344732,-0.00292065,-0.002280899,-0.002592638,-0.003393325,-0.005522629,-0.011851315,-0.011972629,0.002921345,0.012707996,0.010629364,0.008153618,0.00135562,0.001897721,-0.003735978,-0.002514455,-0.001252168,-0.000461492,-0.005006793,-0.004791845,-0.003278798,-0.001235466,-0.002280729,-0.001489829,-0.001956084,0.004506186,0.003069089,0.003871946,0.000811797,0.005315552,0.001388325,-0.004454876,-0.001275149,-0.001419527,-0.002357169,-0.004041108,-0.010029617,-0.006511488,-0.005466199,-0.002466509,0.000258177,-0.000179627,-0.000467948,0.008462023,0.008270607,0.007900151,0.009284924,0.00770855,0.005443241,-0.007393348,-0.001532873,-0.004550336,-0.001141316,0.003174111,-0.002338703,-0.00674046,-0.015165615,-0.015162913,-0.017155373,-0.013816778,-0.008217414,-0.00092533,0.002904028,0.004627595,0.014340175,0.006555939,0.007350551,0.011434206,0.009324951,-0.002170397,-0.000369052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000607308,-0.001684228,0.014611104,0.016319811,0.016689841,0.016546043,0.013670811,0.009762309,0.006143811,0.00572399,0.002931249,-0.001275137,-0.002373202,-0.001413502,-0.003075804,-0.001838068,0.000155455,0.000649672,-0.000954261,-3.20E-05,-0.002643153,-0.002659314,-0.003928253,-0.005166402,-0.002604646,-0.006866451,-0.008796178,-0.005228062,-0.002164622,-0.003538513,-0.001598818,0.005513237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001291561,0.002458001,-0.000378089,-0.008743277,-0.003095639,-0.000383139,0.000641867,-0.002095863,-0.001437978,-0.001944865,-0.004006602,-0.000129189,-0.001617812,0.001417628,-0.005431756,0.00122427,0.000139977,0.002587352,0.00851946,0.004110433,0.003421584,0.006116488,0.001139839,0.001309987,-0.002521454,-0.002291865,-0.001019232,-0.001540092,-0.002272956,-0.000204811,0.001828637,-0.000593891,-0.003862503,0.002893554,-0.002321456,-0.000390166,0.001744681,0.002028337,0.011449059,0,0,0,0,0,0,0,0,0
