Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,21.92113028,0,0,0,0,0,-0.002399532,-0.000268696,0.002013372,0.006540073,0.002691853,0.008312197,0.005147435,0.006314333,0.005960924,0.007446605,0.003420602,0.002542557,-0.002093121,-0.00527288,-0.006784274,-0.009693381,-0.008504625,-0.007202674,-0.003843537,-0.00319074,-0.003890361,-0.003714682,-0.002787578,-0.00284083,-0.00265081,0.000417708,-0.002059606,-0.001838832,-0.001071979,-0.00077937,-0.002543375,-0.00676477,-0.015828263,-0.013939683,0.005878152,0.016872656,0.015214047,0.012686895,-0.002086075,-0.004256763,-0.004216537,-0.002077626,-0.002474196,-0.000143361,-0.004431501,-0.002835535,-0.007710096,-0.005401131,-0.004642699,-0.004697438,-0.001815843,0.003196659,0.001529013,0.002402904,0.001940073,0.006967252,-0.004513369,0.001220458,-0.000184181,-0.004079757,0.000252152,-0.002855571,-0.004288083,-0.002686592,-0.004414715,-0.002161123,0.001687753,0.000538305,0.001908129,0.004467992,0.006231878,0.007675055,0.009975931,0.008994263,0.002405531,-0.00842789,-0.002598608,-0.000636424,-0.00629401,-0.006167489,-0.002904283,-0.002396086,-0.006106606,-0.005789753,-0.005099168,-0.006509056,-0.00341852,0.001193762,0.002262006,0.005215536,0.010698909,0.006038771,0.001830457,0.001001021,-0.002349932,0.000397697,0.005750944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002520422,-0.006713755,0.011665113,0.008819284,0.007176732,0.009801305,0.007278305,0.007050159,0.004490208,0.004788191,0.001754478,0.000433589,-0.003364617,-0.003358271,-0.002095465,-0.002411234,-0.002069346,-0.002796477,-0.000596236,-0.002457319,-0.004765084,-0.004896955,-0.006091384,-0.000375442,0.001096502,-0.003430701,0.00079323,-0.003098689,0.003445866,-0.001103015,-0.0006412,0.000468629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002338032,0.003956531,0.001429393,-0.003456337,-0.004004859,-0.002953244,0.001413399,-0.001913796,-0.005048134,-0.002464914,-0.004206182,-0.002803092,-0.001211718,-0.001648301,-0.000538067,0.001627611,0.001240196,0.001282095,0.003200277,0.005246974,0.002491672,0.007458017,0.001787468,0.001490539,-0.000584172,-0.000257988,0.000952964,0.003142951,-0.000260486,0.001530433,-0.000139006,-0.001855304,-0.000689587,0.000839817,0.000128195,-0.001327904,-0.005511799,0.004926003,0.008508011,0,0,0,0,0,0,0,0,0
2,28.76989718,0,0,0,0,0,0.000932744,0.000320196,0.000863549,0.008407887,0.007599096,0.010710925,0.006620189,0.009826368,0.006668445,0.005666256,0.002668343,-0.000952683,-0.004524693,-0.007633141,-0.0090285,-0.010425709,-0.009462963,-0.00780434,-0.0055608,-0.005505436,-0.004461353,-0.004909953,-0.004552882,-0.00456441,-0.004527901,-0.002425347,-0.003350883,-0.001835685,-0.003138446,-0.001464465,-0.00393602,-0.00533364,-0.011650166,-0.002946297,0.009788301,0.015636249,0.007965722,0.003043906,-0.01256593,-0.00837665,-0.008510721,-0.006294451,-0.004602893,-0.001473828,-0.000879142,0.000399001,-0.001832288,0.000372165,0.002017714,0.001664883,0.003210807,0.005717369,0.007014948,0.004062544,0.001766596,0.010628962,-0.004642987,0.003144667,0.002513292,-0.00201814,-0.005720391,-0.005110558,-0.004078315,-0.002616333,-0.003613479,-0.001092212,0.000864485,0.000793438,-0.000176976,0.002225991,0.005655541,0.005626715,0.005960126,0.002480211,-8.12E-05,-0.009566856,-0.00296123,-0.003587342,-0.003311966,0.001488133,-0.002706316,-0.002650085,-0.008488785,-0.004085566,-0.002538288,-0.006614034,-0.003797754,0.000327231,0.001088158,0.005346076,0.003169988,0.005131104,-0.002713319,0.001024658,0.003912884,0.001690003,0.006293633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009976778,0.012594006,0.006692787,0.006685916,0.003500415,0.004079649,0.001766738,0.002186016,-0.000740458,0.003981942,0.000514869,-0.00047289,-0.00088127,-0.000327775,-0.000115413,-0.00056448,-0.001065174,-0.00154291,-0.002831481,-0.001672248,-0.005713705,-0.002196209,-0.002399649,-0.000161738,0.002586944,-0.003425325,-0.002008959,-0.004926975,-0.002627755,0.000858272,-0.003719939,0.000723574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00731403,-0.006983674,-0.007108545,-0.009027667,-0.00988804,-0.005892315,-0.000779124,-0.001150383,-0.002819971,-5.91E-05,-0.002096606,0.000885592,0.00027376,0.002042294,0.001172149,0.003036669,0.007561432,0.005754799,0.007574543,0.006362187,0.007929629,0.011077338,0.003711231,0.005149007,0.00232887,0.004630454,0.003457005,0.003685388,0.003552474,-0.000742871,0.002007907,7.63E-05,-0.002173377,-0.004048867,-0.002841211,0.000130563,-0.005413988,0.002557592,0.000231718,0,0,0,0,0,0,0,0,0
3,23.69769738,0,0,0,0,0,-0.000514812,0.000176348,0.000652412,0.006775551,0.004817701,0.006707403,0.004075149,0.006285293,0.00704866,0.005110322,0.004910763,0.001526588,-0.00293553,-0.006811581,-0.009151909,-0.009917079,-0.009589322,-0.008374032,-0.005881107,-0.005169153,-0.005601319,-0.004272845,-0.002755861,-0.002741222,-0.003168069,-7.54E-05,-0.001908167,0.0004691,-0.000229014,-0.000534847,-0.002940737,-0.006056229,-0.017426272,-0.017498542,0.004861789,0.023560241,0.018267478,0.014539015,-0.021601919,-0.001051414,-0.003482363,0.000218941,-0.003757066,0.000163748,-0.007185788,-0.005495834,-0.004602876,-0.00151341,-0.00292926,-0.004138549,0.000346224,0.004000443,0.005757626,0.002286733,0.000284301,0.019305857,-0.017218244,-0.001549971,0.000584899,-0.002911199,0.004810882,-0.000326043,-0.002661378,3.48E-05,-0.000876561,0.000159464,0.002627487,0.000716104,0.002969644,0.005272444,0.007451613,0.005598485,0.004714448,0.005672383,0.002041154,-0.014056996,-0.005974926,-0.002028569,-0.005248025,-0.002084819,-0.004366082,-0.003500104,-0.009663205,-0.00901565,-0.01333131,-0.017621602,-0.012181279,-0.004208107,-0.000958851,0.002801372,0.006000353,0.002713281,0.009854974,0.007200471,0.00814146,0.009875842,0.010059473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01168218,0.015791432,0.007509835,0.003396488,0.004416285,0.001270708,-0.002755896,0.000910382,-0.002928897,-0.00016364,0.000221298,-0.002408846,-0.002513394,-0.002487218,-8.84E-05,-0.001791304,2.42E-05,-0.001578586,0.002981939,0.00571944,0.000618685,-0.003341397,-0.001453095,0.003298146,0.003352348,0.001817603,-0.003234096,-0.008302621,0.005435862,-0.003380204,-0.006382453,-0.001018605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003654853,-0.001754691,-0.006938814,-0.011200937,-0.010993838,-0.004116293,0.00222957,-0.001987724,-0.002388577,0.002344575,-0.000558203,0.002124613,0.00145645,0.002606028,0.002168585,0.002742199,0.006259569,0.008438713,0.007544899,0.00758325,0.01184506,0.009561314,0.005832586,0.005110831,0.000901885,0.000372391,0.000487549,-0.000701499,-0.004601199,-0.002494121,-5.62E-05,-0.002076379,-0.00220642,-0.000177555,-0.001161808,0.000527179,-0.006046116,-0.000578277,0.003666083,0,0,0,0,0,0,0,0,0
4,21.49479236,0,0,0,0,0,-0.013563619,-0.004032915,-0.001192149,0.003656177,0.001791704,0.007882066,0.007207144,0.010171608,0.010020757,0.009338423,0.007023779,0.001773786,-0.00248066,-0.005016601,-0.006990013,-0.01153005,-0.009179672,-0.003241989,-9.26E-05,-0.00262205,-0.003189836,-0.002180864,-0.000748501,-0.002321056,-0.002545151,-0.004181172,-0.000702668,-0.000926605,-0.000251681,-0.001485333,-0.004657135,-0.010138958,-0.020614993,-0.022846622,0.005082333,0.027306592,0.020150649,0.010715207,-0.021150775,0.001970841,-0.003925162,-0.002059233,-0.00504099,0.001625886,-0.007091985,-0.003168221,-0.00382383,-0.00073335,0.000256552,-0.000627376,0.00627253,0.00916422,0.006619296,0.000641377,-0.006082057,0.016324358,-0.008921233,-0.002305499,0.0031025,-0.008435817,0.000898528,-0.006189101,-0.007230161,-0.007212238,-0.003573802,-0.003947767,0.003077784,0.002002917,-0.001079871,0.002615509,0.003773426,0.002187255,0.00110486,0.000895067,0.004688803,-0.001660858,-0.011498301,-0.000279167,0.001276178,0.001311352,0.004019184,-6.62E-05,-0.002536462,-0.004979967,-0.009431567,-0.016144829,-0.006217807,-0.000823869,0.001968663,0.007437505,0.012418219,0.00939147,-0.016124517,0.011749247,0.007396933,0.008137222,-0.000694419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001112528,0.011802905,0.018722024,0.011457522,0.01015553,0.005105271,0.002893906,0.00444306,-0.000156917,-0.000341941,-0.005383216,-0.003801633,-0.002049517,-0.006839182,0.000807849,-0.003210214,0.004695589,-0.005726066,-0.001830122,-0.004330844,-0.004288365,-0.001089742,-0.003210025,0.002100777,0.005560162,-0.003694701,-0.005165754,-0.003534323,0.000516674,-0.000549833,-0.004832185,0.000794339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202187,-0.00097928,-0.00396371,-0.002517884,-0.004601598,-0.001913489,-0.000655821,-0.001929622,-0.004636666,0.000312748,-0.002576016,-0.005024753,-0.000618203,0.002651339,0.003854462,0.003690401,0.002312055,0.004171519,0.008175641,0.008675411,0.008897836,0.007553069,0.010074189,0.006068529,0.006965046,-0.001214754,0.009461237,0.000840776,-0.006338244,-0.007615994,-0.001562269,-0.001451594,-0.00764693,-0.00702384,-0.001775222,-0.007035585,-0.004593296,-0.000333524,0.012825787,0,0,0,0,0,0,0,0,0
5,20.29482861,0,0,0,0,0,0.000974913,0.007411945,0.007161861,0.006942042,0.007035244,0.005658505,0.004325796,0.003094038,0.002265844,0.001220009,0.000540907,0.00023362,-0.001195778,-0.002592485,-0.007690447,-0.010561401,-0.010273628,-0.008033737,-0.003117612,-0.005714405,-0.004858675,-0.005628977,-0.004354587,-0.003376213,-0.00244515,-0.004292274,-0.001736313,-0.003986465,-0.003572559,-0.002366116,-0.004885516,-0.005613179,-0.017209345,-0.020346597,0.001497868,0.025246502,0.020998724,0.010513163,-0.010748096,-0.006003961,-0.009883715,-0.000777799,-0.000339558,0.001370966,-0.005587696,0.004830668,-0.002962649,0.002038474,0.000345759,-0.003370375,-0.00057396,0.005907291,0.007888833,0.004189463,0.001423663,0.006523625,-0.002171366,-0.006979438,0.004398607,-0.00423596,-0.003350207,-0.008586926,-0.012796833,-0.009175129,-0.008806508,-0.004076591,-0.000918296,-0.003522987,-0.003384028,0.00353076,0.01035558,0.009423122,0.009930254,0.010409125,0.010672611,-0.016254259,0.000287123,-0.009567543,-0.00354405,0.000816792,0.004236451,0.002457927,-0.001218299,-0.004975093,-0.008461804,-0.012979102,-0.008796291,0.000658498,-0.000419444,0.00833515,0.008059446,0.005134433,-0.007374565,-0.007281258,0.006922334,0.004432882,0.010391079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019115851,0.009296643,-0.004874577,0.005773006,0.011028999,0.005884487,-0.001038673,0.005412643,0.003589442,0.001984554,-0.002735489,-0.000917248,-0.00456977,-0.001318558,-0.001322105,-0.005800141,0.00147521,-0.003068062,0.002305625,0.002397595,-0.000967005,-0.002732902,-0.001939132,0.001840117,-0.001649425,-0.007887996,-0.00389152,-0.01159761,0.008657184,-0.008292951,-0.004448555,-0.002436179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004491568,0.002340588,0.00014767,-0.002508695,-0.00884463,-0.005580165,-0.000722431,-0.001228104,-0.003083366,0.004699524,-0.001881525,0.002215074,0.004089037,0.002300239,0.004446994,0.009304911,0.008192927,0.015160909,0.01057664,0.012661734,0.01181199,0.013942061,0.008126183,0.004483648,0.000311604,-0.003589599,0.001562837,-0.00781157,-0.012594729,-0.010331969,-0.001712838,-0.007883234,-0.006043738,-0.00863624,-0.009932928,-0.00805337,-0.002597521,0.002927995,0.019633181,0,0,0,0,0,0,0,0,0
6,19.67152337,0,0,0,0,0,-0.00855774,-0.001201605,0.001248386,0.003255662,0.003457255,0.005292715,0.003599744,0.003823065,0.003272853,0.00271731,0.000901061,0.003284931,0.002894106,0.002641312,0.000780062,-0.00118751,-0.001450526,-0.003534238,-0.000375499,-0.001165491,-0.001421338,-0.001504862,-0.001203929,-0.00063499,-0.001333438,0.001095516,0.000193039,-0.000429345,0.000504907,0.001145663,-0.001132814,-0.007637155,-0.020980965,-0.023972628,0.001810614,0.022560969,0.019909562,0.008295549,-0.015024858,-0.00544419,-0.008786502,-0.005607259,-0.003570955,-0.001937507,-0.005520518,-0.00236851,-0.001627461,0.00064189,0.002657385,0.002916147,0.005684609,0.009409254,0.008442518,0.006980222,-1.92E-05,0.011240657,-0.003181951,-0.010360566,-0.003162687,-0.005196595,-0.00539144,-0.006741956,-0.009152507,-0.006282387,-0.007895438,-0.003104015,-0.002980436,0.000501873,-0.002566214,0.003410201,0.004429127,0.003942261,0.00500325,0.004788023,0.004895884,-0.007280748,-0.002789289,-0.003184323,0.001201199,0.008565524,0.007353303,0.004697806,-0.002810683,-0.003641197,-0.005046874,-0.008264396,-0.004799066,0.000505185,0.003972009,0.004138493,0.004247004,0.00477013,-0.004216459,0.001889371,0.005813345,0.007311922,-0.00521587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014093115,0.004932788,0.000509677,0.00481169,-0.001943919,0.003100504,-0.001114164,9.23E-05,-0.000727821,-0.001363376,-0.002748642,-0.00456455,-0.002132215,-0.004247862,-0.003585682,-0.00327697,0.000465483,0.00017399,0.002561025,-0.003482377,-0.003919917,-0.003788199,-0.00194649,0.003052526,-0.000491224,-0.000414918,0.000574961,-0.003571947,0.008054492,0.000477911,-0.000935511,0.001760447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.43E-05,-0.003441342,-0.001881957,-0.005070013,-0.004890083,-0.001160671,-0.000824646,-0.001996257,0.001085248,-0.002700522,-0.000383019,0.00082024,0.00055142,0.001388643,0.003748756,0.005160442,0.005920151,0.004862665,0.006319228,0.006316778,0.002339839,0.003652626,0.00303804,0.000850088,0.001155129,0.002384208,0.005449621,0.002436515,-0.002812575,0.000836541,0.002424368,-0.001419831,-0.002416122,0.000483748,-0.004792131,0.003651747,-0.004580651,-0.00256993,0.009189209,0,0,0,0,0,0,0,0,0
7,18.02880189,0,0,0,0,0,-0.00843715,0.003423724,-0.000929574,0.008092787,0.008350343,0.012149044,0.008920912,0.010400279,0.00927631,0.007642182,0.004073262,0.003128619,-0.002993877,-0.007759316,-0.00907379,-0.012874692,-0.009835159,-0.010027118,-0.003672668,-0.002269872,-0.003088446,-0.003599588,-0.001782959,-0.002440417,-0.000969461,0.001557457,-0.00011441,-0.001202288,-2.85E-05,-0.00023801,-0.002947183,-0.005598408,-0.019744111,-0.020198312,0.005193599,0.024697011,0.023731489,0.01548666,-0.011828718,-0.002095861,-0.003906302,4.66E-06,-0.001046212,0.000198636,-0.002158793,-0.002958432,-0.006390223,-0.005461973,-0.00334261,-0.005617414,-0.003129874,0.002196318,-0.001441818,0.002150306,0.002115505,0.010504166,-0.001295354,-0.002471812,-0.001869566,-0.006109606,-0.007986487,-0.009660185,-0.007838917,-0.00552975,-0.007633922,-0.002814716,0.003804049,0.002118408,0.00099809,0.004826336,0.012517628,0.012486422,0.013592407,0.012120937,0.004608394,-0.013095535,-0.005052991,-0.002219365,-0.011670983,0.002813094,0.002904526,-0.002389732,-0.00561627,-0.007969823,-0.005346346,-0.005409126,-0.0045802,0.003879435,0.001821753,0.005015911,0.001902255,0.004520767,-0.011890918,-0.003658321,-0.000500738,0.005797569,0.008560863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014153558,-0.007355297,-0.001735598,0.001465916,0.002733903,0.003440412,0.000621669,0.00246336,0.004068897,0.002894717,0.000155196,-0.000900078,-0.003453584,-0.002779193,-0.002931163,0.000847167,0.003906821,-0.001546031,0.001524593,-0.000281736,0.001258434,0.002217267,-0.001842961,0.004103585,0.002749941,-0.003932448,0.005025653,-0.006390006,0.002779061,-0.003794774,-0.002610608,-0.004382901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001052741,0.001111024,-0.000184557,-0.005149064,-0.00478696,-0.004262655,-0.000867352,-0.002048927,-0.003768455,-0.000997565,-0.003653288,-0.001301478,0.003728824,0.001901556,0.002445628,0.002542943,0.003775353,-0.000878492,0.005126098,0.008126556,0.003676931,0.005227003,0.001896166,0.004019204,-0.001308326,0.001197932,0.00871411,0.000979031,-0.003083745,-0.000417588,0.001744491,0.000682671,0.001035494,-0.001191152,0.001619574,0.004910281,0.00050858,0.005643919,0.009271189,0,0,0,0,0,0,0,0,0
8,17.04807339,0,0,0,0,0,-0.007650481,-0.004077203,0.001904297,0.002961576,0.005095503,0.006707428,0.003477044,0.006910518,0.003505465,0.006205314,0.001251284,0.005193426,0.002180766,0.000367927,-0.000575905,-0.003363642,-0.005202172,-0.006325867,-0.002769786,-0.002099293,-0.003595886,-0.003706801,-0.003397633,-0.002068788,-0.002629417,-0.00024137,0.000789006,0.001461245,0.000743585,0.0005713,-0.000125589,-0.004466176,-0.024776119,-0.026669327,0.003862847,0.022282754,0.01964757,0.012586877,-0.000331441,-0.000452463,-0.006555413,-0.000669364,-0.002643008,0.003172507,-0.000626532,-0.003941443,-0.005736647,-0.004531085,-0.002768595,-0.002935391,-0.001290554,0.00190377,0.00185157,0.000119342,-0.005170875,0.001680628,0.011236534,-0.002964299,-0.001733772,-0.007030945,-0.008254872,-0.006949705,-0.012336324,-0.005808205,-0.007132283,-0.004178621,0.001459835,0.002368454,0.003173515,0.006737563,0.009166759,0.008886958,0.010549726,0.01127628,-0.002715773,2.31E-05,0.001384043,-0.002772686,-0.002434097,-0.002047064,-0.001445216,-0.000223654,-0.007128983,-0.003801445,-0.006074705,-0.006187387,-0.003922051,-0.00174759,-0.002094093,0.00291672,0.003549485,0.003050788,-0.00561955,0.004553822,0.013661273,-0.006888953,-0.000185954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018304606,-0.002511786,0.00241977,0.007608525,0.00055675,0.003063411,0.004604537,0.00234812,0.00045088,-6.69E-05,0.000513968,-0.00415316,-0.000295653,-0.001312408,0.001278152,0.000507659,-0.000193192,-0.003234761,0.004162092,0.003723522,-0.002587619,-0.004587185,-0.003856225,0.001592943,0.004395848,0.000502093,0.00068011,-0.000400553,0.004603501,-0.000367124,-0.00361433,-0.00562829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002341103,0.000533351,0.004349687,0.000129844,-0.001707009,-0.002345356,0.002317254,-0.001780064,2.11E-05,-0.001931435,-0.002687257,0.002030338,-0.002335493,-0.002216729,-0.001497727,0.002982925,-0.000553173,0.002282325,0.002057584,-5.40E-05,4.23E-06,0.000917286,-2.90E-05,-0.00324397,-0.000328608,0.001065617,0.005595998,0.003602869,0.001221387,0.00247667,0.000987844,0.002172199,0.000664578,0.002487478,-0.008753949,0.004759622,0.006083826,0.005275225,0.005345122,0,0,0,0,0,0,0,0,0
9,21.11509568,0,0,0,0,0,-0.006118962,0.002702916,-0.002141438,0.002691988,0.003481526,0.008823686,0.00647883,0.005789596,0.006642886,0.008964576,0.00553952,0.004843942,-0.000688602,-0.00388215,-0.004597328,-0.009094859,-0.010628466,-0.00583458,-0.004282358,-0.001490882,-0.002669222,-0.001803758,-0.001380584,-0.003434967,-0.003085637,-0.001853307,-0.001166879,-0.004314725,-0.001661905,-0.001089056,-0.003222266,-0.001933458,-0.01200988,-0.015827514,0.000499821,0.015410984,0.017576726,0.011785969,-0.013520924,0.000955553,-0.00118671,0.002133567,0.002366322,0.004493027,-0.000647389,-0.000533846,-0.001996206,-0.001515104,-0.001546017,-0.000247275,-0.000875722,0.005006138,-0.00187779,0.000302663,0.005750344,0.005055561,-0.004054941,-0.006695175,-0.007864593,-0.010436682,-0.003567673,-0.004022476,-0.0053283,-0.005034824,-0.006562987,-0.005173107,0.005322461,-0.001088229,-0.004687867,0.003238256,0.005889456,0.006620041,0.006470753,0.005398062,-0.001898819,-0.010656816,-0.006978169,-0.000518681,-0.000601597,-0.001152427,0.004516027,-0.00122703,-0.004027459,-0.003906512,-0.012407445,-0.010193553,-0.008311346,0.006284592,0.001346948,0.006858869,0.004260519,0.010436052,-0.003943083,-0.0031272,0.013998809,0.015824711,0.011624728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00742351,-0.009027699,0.001174268,0.005507366,-0.000268745,0.006949198,0.005659128,0.000492881,0.000753143,0.000678986,0.001022994,-0.006915747,-0.002559483,-0.005688072,-0.001432512,-0.001631936,0.00722043,-0.002427629,0.005877056,0.00229267,-0.001203996,-0.00042454,-0.006701918,-0.000618775,-0.000862301,-0.007480203,-0.007360538,-0.012580459,0.002354522,-0.007197105,-0.007466712,-0.00134127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000747379,-0.001999388,-0.002992557,-0.010855977,-0.005549132,-0.00346448,0.006187271,-0.001872825,-0.001200781,0.002446836,0.003179849,0.003290465,0.006703225,0.009348723,0.004730409,0.012603244,0.009183537,0.007851475,0.012332163,0.018074073,0.006932899,0.014938169,0.007944526,0.004220814,-0.004025642,-0.00206738,-0.006417544,-0.002821045,-0.012438063,-0.006651002,0.001673641,-0.001236796,0.001073829,-0.007146827,-0.011613151,-0.000928434,-0.001475693,-0.005737076,0.011480236,0,0,0,0,0,0,0,0,0
10,27.89694801,0,0,0,0,0,0.005046674,0.004177505,0.003573346,0.007412797,0.007498896,0.004685832,0.003454393,0.004591974,0.003858359,0.004082098,0.004162612,0.000428213,-0.003775251,-0.007142685,-0.008352405,-0.00861915,-0.009947977,-0.008289508,-0.00641632,-0.00659485,-0.005470169,-0.004064841,-0.004511893,-0.002635797,-0.002873561,-0.002774838,-0.001490186,-0.001876528,-0.00068512,0.001969417,-0.003051473,-0.003438129,-0.012763577,-0.014766225,0.004928609,0.019888535,0.01531775,0.00861404,-0.018663506,0.003460401,-0.002581113,0.000645232,8.32E-05,0.002487756,-0.003690028,-0.003572725,-0.003442138,-0.000968863,-0.001029685,-0.001256819,-0.00049234,0.003293431,0.002189178,0.004203554,-0.002153887,0.014210385,-0.003667383,0.002384264,-0.001883262,-0.009992637,-0.001269,-0.00545295,-0.011256017,-0.003874232,-0.006176127,-0.003305137,0.001112162,0.002557767,0.003100036,0.00577577,0.00802049,0.00551586,0.005946298,0.002766515,-0.002313454,-0.007165223,-0.000630419,-0.002365913,0.000965483,-0.000995857,-0.000563831,-0.000648304,-0.006915252,-0.005148681,-0.008208519,-0.010963831,-0.009431745,-0.00347819,0.00170743,0.004326646,0.008939828,0.006946365,6.48E-05,0.000501367,0.004967899,0.0040949,-0.003213429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008526408,0.002667527,0.008277909,0.006870906,0.008483518,0.00565529,0.00080262,0.001560667,-0.005143298,-0.001498019,-0.002564341,-0.006210128,-0.005691261,-0.002840102,-0.004515689,-0.000157744,-0.003389716,-0.004961016,-0.002711632,0.000983852,-0.001307668,0.001273153,0.00198304,0.006593844,0.009285576,0.003212468,0.001158126,-0.00078265,0.001252209,0.004840028,0.003936935,0.008743918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005358519,0.004492645,0.00272949,-0.005389349,-0.005381738,-0.005635234,-0.002562515,-0.005091628,-0.004611242,0.000234893,-0.003154062,0.003378714,-0.002195457,0.003148606,-0.000478188,0.004356986,0.001189447,0.004490931,0.002832545,0.003293814,0.002219666,0.002806096,0.001233503,0.000890992,-0.000570435,-0.006360408,0.000781944,-0.000577354,-0.004410584,-0.002689265,0.001434161,-0.002042978,-0.00506323,-0.002465339,-0.005158558,0.000729778,0.003243887,0.008165845,0.010816069,0,0,0,0,0,0,0,0,0
