Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,14.56753308,0,0,0,0,0,0.000168307,-0.000206441,-0.000298883,0.001047176,0.000812967,0.002019076,0.002324334,0.00259985,0.001962449,0.002375506,0.00192103,0.000759287,-0.000580173,-0.001506986,-0.002477239,-0.002614765,-0.002244236,-0.002596944,-0.001439051,-0.00164365,-0.001604432,-0.001815454,-0.001336701,-0.001689476,-0.001578314,-0.00152522,-0.001197605,-0.001518258,-0.001111316,-0.001591073,-0.001814671,-0.00305466,-0.005908331,-0.005030321,0.002009869,0.004756769,0.003534322,0.002796781,0.004379569,-0.000468394,-0.001705805,-0.000619808,-0.001574771,0.000301934,-0.002524386,-0.000872362,-0.001209762,-0.001471973,-0.000144603,-0.000465334,0.000262782,0.000878327,0.000477565,0.000700339,-0.000317527,0.003950557,-0.006062587,0.001671278,0.003326907,0.000525542,-0.001299139,-0.002655725,-0.003326643,-0.002307942,-0.002235915,-0.000393789,-0.000514066,0.000563053,0.000314544,0.001627967,0.002047856,0.002102298,0.003020199,0.003503451,0.004126536,-0.002828642,-0.002741359,-0.002456481,-0.00295565,0.000616806,-0.000888672,-0.002938955,-0.005975779,-0.005726493,-0.005437188,-0.00373866,-0.003717414,-0.001374325,-0.001502458,-0.000414077,0.001836736,0.001021767,0.003074621,0.007481247,0.004896206,0.005943056,0.006366991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00337879,0.001686601,0.00240431,0.002197935,0.003296706,0.001652839,0.001452618,0.000278937,-0.000251454,-0.000667944,-0.001482509,-0.001362754,-0.002100031,-0.001741094,-0.001529685,0.000216805,-0.00151165,-0.000989064,-0.000682871,0.000904157,-8.79E-05,-0.001534155,0.000666373,0.000243108,0.00050401,-0.000352718,0.000163391,-0.000761668,0.000277503,0.000257679,-0.000302779,0.001736134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001722587,0.002345329,0.002609552,0.002443206,0.000575838,-0.000399564,-0.001110627,-0.000897747,-0.001873158,-0.001970866,-0.002204823,-0.001301166,4.08E-05,-0.001975071,-0.001676527,0.000499848,-0.000356698,0.000203583,-0.000379273,0.000408977,0.000690504,0.000190839,-0.000542311,-3.34E-05,-0.001442379,-0.000117678,-5.08E-05,0.000152822,0.000152685,0.000537593,0.000895506,0.002415624,0.000103519,0.002127617,0.002549697,0.002513651,0.002176518,0.002256274,0.004495682,0,0,0,0,0,0,0,0,0
2,18.21313911,0,0,0,0,0,-0.000145471,0.0014939,0.001214441,0.001733975,0.001167069,0.000550944,0.000924927,0.001909357,0.001883049,0.002019124,0.000894709,-0.000557691,-0.001773037,-0.002647249,-0.003413896,-0.003953975,-0.003684682,-0.003199339,-0.003058125,-0.002460003,-0.002361662,-0.001463489,-0.000727216,-0.000661748,0.000247562,0.001164568,0.002200264,0.002033188,0.002488597,0.00250953,0.002060696,-0.001430232,-0.00613457,-0.005608414,-0.000845245,0.005881599,0.006676465,0.006747733,0.00515706,0.000115088,-0.000996348,-0.000478954,-0.001594953,-0.000984674,-0.003508442,-0.00300431,-0.001686026,-0.001836154,-0.001906923,-0.001920842,-0.001792344,0.000293162,-0.001338628,-0.002067538,-0.002749728,0.00053621,-0.002620245,-0.000985335,0.003233169,0.002493207,0.001999491,0.00202792,0.000324006,0.001610349,0.000946805,0.000952004,0.001156791,0.001192951,0.000612665,0.000831137,0.001124813,0.001124264,0.001584981,0.000701438,0.004670261,-0.000131547,-0.002417439,-0.002051161,-0.000258459,0.002034198,-0.000340617,-0.001569472,-0.003341996,-0.003891033,-0.003827674,-0.00396246,-0.002964045,-0.001300316,-0.001877982,-0.001202692,-0.000547487,-0.000608003,-0.000536735,0.002856387,0.001093066,4.90E-05,0.002414684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002049696,0.000228439,0.003880234,0.003763584,0.002363279,0.001451725,0.001649887,0.000628975,0.000130856,-5.26E-05,-0.001149207,-0.001859859,-0.001256409,-0.001669952,-0.001278677,-0.000713913,-0.001011131,-0.001864767,-0.000282403,0.000908163,0.000439973,-0.001325555,0.000932669,0.00063227,0.000986492,0.000129408,0.001107154,0.000683356,0.00111493,-0.00011472,0.001252623,0.001252369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003654697,0.002743467,0.002619081,0.002134604,0.000905355,0.001581553,0.000852157,0.00038225,0.000149816,1.76E-05,-8.24E-05,0.0001155,-0.000309627,4.81E-06,-0.00081832,0.00051701,-0.000723479,0.001146812,0.000838507,0.00030151,0.001367687,0.001360459,0.000665964,-0.00026404,-0.000423278,-0.001974264,-0.00169528,-0.001124585,-0.001801876,-0.000698464,-0.000986887,0.000804472,-0.00127598,-0.000192585,-0.0011521,-0.001672762,-0.000208022,0.001017659,0.002405376,0,0,0,0,0,0,0,0,0
3,19.2484215,0,0,0,0,0,-0.002245008,-0.001051356,0.000435482,0.001086922,0.00243307,0.003256416,0.003107103,0.003306577,0.002460991,0.001715321,0.001296544,0.000398168,-0.001197776,-0.002401851,-0.002801565,-0.00304591,-0.002601074,-0.00251575,-0.001556638,-0.001807088,-0.001928862,-0.001560357,-0.001169268,-0.001559366,-0.00140182,-0.001275684,-0.000535653,-0.000530919,-0.000110702,-0.000632573,5.32E-05,0.000572411,-0.001628841,-0.001404316,0.000274049,0.000579219,-0.00029473,0.003069479,0.005917107,0.000676443,-0.000914073,0.000426633,-0.000256627,0.000299266,-0.0003527,-0.001062511,-0.001225646,-0.000568434,-0.002267602,-0.002166069,-0.000727162,-0.00062791,-0.000261823,0.000717025,-0.000368499,0.005164558,-0.005735027,-0.001020007,0.001040261,0.000252403,-0.000822233,-0.00132937,-0.001373949,-0.001265006,-0.001240814,-0.001247525,-0.000908508,-0.000830275,-0.001457711,0.000487992,0.000741031,0.000697625,0.000842705,0.002900726,0.002457994,-0.004620793,-0.002343138,-0.002420911,-0.002396422,-0.000538274,0.001769424,0.001350135,-0.001690097,-8.69E-05,-0.000781357,0.000582801,0.000723929,0.001608034,-0.000882217,0.0015136,0.002064673,0.002787583,0.001656119,0.003866306,0.00380396,0.002135093,0.002380003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002607577,-0.001995541,-0.001189438,0.003257323,0.004477716,0.0029834,0.001286275,0.00088805,-0.000299838,-0.001218243,-0.000671677,-0.001050749,-0.001286745,-0.001491624,-0.001435754,-0.002273509,-0.001792911,-0.003248761,-0.002106449,-0.000887881,-0.001995663,-0.002600011,-0.000370734,-0.000843923,0.001096267,0.000551678,0.000334711,-4.98E-05,-0.001394151,0.001459328,2.98E-05,9.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000373123,0.000687818,0.001882475,0.000323968,-0.00140333,-0.000310101,-0.000803708,-0.001326664,-0.001128766,-0.00133541,-0.001502945,-3.14E-05,0.00028736,-0.001949869,-0.002220036,-0.000163288,0.000957412,0.001149484,0.001213044,-0.000297227,0.00170059,0.001107723,0.000636082,0.001979116,0.000392832,0.001907953,0.001189265,0.000853482,-0.000246759,0.001194701,0.000305958,0.003100372,0.000705247,0.000937435,0.004655553,0.000448537,0.003003305,0.004916167,-0.000331346,0,0,0,0,0,0,0,0,0
4,18.33469409,0,0,0,0,0,0.002319185,0.001825982,0.00122677,0.00151853,0.002964561,0.00281537,0.002305655,0.00211735,0.001622397,0.0011375,0.000803986,0.000554161,-0.00034186,-0.001000691,-0.001210555,-0.001712066,-0.001772131,-0.002266432,-0.001964256,-0.002460243,-0.002258442,-0.002218411,-0.002127082,-0.002269229,-0.00234379,-0.00207637,-0.001748031,-0.002441275,-0.001723898,-0.001572775,-0.001938315,-0.003096973,-0.004211011,-0.003357221,0.000550938,0.002970287,0.001653733,0.000902943,0.003291409,-9.39E-05,-0.000356485,0.000122455,-4.00E-05,0.000175903,0.000609017,0.000668991,0.000539895,0.000439921,0.00073342,0.000414193,0.00046334,0.00091558,0.000361187,0.000539408,0.000941777,-0.000517373,0.001202042,-0.000910067,0.000805513,-0.000848769,-0.00321807,-0.003593273,-0.00381904,-0.002804091,-0.002406728,-0.001438375,-0.001303279,-5.25E-05,-0.000298098,0.00114361,0.00181334,0.001896837,0.002180384,0.00127214,0.002687903,-0.002240335,-0.001779496,-0.001878179,-0.001634202,0.000927424,-0.00044195,-0.002724348,-0.003437159,-0.003997394,-0.003400308,-0.001739877,-0.001709985,-0.000387884,3.70E-05,0.0010266,0.002796369,0.001280682,0.003076416,0.003066057,0.002411963,0.001871732,0.003483128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002928485,0.000217043,0.003306591,0.003000104,0.003294051,0.002158112,0.001705984,0.001376195,0.001530311,0.000462213,0.000158602,-0.000219775,-0.000484034,-0.000607456,-0.00012258,0.000277905,-0.000534314,-0.00110209,-0.000294861,-2.85E-05,-0.000584377,-0.001247896,-0.000944574,-0.001000022,-0.000765561,-0.000801308,-0.00035611,-0.000977802,-0.001406769,-0.00113745,-0.001291896,-0.000735339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002154739,0.002227081,0.002360673,0.001504005,0.000661187,8.06E-05,7.90E-05,-0.000203698,5.88E-05,0.000519988,0.000320586,-9.94E-05,0.00065317,0.000474594,-0.000286417,6.67E-05,0.000501565,0.000104921,0.00024472,-0.000536286,-0.000264684,-0.000541983,0.000116272,-0.000247975,-0.001287013,-0.000427676,-0.000126312,-0.000625174,1.03E-05,0.000872061,-0.000314685,0.000627013,0.001261083,0.001311828,0.000639945,0.001004497,0.00071363,0.001391848,0.002077902,0,0,0,0,0,0,0,0,0
5,20.385207,0,0,0,0,0,0.000385097,-0.000302214,0.000677428,0.000122219,0.000442032,0.000889686,0.000859411,0.00125214,0.001415594,0.001594377,0.002430153,0.002149806,0.001048651,0.000180005,-0.000302215,-0.0010315,-0.001256197,-0.001131262,-0.001803786,-0.001511777,-0.001578402,-0.001284494,-0.001114672,-0.001440734,-0.001714848,-0.001889639,-0.001052941,-0.001543254,-0.000886979,-0.000639992,-0.001450648,-0.001772814,-0.002055096,-0.001441122,0.000728122,0.001136983,-0.001097046,-0.000723912,0.001475312,-1.85E-05,-0.000630237,-0.000713755,-0.000692386,-0.000224595,-0.000286745,0.000898661,0.000530633,0.000288865,0.000809777,0.001230167,0.001337329,0.002323898,0.001918794,0.002180117,0.00275387,0.003599928,-0.002597314,-0.000439489,-0.002517206,-0.002078128,-0.002547803,-0.002729788,-0.001958637,-0.002123588,-0.001697237,-0.001502493,-0.000840367,-0.000787124,-0.000555338,0.000593891,-7.48E-05,1.98E-06,0.000147038,3.63E-05,-0.000711041,-0.005026294,-0.000475929,0.000271974,-0.002446653,0.000669239,-0.000445952,-0.001050087,-0.001944905,-0.000785778,-0.000283006,0.00024271,0.000606313,0.001368836,0.000495615,0.001546955,0.003941376,0.001975224,0.002426099,0.004423957,0.004160876,0.002178383,0.001294282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000637162,-0.001072067,0.001305148,0.002647857,0.003103682,0.001993224,0.002208192,0.001167781,0.001228415,0.000203729,-0.000216691,-0.000301691,-0.0004518,-0.000886834,-0.000462413,1.81E-05,-0.000989695,-0.001150543,-0.001354561,-0.000209371,-0.001718855,-0.001872202,-0.001595106,-0.000978344,0.000274455,-0.000850584,-0.001398551,-0.000317663,-0.002040685,-0.000165594,-0.000856694,-0.001138393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00323628,0.002468003,0.003082424,0.002477506,0.000967517,0.000257621,0.000462938,-0.000670162,-0.00079611,-0.000457412,-0.000596147,-0.001279485,-0.000899699,-0.000700221,-0.001087149,-0.000639766,-0.000399149,4.62E-05,-7.44E-05,-0.00044591,-0.001258496,-0.000845726,-0.000566309,-0.000129619,-0.000603459,-0.000743757,-0.000374205,0.001110507,0.00070339,3.61E-05,0.000265349,0.001417585,0.001084972,0.000509619,0.000786018,-0.001410468,0.003388113,0.002817166,0.002198039,0,0,0,0,0,0,0,0,0
6,20.39397014,0,0,0,0,0,0.000663443,0.002190514,0.00192863,0.002696678,0.002489354,0.002359341,0.002151876,0.002437718,0.002020753,0.001980706,0.000799349,0.000353169,-0.000949839,-0.001841248,-0.002363813,-0.003268228,-0.003454995,-0.00376414,-0.003095197,-0.003345896,-0.003093923,-0.002816229,-0.002129757,-0.002088017,-0.001470829,-0.000780338,-0.000302011,-0.000652825,-6.99E-05,0.000205009,0.00034694,-0.000631841,-0.002573034,-0.003294428,0.00136082,0.004095416,0.002590448,0.001666066,0.001403333,0.000941178,-0.000806415,-0.000181933,-0.000520168,-0.000399866,-0.000411916,-0.00045429,0.00101741,0.000490598,0.000513538,0.001224689,0.001724865,0.002336073,0.001308083,0.002205701,0.001727407,0.003271459,0.001175802,-0.001106443,-0.0002856,-0.001818374,-0.004239716,-0.004077571,-0.004587337,-0.003407078,-0.002770228,-0.002199085,-0.001215238,-0.000535064,-2.93E-05,0.001673697,0.002325715,0.00191645,0.001389747,0.001911444,0.00053001,-0.005949145,-0.001360887,-0.002443767,-0.001152881,-0.000140032,-0.000850155,-0.003315359,-0.004470021,-0.005149412,-0.005168638,-0.003326476,-0.00123212,-0.000573849,0.000303603,0.00215058,0.002047053,0.002392388,0.003310925,0.004250763,0.001239219,0.003666514,0.003572112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000523592,-0.001551834,0.002523219,0.005150622,0.003872873,0.00256097,0.001683288,0.00101436,-0.000227141,-0.000689345,-0.001180314,-0.001798544,-0.001779863,-0.001201863,-0.000771768,-0.000874212,-0.000373813,-0.000879422,0.000601376,0.000642921,0.000382449,-0.000627499,0.000308145,5.70E-05,0.000928712,-9.52E-05,0.000454884,0.000766142,-0.000379679,0.000242936,0.000326112,0.001182859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000432892,0.001330947,0.000948325,-0.002538303,-0.002005476,-0.000459725,-0.001014529,-0.000459679,-0.000271448,6.29E-05,-0.000267827,0.001073877,0.000894302,0.001235741,0.000113069,0.001389074,0.001095905,0.001961005,0.002359698,0.001325647,0.001975321,0.001945351,0.000915283,-2.78E-05,-0.001240577,-0.001578803,-0.000492802,-0.000943418,-0.001612436,-0.000453864,-0.000379187,0.000849811,-0.000847777,-0.000803308,0.000807218,-0.000389947,-0.000647353,0.002119957,0.000987333,0,0,0,0,0,0,0,0,0
7,16.86110175,0,0,0,0,0,-8.33E-05,0.000118531,0.000777368,-0.000221236,-0.001104604,-4.28E-05,0.00040741,0.000399496,0.000419213,0.000771906,0.000924723,0.000474308,-0.000426915,-0.001355713,-0.00136218,-0.000750413,-0.000537832,0.000240709,0.000199605,0.000498825,0.001214283,0.000972553,0.001395048,0.001133592,0.000783723,3.60E-05,0.001278794,0.001209641,0.001638898,0.000804811,0.00033636,-0.001152326,-0.003343507,-0.004505797,-0.001428678,0.001735653,0.001935618,0.002564435,0.002399432,0.002257434,0.00082657,0.000766275,2.40E-05,0.000115435,-0.001167995,-0.000495292,0.000450867,-6.69E-05,0.000191734,0.000628152,0.000751595,0.000977807,0.00056799,0.001395641,7.33E-05,0.00132147,-0.001832563,0.000391402,0.000736632,-0.001268661,-0.001406231,-0.002349303,-0.002805742,-0.002060127,-0.002125453,-0.001594326,-0.000661585,-0.000637794,0.000659568,0.001308644,0.002063228,0.00156898,0.001556282,0.001550851,0.002323064,-0.003879371,-0.000940004,-0.000941875,-0.002599559,-0.001160385,-0.002756392,-0.004128051,-0.006059607,-0.005240906,-0.005874636,-0.004948085,-0.003947032,-0.001279161,-0.000309117,5.82E-06,0.003901664,0.001077928,0.003900392,0.008113519,0.006681636,0.004056044,0.001356285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006413485,-0.002654276,0.000434199,0.001449687,0.001142587,0.000710345,0.001545779,-0.000410396,-0.000556172,-0.001287268,-0.001316311,-0.001087621,-0.001099108,-0.00118728,-0.000276584,2.10E-05,0.000144723,0.000498136,0.001481738,0.001951087,0.002188095,0.001071889,0.001744284,0.000428045,0.000728772,0.00029916,-0.000116744,-0.001525598,-0.000954604,0.000231413,-0.001461258,0.000133959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002054551,0.002482769,0.001796579,0.000234351,0.000248731,-1.02E-05,0.000335903,-0.000883197,-0.000725917,-0.000660539,-0.001127719,-0.00020671,-0.000162056,-2.38E-05,-0.000453654,0.000943694,0.000704083,0.000978765,0.000572779,0.001201007,0.001569932,0.001015247,0.000665149,0.000501554,-0.000108972,0.000673555,-7.65E-05,-0.000403409,-0.001105646,-0.000379456,0.001379502,0.000221135,-0.00033439,0.000499872,0.002086859,5.79E-05,0.001820865,0.002490427,0.003110645,0,0,0,0,0,0,0,0,0
8,17.96106348,0,0,0,0,0,0.002107572,0.001216344,0.001161243,0.001308514,0.000827776,0.001858364,0.001480369,0.001739401,0.001759781,0.001641731,0.00149061,0.000681922,-0.00073069,-0.001914984,-0.002701455,-0.003356282,-0.002561949,-0.002657252,-0.001777227,-0.002026784,-0.001649319,-0.001079666,-0.000905162,-0.001148184,-0.000815174,-8.62E-05,-0.000527727,-0.000805877,-0.000441228,-0.00042659,-0.000128443,-0.000520435,-0.004146521,-0.004758954,-0.000407725,0.004426616,0.004873106,0.005012576,0.006267585,0.000624299,-0.000884102,-0.000868574,-0.000996738,-0.000325207,-0.000855473,-0.001319681,-0.001199067,-0.002035939,-0.002369948,-0.00241437,-0.001684355,-0.000782428,-0.001307723,0.00022619,-1.73E-06,0.001462089,-0.004254084,-0.00110974,0.002040634,-0.0004339,-0.000186661,-0.001338686,-0.002663309,-0.000983613,-0.000457304,-0.000727672,0.000967448,0.000747412,0.001360664,0.00203642,0.002491855,0.002857109,0.003602015,0.003693591,0.004411257,-0.003469351,-0.003799627,-0.002197673,-0.001955287,0.001409629,-0.000136761,-0.001665589,-0.002992979,-0.003222876,-0.003137094,-0.002991219,-0.001623995,-0.001055668,-0.000967393,-0.000244432,0.000629944,0.000275826,0.001302843,0.002730847,0.001635143,0.002891644,0.002877021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001570379,-0.0016659,0.001754605,0.002841743,0.002443432,0.002001762,0.001395225,0.000425777,0.000463388,-0.000741782,-0.000753291,-0.000533279,-0.000577529,-0.001380685,-3.97E-05,0.000239705,-0.000100063,-0.001180437,0.000583515,-0.000156949,-0.000135495,-0.000414348,4.47E-05,0.000434283,0.001205785,-0.000747495,0.000454338,-0.000544613,0.00015862,0.000153242,-3.68E-06,0.000122111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003134842,0.002754675,0.003500226,0.001005209,-0.000266814,0.000740699,0.000612074,-0.00082743,-0.000535344,-0.000245661,-0.001097501,-0.000608937,-0.000174843,-0.000903959,-0.000851408,-0.000988521,-0.000794179,-0.000276242,-0.000465844,-0.000687941,3.12E-05,0.000227511,0.000299352,0.000309656,-0.000580215,-4.41E-05,-0.00051215,-0.000757714,0.00017156,3.69E-05,0.000440771,0.00164239,0.00040135,0.000251006,0.001057785,0.002190558,0.002208082,0.002066981,-0.001427053,0,0,0,0,0,0,0,0,0
9,17.29524638,0,0,0,0,0,0.00260882,0.002306448,0.00219851,0.001981342,0.001146078,0.001382921,0.000686976,0.001084871,0.000655587,0.001139164,0.001014612,0.000704782,-0.000246539,-0.001050642,-0.001731522,-0.002357178,-0.002183895,-0.00251121,-0.001873836,-0.001818383,-0.001691947,-0.001681128,-0.001518921,-0.001657065,-0.001405891,-0.001207875,-0.001164693,-0.001559921,-0.001088999,-0.0008933,-0.000892916,-0.001600511,-0.003656524,-0.004288656,-0.000902901,0.002495239,0.003084716,0.00377289,0.007516295,0.000802279,-0.000368584,-2.11E-05,0.000258734,0.000268353,-0.000333353,-0.000300675,-0.000737984,-0.001380492,-0.001542442,-0.001470635,-0.001135697,3.40E-05,-0.000374121,0.000225358,0.000417891,0.000386817,-0.002409507,-0.000836704,0.001262883,-0.000616159,-0.001750546,-0.002447709,-0.003771048,-0.002266016,-0.002563967,-0.001402349,-0.000323297,-0.000234374,0.000313698,0.00166595,0.002279233,0.002488011,0.003336705,0.003277092,0.003478351,-0.002381474,-0.00215068,-0.001860243,-0.003027866,0.000491129,-0.001363222,-0.00251266,-0.003456279,-0.003290485,-0.003004405,-0.002330765,-0.001604018,-0.000250717,1.02E-05,0.000877315,0.004129218,0.001177376,0.003294154,0.002940205,0.001693545,0.002743042,0.00270712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000458622,-0.002105113,0.001790036,0.004700979,0.00384092,0.003350743,0.002775,0.002137241,0.002074616,0.000869332,3.30E-05,0.000423925,-0.000566958,-0.001050944,-0.000553239,0.000222985,-0.001121712,-0.001020693,-0.000727117,-0.001582645,-0.001238104,-0.001811659,-0.001020286,-0.000237712,0.000173144,-0.000965457,0.000141681,-0.001383296,-0.000317831,-0.000215593,0.000333268,0.000192884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001842518,0.00270391,0.002772466,0.000520551,0.000327672,0.000768204,0.000556525,-8.18E-05,-0.000697897,-0.000520437,-0.001512064,-0.000829468,-0.000816185,-0.001256728,-0.001611779,-0.00065166,-0.000840199,-0.000107533,5.46E-05,-0.000427878,-6.33E-05,-0.000265255,-0.000482652,-0.000382959,-0.00091467,4.17E-05,-0.000355193,4.00E-05,0.000485884,0.001481142,0.000898406,0.001535496,0.000914688,0.002076577,0.001708436,0.002162905,0.001894532,0.002063592,0.00218994,0,0,0,0,0,0,0,0,0
10,13.35694982,0,0,0,0,0,-0.000682665,6.22E-05,0.000610875,0.00050693,-0.000580124,0.000261874,0.000580182,0.001273864,0.001764138,0.001960309,0.001303338,0.001120776,0.000146979,-0.000679891,-0.002088359,-0.002108502,-0.002083841,-0.002034133,-0.001715753,-0.00184314,-0.001219652,-0.000468207,-0.00021051,-0.000174904,-6.48E-05,0.00101819,0.001017183,0.000974302,0.001303925,0.001546919,0.001181352,-0.000585126,-0.003735247,-0.003921577,0.000394932,0.003561284,0.003106645,0.003438025,0.004698592,0.001256048,-0.000492939,0.000194772,-0.001181331,-0.000868461,-0.002311259,-0.001247435,-0.000220726,-0.001109501,-0.000784683,-0.000167168,-0.000440287,3.38E-05,-0.000715154,0.000116898,-2.05E-05,0.001405456,-0.001469975,-0.001545135,0.001641954,-0.00143599,-0.001742359,-0.002239767,-0.003945525,-0.002512331,-0.001599905,-0.001137897,0.000376415,0.00074711,0.000743972,0.002345071,0.003253439,0.002936556,0.003191613,0.003266622,0.00387745,-0.0041147,-0.003530485,-0.003577901,-0.000928442,0.002820144,-8.38E-06,-0.002208699,-0.004412402,-0.005727768,-0.004735961,-0.003469908,-0.0027367,-0.001040786,-0.001173487,0.00067036,0.001397007,0.001109289,0.003734496,0.003387581,0.005413672,0.003370703,0.004968033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002281813,-0.002334072,0.001987698,0.002410176,0.001931381,0.000981789,1.99E-05,-0.000198842,-0.00092219,-0.001248606,-0.001550556,-0.002043237,-0.00235607,-0.002432394,-0.001341426,-0.00140981,-0.001027113,-0.00123984,-0.000191141,0.00069204,0.000411469,-0.001091685,0.000820131,0.000876759,0.001204912,0.001407114,0.000391402,0.000885256,0.000820178,0.000969947,0.000983979,0.002132069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002414975,0.002920129,0.001891823,0.000154311,-0.001140077,4.54E-05,0.000663725,-0.000753441,-0.001700286,-0.001053014,-0.001485938,0.000253882,-0.000718699,2.61E-05,-0.000936984,0.000945218,0.000496252,0.001191795,0.000732093,0.00054682,0.000260256,0.00068989,-0.000370546,-0.001356465,-0.00130355,-0.001206656,-0.00170798,-0.001024682,0.000329579,0.000742238,-0.000809602,0.001227039,0.000479286,0.001772295,0.00140692,0.00252177,0.00212113,0.003286961,0.004637148,0,0,0,0,0,0,0,0,0
