Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,157.2596843,0,0,0,0,0,0.01044339,-0.018061556,-0.00815981,0.005455821,0.00197014,0.009753737,0.006497458,0.015274954,0.01410076,0.021398175,0.015999244,0.013013153,0.005434096,0.000561537,-0.003681782,-0.01063319,-0.015596732,-0.016112636,-0.015616537,-0.010768269,-0.013527722,-0.007273465,-0.008545826,-0.005653823,-0.006508742,0.010386865,0.004006626,0.001735018,0.006625917,0.011405025,0.006508114,-0.017605245,-0.041856903,-0.031044052,0.037301864,0.065125806,0.045503419,0.014237074,-0.030204599,-0.003779776,-0.021316973,-0.020185377,-0.015857849,-0.0120409,-0.000454531,0.001602942,-0.013628332,-0.018663092,-0.013463272,-0.004580129,-0.010281302,0.004867096,0.00570371,0.014093379,0.029143032,0.012321988,-0.008895898,0.002480963,-0.017164071,-0.024384619,-0.04092281,-0.033155302,-0.04452046,-0.024905054,-0.018035205,-0.004043483,0.015366164,0.018718199,0.031852934,0.035146823,0.039194229,0.041862559,0.047746948,0.04581506,0.02933946,-0.044872238,-0.001829808,0.016488457,-0.044373974,0.014553636,-0.026885747,-0.039834709,-0.046084591,-0.046444277,-0.029777329,-0.022966899,-0.020404614,0.001111764,0.004473441,0.010335893,0.015479635,0.01138743,-0.00563232,0.027108152,0.032427562,0.030168814,0.034088984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014071856,-0.015936246,0.017736015,0.013258496,0.01197549,0.011608667,0.022141427,0.008328789,0.013972991,0.004318631,-0.003831437,-0.00497604,-0.010013321,-0.011558888,-0.00813529,0.003061033,-0.00279674,-0.00671753,0.014584173,0.00881797,0.009784822,0.004111628,-0.006136358,0.001386838,-0.002666822,-0.003196776,-0.003840963,-0.007415158,-0.000758217,-0.005448081,-0.007336138,-0.015216599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039752963,0.0384131,0.025909778,0.003403767,0.001976966,0.001901922,0.010741979,-0.005466735,-0.009248432,-0.006195743,-0.012510918,-0.006755283,-0.005055735,-0.00766321,-0.008611593,-0.008743109,-0.006079652,0.000108137,-0.000743203,-0.008254064,-0.02311961,-0.01075779,-0.022493759,-0.010780714,-0.026342221,-0.014591793,-0.015235279,0.002407957,-0.000379282,0.000752072,0.010305897,0.008003955,-0.001260651,0.007037729,0.01078777,0.016814123,0.042926114,0.031160309,0.049676116,0,0,0,0,0,0,0,0,0
2,143.4347601,0,0,0,0,0,0.046743133,0.023596977,0.018940819,0.022940723,0.029911307,0.021378987,0.019214338,0.012407701,0.002564136,0.002758738,-0.008030544,-0.0191198,-0.02958932,-0.040643148,-0.035277636,-0.03780575,-0.029025127,-0.033232735,-0.021092506,-0.022487003,-0.018911998,-0.012850298,-0.01822315,-0.011401305,-0.018866937,-0.011779476,-0.004833765,-0.010359783,-0.003319157,0.001219498,-0.006710015,-0.025978507,-0.042648955,0.000528051,0.067542503,0.08274467,0.047021377,0.013439329,-0.005747947,-0.059948707,-0.047410126,-0.027481607,-0.018366547,-0.011819361,-0.003330497,-0.008673377,-0.010022214,-0.011040608,-0.007391422,-0.001275796,-0.011808211,-0.001479769,0.011961677,0.004436163,0.020652752,-0.017986694,0.030303468,-0.013944858,-0.009794864,-0.000352109,-0.020217112,-0.015073295,-0.03291138,-0.022931684,-0.01593086,-0.006813592,0.001696668,0.014144193,0.018318161,0.028319923,0.029921525,0.037386598,0.045648056,0.040079065,0.02807322,-0.003306606,0.020267972,-0.010128377,-0.00608367,0.002712991,0.009674794,0.006540458,-0.020108671,-0.035333973,-0.030597375,-0.022871514,-0.000199277,-0.001396538,0.007810791,0.014082728,0.000497814,0.015384538,-0.038638976,-0.008132285,0.007335585,0.018449714,0.025731152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015000206,-0.010239518,0.058618775,0.061261582,0.041971556,0.050025548,0.043040033,0.026948614,0.027089425,0.020272504,0.009485724,-0.003112115,-0.012898474,-0.004353901,-0.006324527,-0.001389154,-4.48E-05,-0.012517066,0.002422732,-0.013111269,-0.029129695,-0.014530713,-0.0195856,-0.021912713,-0.02649278,-0.018587068,-0.029439079,-0.027566754,-0.030514066,-0.014218613,-0.012812539,0.01711628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059374577,0.060330596,0.060111707,0.026125938,0.019531444,0.015492278,0.010302832,-0.004517448,0.002916903,-0.012283637,-0.009575974,-0.014433109,-0.016191202,-0.001468603,-0.010872296,0.005738861,0.00287144,0.009323397,-0.000708296,-0.010466526,-0.010082084,-0.010290359,-0.009025283,-0.028083201,-0.024038232,-0.012606802,-0.016333547,-0.010667189,-0.0061798,0.002165763,-0.014532795,0.003906003,-0.027967098,0.003723288,0.011048372,0.009816407,-0.000293679,0.020680613,0.016472342,0,0,0,0,0,0,0,0,0
3,124.6874721,0,0,0,0,0,-0.049486602,-0.035286846,-0.021384123,0.0126884,0.00610177,0.030660493,0.01936009,0.017421245,0.012767829,0.009213428,0.010742734,0.013485476,0.016982041,0.019903528,0.024372188,0.017232275,0.021746463,0.010701338,0.016194269,0.016365375,0.00522168,0.009242743,-0.001864882,-0.004666959,-0.010961073,-0.008702968,-0.025007044,-0.020774972,-0.026192226,-0.037728589,-0.032668584,-0.026926949,-0.022926947,-0.004808203,0.016417764,0.018207475,0.002457883,-0.01322915,-0.023569101,-0.013928421,-0.004151505,-0.003994908,-0.001477214,0.01063022,0.022985704,0.024572605,0.015409598,0.003825252,-0.000187358,-0.001377001,-0.018415231,-0.020773623,0.000394165,0.004435678,0.010671497,-0.032035389,0.009764829,-0.002180529,0.019126857,0.009116236,-0.032636819,-0.024969748,-0.05503584,-0.037702929,-0.032839483,-0.005254478,-0.00361095,-0.003895549,0.002990737,0.01735027,0.033958461,0.042754406,0.055280313,0.045358518,0.049925375,-0.000487979,-0.032202786,-0.001040214,-0.023843667,0.011268154,-0.040875034,-0.044499412,-0.057569059,-0.069403288,-0.053149785,-0.040296657,-0.030932296,0.004620233,0.020119871,0.013193012,0.01987432,0.013367794,0.013360336,0.021127226,0.0436101,0.064026233,0.077768397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001802092,0.01640966,0.062838077,0.042646059,0.041877411,0.023011145,0.011317682,0.015410574,0.016465139,0.009259073,0.000308276,-0.002154941,-0.006506379,-0.002314246,-0.000293704,0.009962213,0.004935971,-0.005384537,0.004873633,-0.02102731,-0.020838783,-0.014963998,-0.002515922,-0.005686596,-0.001517825,-0.025814598,-0.029444658,-0.026477813,-0.020194661,-0.014061963,-0.005206788,-0.008006544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002907775,0.004503018,0.010272944,-0.019041246,-0.033081015,-0.001916267,0.005987114,-0.020413526,-0.024380602,-0.00776899,-0.018034633,-0.016728203,0.002086274,-0.003900984,-0.002148823,-0.00276955,-0.005052975,0.011551429,-0.009817025,0.00342322,0.004658878,0.014781157,0.009380675,-0.004874255,-0.005263503,0.011751399,-0.005172986,0.002394687,0.000365755,0.001701285,0.013455827,0.019662992,0.018057779,0.01478552,0.018176401,0.02761871,0.005325319,0.030779218,0.015467712,0,0,0,0,0,0,0,0,0
4,109.3866622,0,0,0,0,0,-0.005249152,-0.004763006,0.004852842,0.019070992,0.02924226,0.026906301,0.023493872,0.020977496,0.018894992,0.018716329,0.013456426,-0.002118071,-0.021980109,-0.040279773,-0.042043586,-0.058510257,-0.046000903,-0.041660181,-0.029219491,-0.024886672,-0.02091877,-0.013825941,-0.013293367,-0.00849857,-0.003390518,0.012965239,0.012383494,0.005271075,0.010856651,0.016519992,0.009418127,-0.015789208,-0.046211199,-0.023273477,0.059605251,0.098185624,0.058462262,0.006939479,-0.029844511,-0.028360709,-0.037781748,-0.026709894,-0.01264559,-0.014712558,0.007449456,0.002407285,-0.002007834,-0.005546092,-0.006147286,-0.003627276,-0.003659353,-0.001695372,0.013000792,0.018023603,0.026767189,-0.008706162,0.044884975,-0.000485171,-0.015883576,-0.018225219,-0.052319607,-0.037351019,-0.05477264,-0.032731087,-0.027600902,-0.008310668,0.008314463,0.017163264,0.024715033,0.041672769,0.040356133,0.046575738,0.054602277,0.041282079,0.030977398,-0.016632794,0.018561725,0.006337099,-0.035860317,-0.000651431,-0.033627246,-0.053636449,-0.057168762,-0.065548785,-0.05541581,-0.040099305,-0.027128702,-0.009533381,0.001722412,0.01319765,0.014704528,0.007038808,-0.008246207,0.03559647,0.032483433,0.038329031,0.044407399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028824419,0.015263328,0.042316504,0.032951072,0.034368495,0.036155114,0.026672439,0.021978337,0.027888977,0.019293246,0.01580575,0.009206217,-0.001123062,0.004396268,0.003177933,0.013425463,0.011462677,0.006569751,0.012720086,0.005065936,-0.002882168,-0.000136634,-0.01869571,-0.01123751,-0.012168074,-0.03371405,-0.022808827,-0.020996803,-0.022789596,-0.012711331,-0.01056307,0.000744573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057356688,0.042218172,0.046144029,0.026867558,0.016466581,0.003376886,0.00882046,-0.00216045,-0.005435719,-0.006783097,-0.013041825,-0.011500129,-0.004418672,0.004236089,-0.001675762,-0.016131486,-0.007936822,-0.000487416,0.001151418,-0.013186398,-0.010757095,-0.004683826,-0.01494772,-0.010423322,-0.031915527,-0.017656141,-0.008051758,-0.006678368,-0.00661569,0.006669134,-0.006886184,0.003265782,-0.023921886,0.003635625,-0.001191821,0.007738993,0.018585094,0.00775877,0.024104731,0,0,0,0,0,0,0,0,0
5,179.9919215,0,0,0,0,0,0.020694388,0.017518461,0.022977189,0.01863922,0.024348519,0.00521606,0.009818967,0.007567725,0.001492521,0.003794278,-0.004267728,0.003891707,0.004282616,0.000881866,0.009825463,0.000292709,-0.000175396,-0.009527191,-0.012438663,-0.014393023,-0.019515135,-0.015065994,-0.015558502,-0.01508204,-0.023307871,-0.020420425,-0.02405154,-0.021320234,-0.021838448,-0.023728013,-0.040746582,-0.026395629,-0.008130849,0.029047164,0.051162487,0.030621838,-0.000160385,-0.015950756,-0.061883298,-0.002209045,-0.005056692,0.004762312,0.011460822,0.011741468,0.030342836,0.018065797,0.002927692,-0.010234454,-0.005362511,-0.008798864,-0.02371286,-0.010973129,-0.012008927,0.007486008,0.022233498,-0.015251727,0.054845665,-0.005658872,-0.025362682,-0.015701115,-0.042311067,-0.047521071,-0.064477442,-0.046779064,-0.024239331,-0.012816747,-0.006245717,0.012964686,0.01529095,0.032104508,0.024465327,0.033417239,0.049801417,0.050538891,0.021374798,-0.021785114,0.010368578,0.010461637,-0.019610306,-0.008325092,-0.015277301,-0.015480181,-0.033741015,-0.023239316,-0.018719982,-0.004973655,0.00604006,0.009023597,0.016039853,0.012862775,0.015960116,0.01459532,0.031266488,-0.003456533,0.036777649,0.016871248,-0.009124012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027537072,-0.019642916,0.02616335,0.008954686,0.044738432,0.040991437,0.035978776,0.029224726,0.01703402,0.027821087,0.006365986,-0.004464325,-0.013433107,-0.009777553,-0.010633277,-0.009894655,-0.004927342,-0.014980996,-0.032150478,-0.019652251,-0.026820857,-0.007376819,-0.018403342,-0.014981757,0.008700513,-0.004829108,-0.029027424,-0.010284192,-0.003321017,-0.018811132,0.001632383,-0.001639944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019958307,0.01687266,0.028243638,-0.009601839,-0.013279,-0.006139676,0.01215105,0.003818255,0.006462543,0.003912022,0.007361997,-0.00109869,-0.018987675,0.004416201,0.003267319,0.007717254,0.003861301,0.012734919,0.002733766,-0.0174727,-0.006507765,0.001600672,-0.004130931,0.001866235,-0.023984046,-0.008735079,-0.006260729,0.002656263,0.004868675,-0.001482204,0.008814598,0.000802768,0.002067538,-0.001118476,0.003586819,0.010665224,0.015647959,0.026217616,0.024977416,0,0,0,0,0,0,0,0,0
6,182.0464844,0,0,0,0,0,0.045730027,-0.003557368,0.000884702,0.0134289,0.015319084,0.009675586,0.004451129,0.019832799,0.015573491,0.020192426,0.023013516,0.001168172,-0.01281123,-0.021174397,-0.033567261,-0.046919327,-0.04662425,-0.043990461,-0.032637741,-0.029979249,-0.029887425,-0.016833583,-0.015957842,-0.00797599,0.001550289,0.004377145,0.015873276,0.005999875,0.013695459,0.020738734,0.010548088,-0.023647646,-0.059752598,-0.035702451,0.062521397,0.101461213,0.054717002,0.018368244,-0.061443002,-0.012089166,-0.039894843,-0.025009295,-0.02288128,-0.019955484,-0.006764862,-0.006098686,-0.013852187,-0.012493756,-0.001770776,-0.008786499,-0.001971972,0.007570725,0.02009945,0.038715818,0.052037633,0.017734125,0.02429484,0.01881943,-0.024424392,-0.034910825,-0.045940223,-0.047667037,-0.054371028,-0.028824285,-0.021521757,-0.009153907,0.00722895,0.025610591,0.031418011,0.038629733,0.05156164,0.053552669,0.059193931,0.026905768,-0.014808278,-0.057101095,0.025355017,0.012332592,-0.049718109,-0.028334682,-0.03516479,-0.042032868,-0.044287064,-0.036391034,-0.039246683,-0.021285207,-0.019000897,-0.012354992,0.005539977,0.000438745,0.003340596,0.005319225,0.01214527,0.027514793,0.032207747,0.041914959,0.057588263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011364395,0.036807947,0.047546734,0.00795776,0.022276471,0.030619407,0.027546465,0.009533364,0.000926532,0.004037406,0.009826269,-0.004001277,-0.013072924,0.005645679,7.18E-05,0.008431983,-0.004227619,-0.012444965,0.01194945,-0.004679941,-0.005401871,0.000502388,0.005134381,0.005078113,0.002771252,-0.015593791,-0.001510598,-0.015167643,0.003853963,-0.009968944,-0.024674973,0.004022785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017757156,0.028245846,0.025312178,-0.02052815,0.00093141,-0.000295602,0.014855027,-0.001594383,-0.000370767,-0.009252498,-0.003922423,-0.006834189,-0.007386639,0.00893262,-0.000115815,-0.005087062,-0.007171359,-0.005424756,-0.01960539,-0.015703391,-0.00791532,-0.009119051,-0.024515758,0.001461457,-0.032230336,-0.017892552,-0.014974665,0.005767158,-0.007176117,0.010840824,0.00158534,0.010346908,-0.026939702,-0.020310688,0.010796331,0.043272374,0.018816881,0.027380367,0.03317079,0,0,0,0,0,0,0,0,0
7,143.4940789,0,0,0,0,0,0.027351753,0.021898616,0.012389156,0.000259274,0.001479272,-0.014495768,-0.009192656,-0.006796379,-0.012784377,-0.001693013,0.000773792,-0.008207942,-0.009536649,-0.011632867,-0.015792532,-0.035308489,-0.026460506,-0.031568233,-0.019449895,-0.008833039,-0.014556544,0.00264337,0.007933577,0.01385224,0.016529483,0.031437001,0.027210506,0.019974856,0.024278944,0.024718086,0.012839464,-0.009851692,-0.019208527,-0.00528357,0.050384081,0.061457276,0.036141761,-0.003811064,0.005402287,-0.025330709,-0.015541818,-0.009337783,-0.006234151,-0.011356411,0.029823039,0.022318411,0.004742591,0.007200239,0.007321001,0.007326807,-0.015638114,-0.017618341,0.003045409,0.022902532,0.046292209,-0.077753865,0.111685904,-0.022985759,-0.028785375,-0.020633089,-0.064172446,-0.055715095,-0.070828949,-0.050225113,-0.031259081,-0.015998665,-0.011657571,3.84E-05,0.016408909,0.035265565,0.02749807,0.035742172,0.045437925,0.015442815,-0.002114731,0.00045444,0.03257885,-0.02665962,-0.025788167,-0.007225537,-0.036396827,-0.033885707,-0.032020624,-0.046763211,-0.0327637,-0.022822694,-0.022733318,-0.006041422,0.004802748,-0.005453303,0.017540079,-0.014911252,0.048703278,0.028184588,0.061766662,0.059516225,0.08618354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00814403,-0.029603983,0.010245912,-0.028419663,-0.001651794,0.016501902,-0.004450233,-0.003110113,0.009970924,0.011779095,0.001759314,0.001357139,-0.002993421,0.006953885,-9.73E-05,0.003107038,0.025592154,0.014279221,0.012582288,0.022109269,-0.010511648,0.00197319,-0.005768526,0.00031842,-0.01848673,-0.005312939,-0.033135584,-0.027620504,-0.043466064,-0.015459425,-0.023330622,-0.006746478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059493683,0.054799395,0.070635384,0.037755952,0.017885866,0.01979923,0.020567576,0.012550683,-0.002733151,-0.003531398,0.012094708,-0.00403616,-0.003958603,0.013135941,0.009697256,0.009828918,0.013529283,0.017674688,0.002308551,-0.0124028,-0.006376337,-0.010715432,-0.010426205,-0.012917176,-0.027653591,-0.008029303,-0.007057326,0.001198178,-0.023401691,-0.005401612,-0.011982681,-0.017745321,-0.030338813,-0.031979184,0.01269841,-0.001382162,0.001710905,-0.01272157,-0.010864452,0,0,0,0,0,0,0,0,0
8,173.252492,0,0,0,0,0,0.019008171,-0.004467905,0.003784063,0.015990087,0.028592839,0.013704327,0.014660236,0.015331128,0.013750872,0.010243749,0.008617953,-0.010576248,-0.018957973,-0.021920112,-0.031061399,-0.037517567,-0.040997153,-0.041358187,-0.034052603,-0.032044653,-0.025961136,-0.028820267,-0.027635896,-0.017239842,-0.006859832,-0.003827601,0.004569299,-0.002382749,0.008866146,0.018431556,0.012473019,-0.012975095,-0.034394479,-0.014465967,0.072025013,0.083284166,0.045141855,0.020110022,-0.04415232,-0.006962883,-0.032986463,-0.01866465,-0.011696003,0.004294939,-0.008278783,-0.005071251,-0.02214541,-0.017075576,-0.015781056,-0.021673604,-0.015969009,-0.007882551,0.000689766,-0.004015986,-0.007476807,0.015033027,0.006164659,0.02769244,0.003900289,-0.008591178,-0.021296052,-0.026156933,-0.04522335,-0.02664692,-0.01996128,-0.006787155,0.004669624,0.015444101,0.028615355,0.040795452,0.037188357,0.041445162,0.056323854,0.049639456,0.025378575,-0.021257057,0.024834295,-0.007330681,-0.021945814,-0.0204696,-0.021460933,-0.024486188,-0.053167843,-0.037277208,-0.049399062,-0.029508201,-0.0385273,-0.003790892,-0.001071975,0.012561456,0.008778761,0.013444612,-0.000991284,0.041043237,0.040748866,0.017814381,0.042722594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017673883,0.01318872,0.068720593,0.063617351,0.046959293,0.055326076,0.034265404,0.038902565,0.010577863,0.013361902,0.002200323,0.0008116,-0.011846196,-0.002816051,0.001761144,-0.003867371,-0.001192508,-0.026649239,0.003452181,-0.010352857,-0.029786986,-0.035248892,-0.023327304,-0.011766643,-0.008115612,-0.002653945,-0.016183703,-0.003118109,0.008992689,0.002765713,-0.001333661,0.025505523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008036511,0.028820326,0.022034962,-0.013829713,0.007608668,0.005618672,0.010164824,-0.000114864,-0.002273123,-0.007174259,-0.009657586,-0.001653102,-0.007196834,0.005651777,-0.006426116,-0.003554543,-0.003030309,-0.005464456,-0.01166307,-0.007137036,-0.009780519,-0.011468148,-0.031448508,-0.007604433,-0.032599201,-0.023988311,-0.007026383,0.001082371,-0.011047196,0.004793697,-0.006734119,0.019416479,-0.04628858,-0.020350798,0.005587306,-0.013335292,-0.000178042,0.010579548,0.015896909,0,0,0,0,0,0,0,0,0
9,112.5077373,0,0,0,0,0,0.001727321,-0.025252811,-0.011491031,0.00912076,0.021555255,0.010673595,0.006218298,0.01514413,0.007837151,0.011006589,0.009795286,-0.001064445,-0.015565386,-0.026632149,-0.035143059,-0.045003678,-0.040713499,-0.034556712,-0.025230087,-0.020467101,-0.015061702,-0.009860123,-0.007523463,0.003106627,0.009218818,0.014033417,0.024707057,0.011813558,0.021523281,0.032627066,0.020253392,-0.00741147,-0.046169507,-0.019938434,0.060535621,0.094146966,0.048607876,0.00185157,0.003320988,-0.010884543,-0.034569711,-0.024750048,-0.024316045,-0.010109169,-0.009926819,-0.005128912,-0.012337028,-0.016713925,-0.010730604,-0.00060484,-0.003566513,-0.003503616,0.005105036,-0.004590433,-0.00455558,-0.013517767,0.046834676,0.012756863,0.000236421,-0.017845548,-0.035843274,-0.036271525,-0.040062753,-0.02926778,-0.010703876,-0.007939591,0.013485853,0.020317644,0.040919102,0.038060985,0.044987596,0.040654633,0.042769736,0.0295879,0.034861199,0.004607446,0.024668457,-0.025782139,-0.011444247,0.002713004,-0.037520667,-0.058534734,-0.060893766,-0.070192581,-0.061489497,-0.042708188,-0.039141277,-0.027635149,-0.010719055,-0.001509708,0.003116554,0.00347401,0.004965657,0.066294735,0.056039051,0.0495222,0.045719481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005291376,0.002857557,0.074722039,0.044813346,0.029765477,0.021871199,0.02598275,0.017295698,0.01026794,0.012249681,0.003410192,-0.003093111,-0.001464854,0.005796573,0.011337692,0.014752417,0.005591619,-0.012736792,0.005485433,-4.08E-05,-0.00119794,0.011206847,0.004441782,-0.007661034,-0.017265008,-0.020610264,-0.019280888,-0.007723762,-0.00217192,-0.002136267,-0.019211521,0.008603677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060874587,0.049505245,0.042991963,0.013526434,0.015279896,0.015135201,0.023602338,-7.91E-05,0.000703336,-0.008115386,-0.008010615,-0.008969761,-0.004822632,0.003510671,-0.008769165,-0.002548686,-0.012246769,-0.001052705,-0.009027746,-0.024156996,-0.014468514,-0.016371174,-0.029217349,-0.007702459,-0.031751785,-0.0315404,-0.028114489,-0.011250518,-0.019740333,-0.00344079,-0.013486547,0.008382679,-0.038439826,-0.013362458,0.002065826,0.00328947,-0.002099373,0.029690263,0.030621898,0,0,0,0,0,0,0,0,0
10,143.0323702,0,0,0,0,0,0.008610325,-0.007673697,-0.00029263,0.017507616,0.012805701,0.016925612,0.016522567,0.016590922,0.013374611,0.009958039,0.002298923,-0.007293053,-0.018065315,-0.030352272,-0.027927159,-0.037343025,-0.026183177,-0.025900735,-0.008724102,-0.010225121,-0.014522115,-0.00451475,-0.007849635,-0.00262316,-0.004399518,0.009751203,0.002277956,-0.002093397,0.00141663,0.003679187,0.001860706,-0.01130688,-0.022266274,0.002022265,0.060050945,0.067842981,0.047936465,0.019522112,-0.01648228,-0.012576156,-0.017563352,-0.010210985,-0.008980113,-0.005880684,0.013306228,0.009267328,-0.004451063,-0.011775709,-0.016777868,-0.01288841,-0.020033619,-0.019933269,-0.001066826,-0.002020481,0.022917318,-0.028899818,0.037786277,-0.012117776,-0.004138711,-0.013080282,-0.050582895,-0.036632215,-0.053704448,-0.038634772,-0.030347283,-0.005073761,0.00623814,0.011897758,0.024294693,0.03305199,0.03388804,0.04559898,0.056341304,0.05478136,0.03713393,-0.028706822,0.001058203,0.015070747,-0.044906689,0.006152297,-0.027817754,-0.045569144,-0.047947712,-0.065888614,-0.037499503,-0.022857557,-0.015945365,0.001634368,0.003734747,0.01399686,0.005593058,0.014166343,-0.01770328,0.027840659,0.04156732,0.050388941,0.062057182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017643673,0.003139165,0.033590438,0.017609314,0.023223585,0.018211044,0.020761614,0.01515917,0.027468162,0.009524935,-0.001035694,-0.000543124,-0.009938307,-0.006222564,-0.006226576,0.011911433,0.007856427,-0.002141901,0.014433997,0.007866204,-0.005527535,7.49E-05,-0.002500028,-0.007601031,-0.010938181,-0.008281552,-0.005511708,-0.013333465,-0.018793744,0.001792882,-0.014324604,-0.011733691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054783875,0.050556584,0.048647974,0.029201114,0.001927939,0.007652438,-0.002391742,-0.009070235,-0.013461022,-0.008744615,-0.016075743,-0.012922171,-0.006456812,-0.013991147,0.001021033,-0.000721178,0.007702047,0.002600393,0.001743109,-0.016302926,-0.016121067,-0.011593469,-0.018471279,-0.03137337,-0.041241078,-0.01567624,-0.018365365,-0.012922902,-0.0113378,-0.007477041,-0.009162858,0.011512275,-0.016850777,-0.00460292,0.012634671,0.017074758,0.014524093,0.021793979,0.000860666,0,0,0,0,0,0,0,0,0
