Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,-0.115462115,0,0,0,0,0,0.001165553,0.000657801,0.000448521,0.000228718,0.000492455,-4.70E-05,-0.000210062,1.19E-05,-4.84E-05,6.77E-05,0.000223914,0.000396998,0.000479168,0.000484511,0.000640442,0.000443038,0.00038651,0.000618383,0.000310795,0.000290208,0.000384427,0.000423483,0.000383331,0.000458735,0.000463533,0.000177903,0.000721342,0.000213102,0.000387956,0.000645387,0.000302894,-0.000403624,-0.001066093,-0.001695053,-0.001445529,-3.59E-05,0.00074336,-0.000435188,0.001289567,0.000217681,0.000159613,0.000347544,0.000640463,2.73E-05,0.001272735,0.000975467,0.000760948,0.000675027,0.000615347,0.000749099,0.000286674,-0.00037543,0.000237571,6.02E-05,0.000291535,-0.002760002,0.005685134,-0.00137843,-0.001774995,-0.000274711,-0.001460208,-0.000551159,-0.00079435,-0.000858147,-0.000749845,-0.000772903,-0.00049058,-0.000310448,-7.44E-05,-9.10E-05,-0.00045527,-0.000272246,-0.000423477,-0.000825617,-0.001560953,0.000942922,0.001097514,0.000346497,0.000171002,-0.001027199,-0.001388987,-0.000987719,-0.000289501,-0.00059405,-0.000136644,-0.000505721,-0.000169471,-0.000344465,-2.99E-05,0.000473524,0.000761087,0.000572655,0.000687409,0.00040037,0.000749136,-0.001045628,-0.001617313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002866989,-0.001934157,-0.001858957,-0.001548841,-0.001357589,-0.001278474,-0.001025416,-0.000880161,-0.000932494,-0.000583205,-0.00042818,0.00012374,9.10E-05,-8.60E-05,0.000472522,0.000576322,0.00081886,0.000465308,0.001028441,0.001097812,0.001035068,0.001012856,0.000718952,0.000569781,0.000788568,0.000960933,0.000168177,0.000865998,0.000382353,0.000502615,0.000469045,0.000812164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002190651,-0.002094584,-0.001967859,-0.001838684,-0.001365053,-0.000835937,-0.000470709,-0.000311032,7.37E-05,0.000401784,0.000560156,0.000698354,0.000898939,0.001095602,0.000956305,0.001255275,0.001149609,0.001254169,0.000966241,0.001087385,0.000948003,0.000739304,0.000562798,0.000292256,0.000342584,0.000134636,-7.24E-06,0.000347868,-7.92E-06,8.54E-05,-0.000181227,-7.93E-05,1.77E-05,-0.000571063,-0.000936002,-0.00090375,0.000307931,-0.00082754,-0.001610232,0,0,0,0,0,0,0,0,0
2,-4.429119172,0,0,0,0,0,-9.30E-05,0.000389578,-2.97E-05,-0.000294551,-0.000140298,-0.000400181,-0.000181382,1.29E-05,-0.000168505,-0.000146661,0.0002688,0.000817852,0.000986465,0.00113706,0.001112971,0.000673453,0.000372407,0.000346622,8.41E-05,-0.000130339,9.86E-05,0.000173021,0.000143537,0.000239037,0.000203663,0.00015743,0.000638731,4.13E-05,0.000231164,0.000507426,0.000397639,-2.13E-05,-0.000815852,-0.001852792,-0.001005097,0.000888681,0.001406275,-0.000767541,0.000939476,0.000176541,-7.69E-05,0.000162358,0.000227002,-0.000519021,0.001216537,0.001016651,0.000695756,0.000353684,0.000402627,0.000660238,0.00035677,-0.000472802,-0.000124387,-0.000153402,0.000245863,-0.003365259,0.005709637,-0.001004425,-0.000467313,7.73E-05,-0.002157585,-0.001275051,-0.001450789,-0.001226262,-0.000660793,-0.000547465,-0.000230209,0.000631844,0.000894511,0.000598081,0.000981138,0.00108495,0.000971285,0.000454478,-0.000856545,0.00050385,0.001107367,-0.000435536,0.000102958,-0.000150435,-0.001872105,-0.002018491,-0.00151546,-0.001933337,-0.001633962,-0.001749753,-0.001092851,-0.001179577,-0.000531188,-0.000108431,-0.000379865,-9.62E-05,-0.000328764,0.000114724,0.001275473,0.000756962,-7.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001792961,-0.001506671,-0.002698406,-0.00222419,-0.001608988,-0.001312085,-0.001376829,-0.000827572,-0.000225797,-0.00064428,-0.000442796,0.000392376,0.000434983,0.000509368,0.001056865,0.001410323,0.001471156,0.001237447,0.002229274,0.002164058,0.002065298,0.001800039,0.001193652,0.000810808,0.001236287,0.000463949,0.000194511,-2.59E-05,0.00023305,0.000275054,4.69E-05,-0.000442812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001036748,-0.001286023,-0.001007172,-0.000640672,-0.000740533,-0.000614208,-0.000908749,-0.000201353,0.00025131,0.000640313,0.000681492,0.000796736,0.000925051,0.00107115,0.001184296,0.00102922,0.001207512,0.001194078,0.00102361,0.001007765,0.000365283,0.000444635,0.000355006,-0.000421569,-0.000218403,-0.000126456,4.31E-05,-0.000816185,-0.000852763,-0.001028728,-0.000592199,-0.00078471,-0.00098518,-0.001277607,-0.001254516,-0.00060049,-0.00021737,-0.001175393,-0.002038668,0,0,0,0,0,0,0,0,0
3,-2.892799678,0,0,0,0,0,-0.000946126,0.000442218,-7.76E-05,-0.000129286,-0.00023538,-0.000843666,-0.000468049,-0.000712697,-0.000437542,-0.000661967,-0.000577322,-2.03E-05,0.000368152,0.000477541,0.000494442,0.000416647,0.000485541,0.00101566,0.000862918,0.001161996,0.001054048,0.00102593,0.000999018,0.000863452,0.001290556,0.001325582,0.001583781,0.000673603,0.001092003,0.001234917,0.000971579,0.000840109,-0.000124051,-0.00130783,-0.001404403,-0.000502251,0.00102619,-0.001631773,-0.001654405,8.06E-05,0.000136605,0.000180101,0.000759441,-0.000232074,0.001834184,0.001888019,0.001165899,0.001080613,0.001244671,0.00119874,0.00043452,-0.000764903,-0.000165293,0.000133746,0.000734283,-0.004150704,0.0083929,-0.001008229,-0.001672413,-0.000167312,-0.002702548,-0.002277754,-0.001861346,-0.001778101,-0.001631259,-0.001137956,-0.000312304,0.000176805,0.000808949,0.000217856,0.000600547,0.001084778,0.001458957,0.000985269,-0.0019005,-0.000745398,0.002168481,0.0014556,0.000126896,-0.001283375,-0.002124946,-0.002301279,-0.000976782,-0.001798159,-0.001217368,-0.001287151,-0.001153885,-0.000673895,-0.000642015,9.12E-05,-0.000513959,0.000242428,0.000258424,-0.000127179,0.002689758,0.001718408,0.001987197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002642425,-0.00246531,-0.003711185,-0.003711553,-0.001662397,-0.00160643,-0.001138323,-0.000416973,0.000418945,-0.000537117,0.000485502,0.000463972,0.000573955,0.000709277,0.000625489,0.001179725,0.000861414,0.000720124,0.000981438,0.001091123,0.001778528,0.000491334,-0.000245192,0.000518738,0.000604323,0.000553328,0.00048021,0.00010232,0.001694846,-0.000488562,-0.000357992,-0.001136948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001653948,-0.001060998,-0.001959581,-0.001364371,-0.001116085,-0.000430222,-0.000556853,-0.000164408,0.000565566,0.000536764,0.000983887,0.000878622,0.001620617,0.001034102,0.001270669,0.001411944,0.00107655,0.000877894,0.000927378,0.001082891,0.000392033,0.000274432,0.000557664,-0.000701728,-0.000393286,-0.000122262,0.000132605,-0.0006323,0.000238426,-0.000384227,-0.000493377,-0.000787349,-0.000832895,-0.000135248,-0.000883256,0.000279344,-2.04E-05,-0.00166158,-0.000829559,0,0,0,0,0,0,0,0,0
4,-3.933839756,0,0,0,0,0,0.000703336,0.000839021,0.000488644,0.000486561,0.000616939,0.000132639,0.000117307,2.00E-05,-7.70E-05,8.13E-05,0.00028234,0.000503143,0.000602363,0.000607249,0.00052195,0.000630528,0.00037853,0.000413563,0.000351946,0.000495846,0.000522741,0.000385109,0.000371529,0.00034287,0.00032067,0.000133256,0.000418219,0.000220721,0.00018479,0.000183713,0.000173418,-0.000180339,-0.001354624,-0.002314099,-0.001631807,0.000148041,0.001198264,0.000416432,0.001686338,0.000215459,0.000312966,0.000465661,0.000311465,0.00044629,0.000824686,0.000487116,0.000161027,0.000188476,-1.12E-06,-0.000192427,-0.000359709,-0.001085212,-0.000722803,-0.001017321,-0.001340905,-0.002442076,0.003484579,-0.000622656,0.000377472,0.000448129,-0.000659111,-0.000208374,-0.000572718,-0.000465301,-0.000574311,-0.000407963,-0.000307166,-4.16E-05,0.000108863,-0.000122732,3.05E-05,8.63E-05,0.000103483,0.000222319,0.000797387,0.001339748,-0.001225624,-0.000215684,-0.000187398,0.000215342,-0.000304006,-0.000772086,-0.00070615,-0.000822794,-0.00101176,-0.001213949,-0.000958835,-0.000451785,-0.000204791,0.000194304,5.61E-05,0.000244555,0.000581348,0.000332274,0.000796817,0.001121415,0.001094276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002001516,-0.002390003,-0.002271437,-0.001786656,-0.001394292,-0.001295948,-0.001310259,-0.000940749,-0.000812029,-0.000639853,-0.000564012,-0.000368378,-6.86E-05,7.95E-05,0.000508577,0.000229415,0.000195082,0.000367813,0.000910115,0.000999298,0.00106914,0.000854589,0.000719399,0.000612303,0.000467651,0.0002132,2.18E-05,-0.000426465,-0.0001457,0.00018941,0.000345995,0.000139184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001163097,-0.001059899,-0.000939917,-0.000909119,-0.000615043,-0.000294501,-0.000297804,-0.000120708,-1.23E-05,0.000347305,0.000381194,0.000847703,0.000904792,0.000657652,0.00090963,0.001197803,0.000960939,0.001034769,0.000967348,0.000908443,0.000911301,0.000430318,0.000775802,0.00026697,0.000361812,0.000255255,0.000205124,0.000444194,-0.000123197,-0.000119925,0.000277307,0.000137685,0.000455716,-7.80E-05,0.000254074,0.000496563,0.000483791,-6.51E-06,-3.37E-05,0,0,0,0,0,0,0,0,0
5,-0.025054393,0,0,0,0,0,-0.001277238,-0.00025688,-0.000273219,-8.64E-05,7.68E-05,1.82E-06,0.000148226,0.000273772,0.000471138,0.000409159,0.000509498,0.000582141,0.000549852,0.000463087,0.000213147,-3.75E-05,-0.000151738,-0.000103818,-0.000175898,-0.00010456,3.68E-05,0.000163072,0.000213825,0.000293007,0.000595968,0.000444104,0.000842326,0.000534958,0.000737964,0.000837343,0.000782299,0.000124766,-0.001176596,-0.001755346,-0.000969746,0.000447797,0.001150687,0.000451238,2.79E-05,0.000290117,6.15E-05,0.000264162,0.000356411,3.17E-05,0.000275916,0.000136979,7.02E-07,4.17E-05,6.18E-05,-0.00013709,-0.000118309,-0.000354323,-6.82E-05,4.49E-05,-0.00016118,-0.000494291,0.002241418,0.000367544,0.000166681,0.000539753,-0.000196134,-4.84E-05,-7.83E-05,0.000224081,9.97E-05,0.000266208,0.000200695,0.000523736,0.000413679,0.000213432,0.00033753,0.000326167,0.00041129,0.000272435,-0.000297656,4.48E-05,0.000973723,-0.000190641,-0.000255248,-0.001160087,-0.001255967,-0.00090129,-0.000849295,-0.001114456,-0.000987057,-0.001030172,-0.001150995,-0.001038555,-0.001248124,-0.001017384,-0.001321014,-0.001242356,-0.00131737,-0.000746711,0.000389191,-0.000293439,-0.000680081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000772907,-0.000783002,-0.001621629,-0.001514072,-0.001410638,-0.001304539,-0.001222069,-0.000653525,-0.000460937,-0.000391452,-0.000126888,1.36E-05,-1.42E-05,0.000373632,0.00057337,0.001075121,0.001161815,0.000849575,0.001202303,0.001653885,0.001751843,0.001492026,0.001179968,0.001139932,0.001249259,0.000968137,0.000580288,0.00043305,0.000888884,0.000328698,0.000304723,0.000119518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001655272,-0.001317471,-0.001411962,-0.001213374,-0.001181406,-0.000729322,-0.000754707,-0.00044256,-4.35E-05,0.000175356,0.000329516,0.000655525,0.00070559,0.000651794,0.000778543,0.000950035,0.000914354,0.000697839,0.000937569,0.000671738,0.000751753,0.000442873,0.000700138,0.000169113,-2.80E-05,0.000239924,0.000252452,-0.000227554,-0.000437523,-0.000421113,-0.000470551,-0.00062383,-0.000573864,-0.000932525,-0.001171745,-0.001172907,-0.00074157,-0.001358327,-0.000919701,0,0,0,0,0,0,0,0,0
6,-2.803851408,0,0,0,0,0,0.000140543,0.000535547,0.000233735,0.000284468,0.000350698,7.51E-05,0.000112621,4.07E-05,3.35E-05,0.000131452,0.000214159,0.000441879,0.000561552,0.000623503,0.000709196,0.000507427,0.000414787,0.000352143,0.000190795,0.000242099,0.000218122,0.000193868,0.000129559,0.000163325,0.000180683,8.72E-05,0.000108629,-5.38E-05,-3.40E-05,0.00010159,-0.000104671,-0.00076714,-0.001745246,-0.002410537,-0.001184837,0.000636852,0.001601948,0.000429817,0.001315316,0.000434086,0.000331045,0.000478718,0.000333417,-4.35E-05,0.000788553,0.000527432,0.000193958,0.000129144,6.54E-05,-6.89E-05,-0.000230751,-0.000938845,-0.00060319,-0.000565229,-0.00069427,-0.002321492,0.003686766,-0.000686166,1.84E-05,-0.000324009,-0.001064145,-0.000613869,-0.000952937,-0.000854931,-0.000662637,-0.000378088,-0.0001429,0.00035651,0.00055065,0.000396723,0.000391087,0.000432972,0.000371951,0.000229539,0.000734109,0.000990046,-0.000187469,-0.00034787,-0.000279661,0.000617591,-0.000659829,-0.001206387,-0.001039928,-0.001362908,-0.001208252,-0.001286389,-0.000955775,-0.000656165,-0.000222592,4.64E-05,0.000124386,9.08E-05,0.000265648,-3.95E-05,0.000481219,6.52E-05,-0.000350278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001416058,-0.001849338,-0.002391901,-0.002063814,-0.001685043,-0.001693749,-0.001752088,-0.00132267,-0.000743065,-0.000776214,-0.000675676,-0.000164047,-6.00E-05,8.23E-05,0.000516864,0.00082958,0.000730362,0.000824729,0.001301215,0.001730635,0.001846857,0.001506837,0.001328517,0.001280217,0.001262137,0.000926371,0.000580957,0.000240871,0.000420116,0.000596056,0.000630708,0.000511234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001266214,-0.001462755,-0.001325131,-0.001058939,-0.001060748,-0.000760795,-0.000612112,-0.00036308,-0.00010482,0.000127332,0.000244259,0.000586286,0.000721098,0.000458679,0.000748883,0.000926801,0.000740691,0.000949874,0.000745139,0.000931737,0.000582917,0.000443786,0.00046545,0.000296303,-3.19E-05,0.000181262,2.17E-06,2.97E-05,-0.000275971,-0.000412707,-6.15E-05,3.86E-05,7.79E-05,-0.00040587,-0.000576538,-0.000280375,-1.52E-05,-0.000334054,-0.001122519,0,0,0,0,0,0,0,0,0
7,-3.291441533,0,0,0,0,0,-0.001998988,-0.000354083,-0.000857823,-0.000932922,-0.000882781,-0.001288355,-0.000716785,-0.00079457,-0.000419758,-0.000292694,-0.000117808,0.000654035,0.001055509,0.001372586,0.001101768,0.000652695,0.00017752,0.000152842,2.04E-05,5.97E-05,0.000174526,0.000254421,0.000591973,0.000697678,0.00095746,0.001174413,0.001935723,0.00128797,0.001779848,0.002178751,0.002228743,0.001360008,-0.000533693,-0.002469252,-0.001129429,0.000803429,0.001783279,-0.000284915,0.000795643,0.000557727,-1.55E-05,0.000190568,0.000476595,-9.94E-05,0.001023261,0.000750489,0.000226229,-8.78E-05,-0.000145106,0.000199886,7.09E-05,-0.000774482,-0.000518767,-0.000316235,-0.00095668,-0.00306864,0.006184646,-0.001227424,-0.000446441,-0.000622861,-0.002884632,-0.001820835,-0.002271539,-0.002068459,-0.001474394,-0.000911654,-0.000536115,0.000422521,0.001085967,0.001182045,0.001267395,0.00108798,0.001012381,0.001423081,0.000938673,-0.000326783,3.28E-05,-0.000540893,0.000900872,0.001061514,-2.94E-07,-0.000918056,-0.000926448,-0.00091986,-0.001120223,-0.001330057,-0.000911653,-0.000461508,-0.000628564,0.000621587,-0.000337212,0.000507617,-0.000747488,0.000119789,0.001077277,0.001358061,0.000917838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003266186,-0.00277126,-0.004314059,-0.001539233,-0.001862802,-0.000975701,-0.001707853,-0.000931314,-0.000457955,-0.000465064,-0.00046004,-6.66E-05,0.000270327,0.00029284,0.000879834,0.000508404,0.00127699,0.000721428,0.001690818,0.001311003,0.001382634,0.000710359,0.000882762,0.000388013,0.000716519,0.000218852,0.000571968,-0.000652656,0.000205169,-0.00063628,0.0005036,-0.000652776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001152805,-0.001490631,-0.001435901,-0.000996087,-0.000906449,-0.000324902,-0.00025935,0.000290087,0.000547831,0.000735396,0.001019291,0.001189686,0.001195014,0.001535408,0.001265481,0.001146543,0.001388664,0.001353461,0.001309468,0.00089055,-0.000288678,-1.58E-05,9.23E-05,-0.00046171,-0.000295464,-0.000422327,-0.00014436,0.000190398,-0.000677743,-0.001420073,-0.000167226,0.000224844,-0.000813481,-0.001195096,-0.000527609,-0.000842051,0.0005113,-0.00035792,-0.000382975,0,0,0,0,0,0,0,0,0
8,-1.494137361,0,0,0,0,0,-0.001732757,-0.000459674,-0.000498306,-0.000333943,-0.000176714,-0.000490388,-0.000279735,-0.00014499,-0.000195319,-0.000176971,-0.000150361,0.000518095,0.000886561,0.001094909,0.000902771,0.000947318,0.000801033,0.000978247,0.000835376,0.000905346,0.00091213,0.000930449,0.000894111,0.000908502,0.000946384,0.001148986,0.001312484,0.000798092,0.001144958,0.00136265,0.001174775,0.001117788,-0.000592082,-0.002634409,-0.002453164,-0.000610796,0.000523355,-0.001066045,-0.002029952,0.000165704,0.000144179,0.000305711,0.000675592,0.000179406,0.00141032,0.000977653,0.000786131,0.000488184,0.000538789,0.000673724,0.000364174,-0.000313111,-2.24E-05,0.000247655,0.000474087,-0.00137353,0.004838145,-0.001299664,-0.001029759,-0.000582466,-0.002607738,-0.001535366,-0.001545297,-0.001253233,-0.001224202,-0.000240443,0.000382578,0.000596419,0.000879034,0.00080867,0.001142236,0.001203541,0.001328791,0.001118178,-0.001308955,-0.000834913,0.001730961,-0.000202217,0.000377068,0.000537263,-0.000834319,-0.001211688,-0.000139834,-5.45E-05,0.000132951,-1.29E-05,-0.000521051,-0.000392541,-0.001042317,-0.000375352,-0.001606865,-0.000345939,-0.002169412,-0.001036369,0.000868308,-0.000255455,-8.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00167516,-0.001635283,-0.002968981,-0.002091914,-0.001723138,-0.001629245,-0.001562591,-0.000911745,-0.000423102,-0.000875007,-0.00014808,-0.000249651,0.0002381,0.000240437,8.69E-05,0.000813337,0.000649114,0.000390014,0.000739367,0.000978209,0.001040261,0.000853564,0.000252186,0.001122941,0.001269422,0.001301488,0.001099548,0.000791254,0.001559438,0.000539025,0.000714691,-0.00015232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001849362,-0.001510318,-0.001877458,-0.001894189,-0.001218006,-0.0009343,-0.000450941,-4.53E-05,0.000315982,0.000505604,0.000943197,0.001043061,0.001172334,0.001194849,0.000648241,0.0007074,0.000966369,0.000305818,0.000808647,0.000811805,9.67E-06,0.000130988,0.000331501,9.75E-05,0.000317461,0.000543166,0.000951358,-0.000227675,0.000734712,-4.86E-05,-0.000172058,-5.88E-05,-0.000748104,-0.000315894,-0.001247909,-0.000418323,0.000873547,-0.001095348,-0.000623869,0,0,0,0,0,0,0,0,0
9,0.395729847,0,0,0,0,0,0.000466301,0.000799786,0.000496748,0.00046204,0.000444547,-2.22E-06,6.77E-05,-5.95E-05,-0.000291916,-0.000315802,-0.000318267,-7.85E-05,-7.01E-05,-9.78E-05,3.35E-05,-0.000145222,-0.00015164,-2.37E-05,8.48E-06,5.52E-05,0.000126088,0.000138688,0.000165637,0.000174771,0.000388009,0.000358441,0.000791603,0.000286421,0.000579124,0.000698619,0.000723844,0.00037467,-0.000171723,-0.000670523,-0.0009835,-0.000175452,0.00039124,-0.000440791,7.42E-06,0.000104415,0.000229207,0.000446365,0.0005327,0.000269159,0.001383424,0.000657258,0.000580262,0.000277205,-0.000120805,0.000243873,-0.000497982,-0.001112294,-0.000794036,-0.000552835,-0.000549088,-0.002430345,0.003675798,0.000266707,-0.000300426,0.000813928,-0.001019148,-0.000537564,-0.000559761,-0.000356131,-0.000221828,-0.000186756,-3.70E-05,0.00033691,0.000485695,0.000194462,1.69E-05,0.000417632,0.000804091,0.000691088,-0.000372851,0.001291564,0.000758928,-0.000258246,0.000576351,-0.000506087,-0.000670183,-0.000306922,7.27E-05,0.000158092,3.21E-05,-0.000284625,-0.000425045,-0.001071338,-0.000988679,-0.001124784,-0.001663159,-0.001120112,-0.001344302,-0.00105177,-9.59E-05,-0.000245577,-0.000491402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001849834,-0.002086791,-0.002364304,-0.00221858,-0.001621579,-0.00162971,-0.001197049,-0.000583493,-0.000554817,-0.000367114,2.99E-05,0.000266587,0.000221963,0.000135848,0.000548525,0.000258957,0.000673235,0.000256165,0.001016953,0.000569862,0.000643832,0.000231621,0.000363097,0.000586313,0.001506029,0.001250323,0.001312473,0.001709971,0.001733588,0.000846838,0.000942369,0.000829388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001819125,-0.001805965,-0.001719607,-0.000800889,-0.000325709,-0.000713816,-0.000663014,-0.000316156,0.000219631,-0.000161481,0.000416353,0.000103737,0.000208295,0.000841524,0.000747211,0.00045868,0.000606757,0.00038471,0.000544512,0.000293849,6.16E-05,-0.000528647,7.81E-05,0.000180806,0.00029365,0.000777972,0.000915,0.000510156,0.000916974,0.000569627,6.02E-05,-7.97E-05,-0.000682867,0.000216932,-0.000261355,5.96E-05,0.000268823,-0.000666877,-0.001331956,0,0,0,0,0,0,0,0,0
10,-3.902993204,0,0,0,0,0,-0.00070858,-0.000152778,-0.000646152,-0.000442957,-0.000317154,-0.000797102,-0.000842232,-0.000620415,-0.000556433,-0.000426718,-0.000104652,0.000488842,0.000512898,0.000441005,0.000355883,0.00026577,4.35E-06,0.000383486,0.000327653,0.000494496,0.000575112,0.000656866,0.000832018,0.000873233,0.001004915,0.001099293,0.00142341,0.000725223,0.000964187,0.001252813,0.001314235,0.000867731,-0.000419579,-0.002276728,-0.001643511,0.000380893,0.001423943,-0.000711117,0.00237758,0.000659787,1.85E-05,1.11E-05,0.000283437,-0.000371225,0.000986222,0.000910116,0.000656522,0.000447586,0.000403576,0.000391469,0.00031356,-0.000656066,-0.000361569,-0.000442314,-0.000619611,-0.003611029,0.005352569,-0.001387246,-2.16E-05,-0.000529479,-0.002503283,-0.002101135,-0.002520798,-0.002067845,-0.00167763,-0.0012075,-0.000422018,0.000208764,0.00057682,0.001213948,0.001428889,0.001389663,0.001114179,0.00073362,7.16E-05,0.000620687,0.001326433,-0.000873563,0.000309557,0.001044256,-0.000988114,-0.002041434,-0.001741135,-0.002106491,-0.001487715,-0.001108991,-0.000602031,-0.000401793,0.000206751,0.000724199,0.001314403,0.001189249,0.000962801,0.001212206,0.001583638,0.000658011,0.000765978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003208231,-0.002431962,-0.003480408,-0.00204611,-0.001381509,-0.001313077,-0.00145515,-0.001274174,-0.000787366,-0.001041942,-0.001008627,-0.000614037,4.29E-05,-0.000293462,0.000181877,0.00038293,0.000184921,0.000416452,0.00090752,0.000907642,0.001319068,0.001039409,0.000573729,0.00062435,0.000744867,0.000653966,0.000585253,0.000619164,0.000604543,0.000379639,0.000363272,0.000403007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000213849,-0.000805852,-0.000664196,-0.000540297,-0.000221419,-0.000882672,-0.000949391,-0.00079288,-0.000318799,-0.000249711,-0.00012714,0.000223138,0.000563313,0.000278194,0.00024285,0.000665103,0.000542049,0.000434515,0.00057594,0.000351774,9.86E-05,-0.000147576,-0.000317985,-0.000155421,-0.000289017,-0.000242107,-3.26E-05,-7.63E-05,0.00028212,-8.04E-05,-8.78E-05,6.37E-05,0.000765058,0.000490632,0.000334328,0.0008492,0.001337045,0.00025048,0.000784152,0,0,0,0,0,0,0,0,0
