Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,36.8761982,0,0,0,0,0,0.008012002,0.00848202,0.007266723,0.007107879,0.001829117,0.00441869,0.004037429,0.003103626,0.00231313,0.00257663,0.003273744,0.002015792,0.000210432,-0.001607613,-0.005716624,-0.006243877,-0.00802951,-0.008504686,-0.00762227,-0.007486205,-0.007076237,-0.007249511,-0.005934293,-0.006005447,-0.006174108,-0.007026572,-0.005891565,-0.007055718,-0.004724083,-0.00551485,-0.010132458,-0.009278733,-0.01284579,-0.005301765,0.008492452,0.013989748,0.008289267,0.007455234,-0.002043135,-0.004773463,-0.003972513,0.000533197,-0.002095019,0.003602235,-0.005827223,-0.002113905,-0.005893868,-0.004234171,-0.002356099,-0.002436553,-0.002050638,0.005365116,0.001163578,0.003297424,0.001236324,0.010240587,-0.002117349,0.000191807,0.001739063,-0.006690631,-0.004188332,-0.009560115,-0.01192303,-0.008512488,-0.006210528,-0.001892723,0.000179051,0.005840618,0.003839651,0.007866094,0.011405153,0.011193925,0.013815227,0.012743698,0.006054386,-0.010835045,0.001719957,-0.002629164,-0.000916156,-0.005945937,-0.004355927,-0.006418783,-0.01154027,-0.012143418,-0.0121904,-0.011627144,-0.008606424,-0.003265121,-0.003428076,-0.000221165,0.001032091,0.00414817,0.001814314,0.004236868,0.004141425,0.010214359,0.012727583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001342992,0.004260385,0.011440156,0.020359403,0.01711332,0.01850209,0.011462253,0.014327837,0.002226475,0.007555558,-0.001851491,-0.004916387,-0.002728594,-0.000108363,-0.00282863,-0.003266432,-0.001116611,-0.003697324,-0.000399599,-0.000786786,-0.004827614,-0.005486099,-0.002665221,-0.004828291,0.001000941,-0.00148132,-0.002096198,-0.002883101,-0.001252494,0.000963334,-0.00057218,0.004185729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001042982,0.004611963,-2.65E-05,-0.009732517,-0.015157405,-0.004334908,-0.000647991,-0.004490718,-0.005944435,-0.002844114,-0.002661465,0.001197017,0.000855418,0.001561945,-0.000810125,0.008881537,0.006595855,0.008220198,0.00847485,0.010064232,0.007328346,0.009504737,-0.000779237,-0.000323024,-0.005268258,-0.005306372,-0.006460636,-0.006240891,-0.006168765,-0.007175968,-0.003152438,-0.006180618,0.001274488,-0.000885389,0.000704288,-0.002749307,0.00206298,0.009555972,0.015042091,0,0,0,0,0,0,0,0,0
2,38.04557178,0,0,0,0,0,0.002411556,0.003393699,0.005466057,0.010461071,0.005578742,0.007414939,0.004954309,0.006586357,0.004307011,0.003533368,0.004796583,0.004384501,-0.00045503,-0.004059507,-0.004376887,-0.007825708,-0.00647723,-0.008813879,-0.00723327,-0.007262964,-0.007491005,-0.007611254,-0.006997659,-0.00644888,-0.005946935,-0.004968381,-0.006007613,-0.007031389,-0.004764568,-0.003004091,-0.006472205,-0.008659963,-0.013364417,-0.010269234,0.006230122,0.01776988,0.015251459,0.009958326,-0.007131628,-0.00627829,-0.004305427,-0.003444998,-0.003203053,0.000744672,-0.00482694,-0.00157505,-0.003328616,-0.001196786,-0.002150031,-0.003157628,-0.002045877,0.002889721,0.0016193,0.003634008,0.001835346,0.009353018,-0.004431181,-0.001953045,0.000662433,-0.003302305,-0.006176163,-0.007956492,-0.012583004,-0.007035018,-0.00742504,-0.002687247,0.001280995,0.002389676,0.004158381,0.011081479,0.009409869,0.012689687,0.017461352,0.014919969,0.007210887,-0.013656138,-0.001158574,-0.004257122,-0.008428902,0.003470808,-0.002682201,-0.009793221,-0.0148436,-0.014461352,-0.010469977,-0.009386846,-0.006100287,-0.005595041,-0.004738741,-0.001975077,0.002652468,0.002035733,0.004608639,0.014175487,0.005552112,0.011690139,0.008312258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001888953,-0.00152616,0.019318101,0.014871633,0.01600118,0.012452776,0.008291395,0.007874462,0.001535228,0.00246115,-0.002271175,-0.009084264,-0.007157287,-0.005448866,-0.004916075,-0.006167264,-0.006686597,-0.003853849,-0.004025634,-0.00398557,-0.004587149,-0.005764682,-0.007724644,0.001150228,0.003928302,0.005199128,0.008470397,0.0077052,0.006726527,0.005368822,0.00327437,0.00493013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002285465,0.0087354,0.001491564,-0.013691879,-0.009374777,0.003328009,0.001240751,-0.003698635,-0.004314577,-0.003654424,-0.004092572,0.000512359,-0.004051096,0.000194707,-0.003900234,0.002407867,0.00040237,0.00485907,0.005635912,0.006640428,0.005071255,0.005494173,-0.002174548,0.001500876,-0.002365744,-0.005374205,-0.001974218,0.005793302,0.000392673,0.003554955,-0.004141856,0.00149945,-0.006202988,0.004417278,-0.001265279,-0.007506897,-0.006451958,0.00901897,0.011273625,0,0,0,0,0,0,0,0,0
3,33.36207319,0,0,0,0,0,0.012796451,0.01041938,0.007421061,0.005718789,0.001184102,-0.000800795,-0.001802493,0.000845086,0.001051047,0.00213846,0.004319265,0.005878265,0.002342054,-0.000224558,-0.00221017,-0.007569228,-0.007945451,-0.009891564,-0.009537216,-0.007794764,-0.007929088,-0.007784926,-0.007705766,-0.006458712,-0.006815903,-0.004849597,-0.005633238,-0.006861991,-0.004247658,-0.003771997,-0.00671924,-0.007917005,-0.016240044,-0.016961842,0.004703683,0.018554288,0.016727456,0.014777684,-0.000742993,0.004320864,0.001721384,0.003493414,-0.000473952,0.000804995,-0.004795047,-0.005172051,-0.008637835,-0.00585423,-0.00673372,-0.006896913,-0.005808238,-0.000683445,0.003348174,0.004486052,0.005192701,0.012893514,0.000931957,0.000373184,-0.010660963,-0.007930845,-0.010635643,-0.014044669,-0.016703817,-0.011614097,-0.009659182,-0.005986566,0.0002054,0.001893726,0.005230325,0.010450714,0.012625194,0.012619668,0.015102095,0.011820723,0.004158163,-0.013343626,-0.002971517,-0.002430887,-0.008992148,-0.002676761,-0.005310684,-0.006627708,-0.011551665,-0.012378035,-0.010418976,-0.009659833,-0.002459382,-0.002026723,0.004015292,0.006159112,0.015571596,0.007284196,0.012029023,0.016238362,0.01143434,0.004445558,0.002545103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017321903,-0.006840368,0.008819113,0.011201323,0.019101311,0.013665871,0.011947975,0.008617506,0.00181534,0.004964263,0.000602053,-0.00218377,-0.005390473,-0.003878073,-0.004237858,-0.002199389,-0.005612669,-0.005740774,-0.006860593,-0.006158093,-0.008059538,-0.006392512,-0.006573349,-0.001079465,0.001389745,-0.001910108,-0.002281891,0.000937651,0.003420414,-0.002948597,-0.001568182,0.002623893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022196,0.00754425,0.00027013,-0.009710982,-0.007444373,0.000118353,0.004613432,-8.02E-05,0.003123516,0.00165006,-0.000568467,0.003719843,-0.000262852,0.002199017,-0.003207471,0.00551867,0.002771487,0.004907472,0.009263332,0.004402981,0.003713586,0.006246021,-0.00032727,0.005384846,-0.00065363,-0.001431253,0.000523632,0.00579711,0.000225708,0.002228004,0.001658828,0.004953559,0.000894133,0.002769389,0.004867477,-0.002740285,0.002374835,0.007089034,0.017104015,0,0,0,0,0,0,0,0,0
4,43.32918813,0,0,0,0,0,0.01050098,0.00976306,0.00748528,0.003794957,0.001314399,0.004849815,0.001246411,0.004626727,0.004461625,0.005462592,0.002512559,0.00107427,-0.004037126,-0.007775502,-0.008000039,-0.011605,-0.010412846,-0.009024639,-0.007595136,-0.007106968,-0.006979944,-0.004858117,-0.004290427,-0.003796208,-0.002864245,0.002408347,-0.000224712,0.000969211,0.001737909,0.002046353,0.001562291,-0.004439651,-0.014764183,-0.017189236,0.004366402,0.01810384,0.015903536,0.015534368,-0.005403339,-0.000574502,0.000238467,-0.000417637,-0.003954728,-0.003090678,-0.006286739,-0.006331703,-0.00471808,-0.005170674,-0.006691377,-0.004556086,-0.000902266,0.005184138,0.001369082,0.002492079,0.005270748,0.017256678,-0.017400725,-0.000892462,-0.001968879,-0.007437248,-0.006536267,-0.009428964,-0.014657296,-0.007952116,-0.005590878,-0.006360116,0.000937195,0.002449673,0.005845462,0.012488296,0.011588171,0.0107567,0.011906342,0.010610923,0.011168716,-0.016022846,-0.009680672,-0.008178892,-0.001519127,0.006822745,0.005052994,1.90E-05,-0.009499905,-0.005173168,-0.009218436,-0.00718036,-0.000606476,-0.000158017,0.004820029,0.005565901,0.015745301,0.007031533,0.003857967,0.004001843,-0.004476518,0.002624269,-7.97E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015507256,-0.014071329,0.006139849,0.00478183,0.012760045,0.006972153,0.00470413,-0.001096468,-0.003043698,-0.002394495,-0.006168135,-0.002496454,-0.0086082,-0.010903369,-0.008897056,-0.00604723,-0.00955705,-0.00540741,-0.003033767,-0.001335878,-0.003441084,-0.006236973,-0.003426113,0.005680497,0.009648985,0.006383468,0.004742813,0.002899337,0.001206107,0.004567396,0.004998232,0.011372215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010217027,0.010134865,0.004928575,-0.005952715,-0.005022778,-0.002957484,0.000573697,-0.002933575,-0.001033679,-0.006076168,-0.004731958,-0.001631503,-0.00270686,0.001624565,-0.007070995,-0.003219741,-0.000884606,0.004094674,0.005586489,0.001885468,0.001128912,0.000895905,0.001485767,-0.000767206,0.002383983,-0.00259141,0.00087323,0.002610133,0.002110971,0.005682454,0.006816811,0.006547651,-0.000666279,0.006863126,0.006351818,0.005167734,0.014569688,0.012053498,0.016392411,0,0,0,0,0,0,0,0,0
5,40.7627414,0,0,0,0,0,0.010209652,0.011252526,0.009718435,0.007775894,0.005963955,0.006263761,0.006964385,0.005543267,0.003317985,0.003735707,0.002224647,0.002013681,-0.000599527,-0.002346108,-0.003518469,-0.007190571,-0.0071769,-0.009130593,-0.008808326,-0.010477985,-0.009481067,-0.007696096,-0.007168435,-0.008109287,-0.006396667,-0.006736303,-0.007150657,-0.008289908,-0.006271342,-0.007304964,-0.007587941,-0.008997207,-0.013478665,-0.00945867,0.008584688,0.017306266,0.008997129,0.002485539,0.001338148,-0.005343802,-0.007346747,-0.003970344,-9.56E-05,0.000464003,-0.002154324,0.00045558,-0.000744645,-0.000118001,-0.00218001,-0.000866718,-0.00245974,0.004982956,0.003208445,0.00953052,0.006723504,0.012308122,-0.008741708,-0.000494994,0.003045348,-0.003243605,-0.004625759,-0.00808031,-0.012034121,-0.005676053,-0.004525569,-0.00306799,-0.001083771,0.0019313,0.002108473,0.010462302,0.009332827,0.010507689,0.014548749,0.014334256,0.006325388,-0.014479966,-0.001243273,-0.008318993,-0.001829096,-0.007170001,-0.005774566,-0.005692391,-0.013455439,-0.014161526,-0.015256606,-0.013228932,-0.009376048,-0.004832234,-0.004958073,-0.00170568,0.006020172,-0.001804825,0.000337805,0.00297211,0.008796696,0.005620913,0.003631202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003789417,-0.001611123,0.00957612,0.015199596,0.01393169,0.015064739,0.009023572,0.007393321,0.006309598,0.003001452,0.00203456,-0.002060648,-0.001797052,-0.001321224,0.00176281,-0.000943058,0.001564546,0.001927746,0.001593102,0.007747108,-0.001346331,-0.001676305,-0.00180606,0.000441386,0.003387184,0.000771537,-0.002015291,0.000936427,-0.005941971,-0.00124175,0.001234225,0.003553821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007224068,0.005602859,0.006816772,-0.004333776,-0.005959029,0.00099176,-0.000379735,-0.00414294,-0.001862622,-0.003835012,-0.002508802,-0.001761409,-0.000414221,0.002881655,-0.001548345,0.001572965,0.002161308,0.005216482,0.003724467,0.003133045,0.005552535,0.002814412,0.001304531,-0.003182443,-0.004213763,-0.002354712,-0.005334651,-0.005420822,-0.001484276,-0.000905881,-0.000503965,-0.000979014,-0.002036955,0.000542326,0.001744624,-0.003764113,0.002080473,0.008758002,0.001001098,0,0,0,0,0,0,0,0,0
6,45.67772072,0,0,0,0,0,0.00140691,0.003912042,0.006586376,0.010363142,0.007689113,0.008566204,0.006433839,0.006184064,0.007450705,0.005582113,0.003979361,0.000477279,-0.004796285,-0.009385078,-0.010761162,-0.013489183,-0.01230516,-0.011177648,-0.009152124,-0.008967888,-0.008587733,-0.006813591,-0.006001031,-0.006023629,-0.004671043,-0.00316837,-0.003076224,-0.004336826,-0.001427119,-0.000252436,-0.001633707,-0.003511477,-0.009177307,-0.009043975,0.007384731,0.018128261,0.012944623,0.00776089,-0.010901056,-0.00427547,-0.006557911,-0.003183252,-0.004806978,-0.003351708,-0.001821384,-0.000901779,-0.000944667,-0.001172002,9.82E-05,0.00104164,0.003020969,0.009140353,0.006345767,0.012014865,0.014653371,0.018563114,-0.007243294,-0.006642576,-0.006757994,-0.008989122,-0.008560485,-0.012357743,-0.015435388,-0.010912034,-0.009413659,-0.006170276,-7.52E-05,0.002780684,0.002213696,0.011703041,0.011761982,0.011427848,0.011897625,0.007914541,-0.001522347,-0.0194241,-0.003420242,-0.000149298,-0.010216276,0.000672819,-0.000779091,-0.006701161,-0.01268508,-0.013479764,-0.011023926,-0.009715657,-0.004285913,-0.001732334,0.003714485,0.0076595,0.012754745,0.01063173,0.010345767,0.004837221,-0.002777227,0.003424059,0.002090845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009426675,0.015041545,0.014550168,0.022073627,0.018078013,0.014166099,0.010714552,0.010081103,0.000819943,0.002585904,0.000235668,-0.002351296,-0.005242394,-0.005799766,-0.005260185,-0.003389177,-0.005985843,-0.007631346,-0.001454363,-0.005722169,-0.005855722,-0.007416201,-0.005900893,0.001331171,0.002925578,0.002369674,0.004833341,0.001283106,0.001039597,0.004145195,0.004298253,0.010437018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004727794,0.001231545,-0.002420749,-0.011903373,-0.012202692,-0.007751691,-0.003475351,-0.005625928,-0.005624663,-0.006900691,-0.005925285,-0.003507332,-0.001492119,-0.000789068,-0.001592777,0.00110081,-0.001100359,0.007608388,0.005987676,0.009227412,0.006522274,0.004310811,0.001219799,0.00186761,-0.004369241,-0.003047835,0.001546097,-0.000623864,0.002292264,3.48E-05,0.002687792,0.000771789,-0.001524721,0.004918158,-0.002204493,0.004734301,0.001855904,0.00301143,0.002327622,0,0,0,0,0,0,0,0,0
7,40.73003153,0,0,0,0,0,0.002212649,0.008655264,0.006994336,0.007145628,0.005433086,0.009107978,0.005735427,0.007238993,0.005244128,0.005378786,0.002133153,0.001270141,-0.002115467,-0.003850489,-0.007016722,-0.009654211,-0.010862695,-0.014253714,-0.011502358,-0.011263426,-0.011494216,-0.010917284,-0.009688617,-0.008240682,-0.005412552,-0.003241439,-0.001617466,-0.003006937,-8.33E-05,0.002186551,-0.000151078,-0.006535539,-0.016341118,-0.015107238,0.007800781,0.024498106,0.020659528,0.014080986,-0.004219591,-0.004574542,-0.00827787,-0.005166923,-0.003454413,-0.000728241,-0.003456967,-0.004377197,-0.004987837,-0.000775503,-0.005243702,-0.002473101,-0.002335569,0.003650119,0.004004017,0.005132982,0.004034755,0.015306892,-0.00726823,-0.005643725,0.001004696,-0.004764611,-0.007332146,-0.010244198,-0.016302276,-0.010068605,-0.010525196,-0.006730832,-0.002938447,0.000200656,-0.000810292,0.007436916,0.008890022,0.012636356,0.017587796,0.016117214,0.005519328,-0.017650121,-0.000752456,-0.00752697,-0.009855002,-0.004356091,0.001713531,-0.002672148,-0.006999437,-0.005224338,-0.005780733,-0.003815509,0.000385995,-0.001359896,-0.001459269,0.003154752,0.001789289,0.00499529,0.00503695,0.012803876,0.008532229,0.007750643,0.011673756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004743909,0.000537193,0.007996206,0.015186219,0.010620516,0.01121401,0.007928079,0.006131354,0.000479082,0.001937023,-0.003329933,-0.007152912,-0.006069365,-0.004524482,-0.006684019,-0.006901884,-0.005650113,-0.006589189,-0.002657619,-0.004418384,-0.007467876,-0.01038918,-0.008938807,-0.0040859,0.004170359,0.003009548,0.005609611,0.003412179,0.004101643,0.006609039,0.00069572,0.005314284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000798992,0.00600338,0.001008116,-0.009044244,-0.005642332,0.004463452,0.002034279,0.000124516,-0.000877022,-0.000872512,-0.003069781,0.001975227,-0.001637286,-0.000883373,-0.000771539,0.00200377,-0.000291301,0.003045694,0.002715778,0.006118235,0.004693658,0.005683498,-0.001437165,0.00259091,0.00017599,-0.003255697,0.00034966,0.005641533,0.002169111,0.006082568,-0.003093148,-0.000893821,-0.002153466,0.002757365,-0.003245793,-0.006269575,-0.003565728,0.004240337,0.009892894,0,0,0,0,0,0,0,0,0
8,30.53400689,0,0,0,0,0,-0.000533549,-0.002644921,0.002844827,0.006792777,0.005620809,0.010281732,0.009382555,0.007593033,0.00717141,0.006728114,0.003404805,0.000757597,-0.003790421,-0.007593823,-0.008185115,-0.010662933,-0.008591079,-0.008830913,-0.006646533,-0.006415725,-0.007160709,-0.005971534,-0.005273528,-0.007151249,-0.004912193,-0.001584853,-0.004109382,-0.004587295,-0.001660446,-0.001345418,-0.002238517,-0.005031896,-0.011337858,-0.009336798,0.002861635,0.009316075,0.010127669,0.012833809,0.009885715,0.006396768,0.001819189,0.000563965,0.000528155,0.003271778,-0.003051328,-0.000227455,-0.003438431,-0.004520327,-0.004190787,-0.003991313,-0.003611095,0.002372544,-0.003211831,0.003304085,-0.000942782,0.00846703,-0.00744984,-0.000763964,0.004423503,-0.008826084,-0.010607019,-0.014340948,-0.020793823,-0.014311165,-0.011235982,-0.00638467,0.001283033,-0.001680949,-0.000462699,0.007820396,0.012067571,0.010729749,0.012929713,0.013757808,0.009293963,-0.003279839,-0.001869861,-0.00603183,-0.007667825,-0.002038117,-0.007005588,-0.010525705,-0.011920692,-0.013371377,-0.011421952,-0.007106095,-0.004179269,0.004161317,0.003321177,0.007392544,0.014511483,0.008082075,0.002497656,0.011620089,0.005202972,0.009283577,0.011704028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002900292,0.00623574,0.015213019,0.017769324,0.015241859,0.011893846,0.006356753,0.005142852,0.004452422,0.001265633,-0.001429729,-0.001183206,-0.003141274,-0.004772966,-0.00476885,-0.004008396,-0.002146252,-0.002906032,-0.00507607,-0.005605809,-0.0060409,-0.006916183,-0.00535044,0.001596379,0.003948394,-0.001570245,0.005057003,0.001097141,0.000241565,6.02E-05,-0.000592546,-0.000912601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008308634,0.009845155,0.006379221,-0.002308215,-0.002995421,-0.000881397,0.001770445,-0.002559968,-0.003759487,-0.001075984,-0.005083262,-0.002857824,0.002527874,0.000510323,-0.001446246,-0.001526565,0.000636477,0.003471766,0.002995456,0.002591414,0.002681918,0.003575535,0.001812827,0.002339914,-0.001033805,-0.001159313,0.000619881,-0.003958184,0.000874872,-9.33E-05,0.001631495,0.000269584,-0.005317259,0.0031538,0.001983149,0.000712115,0.001620619,0.005201817,0.008191835,0,0,0,0,0,0,0,0,0
9,32.92198624,0,0,0,0,0,0.001136514,0.004825039,0.005735943,0.00974626,0.011224519,0.008904071,0.00670749,0.004452583,0.003279296,0.000872457,-0.000167274,-0.001360421,-0.002938594,-0.004971024,-0.004543967,-0.008041657,-0.004282336,-0.005116759,-0.003668773,-0.004118247,-0.00443156,-0.003488657,-0.004472401,-0.004409183,-0.006214112,-0.005714422,-0.005560814,-0.005359348,-0.004536975,-0.004376887,-0.007445834,-0.005187441,-0.010572243,-0.014396527,0.003199279,0.018554736,0.013060811,0.007448937,-0.023677657,-0.004932623,-0.00294515,0.001947661,0.002103687,0.005424328,0.002039746,0.001666737,0.000885905,0.002108794,-0.002421707,-0.001951453,-0.002361121,-0.000507267,0.003400724,0.002616245,0.003734967,0.016012727,-0.011365615,-0.008442936,0.001803402,-0.000345896,-0.005849839,-0.010887401,-0.015635358,-0.011599481,-0.012865023,-0.005216558,-0.003917367,-0.000478788,-0.00152487,0.008951098,0.011055983,0.012818278,0.016735572,0.015681376,0.01131869,-0.015787758,-0.004863559,-0.007066398,-0.003957926,0.00154824,0.001238052,-0.002985212,-0.00846841,-0.00892623,-0.008540721,-0.005568923,-0.002205593,-5.77E-05,0.002908123,0.00625198,0.005768194,0.007793568,0.000370634,-0.000992758,0.006530281,0.007345318,0.000891091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003967544,0.002505226,0.0149635,0.017098822,0.01825811,0.009924369,0.00522558,0.002524889,-0.004636118,0.00029456,-0.00436819,-0.005701149,-0.00624627,-0.005501189,-0.004445968,-0.006083748,-0.005139309,-0.00861731,-0.00557966,-0.004941875,-0.007296452,-0.006063254,-0.006428841,0.002059771,0.008631873,0.005648515,0.003846573,0.00067479,-0.002009389,0.00603425,0.002309141,0.011198273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000469012,0.001241321,-0.000668411,-0.014741367,-0.013939222,-0.00749979,-0.001116691,-0.00399748,-0.005170971,-0.004862834,-0.00413666,-0.000641704,-0.003725802,0.002514248,0.000589149,0.001639904,0.000476061,0.008366637,0.005075965,0.007929596,0.006894933,0.007739839,0.000642921,0.005538615,7.48E-05,0.000309662,0.001435881,0.003072297,0.004668571,0.001781893,0.002776391,0.000691416,-0.002171512,0.0036805,0.00321652,0.005029818,0.000770902,0.011176892,0.014741906,0,0,0,0,0,0,0,0,0
10,34.31837624,0,0,0,0,0,-0.016766162,-0.00675597,0.001047544,0.008310604,0.012651229,0.017459707,0.013945461,0.011275004,0.009844039,0.007847004,0.000172615,-0.000437245,-0.002667034,-0.003806552,-0.005274318,-0.006465248,-0.004008251,-0.003210239,-4.69E-06,-0.002456879,-0.002859928,-0.003238355,-0.00266641,-0.006167657,-0.00640369,-0.007560803,-0.009955604,-0.009035423,-0.008845101,-0.010713917,-0.010513085,-0.008346389,-0.01443825,-0.008396402,0.004172536,0.013856548,0.002812584,0.002865755,-0.002549501,0.002641905,-0.008280107,-0.002371204,-0.000788572,0.001199016,-0.002531494,0.004414697,4.60E-05,-0.000310646,0.002254821,-0.000222188,-0.002064123,0.007749436,0.004973275,0.00483172,0.002244359,0.010154219,-0.013639822,-0.005584418,0.002594245,-0.005026878,-0.002559535,-0.010002626,-0.017824773,-0.015746509,-0.006917034,-0.004517399,0.000393527,-0.003571625,-0.003031137,0.007765071,0.008045017,0.010090881,0.013858142,0.015179218,0.010019146,-0.009933678,-0.005700107,-0.006013069,-0.006418483,0.006318079,-0.00319792,-0.007090584,-0.016909029,-0.013696357,-0.01428833,-0.015123297,-0.008205636,0.003489568,-0.000577461,0.01095977,0.012658941,0.009625028,0.00979533,0.017033818,0.018836347,0.005410202,-0.000135749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087571,0.006630437,0.008884643,0.01820383,0.022061862,0.017491105,0.012371861,0.011351481,0.003739572,0.002946458,0.000986313,-0.002880843,-0.001370237,-0.007243751,-0.002439481,-0.008568557,0.001247307,-0.004709875,-0.005718547,-0.002702435,-0.008743743,-0.005417144,-0.006288482,-0.001595068,0.001281726,-0.006235153,-0.002468153,0.001065995,0.006657052,0.000193432,-0.005508465,0.002703508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01068369,0.00054995,0.003663188,-0.004033864,-0.003884781,-0.007925927,-0.000582882,-0.010538341,-0.010091151,-0.007374393,-0.008495291,-0.005750348,-0.002513671,-0.002786816,0.000503163,-0.000184063,0.006595268,0.003546978,0.006273103,0.01161092,0.007454224,0.009731572,0.007064943,0.005481635,5.68E-05,0.000340482,-0.000502137,0.001597907,0.001441876,-0.004534262,0.002680706,0.000433537,-0.001351155,-0.00965595,-0.002002391,-0.003256398,-0.005120109,-0.000450318,-0.000688802,0,0,0,0,0,0,0,0,0
