Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,28.64526862,0,0,0,0,0,0.02489901,0.005795581,0.000156416,-0.005605543,-0.011134112,-0.007808837,-0.007732891,-0.003976031,-0.004500598,-0.000622237,-0.00348101,0.005587806,0.003396187,0.00059681,-0.003031222,-0.004469622,-0.002263813,-0.004119255,-0.00099346,0.000736207,0.001479873,0.001825168,2.24E-05,0.002302527,-0.003802964,0.003725864,0.001419488,0.004690199,0.002622845,0.001450786,-0.00039393,0.002329452,-0.020969881,-0.037248305,-0.011581781,0.021100059,0.036711852,0.026848746,-0.01009369,-0.000591417,-0.004082094,-0.002374351,-0.004775764,-0.002716378,-0.004498958,-0.004852461,-0.007376789,0.000272895,-0.00040832,-0.002813242,-0.004734652,0.006255917,0.009343298,0.003661006,-0.005145189,0.009495693,-0.006746858,-0.022434396,-0.008785082,-0.008564892,-0.000781174,0.000454308,-0.006461079,-0.008202482,-0.010973019,-0.004239255,0.002131924,-0.003002182,0.003287575,0.005638293,0.010837176,0.010456807,0.011014462,0.014336513,0.006707932,-0.009483571,-0.009340263,0.001590014,0.004136672,0.013118899,0.011783058,0.011226527,-0.002885402,-0.010195374,-0.014214254,-0.020768353,-0.012847255,-0.002822939,-0.002067696,0.006678229,0.014927138,0.010200836,0.002338684,0.004845765,0.010313449,-0.01106764,-0.011359692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005027475,0.000257404,0.014128097,0.019417346,0.020740741,0.018533657,0.016060901,0.013790135,0.003389427,0.007178372,-0.001990493,0.003195386,-0.002535652,-0.004475137,-0.006398458,-0.00094715,-0.006318821,-0.006175205,-0.009231002,-0.009342473,-0.019155933,-0.017342931,-0.001208403,0.003233657,0.003801285,0.007483756,-0.004104381,-0.015733622,0.007440326,0.005370591,0.006288524,0.012373108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002523524,0.004052521,-0.005775866,-0.014066697,-0.019242871,-0.006116973,0.004331963,-0.003602356,-0.006005106,-0.000950422,-0.001482905,0.001409096,-0.005426722,-0.005338683,-0.004308947,0.006466199,0.004929351,0.006300794,0.014074615,0.005200401,0.008973902,0.01164808,0.012653918,-0.005416918,7.60E-05,0.00080932,0.00388464,0.001269585,-0.012680587,-0.011011706,-0.004358464,-0.002280706,-0.008212649,1.40E-05,-0.008771043,-0.004477031,-0.00768335,0.012657024,0.017027006,0,0,0,0,0,0,0,0,0
2,18.85169055,0,0,0,0,0,-0.007648392,-0.001849579,-0.00323343,0.002966183,0.010145487,0.012974986,0.004947768,0.009395695,0.003511505,0.00935002,0.003023606,0.002561447,-0.001833927,-0.004689532,-0.007887212,-0.011759356,-0.007105186,-0.006231372,-0.003616772,-0.002152056,0.00039293,-0.000169936,-0.001013681,-0.001250011,-0.001803415,0.001205125,-0.001184893,-0.003334625,0.000232701,-0.004279254,-0.006764666,-0.007658287,-0.018079175,-0.021660696,0.004865344,0.024404263,0.021272388,0.004589468,-0.026169127,-0.004124266,-0.004598896,0.001545388,-0.003722374,0.007129684,-0.000662182,0.002756345,-1.56E-05,-0.001123303,0.001927332,-0.000178809,0.000956842,0.006612061,0.00395779,0.002581159,-0.005833089,0.010660081,-0.013062197,0.011219456,0.005292027,-0.005173447,-0.005870367,-0.00895385,-0.009819117,-0.007851355,-0.010223611,-0.005221057,-0.00354667,-0.001145308,0.000872838,0.006538447,0.005411166,0.004751528,0.005099837,0.002393388,0.008364019,-0.002437213,-0.011229401,-0.005589466,0.003257509,-0.003551305,0.001379019,0.002315084,-0.004029197,-0.006225694,-0.007080419,-0.011343547,-0.00988663,0.000137614,0.00233899,0.005827935,0.011632602,0.005853285,0.000435148,0.004848923,0.02067451,-0.002692336,0.002354311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007949089,0.004415653,0.015249624,0.006332655,0.013495305,0.00338946,0.003871989,0.00747556,-4.22E-05,-0.000112994,0.001872421,-0.002683231,-0.00544897,0.000727316,-0.004800684,-0.000156954,-0.004670223,-0.002659476,-0.012079318,-0.005599302,-0.009679098,-0.012213647,-0.00326053,0.008141012,0.010036122,0.004349423,0.00042777,-0.007174951,-0.003073556,0.001124334,-2.75E-05,0.008159574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.93E-06,-0.004374095,-0.004689489,-0.006445663,-0.008324328,-0.006907069,0.005722989,-0.000778224,-0.003210441,0.001569282,-0.000650581,-0.000984013,-0.005052266,0.00166611,0.001585145,0.004345812,0.00503872,0.00568959,0.004257738,0.007588628,0.008919602,0.006230832,0.002372128,0.00271396,-0.000646917,0.00714247,0.008562502,0.00602977,-0.003782609,-0.005450982,0.001311674,-0.00529882,0.001266506,0.001387157,-0.002145855,-0.006507646,-0.00801455,0.002339357,0.006998744,0,0,0,0,0,0,0,0,0
3,18.56995338,0,0,0,0,0,-0.011676172,-0.008236388,-0.004604046,-0.000743056,2.88E-05,0.011089942,0.006674819,0.010048307,0.008590443,0.009371551,0.010501923,0.003855598,-0.000372234,-0.004500161,-0.007376482,-0.011874214,-0.007789403,-0.002838575,-0.002717935,-0.001016593,0.00359032,0.005014911,0.003840763,0.004709846,0.002816787,0.002242696,0.007146993,0.005178669,0.006426342,0.004518442,0.001676188,-0.010536664,-0.029107165,-0.030827309,-0.005429499,0.025544322,0.03318751,0.028044451,-0.010410683,-0.007959645,-0.004661448,-0.003491402,-0.005049524,-0.002270495,-0.005867104,-0.001825415,-0.006208477,-0.004795644,-0.003877618,-0.007432827,-0.004104486,-0.001425779,0.001945052,0.004336932,0.000831503,0.00226744,-0.01239125,-0.007298956,-0.002801098,0.004706582,0.002953389,0.004471598,0.001462251,0.001304282,-0.001865365,-0.003821263,-0.000230396,-0.001361585,0.00306583,0.005706112,0.010826631,0.011622367,0.012793748,0.01139397,0.009739066,-0.01494238,-0.015093039,0.005382177,-0.008827694,-0.001104083,0.003298975,0.001791451,-0.004673129,-0.007670805,-0.005925718,-0.014748778,-0.015741899,-0.008077842,0.002031863,0.001867676,0.007522487,0.001347447,0.010604584,-0.008512477,0.015965458,0.000468773,-0.004025402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001634463,-0.008772023,0.014695653,0.000929014,0.010780209,0.007813179,0.005561721,0.001391596,-0.00016423,0.001009376,0.001532835,6.99E-05,-0.008063095,-0.002396527,-0.001048851,-0.006295655,-0.001419371,0.003373843,-0.000816442,-0.002119264,-0.003536208,-0.003224086,-0.001027079,0.000458653,0.006820204,0.008263108,-0.008998807,-0.004391149,-0.001499067,0.003175218,-0.003599273,0.014779123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001815725,0.008786747,-0.000217881,-0.023371436,-0.01497522,-0.001375941,0.004006525,-0.002775835,0.000543706,-0.000421968,-0.002999291,0.000812745,-0.004676053,-6.67E-05,-0.000693501,0.003848392,0.004248958,0.010153947,0.004746446,0.004366024,0.008976098,0.016903117,0.005442101,-0.000646173,0.001295377,0.005455605,-0.003318333,0.002281882,-0.00578548,-0.007197786,-0.001790898,-0.00287646,-0.005061382,9.90E-05,-0.00793893,0.00145286,-0.018388506,0.004536484,0.016203394,0,0,0,0,0,0,0,0,0
4,20.9390315,0,0,0,0,0,0.002435596,-0.003000887,-0.00134338,-0.002740334,0.004211882,0.006995932,0.002122013,0.00329908,0.000448444,0.005281791,0.002980348,0.007318319,0.006469148,0.008875795,0.010197428,0.005925367,0.002901959,-0.000914385,-0.002872557,0.002578491,-0.002017272,-0.003805884,-0.002491021,-0.005607776,-0.005854324,-0.009901394,-0.010099613,-0.010272141,-0.009300219,-0.011487372,-0.015039478,-0.014979529,-0.019995796,-0.020347285,-0.005138971,0.011887232,0.015689853,0.018154895,-0.02363025,-0.000950641,0.007974527,0.009970492,0.003240728,0.001702246,0.002096239,-0.004173207,-0.003110783,-0.001447594,-0.004370592,-0.005179674,-0.008209851,-0.001743257,-0.001632621,0.005567474,0.002112274,0.007744292,-0.013522879,-0.005498016,-0.002429879,0.005125997,0.000308068,-0.000197751,-0.003327862,0.000449432,-0.002501218,-0.002053694,0.004823886,0.001176823,-0.004298952,-0.004209987,0.000649498,0.00667605,0.016479675,0.007657828,3.04E-05,0.00283809,0.001295653,-0.006487498,-0.015498384,-0.005276872,-0.000942239,-0.001614655,-0.007954386,-0.004756774,-0.014403989,-0.015537628,-0.00978037,-0.001808498,0.00107685,0.001320194,-0.001751644,0.007044014,-0.001730171,0.006823567,0.015662616,0.009123638,0.013310147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002456782,0.008038482,0.013771562,0.015697295,0.017062964,0.010969638,0.004755677,0.008109628,0.005150358,0.003664911,-0.000335342,-0.006720638,-0.008368793,-0.006547279,-0.006053112,-0.002986477,-0.006808763,-0.007196407,-0.000441391,-0.000290006,-0.002427668,-0.005579363,0.000222539,-0.001559334,0.002080228,-0.005086609,0.000142526,-0.010618856,0.009187622,0.000719564,-0.01241785,6.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004518063,0.00056202,-0.006511519,-0.023148599,-0.013535725,-0.002001038,0.002877414,-0.00233316,-0.002175484,0.001841567,-0.001507694,0.005449387,0.003189585,0.00397094,0.00167528,0.011166775,0.002707684,0.01206466,0.01368483,0.026695276,0.016586674,0.014286,0.007952332,0.008236222,0.000614666,-0.005723965,-0.007569215,0.003475153,-0.008622617,0.000624767,-0.00068304,0.002879536,-0.008971113,-0.00253254,-0.003133617,-0.01060864,-0.001352127,7.83E-05,0.012436407,0,0,0,0,0,0,0,0,0
5,23.79314529,0,0,0,0,0,0.006630792,-0.002727831,0.001559782,0.006927433,0.005640447,0.010990677,0.005450551,0.006723442,0.004738247,0.006749556,0.005829888,-0.000250104,-0.010668837,-0.016633591,-0.01671432,-0.021274044,-0.009987837,-0.008316682,-0.001764985,0.003054165,0.004014977,0.000852616,0.003355799,0.000351247,0.001021186,0.002912716,-0.001789353,-0.002544622,-0.003556817,-0.003505667,-0.00510124,0.008031688,-0.004454649,-0.019452251,0.008298332,0.010277975,0.011396574,0.019823623,-0.012986949,-0.001433694,-0.000628533,0.004391596,0.000979584,0.006031007,0.004479357,0.000632439,-0.001639226,0.001961549,-0.003908988,-0.007553541,-0.002541837,0.000671476,0.007331856,-0.007010077,-0.008145645,0.005590317,-0.012674603,-0.006285501,0.004208451,-0.006107456,-0.003494766,-0.000586126,-0.002461563,-0.002442032,-0.003593504,-0.001874543,0.011486973,-0.004979139,0.000919445,0.001110544,0.010842617,0.007918398,0.006781447,0.00142655,-0.006206746,-0.003315016,-0.014797257,-0.002375,-0.010406565,0.00626019,-0.000632178,0.004746071,-0.008283224,-0.006176439,-0.014441757,-0.016109777,-0.017319001,0.001878126,0.002205886,0.014707743,0.017123836,0.016980231,0.012767473,-0.005460022,0.000556645,-0.009148171,0.024269329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003585742,0.000327971,0.006437963,-0.00239586,0.00747387,0.008460716,-0.001130108,0.003385273,0.0032841,-0.000295095,0.001379341,0.009655151,-0.00051272,-0.000868649,0.004729694,0.003725662,-0.000455724,-0.005596596,0.000159666,-0.001949594,-0.012701787,-0.004712796,-0.005400909,0.003864083,0.005769282,0.006667244,0.000751668,-0.028585743,-0.006288618,-0.006206539,-0.015818074,-0.007380176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007420357,-0.000484769,-0.0049346,-0.029400088,-0.029801959,-0.01343742,0.000973942,-0.005274492,-0.006427221,-0.00679681,-0.007871084,-0.008220348,-0.001472716,0.000956095,-0.001351259,0.002633373,0.000661765,0.020363511,0.018006117,0.015329672,0.017255493,0.023172117,0.010022673,0.010182665,0.004974234,0.004774409,0.003257792,-0.003518358,-0.001697326,-0.00628951,0.011142288,0.006826043,0.002112373,-0.003569939,0.00678033,0.015296025,-0.003125488,0.016544186,0.030805561,0,0,0,0,0,0,0,0,0
6,23.88745995,0,0,0,0,0,-0.009629391,0.001450879,0.001174053,0.004188555,0.005396934,0.01067428,0.007854104,0.007673293,0.010247567,0.012465744,0.009857293,0.009469039,0.000325577,-0.005897515,-0.009812496,-0.0104581,-0.008645413,-0.00411017,-0.001111205,0.002843071,0.002149324,0.000607126,0.000990639,-0.000703978,-0.001565439,-0.000584075,-0.001191539,-0.000572856,5.38E-05,-0.003963091,-0.008860114,-0.014122816,-0.029031179,-0.023156664,0.008299022,0.02726518,0.024256969,0.009920063,-0.035813009,-0.008977659,-0.010840567,-0.004842482,-0.007349757,-0.00038026,0.002166856,-0.000251926,0.005609421,0.008514473,0.00110086,0.002401228,0.00424644,0.009097979,0.010197327,-0.001165542,-0.001168437,0.011020539,-0.015416456,-0.002672053,0.003395263,-0.002109772,-0.000224609,0.001178568,-0.001061661,0.001841077,-0.004078197,-0.00729595,0.002009387,-0.000660943,-0.00024898,-0.000505434,0.001734013,0.007820573,0.015876945,0.006392677,0.008709124,-0.011382703,-0.01108947,0.004288521,-0.012585353,0.00692807,0.007056233,0.000510251,-0.00608919,-0.008661895,-0.014314249,-0.01882337,-0.01460732,0.001271725,-0.001944135,0.000363594,0.001751382,0.00620103,-0.012572911,0.001951885,0.021743067,-0.007993684,-0.002858211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022401304,-0.005850926,0.001003505,0.002642497,0.007702808,0.011179333,0.013776601,0.012798217,0.006619187,0.004122955,0.00011472,0.002519904,0.003220985,-0.000681707,0.002040987,-0.000709048,-0.000497188,-0.000651405,0.001027158,0.000880571,-0.005369104,-0.011371058,-0.003258725,0.000458515,0.002344689,0.005626721,0.003483212,-0.005565722,-0.006061849,0.004790154,-0.003026232,0.012761118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001622511,-0.002358567,-0.004847546,-0.0098246,-0.013602404,-0.006451673,0.007019203,-0.002058836,0.000426655,-0.003815392,-0.000562825,-0.001989632,-0.002969398,0.003862368,0.002267162,0.014655475,0.002063353,0.005957104,0.010747974,0.016150356,0.011756322,0.009407534,0.013698923,-0.001440833,0.006779068,-0.000295249,-0.002013402,0.001318513,-0.00626625,-0.005701418,-0.002361901,-0.006467011,-0.009533232,-0.01048258,-0.004249382,-0.009251395,-0.005760337,0.007646826,0.004097271,0,0,0,0,0,0,0,0,0
7,26.80082531,0,0,0,0,0,0.002466055,0.000310653,-0.000823714,0.00348157,0.002740397,0.013955674,0.010367995,0.012333353,0.006968825,0.009605871,0.004070275,0.000215344,-0.007654505,-0.014173717,-0.015242542,-0.01840765,-0.012251195,-0.009091366,-0.0051468,-0.002631228,-0.002627244,-0.001552591,-0.000656917,-0.000113451,0.00123968,0.001526307,0.004288248,0.00147138,0.005429266,0.0038984,-0.000268822,-0.004416572,-0.021034694,-0.016942465,0.001767905,0.024120582,0.025456593,0.026041032,-0.010179832,-0.008283033,-0.004408774,-0.004647675,-0.004140869,-0.000457217,-0.00534844,-0.01008867,-0.005991565,-0.002436985,-0.002746903,-0.002258785,0.000616867,0.010276708,0.001806253,0.006794868,0.008458852,0.015927291,-0.019995665,-0.007602125,-0.007569188,-0.007331067,0.003501574,0.000498233,0.001382348,0.000761596,-0.005855103,-0.002155768,0.002197126,-0.001407015,-0.000961481,-0.001513546,0.004467653,0.006227998,0.011023732,0.008191452,0.000213715,-0.019940939,-0.006025547,0.001356217,-0.002700242,-0.003721523,0.0020824,0.00462826,-0.006053013,-0.007077021,-0.012716653,-0.012961325,-0.010494088,-0.003736037,0.002462592,0.001535441,0.004442338,0.002909743,0.006729058,0.004128014,0.012794704,0.015317718,0.002145727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012886139,-0.010246319,0.010046262,0.005725151,0.013062731,0.008976876,0.002627969,0.002841392,0.006867283,0.002267837,-0.003026585,-0.003387638,-0.006582406,-0.005375464,-0.004166391,-0.002851117,-0.001675637,-0.003190927,0.000633694,0.002819142,-0.000345771,-0.004380808,0.000692607,0.001838058,0.0040755,-0.003746905,-0.002755186,-0.010984224,0.006873761,0.003149618,-0.001709825,0.001240158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002090681,0.004367973,0.001732306,-0.008984519,-0.010352446,-0.00547415,0.000331158,-0.005957982,-0.004360008,-0.001021471,-0.002189031,-0.001713523,0.003037158,0.001376048,0.002842598,0.009589438,0.005211875,0.008665727,0.008774902,0.011571396,0.012092877,0.013088221,0.011487941,0.006763921,0.002835262,-0.000944989,0.004221829,-0.003918827,-0.007190046,-0.004385421,-0.003740951,-0.001268657,-0.006189888,-0.006536868,-0.007833566,-0.010556131,-0.006839376,0.003626253,0.000374361,0,0,0,0,0,0,0,0,0
8,28.17595213,0,0,0,0,0,-0.004263268,0.002753701,0.00309956,0.006918495,0.013826777,0.00684154,0.004449965,0.005582246,0.003203782,0.006993271,0.004327874,0.000365341,-0.006052815,-0.01124324,-0.010410459,-0.013894371,-0.01244358,-0.008194644,-0.006367524,-0.005524136,-0.003162054,-0.00340228,-0.001465805,-0.001334348,-9.82E-05,0.00087556,0.000651709,0.001190242,0.001710822,0.000659781,-0.000541794,0.002454286,-0.009497117,-0.016460892,0.003183608,0.017537071,0.019126511,0.005599237,-0.020732863,0.000412303,-0.007775191,-0.003621993,-0.00373867,-0.00154365,0.000321042,-0.001060974,0.003916104,0.004948611,0.003248716,0.002289544,0.005358091,0.011742291,0.008291239,0.002224413,0.003833167,0.013216497,-0.014863961,-0.005972394,-0.003414309,-0.012249586,-0.002181868,-0.002956509,-0.010873411,-0.004698653,-0.00728205,-0.005302009,-0.0013515,-0.000820801,0.000174568,0.004737813,0.005348357,0.003949057,0.003075753,0.001429511,0.004045347,-0.006558075,-0.011548926,0.00551024,-0.001558009,0.008537152,0.008461039,0.004239553,-0.008952073,-0.005993395,-0.013551033,-0.014479415,-0.009437095,-0.000824488,0.002849974,0.004004301,0.008057801,0.007904447,0.013007396,0.011135154,0.005321597,-0.000714582,-0.00845137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002136155,-0.001051335,0.011824237,0.013162206,0.007704906,0.009853408,0.004480125,0.002745304,-0.00388329,0.001436158,-0.003562962,-0.003545112,-0.00694152,-0.003921693,-0.005312283,-0.002378383,-0.003744978,-0.006142746,-0.001175009,-0.000748797,-0.009241074,-0.005642021,-0.002127372,0.002353929,0.007515247,0.004948166,-0.00628319,-0.00715847,-0.00376484,0.005566818,0.011128849,0.015793075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004630346,0.00554303,0.003952162,-0.012899553,-0.012743079,-0.002228665,-0.000236365,-0.001185756,-0.002132072,-0.004010038,0.000436076,-0.000440284,-0.003709417,0.001819371,0.00052683,0.00250044,0.000180332,0.010021097,0.00908282,0.011349394,0.006263714,0.012344155,0.010806639,-0.002614201,0.004645382,-0.003804254,0.00113459,0.003265339,-0.008438975,-0.005382283,0.002385086,-0.002692244,-0.003913987,-0.008600821,-0.004335272,-0.010562571,-0.009361952,0.004468498,0.005567031,0,0,0,0,0,0,0,0,0
9,28.51700822,0,0,0,0,0,0.00310269,-0.001008642,0.004089943,0.004130313,0.004720445,0.007607836,0.005106653,0.005572331,0.001563729,0.005431517,-0.000811405,0.001058804,-0.004482635,-0.007545144,-0.009038841,-0.006754923,-0.004621983,-0.002616248,0.000918009,0.004610334,0.00386501,0.002425447,0.00176495,0.002221023,0.000832524,-0.006023366,-0.00372456,-0.000587004,-0.002871638,-0.003182083,-0.004398428,0.000533454,-0.013900882,-0.022428747,-0.00066569,0.018461981,0.017930191,0.016245687,-0.025555183,-0.013008323,-0.007866031,-0.004533572,0.003044476,0.003525739,-0.002194845,-0.003560996,0.000779677,0.009460603,0.003344315,0.002578852,0.003157468,0.01265862,0.009223938,0.003628999,0.001617617,0.013278598,-0.017621424,-0.016100111,-0.001166374,0.004601393,0.000743145,0.002697685,-0.006710578,-0.003693912,-0.012384985,-0.008208468,-0.003850975,-0.008944096,-0.00848432,-0.00066188,0.006656353,0.010785832,0.016180102,0.011610831,-0.005165781,-0.01663201,-0.002448543,0.000482338,-0.003342857,-0.0042693,0.012056821,0.01057261,-0.001875353,-0.002773852,-0.01254166,-0.011008276,-0.009606981,0.002451326,0.003060975,0.001511006,0.008466736,0.006796195,-0.004069866,-0.005301721,0.006933093,0.002899545,0.01068887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003802883,-0.00901425,0.003040732,0.015132505,0.009215342,0.01218614,0.008673982,0.000392541,-0.002730609,0.001293216,-0.00628163,-0.008857138,-0.009460277,-0.009754146,-0.008726504,-0.004807087,-0.004743071,0.002370049,0.003882301,0.005692846,-0.004261986,-0.006876846,-0.005168711,0.004533321,0.001110996,0.00064598,-0.002185851,-0.012993269,0.015183454,0.001028181,-0.001616685,0.000554115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001801163,0.004944941,-0.001161794,-0.024499,-0.014289907,-0.005637962,0.001004126,-0.001956112,-0.003303333,-0.00236963,-0.003133537,0.001806504,-0.002695845,0.002597285,-0.002674709,0.008606967,0.006974794,0.011524208,0.013258674,0.019205228,0.021368708,0.017718502,0.008047237,0.00415234,0.004945829,-0.001107317,0.000986026,-0.005288384,-0.008272684,0.001503016,-0.001360566,-0.006855922,-0.008586198,-0.005008855,-0.005657559,-0.000930813,-0.015167305,0.004407558,0.018906323,0,0,0,0,0,0,0,0,0
10,28.51074507,0,0,0,0,0,0.004143043,-0.003495525,-0.00322802,0.006811068,0.00024951,0.005335828,0.005360151,0.010138925,0.008008922,0.008600748,0.001636424,0.001233378,-0.004091532,-0.00869818,-0.007113571,-0.007721317,-0.007424919,-0.002334765,-0.001082563,-0.001771638,-0.002186767,-0.003077245,-0.001623823,-0.000888661,-0.001888651,0.000152178,-0.00389678,4.98E-05,-0.000466899,-0.000546047,-0.001354168,-0.004673419,-0.017311647,-0.017625583,-0.001507928,0.015595123,0.016898154,0.02240494,-0.021371566,0.004401821,0.002047174,0.002338032,0.001286786,0.004984799,-0.006067235,-0.005730363,-0.006246971,-0.007351846,-0.00181997,-0.006454025,-0.004012075,0.008535065,0.002383672,0.004403507,0.004368413,0.026541402,-0.021776889,-0.010237347,-0.006893028,-0.008799068,0.00321523,-0.005457477,-0.007193282,-0.004108105,-0.00326475,-0.003864413,0.005519254,0.003563335,0.003790571,0.009574105,0.010834489,0.009377939,0.010238876,0.012654192,-0.002633144,-0.021437149,-0.003524344,-0.004711778,-0.006052273,0.008550856,0.004346548,-0.002800694,-0.015854175,-0.012330427,-0.017677914,-0.019976394,-0.008662767,-0.004397084,-0.001020366,0.009603969,0.015074187,0.016087083,-0.012803471,0.01550557,0.003591886,-0.00288994,0.00457212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007388062,0.000210046,0.001654546,0.005301469,0.011409559,0.007812713,0.008033838,0.01030903,0.002339534,0.003529158,0.000348379,-0.003273793,-0.00087986,-0.003701839,-0.002484306,-0.000509783,-0.002311841,-0.004786498,0.005719713,0.002241544,0.000394265,-0.004950618,-0.004392255,0.001582564,0.003396263,0.000214709,-0.0040771,-0.005265352,0.007398457,-0.002130844,-0.004273865,1.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008476862,-0.00589028,-0.008877869,-0.017039436,-0.016101484,-0.0077896,-0.003826672,-0.00558808,-0.004914892,-0.001505254,-0.00422974,0.003820077,0.00446697,0.007731169,0.006004498,0.009397004,0.014707025,0.010353828,0.016107497,0.013613576,0.015954629,0.018656172,0.006959601,0.00244035,0.000254684,-2.62E-05,0.002557377,-0.00619277,-0.005968334,-0.008827646,-0.004960304,-0.002198513,-0.004803503,-0.005681268,-0.005371824,-0.00831425,-0.008296264,0.004419493,0.003366172,0,0,0,0,0,0,0,0,0
