Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,49.08144491,0,0,0,0,0,-0.000509684,-6.77E-05,-0.000246538,0.000514775,0.000507081,0.000253925,-0.000119273,-5.05E-05,0.000274857,0.000823085,0.000537222,0.00055931,0.000175124,-4.11E-05,-0.000425706,-0.000756127,-0.000847489,-0.00050183,-0.000835829,-0.000606347,-0.000565624,-0.000246571,-8.60E-05,-0.000368177,-0.00022633,6.20E-05,8.01E-05,-0.000177001,9.60E-05,-0.000311507,-0.000564395,-0.001417368,-0.002637008,-0.002077688,0.00053973,0.003373114,0.002519806,0.001588251,-0.001155076,-0.000420118,-0.000595831,-0.000519884,-0.000242813,-0.00079788,-0.000142854,-0.000241954,-0.000401535,-0.000171075,-0.000854175,-0.00065397,-0.000207999,8.09E-05,0.00064333,0.000270238,0.000654868,-0.001541122,0.00018688,4.86E-05,-0.001801767,-0.000625281,-0.000388419,0.000151573,-0.000327739,-0.000405898,-0.000219796,-0.00037026,0.000231379,0.000768994,0.000663396,0.001211934,0.001260031,0.001384099,0.001604733,0.001590866,0.001173344,-0.000522659,2.31E-06,0.00117688,-0.00031602,-0.000186122,-0.001008676,-6.53E-05,-0.000641498,-0.001105562,-0.001110635,-0.002244018,-0.001391447,-0.000834332,0.000144278,8.86E-05,0.000217522,-3.37E-05,0.00034931,-4.48E-05,0.000453415,0.000526618,0.000388773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002282549,0.000415553,0.002844813,0.001908029,0.002150545,0.002218455,0.002892658,0.002437336,0.002584164,0.002318247,0.00192606,0.001442246,0.001115902,0.000649266,0.001192759,0.000327332,0.000675204,0.000583784,-0.000688176,-0.001021962,-0.001742103,-0.000312754,-0.000604285,-0.000934242,-0.001671922,-0.001528718,-0.002813449,-0.001708552,0.000879989,-0.001405826,-0.00087071,-0.000464877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000300004,0.000284597,0.00065477,4.75E-05,0.000400661,0.001003236,0.001448489,0.000295449,0.000598756,-1.79E-05,0.000273933,-0.000417587,-0.00061954,0.000150113,-5.52E-05,-0.00055956,-0.000276875,-0.000329692,-0.000635074,-0.001026506,-0.000846375,-0.000154169,-0.000334068,3.77E-06,0.000404978,-8.69E-05,-0.000430588,0.000143655,-0.001211882,-0.001490189,-0.000368246,-0.000376496,0.000372171,-0.001023439,-0.001236914,-0.000996472,-0.000610414,-0.002153881,-0.000806809,0,0,0,0,0,0,0,0,0
2,49.48694244,0,0,0,0,0,0.000153015,0.000895261,0.001154573,0.001339207,0.001063662,0.000775562,0.000380457,0.000448966,0.000364757,0.000194486,0.000344138,0.000376068,-6.56E-05,-0.000506559,-0.000870856,-0.001040176,-0.001426884,-0.001062124,-0.001323929,-0.001051395,-0.000998088,-0.001039265,-0.000975533,-0.000831631,-0.000757879,-0.000474887,-5.75E-05,-0.000370651,-2.21E-05,0.000422725,0.000244365,-0.00019199,-0.000896851,-0.00140038,0.000697699,0.002996678,0.001534469,0.000557973,-5.65E-05,-0.000624182,-0.000688672,-0.000570681,-4.33E-05,-1.92E-05,0.000591815,7.41E-05,0.000311931,-0.000133894,-0.000560789,-0.000345699,0.000161778,-0.000158961,0.000646121,0.000274855,0.000977156,0.000520365,-0.001398067,0.000193379,-0.00088635,-0.001057758,-0.002002391,-0.001486449,-0.001763051,-0.001555183,-0.001394063,-0.00083062,-0.000438463,-4.33E-05,0.000529479,0.001201615,0.001406299,0.001500406,0.001763191,0.001984908,0.002097271,-0.001397492,-0.000993354,-0.000308396,-0.001892293,0.000804089,8.17E-05,-0.000920718,-0.000842827,-0.000537395,-0.000182184,-0.00023617,-0.000182169,-5.89E-05,-0.000135717,0.000923974,0.001691671,0.000853869,0.00152739,0.001299813,-6.47E-05,0.000220502,-8.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000803905,-0.00236861,0.000414122,0.00130009,0.001317215,0.001376894,0.001449725,0.000971172,0.000784765,0.000926981,0.000122168,0.000642665,8.93E-05,0.000103024,8.59E-05,6.59E-05,-2.71E-05,-0.000311843,-0.000481839,-0.000852757,-0.000712168,-0.000823772,-0.000726268,-0.000579847,-0.00063184,-0.000417837,-0.000657517,-0.000546871,-0.000696695,0.000461008,0.000650535,2.03E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001634624,0.000969888,0.001650481,0.001124754,0.001014085,0.00059673,0.000611933,0.000731767,-0.000129495,-0.0001084,-0.000205432,-0.000196142,-0.000225746,0.000202483,-0.000699336,-0.000355881,-0.000410829,-0.000173549,-0.000884348,-0.000738137,-0.001056666,-0.000583226,-0.000644691,-0.000263022,-5.27E-05,-1.08E-05,-0.000202437,0.000680348,-0.000470588,0.0002888,-6.35E-05,0.000587718,-0.000259978,-9.60E-05,0.000109102,0.00150786,0.000633548,0.000442862,0.000132465,0,0,0,0,0,0,0,0,0
3,49.08795937,0,0,0,0,0,0.000412601,-0.000686286,-0.000343195,-0.000181733,-0.000395184,-0.000172278,-0.000343273,0.000261505,0.000491937,0.000691511,0.000823204,0.000590308,-0.000126028,-0.000831073,-0.000828187,-0.001252006,-0.001104521,-0.00086608,-0.000717399,-0.000505879,-0.000409622,2.05E-05,-1.17E-06,1.00E-04,0.000380273,0.000782406,0.00071207,0.000379802,0.000727268,0.000839494,0.000409932,-0.000788734,-0.003653635,-0.003783206,0.00088741,0.004179629,0.003604803,0.002337505,-0.000406222,-0.000384391,-0.000634795,-0.000398052,-0.000405321,-0.000201096,-0.000418049,-0.000485538,-0.000275767,-0.000757698,-0.000309595,-0.000835858,-0.000323303,3.71E-05,-0.000140729,5.45E-05,-0.000243976,0.000838417,-0.001941659,0.000299408,-0.000163903,-0.000732641,-0.000443906,-0.000593135,-0.000853137,-0.000545986,-0.000474842,-0.000315542,-2.22E-05,-0.000156984,0.00019192,0.000696109,0.001499296,0.001208186,0.00093399,0.000947418,0.001860644,-0.001200066,-0.001530061,-1.08E-05,-0.001226876,-1.51E-05,0.000287331,0.000132241,-0.00053454,-0.000402282,-0.001746621,-0.001822715,-0.001012758,6.12E-05,0.000977501,0.001143897,0.002317142,0.001113764,0.001063462,0.000350181,0.000695908,0.000533825,0.000520095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001551909,-0.000343233,0.001133249,0.001658079,0.001961094,0.002129269,0.001928766,0.001832142,0.00179317,0.001507518,0.001206638,0.001061204,0.000925564,0.000538768,0.000718001,0.000380707,-1.37E-05,0.000362512,-0.000367463,-0.001024892,-0.001433012,-0.000687703,-0.000328873,-0.000505114,-0.000573416,-0.001515492,-0.002215933,-0.002563684,-0.000936172,-0.000866412,-0.001328403,0.000252524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001834935,0.001585466,0.001899194,0.001234992,0.001091319,0.00133139,0.001391157,0.000759275,0.000287527,-2.84E-05,-0.000425814,-0.000514695,-0.000397113,-0.000727235,-0.001133059,-0.000744524,-0.001381785,-0.001117651,-0.002061968,-0.001437447,-0.000999255,-0.001340884,-0.000794897,-0.000224606,-0.000550915,0.00013067,-0.000159316,-0.000244133,-0.001036231,0.000450878,6.90E-05,0.000394598,0.000538032,-0.000223397,0.000132495,0.001405368,-7.26E-05,-0.000313954,0.000623101,0,0,0,0,0,0,0,0,0
4,48.77125848,0,0,0,0,0,-0.00097575,-0.000172272,0.000279362,0.000745123,0.001361867,0.001184023,0.000731336,0.000571402,0.00048333,0.000676743,0.000630877,0.000811561,0.000529413,0.000149094,0.00013105,-0.000535311,-0.000424118,-0.000433298,-0.000493022,-0.000310503,-0.000339948,-0.000469759,-0.000497285,-0.000515547,-0.000641532,-0.000894305,-0.0004042,-0.000655201,-0.000410227,-0.000377987,-0.000426802,-0.000790466,-0.002155951,-0.002652842,0.000266866,0.002883589,0.002327236,0.00142332,-0.000231713,-0.00125204,-0.000614996,-0.000274734,1.57E-05,0.000298361,0.00049173,7.44E-05,-0.000231613,-0.000181996,-0.00035846,-0.000651459,-0.000584698,-5.22E-05,0.000482205,0.000561148,0.000695984,0.000869316,-0.001616399,-0.000355041,-0.001563938,-5.83E-05,-0.000934545,-0.001119687,-0.001103752,-0.001348567,-0.001379418,-0.001103025,-0.000544827,-0.000515712,-8.84E-05,0.001243532,0.001792139,0.001848234,0.001915196,0.002546903,0.001691604,-0.002152001,-0.000838531,0.000630274,-0.001550118,-4.60E-05,0.00042643,9.12E-05,-0.000994837,-0.001219489,-0.001202105,-0.001044674,-0.000773048,-0.000141895,0.000817229,0.000559521,0.001894866,0.000616928,0.001306574,-2.26E-05,0.000656505,-0.000353794,0.000683168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000466794,-0.001955782,0.0002747,0.001873011,0.002684006,0.002169172,0.002278654,0.002138474,0.001633986,0.001307908,0.001029906,0.000565522,0.000337461,0.000250588,0.00062419,0.000591547,5.63E-05,0.000754471,0.000363438,-0.000279462,-0.000187048,-0.000588607,-0.000576453,-0.000727876,-0.001771978,-0.000914329,-0.001797628,-0.001876325,-0.000370423,-0.001069295,-0.000553485,-0.000354477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0003561,0.000286482,0.000924124,-0.000531787,-7.87E-05,0.000290344,0.000549724,0.00030568,-5.00E-05,-0.000188155,8.67E-05,-3.01E-05,-3.20E-05,-0.000204942,-0.000475541,0.000707267,0.000159369,0.00068598,-5.28E-05,0.000110061,-3.28E-05,-9.59E-05,-0.000417855,-0.000143072,-0.000545387,0.000170387,-0.000165861,0.000343794,-0.001147736,-0.000814013,-0.000630045,0.000424784,-6.87E-05,-3.42E-06,-0.000363928,-0.000655478,-0.001312344,-0.000841326,0.001240753,0,0,0,0,0,0,0,0,0
5,48.73207964,0,0,0,0,0,9.99E-06,0.000247668,0.000339747,0.000815439,0.001209492,0.000855876,0.000850874,0.000625924,0.000694621,0.000827462,0.000399384,-0.000585956,-0.001474929,-0.002381264,-0.002441568,-0.002322941,-0.001861769,-0.001424958,-0.000967855,-0.000809813,-0.000532529,-0.000225033,-0.000122418,-1.02E-05,0.000255503,0.000283059,0.000679135,0.00042955,0.000661016,0.000470191,0.000146572,-0.0017429,-0.004075148,-0.002374112,0.00262041,0.005645705,0.004097596,0.002161465,-0.000467577,-0.001322307,-0.001496122,-0.001212604,-0.000963777,-0.001139834,-0.001320428,-0.001259906,-0.000433191,-0.000222524,-0.000297277,-0.000432205,0.000185748,0.000256856,0.000396426,-2.97E-05,-0.000537657,7.38E-06,-0.000477813,0.000338694,0.000133019,-0.000471571,-0.000437131,0.00024409,-0.000303168,-0.000124068,-3.80E-05,0.000221048,-9.79E-05,-0.000296513,-0.000181753,0.000811379,0.000938108,0.000523127,0.000234209,-0.000327063,0.000602474,0.000549369,-0.000530155,-0.000895149,-0.000285794,0.000299846,0.000827029,0.000378081,-0.000487797,-0.000730825,-0.001443123,-0.001201776,-0.000701132,-2.80E-05,0.000777696,0.000825816,0.001331218,0.000723306,0.002071218,0.0005254,0.000619572,-0.000451124,0.001604005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28E-05,-0.00044903,0.000788931,0.000883548,0.000652135,0.000993152,0.001018724,0.000750501,0.00016151,0.00080328,0.000292899,0.000234892,0.000138413,0.000480669,0.000258976,0.000163401,0.000131481,0.000575741,0.000108629,-6.43E-05,-0.000777467,-0.000413305,-0.00017323,-0.000703154,-0.001384023,-0.001720125,-0.001499884,-0.001389429,-0.001009494,-0.00101669,-0.000642583,0.000530348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002462015,0.001570635,0.002377904,0.001800873,0.001693971,0.001055448,0.000636037,0.00035277,0.000298487,0.000198551,-0.000463128,-0.000890603,-0.000326547,-0.000202991,-0.00078349,-0.000679424,-0.000687399,-0.0003342,-0.00119558,-0.001046515,-0.000426991,-0.000314286,-0.000437876,0.000670576,4.32E-05,-0.000219804,0.000533996,-0.000317539,-0.000487564,-5.85E-05,-0.000723973,0.000281492,0.00014471,-0.000681643,0.000428168,3.77E-05,-0.000470153,-0.000341013,0.000105973,0,0,0,0,0,0,0,0,0
6,49.21928031,0,0,0,0,0,-0.002667767,-0.001268257,-0.000644143,2.63E-06,0.000750868,0.000811802,0.00046746,0.000813094,0.000636108,0.000627456,0.000660928,0.000325124,-6.20E-05,-0.000504376,-0.000694438,-0.000831489,-0.000519315,8.95E-05,0.000451804,0.000608797,0.000843876,0.000864626,0.000717897,0.000849884,0.000983657,0.000787914,0.000753934,0.000770574,0.000824685,0.00049725,0.000711113,0.000111463,-0.001724327,-0.002450306,-0.000483745,0.001962735,0.001879778,0.000791987,-0.001613892,-0.001243796,-0.000213674,0.000219666,0.000573687,0.000607104,0.001332553,0.001094248,0.00087644,0.000113187,-9.31E-05,-0.000604053,-0.000250273,-0.000343437,-0.000287906,0.000359996,0.000601856,0.000616141,-0.002739424,-0.000215099,0.000208779,-0.000764857,-0.000237391,-0.000614177,-0.001159355,-0.001049633,-0.001046927,-0.000425942,-0.0002932,-4.41E-05,-0.000418969,0.000181315,0.000762443,0.001160841,0.00180355,0.001871907,0.001764057,-0.002310852,-0.002141056,-3.43E-05,-0.001132179,0.000637017,0.000307234,-4.32E-05,-0.000429475,-5.21E-05,-0.000740518,-0.000928441,-0.000381085,0.000153164,0.000693582,0.000568271,0.001289292,0.000560401,-0.000608569,0.000171091,-5.11E-05,0.000747378,0.000923264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001371242,-0.001377104,-4.91E-05,0.000585036,0.000549603,0.000590555,-5.67E-05,0.000189575,0.00020018,0.000462862,-0.000409073,-2.27E-05,7.69E-05,-8.70E-05,0.000697889,0.000332538,0.000374508,0.000439645,0.000633702,-0.00022388,-0.000311245,0.000175524,0.000127337,-0.000147244,2.28E-05,0.000138698,-0.001074328,-0.001977956,-0.000674503,3.60E-05,-0.000374341,-0.000342407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000963227,0.000844422,0.001486556,0.000574496,0.000341666,0.000239049,0.000144147,0.000336516,-0.000598583,-0.000152608,-0.000309249,9.76E-06,0.000138701,0.000360235,0.000270798,0.000384165,-9.66E-06,0.000511955,-0.000384562,0.000429166,0.000453041,-0.000465541,5.88E-05,-0.000482241,0.00011534,-1.34E-05,1.13E-05,-2.87E-05,-0.000823819,-0.000724863,-0.00050574,-1.81E-05,-0.000460347,-0.00040509,-0.00080767,0.001055109,-0.000154487,-0.000283788,0.000572775,0,0,0,0,0,0,0,0,0
7,47.12028583,0,0,0,0,0,-0.003133893,-0.001200286,-0.000359809,0.000530615,0.001134632,0.000403348,-7.11E-05,0.000976984,0.000391297,0.000842016,0.00146728,0.001389802,0.000964581,0.000639985,-7.45E-05,-0.000849214,-0.001162193,-0.000358792,-0.000902565,-0.00046943,-0.000392374,-0.000298621,-0.000197425,-0.000184873,-3.27E-05,0.000455115,0.001060709,0.000167032,0.001007497,0.001264066,0.001303116,7.71E-05,-0.001684846,-0.002441796,0.000170217,0.003202236,0.001802191,3.91E-05,0.000222205,-0.000662149,-0.000709165,-0.000578399,-0.000759954,-7.31E-05,0.000919911,0.000823238,-3.62E-05,-0.000821884,-0.000702443,-0.000815618,-0.001193014,-0.001390397,0.000187765,-0.001006432,0.000117986,-0.00114646,0.000305617,-0.000347363,-0.000473658,0.000725987,-0.001030413,-0.000518382,-0.001308212,-0.001289976,-0.000693188,-0.000312702,0.000234457,1.03E-05,0.000902919,0.00129328,0.002037097,0.001893901,0.001716707,0.001846868,0.002646358,0.00021029,-0.001352969,0.00086349,-0.003239596,0.001528308,6.68E-05,-0.000148901,0.000158218,0.000190731,0.000907168,-0.000107192,-0.000192625,0.000140196,-5.01E-05,0.001073371,0.002386087,0.000480926,0.001547548,-0.001010198,-0.000238241,-0.002711197,-0.000939097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00287326,-0.002918959,-0.001464512,-0.000478214,0.001235208,0.000343679,0.002104512,0.0016427,0.002597727,0.001926559,0.001457106,0.001696265,0.001304772,0.000812932,0.001622129,0.000709131,-0.000376381,1.35E-05,-0.001013274,-0.001337977,-0.001696798,-0.001295904,-0.001644935,-0.000935819,-0.001654277,-0.000860712,-0.000997572,-0.001175293,0.000507864,-0.000852381,-0.000846755,-0.000603384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001447764,0.000678204,0.001616473,0.002583575,0.002171174,0.00215377,0.001781572,0.002216441,0.001476544,0.001146894,0.000940076,-0.000173965,0.000130868,0.000437763,-0.000265091,-0.000654903,-0.001166297,-0.001056942,-0.001523971,-0.001755242,-0.002068618,-0.001330836,-0.001288408,-0.000302986,0.000141515,-0.000264631,0.000493295,0.001277485,0.000270916,1.75E-05,-2.68E-05,0.000681922,-0.001386407,-0.00076582,-0.000715518,-0.00056029,0.000632513,-0.000344527,0.001340988,0,0,0,0,0,0,0,0,0
8,49.12421329,0,0,0,0,0,-0.0003813,0.000582842,0.000127179,0.000898222,0.00129819,0.000897063,0.000425879,0.000289886,0.000164183,0.000311933,-3.73E-06,5.85E-05,-3.88E-05,-3.50E-05,-0.00025621,-0.000404564,-0.000633038,-0.000793538,-0.000759521,-0.000935705,-0.000857718,-0.000965417,-0.00086807,-0.000851921,-0.000702891,-0.000630497,-0.000548563,-0.000877348,-0.000568535,-0.000732641,-0.000857551,-0.001791925,-0.001868813,-0.001003255,0.001088835,0.002740686,0.001735391,0.000112603,-0.000458163,-0.001563762,-0.000919872,-0.000707689,-0.000187286,-0.000183662,0.000357929,0.0002139,0.000351587,3.79E-05,0.000248279,0.000374527,0.000370039,0.000743519,0.00069189,0.001174374,0.001195678,0.000240454,-0.000890287,0.000593033,-0.001180183,-0.000872442,-0.000976116,-0.001370024,-0.002089996,-0.001760334,-0.001364306,-0.001246486,-0.00090801,-4.37E-05,-0.000162881,0.000942918,0.0006432,0.001001852,0.00153457,0.002529388,0.001189694,-0.001063754,-0.001420001,0.000191113,-0.001828167,0.000249343,-0.000371461,-0.000484015,-0.000708701,-0.001039851,-0.000790976,-0.000560996,-0.000434632,-0.000431316,0.000351957,0.000295923,0.000455012,0.000301356,0.00148523,0.001525636,0.001399075,0.002164777,0.00211222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001414817,-0.000512136,0.001151406,0.001800891,0.001514297,0.001431176,0.001532857,0.001340852,0.000940074,0.000487339,0.000462196,-0.000147912,-0.000257593,-0.000205187,0.000220669,-4.88E-05,-0.000330676,0.000378307,7.80E-05,-0.001050896,-0.001462761,-0.001070982,-0.000719394,-0.000905563,-0.000821288,-0.00094596,-0.001371781,-0.000685441,0.000367909,2.27E-05,9.59E-05,-0.000688113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001667132,0.001553635,0.002011691,0.000834531,0.001137795,0.001234744,0.001041128,0.000329831,-0.00014801,-0.000479846,0.000132282,-0.00068415,-0.000847262,-0.000322162,-0.000131808,7.44E-05,-0.000191983,-0.000213012,-0.000860788,-0.00026584,-0.000810473,-0.000575052,-0.000852616,-0.000474427,-0.000328083,-0.000247229,-0.000638747,9.24E-05,-0.000532765,-0.000512677,-0.000182684,0.000223435,-0.000183179,-0.000144635,0.000223685,0.001073686,-0.000701117,0.00024315,-0.000290038,0,0,0,0,0,0,0,0,0
9,48.47041939,0,0,0,0,0,-0.000758561,-0.000251886,-9.29E-05,0.000383084,0.000368695,0.000271581,-9.90E-05,0.000263146,0.00084147,0.000802687,0.001033926,0.000548553,-9.14E-06,-0.000725024,-0.001415607,-0.001958731,-0.001674092,-0.001309093,-0.001169749,-0.000985457,-0.000414916,-0.000454937,-0.000250593,-0.00012126,-0.000128532,0.000347255,0.000626159,0.000448881,0.00082658,0.000697801,0.000747547,-0.000135263,-0.001332115,-0.001332242,0.000442628,0.002492936,0.002828415,0.002645486,-0.000710503,-0.000167141,-5.05E-05,0.000211505,-0.00022694,9.68E-05,-0.000648306,-0.000378595,-0.000372755,-0.001013033,-0.000828341,-0.001033031,-0.000736935,-0.000921579,-0.000130643,-0.000128462,-0.000477981,0.00104045,-0.003212136,0.00150832,9.85E-05,-0.000215409,-6.54E-05,-0.000145945,-0.000168947,-0.000734833,-0.000848461,-0.000143653,0.000300286,0.000357997,0.000582582,0.000305142,0.001563662,0.001475488,0.001829934,0.001847757,0.003465215,-0.002063993,-0.001547088,-7.28E-05,-0.002073812,0.000148282,7.51E-05,-0.000573159,-0.001046285,-0.000718378,-0.00084573,-0.001240505,-0.001335092,-0.000618666,-0.000517696,-0.000346606,4.94E-05,-0.000280396,0.000493384,-0.000342845,0.000795886,0.001714889,0.001653205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053683,0.001380224,0.001186486,0.001346911,0.001394556,0.000635339,0.000366479,0.000463366,0.000732233,0.000828369,0.000486664,0.000888418,-0.000357672,3.00E-05,0.001013531,0.000511281,0.00025947,0.000592009,-0.000575274,-0.00142084,-0.001058879,-0.000292189,0.000172326,-0.000742542,-0.000642773,0.000341119,-0.001294204,-0.001319993,0.001788854,0.00032896,0.000763348,0.001167711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000721416,0.000695525,0.001313309,0.001137187,0.001103648,0.000814573,0.000666222,0.00040556,-0.000283098,8.27E-05,-0.000283421,-0.000246466,-0.000627165,-0.000781944,-0.000925429,-0.001035222,-0.000825257,-0.000447063,-0.000886461,-0.001080148,-0.001604126,-0.000335479,-0.000784234,9.30E-05,9.28E-05,0.000119736,0.000121245,0.000573495,-0.000936261,-9.54E-05,-0.00025279,0.000157648,-0.000318398,-0.000249631,0.000230153,-0.000232524,-0.000528304,0.000301367,0.000692461,0,0,0,0,0,0,0,0,0
10,49.32791084,0,0,0,0,0,0.000340027,0.00076194,-0.000185332,0.000201688,-0.000107206,-0.000279632,-0.000973332,0.000515073,0.000749173,0.001007565,0.001361183,0.000925849,0.000562383,0.000335382,-0.000205423,-0.000782696,-0.001609808,-0.001176308,-0.00155041,-0.000961074,-0.001032823,-0.000906882,-0.000971399,-0.000764514,-6.14E-05,0.000166035,0.000829593,0.000117943,0.000807185,0.001528264,0.000882578,-0.000781175,-0.003770499,-0.003310647,0.001481133,0.004801971,0.002997429,0.001767741,0.000565737,-0.001117745,-0.00157203,-0.001452293,-0.001503148,-0.000543544,-0.000856663,-0.000872073,-0.000292683,-0.000499361,-9.19E-05,-0.000735652,-0.000161434,-0.000169463,0.00183289,-0.000606725,0.000621055,0.001941737,-0.001861393,-0.000724002,-0.001659787,0.000171236,-5.68E-05,0.001072712,0.000174543,0.000170891,1.31E-05,-0.000236734,0.000512795,7.80E-05,0.000146268,-0.00031726,0.00081544,0.000904834,0.00116748,0.000373212,0.000549996,-0.001178172,-0.000375757,0.001672242,-0.003169761,-0.000148285,-0.000244249,-0.000599548,-0.00082069,-0.000552937,-0.00070671,-0.001316956,-0.000987928,-0.000160813,0.000275544,0.001136082,0.002892227,0.001453464,0.00224067,0.000959468,0.001267877,-0.000949322,-0.000809433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003662155,0.000582743,0.000701616,0.0004796,0.002117434,0.001164331,0.00225084,0.000876794,-6.78E-06,0.000219027,-0.000320773,0.000733336,-2.98E-05,-0.000126839,-0.000100801,1.18E-05,-0.000130566,4.86E-05,-0.000746289,-0.000693248,-0.000941677,-0.000101531,-0.000584821,-0.00015923,-0.000663893,-0.001127399,-0.002130263,-0.001843902,0.000130873,0.000237748,-9.36E-05,0.001818965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001728866,0.000856175,0.00103938,0.001342694,0.001394149,0.000575083,0.000748058,0.000741787,0.000325298,0.000777542,-9.06E-06,-0.000218946,-0.000511632,0.00017551,-0.000954377,-0.000290942,-0.000272424,-0.000367034,-0.000375355,-0.00107663,-0.000710938,0.000436259,0.000738753,0.000579955,0.001323048,-0.001143946,-0.000813177,0.000970123,-0.000697708,-0.000777209,0.000304776,8.34E-05,-0.001050144,-0.001143275,-0.001386003,-1.92E-06,-0.000264268,0.000767547,4.68E-05,0,0,0,0,0,0,0,0,0
