Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,20.64691829,0,0,0,0,0,0.001617544,0.004069176,0.003759982,0.001102712,0.001555362,0.000515158,0.000411389,0.0012237,0.001325316,0.001870077,0.002189299,0.001793137,0.000416394,-0.000640956,-0.002451802,-0.003340279,-0.004111161,-0.004127902,-0.00340416,-0.003213291,-0.002686263,-0.002244568,-0.001696871,-0.001330511,-0.001040736,0.000234036,0.000996305,0.000319783,0.000620745,0.000835852,0.001629753,0.001103551,-0.001508958,-0.004771788,-0.00055127,0.003795643,0.002748915,0.001198735,0.005170471,-0.00108462,-0.0029957,-0.001796258,-0.000253829,-0.001727686,0.000728131,-0.000101372,-0.000626319,0.000727124,0.000547981,0.001243693,0.001018059,0.002170163,0.003545744,0.006231895,0.006099565,0.001896173,0.00263074,-0.003691829,-0.005486019,-0.0033251,-0.004462208,-0.003873372,-0.004549233,-0.003144204,-0.002834669,-0.002758532,-0.001577341,-0.00127905,-2.99E-05,0.001460821,0.001509258,0.001778427,0.001951091,0.000619009,-0.004043513,-0.007290394,0.001183982,0.000499758,-0.003418633,-0.002140543,-0.001401259,-0.000498409,-0.001934933,-0.001600332,-0.000575884,0.000257615,-0.000573879,0.000370858,-0.000691677,0.000975278,0.003858563,0.000930716,0.00537634,0.005646004,0.004637833,0.002355149,0.005218005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006468862,-0.005840543,-0.001857755,0.003321922,0.002162699,0.004124917,0.002813946,0.001541459,0.001596839,0.000591781,0.000249751,8.82E-05,0.000384552,-0.001379023,-0.001290705,-0.001390473,-0.001506646,-0.000625862,-0.000159279,0.000261787,-0.001472905,-0.002002349,-0.001479916,-0.001573854,-0.001023949,-0.000941573,0.000163556,-0.000460199,-0.001033069,0.000118938,0.000420972,-0.002227158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002904942,0.004115703,0.004453182,0.000793528,0.000293406,0.000693801,0.000412058,-0.000371449,-0.001475639,-0.000273578,-0.00101597,-0.000377065,-9.99E-05,-0.001017591,-0.002102044,9.60E-05,-0.000228659,5.73E-05,-0.000134572,-0.001170681,-0.00065944,-0.000266394,-0.000221527,-0.000785428,0.000131566,-0.000271784,0.000581365,0.000698234,0.001278721,0.001321843,0.000741882,0.000884015,0.001039812,0.000848688,0.002622633,-6.63E-05,0.001802338,0.002137357,0.003965154,0,0,0,0,0,0,0,0,0
2,19.70206451,0,0,0,0,0,0.002569173,0.003129399,0.00296544,0.001921362,-0.000129268,0.001123104,0.001489405,0.001875434,0.001837757,0.002230722,0.001496547,-0.000125612,-0.001875759,-0.003475448,-0.003733139,-0.004673428,-0.004385392,-0.003587174,-0.003018441,-0.003256298,-0.002794681,-0.001866062,-0.001648459,-0.001412587,-0.000152724,0.000231673,-5.20E-05,0.000148658,0.000453891,0.000756686,0.000520205,-0.001430757,-0.005595889,-0.005327173,0.000374079,0.005436391,0.005707743,0.00549812,0.004692958,0.000210784,-0.00089839,-0.00084899,-0.001120934,-0.000917482,-0.002351783,-0.001720966,-0.000477575,-0.000577734,-0.001288703,-0.000398313,0.000767565,0.002940044,0.00214109,0.001948519,0.00200287,0.006324892,-0.004993783,-0.003552422,-0.000225138,-0.003090765,-0.001952615,-0.002791893,-0.003752294,-0.002330213,-0.002024048,-0.001722244,-0.000767534,-0.000869801,-0.000285261,0.001960576,0.002037943,0.001707026,0.001962161,0.00141225,0.001797361,-0.006967547,-0.003616121,-0.003510001,-0.000396352,0.00152505,0.000616332,-0.001140885,-0.002965405,-0.002034989,-0.002736813,-0.001973109,-0.000539098,0.000378875,0.001436867,0.002347902,0.005433225,0.002799767,0.003799019,0.002690531,0.001563069,0.001544335,0.00065701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001986517,0.001297356,0.00629284,0.006413013,0.003309,0.002589385,0.002146714,0.000648334,-0.000516966,-0.00124917,-0.001618777,-0.002279499,-0.002087378,-0.00266058,-0.001883625,-0.000543152,-0.000820858,-0.002188764,-0.000337161,-0.000671466,-0.001628653,-0.002297063,-0.001414506,-0.00146109,-0.000325857,-0.000219376,-0.001391732,-0.000878692,-0.000875817,0.000126632,-1.84E-05,0.001874847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003594259,0.004273146,0.00400021,0.000999901,-0.000802375,0.001074218,0.000477573,0.000699079,0.001151745,0.000784527,-0.000453262,0.000767914,0.001073097,0.001218997,-0.000890984,0.000379531,-6.76E-05,0.001885827,0.001545356,0.001010004,0.001193576,0.001242239,0.001317675,-0.00043668,-6.99E-05,-0.000499013,-0.000168535,-9.47E-05,0.000960623,8.17E-05,-0.001037302,0.000222901,-0.001072666,-0.000358108,-0.001250222,-0.00069058,-0.000168065,-0.000237132,-0.001772703,0,0,0,0,0,0,0,0,0
3,16.23337613,0,0,0,0,0,-8.21E-05,0.001316152,0.000852137,0.001640574,0.000850462,0.001797119,0.001807149,0.00257167,0.002825512,0.00280446,0.002073287,0.000972048,-0.000636044,-0.00175896,-0.003522364,-0.003924462,-0.003957797,-0.003678593,-0.002887432,-0.003085667,-0.002666607,-0.001769079,-0.001842537,-0.00159793,-0.000565246,-0.000349266,0.000262846,-0.000398056,0.000274928,0.00034452,0.000185771,-0.001426602,-0.003901872,-0.003002819,0.001523159,0.004395014,0.003944514,0.004294336,0.003348914,0.000345639,-0.000318755,1.96E-05,-0.000720785,-2.80E-05,-0.001493807,-0.001249619,-0.000329306,-0.000903153,-0.0010093,-0.001298814,-0.001153408,6.69E-05,-0.001237075,-0.001934395,-0.00135114,0.000524829,-0.00241347,-5.92E-05,0.002137905,-0.001592547,-0.001593666,-0.001149123,-0.002805528,-0.001114856,-0.001020541,-0.000416124,0.000693584,0.001043621,0.000675952,0.001762801,0.002379026,0.002598316,0.003271987,0.002678314,0.003140932,-0.000690789,-0.002565867,-0.003395234,2.92E-05,0.00249521,9.85E-05,-0.002366002,-0.003870274,-0.004204308,-0.003500505,-0.002667334,-0.0023838,-0.000961159,-0.001052822,-0.000413129,0.000665226,0.000190836,0.000968746,0.003628277,0.003875466,0.001820035,0.004404796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.26E-05,0.002613286,0.003149392,0.002848359,0.00145637,0.001488866,0.001548678,0.000902336,7.71E-05,-0.00034832,-0.001287135,-0.001527759,-0.000706125,-0.001730383,-0.000842709,0.000158562,-0.000603845,-0.001418378,0.000133926,0.000133838,-0.000348333,-0.001140754,-4.95E-05,7.06E-05,-0.000444523,-0.000528164,0.000202985,0.000206084,-0.000374939,0.000322492,0.000174482,0.001716584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001616337,0.002122513,0.002038496,0.001225546,0.000479297,0.001083227,0.000330704,-0.000245528,-0.000715842,0.000435084,-0.001005651,-0.000638196,-0.000175007,-0.000282921,-1.72E-05,0.000643103,-0.000349506,0.00062174,1.40E-05,-0.000230477,9.26E-05,0.000562385,9.85E-05,-1.87E-05,-1.47E-05,-0.001349794,-0.000252103,-0.00020531,-0.000264439,0.000840626,-0.000110602,0.000539138,-0.001206444,-0.000881034,0.000485471,0.000506475,0.000732385,0.002358264,0.002411919,0,0,0,0,0,0,0,0,0
4,18.19697317,0,0,0,0,0,0.00556049,0.00290925,0.002099021,0.002358508,0.000914508,0.001535249,0.000914021,0.001101988,0.001153648,0.001551151,0.00160679,0.000676789,-0.001313953,-0.002922175,-0.003848712,-0.004831187,-0.004029903,-0.003883613,-0.002974521,-0.002823432,-0.002291574,-0.001996945,-0.000900243,-0.001618819,-0.001215986,4.70E-05,-0.000398566,-0.000906424,-0.00019097,0.000225346,0.000475648,-0.00146445,-0.005047727,-0.005325311,0.000609619,0.006604828,0.006113608,0.005496007,0.008057961,0.000713708,-0.001790752,-0.001967327,-0.002578451,-0.00238591,-0.002055843,-0.001363477,-0.001550372,-0.00179937,-0.001694243,-0.001607639,-0.000358573,0.000344563,0.000329791,0.0018851,0.002234587,0.003043577,-0.004640001,-0.00067417,0.001750331,-0.001697688,-0.002630813,-0.003049038,-0.0033093,-0.002156238,-0.001940434,-0.001030667,0.000365749,0.000784818,0.001864031,0.002890205,0.003508516,0.00343323,0.003619313,0.003965018,0.005012226,-0.007376133,-0.00508478,-0.002747505,-0.004294454,0.002614609,-0.000547082,-0.003720894,-0.004553331,-0.004032064,-0.004031421,-0.003187561,-0.00220893,-0.001009665,-0.00093487,0.001447797,0.003035481,0.00186952,0.004182152,0.003199011,0.000751715,0.002647206,0.005701292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000335477,-0.003261236,0.00030289,0.002294786,0.003089041,0.001144598,0.000360613,0.000648506,0.001790845,0.000166317,-0.000195539,-0.000378453,-0.001340345,-0.000385215,-4.68E-05,0.000110282,-0.002015574,-0.00081681,-0.000297953,-0.000796146,-0.000550805,-0.002323078,-0.00088414,0.000234255,0.001072714,-0.000202069,0.002099558,-0.000559977,-0.001068359,0.000555693,0.000628374,5.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000418328,0.001560679,0.001364285,-0.000451723,-0.001318294,-0.000107693,0.000218731,-0.00076344,-0.000179422,0.00027192,-0.001644997,-0.000353349,0.000481709,-0.001233827,-0.00110197,-0.000665056,-7.98E-05,0.001075802,0.00077845,-0.000250823,0.000606592,0.000269895,-0.000101139,0.000270048,-0.001464083,0.00055288,3.25E-05,0.000264943,0.000154205,0.001612873,0.000140291,0.00357188,0.000647984,0.002025735,0.003231668,0.002581079,0.003646921,0.004224256,0.001943989,0,0,0,0,0,0,0,0,0
5,18.8563271,0,0,0,0,0,-0.000191164,7.11E-05,0.000954789,0.001495417,0.00093404,0.001501129,0.00116578,0.001600337,0.001767879,0.001608599,0.001900498,0.001146926,0.000118105,-0.000756387,-0.001244768,-0.0017888,-0.001688968,-0.001731678,-0.001310068,-0.001170535,-0.000965395,-0.000621992,-0.000673727,-0.000646887,-0.000504644,0.000266702,5.58E-05,-0.00031814,0.000234113,0.000174621,-2.11E-05,-0.001254513,-0.003712452,-0.00469177,-0.00195561,0.000747364,0.002040647,0.002503781,0.001798542,0.001210452,0.001068862,0.001169036,0.000603535,0.001048678,0.000643488,0.001058789,0.000519846,0.000187698,-0.00018015,-8.75E-05,6.41E-05,-0.000160986,-6.79E-05,-0.000250925,-1.47E-05,0.000336962,-0.000999297,-0.000826677,0.000211704,-0.00106793,-0.001898738,-0.001869848,-0.003253329,-0.002206001,-0.001997429,-0.001891312,-0.000973562,-0.0008439,-0.000830762,5.03E-05,0.000455886,0.000416712,0.000690724,0.000144541,0.001382023,-0.002142903,-0.002823774,-0.000605011,-0.001156151,0.001643273,-0.000472829,-0.001322612,-0.002154363,-0.002171388,-0.001482218,-0.002006481,-0.000651424,0.001066684,0.002075632,0.002046782,0.003669536,0.002142888,0.002187201,0.002803901,0.002203256,0.003132638,0.004198917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99E-05,0.001377882,0.003413988,0.004033464,0.003394913,0.002176168,0.001861658,0.001497948,0.000763931,0.00035983,-0.000220517,0.000256016,-0.000673778,-0.000844601,-0.000764011,6.45E-05,-0.001313479,-0.001241818,-0.001006747,-0.001332942,-0.001965389,-0.002161377,-0.001318248,-0.000968862,-0.000436256,-0.000833106,-0.00148315,-0.002210566,-0.002542719,-0.000721238,-0.001023431,0.001018498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001038297,0.00221741,0.001868756,0.000576564,-0.000404522,0.000986506,0.000751825,0.000116258,-0.000236988,0.000204516,-0.001069898,-0.000497379,-0.000262633,-0.000377794,-0.000910312,-0.000657548,-0.000659643,0.000824601,0.000295424,-0.000434983,-3.32E-05,-0.000240695,-3.95E-05,-0.00084854,-0.000422717,-0.000240158,-0.000765328,0.000139765,0.000543779,-0.00022811,0.000661282,0.001831953,-7.64E-05,0.002046185,0.001543569,0.001494113,0.001457635,0.001622877,0.000954779,0,0,0,0,0,0,0,0,0
6,19.26870415,0,0,0,0,0,0.0012895,0.002147435,0.002197842,0.002248975,0.001464848,0.002267662,0.002057704,0.002292803,0.001885373,0.002183953,0.00130944,0.000611742,-0.00032056,-0.001114492,-0.001650135,-0.002118542,-0.00219106,-0.002048201,-0.002037583,-0.001970563,-0.001868036,-0.001457553,-0.001478083,-0.001579888,-0.001203294,-0.000803507,-0.000278007,-0.000645123,-4.94E-05,0.000231979,-4.53E-06,-0.001274537,-0.003566244,-0.003779078,-0.001180053,0.001982858,0.002636475,0.003122558,0.004698126,1.64E-05,-0.000904379,-0.000860336,-0.001267027,-0.001175884,-0.000897206,-0.00052519,-0.000167405,-0.000219717,0.000216447,0.000766043,0.001118185,0.002426389,0.001945905,0.002715599,0.003630574,0.003640231,-0.001538978,-0.001651069,-0.003008364,-0.004165369,-0.002742685,-0.002812805,-0.002482,-0.001667621,-0.001613185,-0.001877647,-0.000404424,-0.000463213,5.46E-05,0.000697145,0.000996648,0.000971365,0.000953671,0.000737799,0.000401715,-0.005126935,-0.001782944,-0.001170992,-0.002154508,0.000606403,0.000141111,-0.000612799,-0.001601616,-0.000724188,-0.001092512,-0.001203541,-0.000430589,0.000389821,0.00018072,0.001329541,0.003167628,0.001666138,0.002136518,0.003544073,0.00220138,0.000801424,0.000653962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000691076,-0.001204085,-0.00014623,0.001291868,0.001009736,0.000973463,0.001054607,0.000187656,0.000648388,-0.000112847,-0.000716652,-0.000942455,-0.000799154,-0.001388683,-0.000719334,-0.000846985,-0.001305923,-0.001431602,-0.001095869,-0.001014484,-0.001009147,-0.001389739,-0.001189352,0.000166514,0.000207438,4.17E-05,0.000830413,0.000116743,-0.000827942,0.000593292,4.39E-05,0.000187326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001377534,0.001487881,0.001397694,0.001147885,0.000863789,0.000686287,0.000706758,-4.70E-05,0.000803632,0.000656866,-0.000362148,0.000317021,0.000404476,-4.39E-05,-0.000137293,0.000308951,0.000149567,0.000852493,0.000565541,0.00079365,0.001039717,0.000922304,0.001178367,0.000959498,0.001122958,0.000503174,0.000425652,0.001132924,0.000765176,0.000887532,0.000912028,0.00139909,0.000270359,0.00057868,0.000580104,0.00072121,0.001107237,0.001782718,0.001931401,0,0,0,0,0,0,0,0,0
7,15.40739092,0,0,0,0,0,0.000941893,0.003734063,0.002965271,0.001953146,0.000946619,0.001943182,0.001260602,0.001913561,0.001388056,0.001641628,0.001218402,0.000181681,-0.001604526,-0.003007585,-0.005405121,-0.005855809,-0.004915793,-0.004518482,-0.004116076,-0.003127473,-0.002202861,-0.001148471,-0.00119531,-0.001025065,-0.000714802,0.000646101,0.000437395,0.000234302,0.000322473,0.000424612,0.000155905,-0.00108714,-0.004522253,-0.005782544,-0.000230504,0.007210682,0.007241386,0.007020076,0.009190429,0.001058633,-0.000933942,-0.001435074,-0.00264234,-0.001872568,-0.001793026,-0.001862391,-0.000970657,-0.001189285,-0.002003949,-0.001167893,-0.001156523,-0.000321339,-0.001383144,-0.001612721,-0.002788092,0.00078276,-0.005451872,9.62E-05,0.003818301,-0.000369283,-0.00112347,-0.001677241,-0.002290659,-0.00159231,-0.001947821,-0.001417387,-0.000127666,0.000128323,0.001216719,0.002772324,0.004545837,0.003995536,0.003543983,0.002749754,0.007245582,-0.00080025,-0.007140015,-0.005194498,4.74E-05,0.004497511,0.001517514,-0.002597183,-0.005860312,-0.00621389,-0.006361847,-0.005235361,-0.005308842,-0.002301033,-0.001578187,0.001283469,0.004290257,0.002307582,0.003889332,0.002915623,0.00299955,0.000365646,0.005954191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004415765,-0.001599003,0.007485916,0.005935705,0.005605311,0.003325191,0.00292237,0.001835689,0.000502696,-0.000483346,-0.000279427,-0.000743737,-0.001205693,-0.001600597,-0.000933707,-0.00072074,-0.003067759,-0.002156489,-0.001744427,-0.00034068,-0.002155981,-0.003046158,-0.000972627,-0.000821274,0.000104146,0.000274255,-0.000562379,-0.000687138,0.002004365,0.001826748,0.001968851,0.002598353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001221179,0.001275071,-0.000420586,-0.003379032,-0.003892687,-0.001077637,-0.000132643,-0.001237159,-0.001330643,8.89E-05,-0.001499424,-0.000445113,0.000259795,-0.000814432,-0.001942686,0.000942829,-0.000252595,0.001444243,0.000993206,0.000415513,0.001821856,0.001372908,0.000813272,0.001160236,-0.001355787,0.000734385,8.24E-06,-0.001028778,-0.000643876,0.001752079,-0.000853297,0.002284952,0.000853347,0.000843033,0.000140973,0.000305691,0.001847917,0.003910947,0.004697588,0,0,0,0,0,0,0,0,0
8,18.04250676,0,0,0,0,0,0.001932164,0.000987888,0.001418882,0.001083131,0.00027497,0.000821022,0.000971232,0.001066544,0.001400705,0.001465124,0.001225473,-3.94E-05,-0.001320159,-0.00244708,-0.002982358,-0.003305141,-0.002447799,-0.002024166,-0.001786409,-0.001692654,-0.001180196,-0.000942481,-0.000869358,-0.000918591,-0.000807145,-0.000100706,-0.000111104,-0.000625897,0.000115247,0.000123522,-0.000412801,-0.001487727,-0.003647092,-0.003668783,-1.48E-05,0.003004869,0.00319098,0.00355686,0.001914773,0.001269231,0.000108806,0.00049806,-0.000203507,0.000553991,-0.000388975,-0.000447608,-4.38E-05,-0.000749951,-0.000994517,-0.000131345,-0.000157041,0.000386661,-0.000453405,0.000444604,0.00098204,0.001663215,-0.003240003,-0.000134606,0.00115003,-0.001152207,-0.0017773,-0.002427434,-0.002821079,-0.001884078,-0.001975535,-0.001803399,-0.000271066,-0.000334725,0.000330146,0.001052777,0.001753973,0.001919289,0.002255538,0.001673155,0.002037857,-0.003602433,-0.001871233,-0.001933631,-0.002602327,-0.000417934,-0.001443444,-0.003061706,-0.003735522,-0.003815718,-0.003256387,-0.001788477,-0.001332813,0.000418214,0.000920103,0.00168553,0.003410661,0.002505637,0.002984601,0.004739897,0.00496814,0.002355484,0.003370389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000161575,-0.001227315,0.001532699,0.002959224,0.003831201,0.002624007,0.003002053,0.001963384,0.001371612,0.000242385,-0.000182858,-3.81E-05,-0.000437667,-0.001180071,-0.000616167,0.000130855,-0.001100418,-0.001362505,-0.000666418,-0.000274164,-0.000708058,-0.001430793,-0.001335874,-0.000842747,-0.000544627,-0.001061994,-0.000232227,-0.000492743,-0.002276842,-0.000299916,-0.001180113,-0.0007519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002136112,0.003251247,0.002910287,0.001735652,0.000953353,0.000562296,0.00116809,0.000109747,-0.00014578,0.000147573,-0.000836028,-0.000325543,7.00E-05,-0.001109016,-0.000518173,-3.76E-06,-0.000942648,9.42E-05,-7.85E-05,-6.44E-05,-0.000211923,-0.000206032,-0.000966901,-0.000135096,-0.001807004,-0.000827699,-0.000434834,-0.00083062,-0.000621879,0.000435357,-8.32E-05,0.000837381,0.000166291,0.000660628,0.000820757,-4.84E-05,0.002590434,0.001656965,0.002189914,0,0,0,0,0,0,0,0,0
9,16.45486106,0,0,0,0,0,0.002039757,0.001027519,0.001365862,6.72E-05,6.93E-05,0.00046118,0.000128932,0.00087733,0.000741323,0.00145505,0.00153341,0.000724098,-0.000764348,-0.001901647,-0.00212008,-0.002285865,-0.00262717,-0.002185877,-0.00209866,-0.001760605,-0.001516745,-0.001078444,-0.000839771,-0.000685851,-0.000139168,-0.000519068,0.000518024,-0.000138376,0.000447991,0.000483188,0.000442584,-0.000176158,-0.00275778,-0.005069957,-0.001449803,0.002823995,0.003253806,0.003858179,0.006843542,0.001455359,0.000699111,0.00038509,-0.000528848,0.000280964,-0.000974108,-0.00102158,-0.001274247,-0.001946397,-0.001358254,-0.002018261,-0.001550578,-8.08E-05,-0.001361303,-0.000138163,-0.000972541,0.000296668,-0.001728259,-0.000622256,0.002202621,-0.001079406,-0.001676667,-0.00233694,-0.004172398,-0.002210225,-0.001740678,-0.001737859,0.000613062,0.000223579,0.000680699,0.001634852,0.002497334,0.002513795,0.002946778,0.001395602,0.002495045,-0.002608058,-0.002017239,-0.002196609,-0.001634693,0.000503796,-0.000530912,-0.001747512,-0.003119653,-0.002511086,-0.002433027,-0.001801267,-0.000757002,0.000708221,0.001473465,0.001438989,0.004912621,0.002596854,0.00211657,0.003724482,0.001983338,0.002722595,0.002281433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002537894,-0.002314317,0.002243552,0.0032645,0.002704802,0.001884218,0.002379905,-4.77E-05,8.14E-05,-0.00147027,-0.002109275,-0.002150613,-0.001550338,-0.001963624,-0.001412481,-0.00013066,-0.001573737,-0.001917114,-0.000347919,-0.000528065,-0.000770992,-0.00178261,-0.000628358,0.000464421,0.000571572,0.000604725,0.000201473,-0.000850218,-0.000781683,0.000255009,-0.000256719,0.001213497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004292551,0.004913548,0.005152057,0.002930483,0.002178127,0.001330799,0.000262003,-0.000208358,-0.000537176,0.000380116,-0.000714968,0.000152228,0.00043131,-8.51E-05,-0.001677654,-0.000110043,-0.001069913,-5.03E-05,-0.000166962,-3.97E-05,-6.75E-06,-0.000593222,0.000622202,-0.001352079,-0.000967427,-0.002263196,-0.001365396,-0.000876396,0.000187197,-0.00069874,-8.55E-05,0.001553544,-0.001078763,0.001696439,0.000807079,-5.17E-05,0.002335496,0.002213045,0.003541457,0,0,0,0,0,0,0,0,0
10,20.8865432,0,0,0,0,0,-0.001213198,-0.000428002,0.000102381,0.002018866,0.004199325,0.004564304,0.004432492,0.004755912,0.00359155,0.003502411,0.002293822,0.00061764,-0.001701918,-0.003618645,-0.004342327,-0.005061662,-0.004467682,-0.003902319,-0.003493252,-0.003376434,-0.003216452,-0.002485466,-0.002256588,-0.002812076,-0.002181142,-0.001091402,-0.001883739,-0.002092413,-0.000925865,-0.00064429,3.98E-05,9.06E-05,-0.001858405,-0.002523654,0.001267951,0.004168932,0.00352005,0.003493122,0.004154301,-0.002107061,-0.00290697,-0.002868478,-0.001973781,-0.000665141,-0.001099494,-0.000992549,0.000589829,-5.09E-05,-0.00034294,-0.000457192,0.000378746,0.003138303,0.001003321,0.002003205,0.00272377,0.006906214,-0.013263343,0.001853169,0.00445127,-0.001976691,-0.002359535,-0.001830932,-0.003272339,-0.00199517,-0.001902906,-5.48E-05,4.88E-05,-0.000933471,0.001027466,0.001926962,0.002799398,0.003157121,0.004163011,0.00309216,0.004913456,-0.009124526,-0.007213737,-0.007060351,-0.003681016,0.005457693,0.002075446,-0.002458457,-0.003827478,-0.003332389,-0.002498607,-0.001453718,-0.002947219,-0.001654256,-0.002911809,-0.002099832,-0.001595262,-0.001860662,0.004517615,0.006107697,0.006363592,0.006823537,0.005194842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000147511,-0.00117848,0.005342555,0.001820102,0.002189891,0.000601684,0.000873246,0.000115698,0.001077598,-0.001411784,-0.002842679,-0.002152755,-0.002004875,-0.003081404,-0.001605544,0.000201724,-0.000998726,-0.003275494,-0.000327359,-0.00074264,-0.001346629,-0.002470215,-0.00086762,0.000575434,0.002441951,0.003978613,0.004558933,0.002567773,0.002208869,0.000395189,0.001455075,0.001397481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002229456,0.002020982,0.003002296,0.000150315,-0.001044075,-0.000474045,-0.001792037,-0.002670611,-0.002360359,-0.002472311,-0.003137916,-0.002338172,-0.000909274,-0.001611248,-0.002496725,-0.001900272,-0.002297782,-0.001865136,-0.002057482,-0.001395134,-0.001131751,-0.001021843,0.001102646,-0.000900205,-3.06E-05,-0.000894071,0.00219862,0.001588173,0.001439924,0.002814887,0.001371668,0.004688061,-0.000109984,0.001412356,0.001143879,0.000726168,0.00674845,0.004502911,0.002672864,0,0,0,0,0,0,0,0,0
