Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,129.3960172,0,0,0,0,0,-0.001578107,-0.019876169,-0.006114936,0.011410738,0.012345132,0.011350402,0.009159991,0.01221696,0.013641319,0.019579718,0.018035681,0.011744821,-0.002379018,-0.016148038,-0.029132117,-0.046339593,-0.038708999,-0.03207861,-0.023187714,-0.021258603,-0.016493196,-0.005106167,-0.003221861,0.001925953,1.37E-05,0.016397336,0.021820394,0.005012129,0.015190814,0.019747253,0.019972662,-0.004537295,-0.034103732,-0.028233972,0.032059429,0.080810089,0.057813966,0.011950425,0.003644063,-0.007909722,-0.027806622,-0.019669932,-0.018510428,-0.011223647,0.01464619,0.007274334,-0.003041482,-0.011540986,-0.012442031,-0.000919829,-0.01009693,-0.017311792,0.000442851,-0.003495691,0.009653688,-0.058979158,0.061533766,-0.001323538,0.004481263,-0.007720752,-0.050610262,-0.039508387,-0.056093343,-0.035690647,-0.031318143,-0.014739543,0.00357854,0.011847206,0.036413944,0.034170379,0.048046264,0.055340202,0.063783222,0.035028823,0.04057729,-0.008463403,-0.0106337,0.00122373,-0.025531463,0.019202541,-0.029379972,-0.052157881,-0.063235511,-0.075417102,-0.057170571,-0.052398384,-0.038467623,-0.017927965,0.001613301,0.019677021,0.025418276,0.020331662,0.011841432,0.030930669,0.039268057,0.036320791,0.075810773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030909128,0.008408453,0.043470777,0.027426432,0.045244394,0.033166331,0.036837308,0.031399983,0.027236473,0.02331786,0.018973612,0.013353933,0.003707511,0.010419017,0.004403668,0.006674015,-0.003299619,-0.005723686,0.007099412,-0.018598277,-0.023357313,-0.025696811,-0.029575756,-0.018410857,-0.020503017,-0.034158871,-0.012313465,-0.012059921,-0.013168832,-0.00264884,0.007038928,0.020840207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001454575,0.007271311,0.01191245,-0.000793836,-5.77E-05,0.0045792,0.008048309,-0.008466738,0.00090637,-0.001856043,-0.014211756,-0.011529811,0.002737529,0.000226845,0.002360205,0.002106893,-0.004822808,0.013863736,0.000375035,-0.01153479,-0.012442532,-0.005452763,-0.018880925,-0.016919275,-0.021640244,-0.015109279,-0.004280037,0.003979978,-0.017735747,-0.000998061,-0.009125535,0.011059977,-0.005565844,0.006468902,-0.000956495,-0.00934151,0.013281035,0.015849379,0.027069503,0,0,0,0,0,0,0,0,0
2,153.3412714,0,0,0,0,0,-0.011401815,-0.02278416,-0.018793358,-0.000460817,0.009636816,0.008687026,0.010179443,0.018880647,0.020610411,0.019762767,0.019457971,0.010119765,0.000865427,-0.004357446,-0.015416992,-0.027263743,-0.032144962,-0.031858722,-0.028586324,-0.027479586,-0.02385014,-0.016989061,-0.020139722,-0.010733928,-0.003924764,0.008350138,0.010157896,0.007284713,0.015929761,0.030218176,0.023033858,-0.010454566,-0.056038128,-0.057188036,0.048100211,0.112652736,0.087110541,0.027536649,-0.005463246,0.001895087,-0.041212367,-0.036408597,-0.035508144,-0.029546723,-0.029767101,-0.021225047,-0.015115055,-0.024902999,-0.016242693,-0.010040863,-0.007405474,0.008928251,0.015124397,-0.000367885,0.008059724,0.021084748,0.012108349,-0.006350094,-0.0039644,-0.030158615,-0.048769637,-0.047529775,-0.062148484,-0.041102125,-0.030794198,-0.008608514,0.012949009,0.020405626,0.041177338,0.059851473,0.060394308,0.058485158,0.065716611,0.048692249,0.037453973,-0.046495889,-0.004996002,-0.012805895,-0.010284274,0.045958699,-0.007320779,-0.046616704,-0.055120829,-0.065143274,-0.047302892,-0.039188926,-0.031046851,-0.005865788,-0.001479584,0.023033426,0.047710775,0.027360456,-0.012976318,0.051335892,0.036150549,0.019561686,0.009920286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225008,0.010136105,0.055415665,0.048039975,0.037512242,0.030513783,0.038829473,0.021123777,0.009828294,-0.004820234,-0.011471237,-0.013219089,-0.010983484,-0.010736171,-0.009500333,-0.003443239,-0.011373892,-0.024315451,0.005775706,-0.00694362,-0.012970899,-0.012298714,-0.012975105,-0.001403462,-0.004404665,0.008476378,-0.008442539,0.003336773,0.007105302,0.022395731,0.005761659,0.02829437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013173215,0.025873517,0.012658774,-0.021633883,-0.011960238,-0.012502347,-0.000844732,-0.018416007,-0.011733827,-0.015626288,-0.024716267,-0.017331096,-0.003971182,-0.010084221,-0.016890136,0.00089112,-0.006422034,-0.010815647,-0.000980035,-0.007629908,-0.016348096,-0.010711636,-0.023977139,-0.015643647,-0.019643479,-0.01754381,-0.011292714,0.000172044,-0.00596987,0.009566876,0.003462587,0.011351097,-0.015142199,-0.006021981,0.014303532,0.011475267,0.025561747,0.036875134,0.057163234,0,0,0,0,0,0,0,0,0
3,70.39742913,0,0,0,0,0,0.020232436,0.003281741,0.005684501,0.01072,0.011626713,0.014191274,0.012792507,0.007225561,0.007816075,0.008282029,0.004212898,-0.001080374,-0.007736393,-0.013073583,-0.021899795,-0.035056697,-0.032380144,-0.037729368,-0.026815666,-0.021741872,-0.031941185,-0.02308745,-0.023306991,-0.019502615,-0.026052544,-0.005523723,-0.009989507,-0.013326838,-0.011175813,-0.00893935,-0.010038064,-0.021309985,-0.042399776,-0.028376808,0.065628936,0.094488894,0.057268617,-0.002487069,0.005913776,-0.010760277,-0.041738026,-0.02628682,-0.019705722,-0.026194802,0.001140681,-0.002305633,-0.005995594,-0.01110256,-0.009072662,-0.005037062,-0.010445638,-0.002477077,0.002111277,0.011496829,-0.00104127,-0.036348134,0.039667484,0.00243085,0.040497754,-0.002496477,-0.051287387,-0.043665309,-0.064277526,-0.03740094,-0.034626469,-0.003227101,0.013226668,0.020542236,0.048618329,0.051761285,0.069358312,0.073400898,0.0845087,0.071084295,0.052180031,-0.013783172,0.004231592,-0.00220018,-0.023740414,-0.000250481,-0.039937433,-0.076525664,-0.089138479,-0.105546393,-0.092496137,-0.083436363,-0.070385054,-0.034243038,-0.019934052,-0.003521698,-0.006071803,-0.007893756,0.002462294,0.07530173,0.057343655,0.054087642,0.069912488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011910516,-0.026652582,0.062433089,0.050252617,0.048309049,0.063796273,0.050397528,0.046230895,0.053590341,0.028269002,0.011181119,0.007447078,0.015041546,0.009302726,0.001979873,0.025083607,0.010249761,0.002365053,0.012356922,-0.000263775,-0.006017198,-0.013069122,-0.015951304,-0.006482069,-0.013919752,-0.02283204,-0.004114166,-0.013870437,-0.003332213,0.000502656,-0.013632295,-0.00996357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039695594,0.041056879,0.034744857,0.004096564,0.002493075,0.012810881,0.010988019,-4.04E-05,-0.002301212,-0.005570405,-0.010584091,-0.000452415,-0.002707186,-0.008556402,-0.01446863,-0.003498198,-0.011757501,-0.000269109,-0.019569169,-0.019531808,-0.014629214,-0.008365518,-0.023502727,-0.021039254,-0.026994508,-0.030446178,-0.011011169,0.006433122,-0.037425972,0.013006959,-0.000694284,0.017657966,-0.000431656,-0.002228463,0.015601419,-0.004793902,0.022108976,0.030068108,0.052397337,0,0,0,0,0,0,0,0,0
4,164.5115107,0,0,0,0,0,0.02921308,0.032443429,0.023775378,0.018802435,0.021844973,0.015540322,0.006361347,0.00768685,-0.00531195,0.001381945,-0.013667983,-0.020113644,-0.026642042,-0.032483455,-0.036975192,-0.047316913,-0.042754662,-0.048602371,-0.036138014,-0.034227845,-0.027292683,-0.022116917,-0.022225868,-0.016875267,-0.011926625,0.003519517,0.010116796,-0.010669967,0.005903574,0.002291927,-0.004751034,-0.030884126,-0.049485187,-0.026158315,0.058952132,0.105248501,0.084132963,0.033858533,0.013003628,-0.039685211,-0.042280799,-0.022364787,-0.020249706,-0.018177434,-0.014448316,-0.009363031,-0.002549475,-0.006118205,0.002070761,0.006244185,-0.001954859,-0.003139812,0.013875262,0.016240971,0.030645507,-0.058997894,0.070348101,-0.03431991,-0.033215946,-0.035514932,-0.053055387,-0.041587289,-0.0521291,-0.047367383,-0.038674858,-0.026043465,-0.005316606,0.005022568,0.017247821,0.040209307,0.039116021,0.051060945,0.063386629,0.04979319,0.023850651,0.009271296,0.037564103,-0.042294206,-0.011554964,0.007104547,-0.014243534,-0.025831933,-0.044802786,-0.054752049,-0.046868366,-0.024118018,-0.022599531,-0.014784856,0.004450507,0.01891343,0.02909422,0.020874088,0.018085942,0.04905299,0.056296239,0.027353876,0.044607318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045777805,0.022356631,0.071861767,0.062764769,0.049895337,0.045309198,0.047079841,0.024498511,0.019300168,0.016068654,0.011219523,-0.000830845,-0.013136133,-0.008756221,-0.016214338,-0.018797249,-0.007233837,-0.018685661,-0.003566176,-0.020843626,-0.045395124,-0.042647454,-0.037179385,-0.023499883,-0.024051014,-0.024382491,-0.015015426,-0.008273983,-0.020671968,0.011516259,0.011004554,0.035982109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045339349,0.033942732,0.035655857,0.011566084,0.014531297,0.01799995,0.005087045,-0.012936256,-0.00488351,-0.014850283,-0.013674479,-0.007537765,-0.013487671,-0.00328079,-0.001146116,-0.003672044,-0.0008736,0.002069616,0.003231647,-0.007381459,-0.011453571,0.00458931,-0.012694795,-0.014800668,-0.019598591,-0.010957569,-0.006986878,0.014250781,-0.00071054,0.004981799,-0.012684262,-0.004609239,-0.014425601,7.82E-05,-0.013568063,-0.032291961,-0.003194839,0.000619784,0.013013211,0,0,0,0,0,0,0,0,0
5,126.2016082,0,0,0,0,0,0.047850936,0.010311079,0.00427645,0.007066638,0.005040263,-0.001141983,-0.002682524,0.015222988,0.004142829,0.021417443,0.015432006,0.011045218,-0.00109082,-0.014765058,-0.027116958,-0.047299459,-0.054680867,-0.0503075,-0.046659828,-0.047345929,-0.039533078,-0.02821492,-0.024099787,-0.015183754,-0.015575526,0.013482105,0.02312005,-0.007327588,0.012906888,0.026925505,0.015245519,-0.028180509,-0.062532303,-0.051928378,0.048075693,0.132455155,0.104969319,0.02604921,0.003151442,0.008788787,-0.03595733,-0.012479606,-0.01729279,-0.014456963,0.007984442,-0.003850093,-0.004017796,-0.017626549,-0.019365612,-0.005001949,-0.024034999,-0.020969094,0.003555242,-0.003244396,0.012409488,-0.06463926,0.08772117,-0.035849982,-0.015304592,-0.032428243,-0.088489776,-0.063536276,-0.088648365,-0.067850376,-0.058934356,-0.025110517,-0.004373482,0.009673409,0.043815543,0.052440609,0.063383998,0.075823372,0.089891209,0.059119444,0.05713081,-0.000276479,-0.004533342,-0.026305687,-0.019677307,0.030568822,-0.028624332,-0.048993623,-0.046772009,-0.059236376,-0.045116005,-0.033748927,-0.028659138,-0.012906805,0.008844498,0.029538099,0.040116629,0.031484842,0.015570497,0.046728715,0.05474266,0.017163134,0.041351029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100288085,0.027941303,0.076509893,0.05515621,0.043481005,0.043329368,0.047503639,0.024152474,0.014185304,0.018387854,0.00836981,0.010939476,-0.01121967,-0.002259943,-0.005899552,-0.000953089,-0.006518916,-0.028094542,-0.010957619,-0.04142463,-0.068535971,-0.051584916,-0.046656951,-0.024975513,-0.012819056,-0.016821766,-0.01252955,0.00423372,0.001678436,0.006555667,0.045618409,0.048402999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016249716,0.008547808,0.007849664,-0.018429082,0.001491707,0.012372589,0.01258099,0.000655753,0.002135592,0.004370174,-0.000868946,-0.0091666,0.003577165,0.009280918,-0.004706598,0.010873222,-0.007526611,0.013977677,-0.005395972,-0.006134845,-0.021841448,-0.003700008,-0.01470355,-0.022749048,-0.015865038,-0.008319891,0.006319548,0.014006914,-0.013884347,-0.012365892,-0.022658012,-0.005153181,-0.003131445,-0.01522401,-0.020677554,-0.016573164,0.00751826,0.011077958,0.028276474,0,0,0,0,0,0,0,0,0
6,114.2808446,0,0,0,0,0,0.034100281,0.004410041,-0.007077274,0.004780779,0.008805627,0.015747704,0.007224092,0.01491867,0.010023652,0.014520867,0.005236671,-0.001054518,-0.006974559,-0.013245173,-0.014324231,-0.025519289,-0.028422912,-0.03024194,-0.027797614,-0.023894934,-0.027344042,-0.021382666,-0.021273221,-0.020054568,-0.018079067,-0.002084775,0.000891754,-0.009189398,0.003761587,0.011863713,-0.00027697,-0.036215707,-0.072413556,-0.042786567,0.0439358,0.103102219,0.082344706,0.038624587,0.037517499,-0.028991726,-0.027981649,-0.025622254,-0.017742952,-0.020296355,-0.003850864,-0.004916017,-0.01787621,-0.014369776,-0.012071437,-0.010692532,-0.011945818,-0.001819795,0.013066818,0.00732236,0.0190594,-0.039460756,0.072204165,-0.016038601,-0.034990744,-0.036872452,-0.063817918,-0.044378249,-0.060736724,-0.044973822,-0.038661639,-0.019048946,0.000771946,0.015533382,0.026808809,0.048273204,0.04459408,0.053088341,0.061740166,0.051921092,0.036888094,-0.008659427,0.015143354,0.018410505,-0.024286098,-0.002355839,-0.050352409,-0.055026709,-0.061002342,-0.075225437,-0.048341029,-0.03738102,-0.027092948,-0.008545691,-7.25E-05,0.023029498,0.040460834,0.016860287,0.014175712,0.076847465,0.051963002,0.032222641,0.030016756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018602865,0.013454858,0.06810139,0.056966471,0.060425121,0.064744288,0.059384945,0.048229118,0.036975305,0.02294015,0.011341584,0.008278826,-0.000552517,-0.001599876,-0.00345365,0.007114628,-0.00298578,-0.014422584,-0.009952013,-0.025926959,-0.026556509,-0.027104336,-0.024245824,-0.019119091,-0.026632362,-0.031747325,-0.016119191,-0.013724991,-0.000389647,-0.00607123,-0.002953374,0.007885691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02511285,0.02590295,0.020571617,0.000399473,-0.009281571,-0.002905795,0.009139374,-0.002769961,-0.011589768,-0.004340556,-0.015469373,-0.010051488,-0.010397268,-0.010154363,-0.011533206,-0.014047342,0.002734161,-0.003583583,-0.00091074,0.001603058,-0.009673738,0.008413086,-0.010886855,-0.007595814,-0.006267379,-0.007490914,-0.011189001,0.020842389,0.008602013,0.008413964,-0.00012209,0.00643401,-0.010994352,0.00259908,-0.005026559,0.007807394,0.006596821,0.040336226,0.026295128,0,0,0,0,0,0,0,0,0
7,121.9368168,0,0,0,0,0,0.017789041,-0.013711282,-0.008638223,0.003221666,-0.015881524,0.004910813,-0.003693355,0.006973196,0.009654805,0.025282311,0.00802627,0.004908428,-0.004303039,-0.009281962,-0.028169714,-0.045783163,-0.04056644,-0.04950402,-0.033250565,-0.029031262,-0.030739523,-0.013538689,-0.011667941,-0.009457154,-0.005611572,0.031644955,0.025728863,0.010792308,0.027466081,0.036255998,0.02849216,-0.012079749,-0.073920309,-0.070810839,0.045600846,0.109799345,0.093912687,0.048778092,0.0694842,-0.026487207,-0.056573554,-0.041984089,-0.042723069,-0.039918691,-0.038382408,-0.031314486,-0.042324538,-0.032032171,-0.02522815,-0.014959038,-0.011022254,0.003370465,0.019855118,0.022290757,0.034846724,-0.01483812,0.06814817,-0.012811263,-0.012509856,-0.036354432,-0.066915992,-0.04203411,-0.065153885,-0.039015765,-0.026787332,0.005741654,0.017528168,0.032622758,0.0485826,0.067368067,0.059853441,0.062471365,0.066679974,0.049712058,0.030638179,-0.04097008,0.036238318,-0.039560229,-0.024778167,0.022256313,-0.046707471,-0.054961523,-0.070123224,-0.064773686,-0.034698589,-0.01748726,-0.025370455,-0.012637369,-0.009742864,0.016596368,0.051187874,0.024072328,0.033100152,0.048908006,0.045756922,-0.006809088,0.042778915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01871256,0.012389751,0.079965036,0.056945567,0.040339878,0.045994779,0.048102358,0.008562111,-0.000712091,0.018718586,-0.011947902,0.003628251,-0.009941833,-0.012250039,-0.020862494,-0.022855833,-0.021596959,-0.031030537,-0.021037161,-0.053437991,-0.05550821,-0.045233726,-0.025727383,-0.010713469,-0.006002707,-0.013380712,0.014629324,0.026689357,0.026421365,0.026818385,0.030088028,0.059421652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05109973,0.037811467,0.033370254,0.02782752,-0.002139237,0.00061039,0.01137613,-0.004165971,-0.0228797,-0.019429367,-0.02589932,-0.02050052,-0.024620059,-0.036509106,-0.021480794,-0.013091514,-0.013635057,-0.013854609,-0.025644222,-0.025392606,-0.031824607,0.000677306,-0.020068184,-0.018806172,-3.21E-05,-0.001422501,-0.001395556,0.038602818,0.016986631,0.022999316,0.016259265,0.015161377,0.000527728,0.011949151,-0.01200735,0.005873739,0.023106813,0.03089915,0.032091845,0,0,0,0,0,0,0,0,0
8,117.8272278,0,0,0,0,0,-0.001213394,-0.016605159,-0.014127974,0.006110271,0.007500463,0.002414026,0.004194269,0.004575704,0.008271236,0.009932524,0.016850822,0.004079953,-0.00317096,-0.009245014,-0.012044435,-0.02945575,-0.021155473,-0.026758253,-0.017597691,-0.015498016,-0.012476674,-0.008394091,-0.010890361,-0.008182022,0.005137637,0.004674585,0.004821309,-0.006574227,0.002175754,0.007486237,-0.007041968,-0.017120622,-0.038665839,-0.025032084,0.023828821,0.069096372,0.047054654,0.009700128,-0.036587809,0.003425127,-0.009843992,0.00151597,0.004298868,0.004266543,0.01330827,-0.004792784,0.005872599,-0.015528668,-0.012875099,-0.00785164,-0.017649932,-0.023412222,0.001442228,0.017544088,0.024864385,-0.019488303,0.061900261,-0.012905011,-0.014979227,-0.023712752,-0.068022388,-0.043816106,-0.06597725,-0.050978424,-0.037707446,-0.013616447,0.010396139,0.012276211,0.02756925,0.04313825,0.043291436,0.053796645,0.076150511,0.059290266,0.001446974,-0.001381853,0.037298288,0.008781882,-0.034000312,-0.024977298,-0.057244524,-0.073915194,-0.061859444,-0.06670385,-0.056370543,-0.025944,-0.030690708,-0.016240064,-0.004477169,-0.002534387,-0.008067675,0.005675142,0.012581051,0.050963278,0.079697919,0.064585759,0.064497154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045076753,0.055647546,0.043752789,0.037216637,0.057125103,0.051342029,0.045268377,0.041584089,0.024101266,0.015008849,0.012293541,-0.004227169,-0.006892688,-0.006642597,-0.009874681,-0.003917191,0.003274963,-0.012902093,-0.013333384,-0.03008571,-0.038078446,-0.019304361,-0.015682984,-0.009919246,-0.011741652,-0.03687291,0.006773296,-0.000870171,-0.00236694,0.007096024,0.007655816,0.003153724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013814091,0.006353009,0.006874294,-0.01599568,-0.020631301,-0.011188272,0.011263722,-0.008474789,-0.010387633,-0.009274432,-0.014409418,-0.00051931,-0.004880289,0.001102953,0.000450745,0.00017437,-0.002091237,0.001709267,0.009544069,0.004058658,-0.007245476,0.007520665,-0.018512483,0.004252687,-0.021517405,-0.005529995,-0.006291115,0.018571396,0.003007016,0.026168259,0.00828368,0.018408863,-0.008387684,0.012933327,0.013934296,0.004511215,0.029600427,0.020935519,0.014209153,0,0,0,0,0,0,0,0,0
9,166.6516807,0,0,0,0,0,0.004688813,-0.019630822,0.006601574,0.02475231,0.010082019,0.03819875,0.033562915,0.039694988,0.030090634,0.031014595,0.016234697,0.012951178,-0.003430498,-0.011293928,-0.009887063,-0.02910814,-0.018971457,-0.029379719,-0.008300506,-0.013604043,-0.025335538,-0.015642021,-0.01814598,-0.022974796,-0.027150705,-0.007564433,-0.018027646,-0.023142333,-0.018591441,-0.023662242,-0.025056683,-0.038543544,-0.042082198,-0.009486553,0.057647781,0.071726713,0.042688115,-0.002322559,-0.077878735,-0.032190134,-0.039794052,-0.02770037,-0.023155224,-0.014677866,0.020118884,0.018688403,-0.003820595,-0.00427135,0.000855664,0.009216714,-0.007486981,0.009047562,0.018383173,0.037390763,0.033668958,-0.020297578,0.012396993,0.017004817,-0.002059545,0.01665873,-0.023868724,-0.02333946,-0.053783528,-0.022672784,-0.019066271,-0.003401327,0.003599199,0.019454688,0.019832183,0.039530257,0.034223486,0.04172174,0.051662652,0.04757287,0.023450678,-0.054600755,-0.006806464,0.023526388,-0.027880848,0.004153404,-0.02208956,-0.0338616,-0.06507163,-0.080232717,-0.059124749,-0.051972651,-0.038682394,-0.012368463,0.006226287,0.008036464,0.003566773,0.010881983,-0.010131273,0.008153792,0.008270238,0.041874342,0.067870848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006729074,-0.046012882,-0.004368354,0.031771572,0.063495188,0.059385795,0.062454805,0.063402948,0.0457915,0.033522509,0.031788251,0.020739955,0.016177101,0.001047497,-0.005264531,0.011537062,0.004611597,0.003446016,0.011241336,-0.005772442,-0.02041769,-0.036762516,-0.025587562,-0.014320845,0.000626992,-0.019404026,-0.005833238,-0.012725618,-0.004120744,-0.025911744,-0.025219716,-0.015086644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023046418,0.035772667,0.020475225,0.004338313,-0.011653539,-0.000489664,0.007585762,-0.009572545,-0.00292021,-0.013108783,-0.021728928,-0.00765864,-0.015031387,-0.015672318,-0.010605502,-0.015613454,-0.008378201,-0.001905089,0.012125671,-0.003609319,-0.006390387,-0.001005144,-0.008480589,-0.016575956,-0.030834738,-0.022013756,-0.001385504,-0.001158518,-0.00543505,0.006337411,-0.000998722,0.01207719,-0.021878253,0.009562385,0.008528028,0.009663624,0.045424568,0.035318922,0.056829379,0,0,0,0,0,0,0,0,0
10,128.4204542,0,0,0,0,0,0.027969312,0.006149473,-0.000179102,0.001906464,-0.001923308,-0.002744573,-0.001783178,0.006625815,0.00262928,0.007474582,0.00967178,-0.001102771,-0.016135011,-0.029198497,-0.037923395,-0.050525299,-0.044317803,-0.042355142,-0.033070382,-0.032481652,-0.022892223,-0.015620201,-0.011386805,-0.003880721,-0.000248038,0.01881838,0.020608026,0.005727617,0.020347578,0.025825771,0.018467248,-0.013071795,-0.041557825,-0.026825202,0.051370468,0.093931296,0.072099497,0.027225123,0.000786744,-0.012427627,-0.02763527,-0.021735197,-0.024696108,-0.021974711,-0.021823118,-0.015659407,-0.010646081,-0.015025691,-0.008742503,0.005752592,-0.004593111,0.003175074,0.007445893,0.019291103,0.013848996,-0.033290092,0.041479467,-0.012462133,-0.001386243,-0.029509857,-0.047764134,-0.038343276,-0.057237454,-0.038967067,-0.018924875,-0.008024651,0.010149419,0.016106612,0.04247398,0.05187722,0.048809231,0.051538193,0.056955899,0.038759227,0.045716387,-0.01697638,0.030638332,-0.040432547,-0.006728322,0.025360661,-0.02167014,-0.060614684,-0.071368385,-0.081554651,-0.066508106,-0.044711693,-0.046178174,-0.023774427,-0.013155959,-0.001327864,0.018075903,0.00402308,0.002901035,0.066698478,0.068899273,0.041032362,0.050522354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016361087,0.003760827,0.055236742,0.046575443,0.046507688,0.042190345,0.048029342,0.028735495,0.034040321,0.021324279,0.007069194,0.000280185,0.001183596,0.000877127,-0.00080599,-0.006927482,-0.004601744,-0.011404231,0.003977114,-0.011563953,-0.019272868,-0.019758145,-0.021809008,-0.014194407,-0.022653214,-0.017777537,0.000484833,0.006521966,0.00493993,0.007191363,-0.006322564,0.010616584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044243814,0.037832226,0.035877466,0.01749932,0.009845821,0.019858156,0.015702157,-0.002641453,-0.00626762,-0.00412637,-0.011641503,0.000495957,-0.005916652,-0.00624332,-0.007983656,-0.001202342,0.001726348,-0.010575485,-0.007161269,-0.025912907,-0.024251008,-0.012652387,-0.035436614,-0.013836997,-0.030483487,-0.025682481,-0.013121778,0.002013522,-0.010177936,0.002090209,-0.005903075,0.005245735,-0.028073875,0.005295826,-0.001691765,-0.015030865,0.01110835,0.023770827,0.027376329,0,0,0,0,0,0,0,0,0
