Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,-0.886924646,0,0,0,0,0,-0.001125786,-0.000338409,-0.000438714,-0.000344023,-0.000239162,-0.000379497,-0.000290597,-0.00012454,-0.000131025,-6.81E-05,0.000150751,0.000298695,0.000496928,0.000615846,0.000600791,0.000409848,0.000381701,0.000494173,0.000561599,0.000556415,0.000627458,0.000765798,0.00073659,0.000920434,0.001033724,0.000984629,0.001341588,0.001176724,0.001203993,0.001324804,0.001289042,0.00048062,-0.001015777,-0.002245933,-0.00191672,-0.000242522,0.000853464,0.000173212,0.000374369,0.000656195,0.000247309,0.000322479,0.000254555,-0.000170343,0.000698169,0.000580353,0.000376567,0.000283979,0.000168132,0.000532177,1.68E-05,-0.00071407,-6.96E-05,0.000231193,0.000263924,-0.001413074,0.003662393,-0.000140094,-0.000659595,-9.41E-05,-0.00120972,-0.000615592,-0.000748317,-0.00059233,-0.000510212,-0.00027375,3.04E-05,0.000214982,0.00043093,0.000353135,0.000235658,0.000214071,0.000124174,-0.000412957,-0.001333165,0.000770223,0.000711845,0.000218623,-0.000336669,-0.000500796,-0.000989372,-0.000616922,-2.37E-05,-3.70E-06,0.000155626,-0.000351197,-0.000451181,-0.000736581,-0.000558144,-0.000411595,-0.000540582,-0.000495397,-0.000371268,-0.000218827,-7.20E-06,-0.000888056,-0.000780732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00206884,-0.001463345,-0.002678115,-0.003115186,-0.002654295,-0.002361809,-0.002073623,-0.001576229,-0.001265804,-0.001153358,-0.000764585,-0.000211681,-0.000116317,6.33E-05,0.000321152,0.000350098,0.000518856,0.000707223,0.001117851,0.001331529,0.001613686,0.001104286,0.00116475,0.00123776,0.001518529,0.001372036,0.001463519,0.001296529,0.000576896,0.001151402,0.000622578,0.000245589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000980419,-0.001181682,-0.001250806,-0.000569512,-0.00039944,-0.000693817,-0.000579652,-0.000437737,-0.000109418,8.39E-05,0.000194333,0.00043904,0.000616139,0.00066264,0.000619232,0.000457816,0.000647772,0.000688729,0.000523119,0.000707725,-5.90E-05,0.000146976,0.000321354,3.04E-05,0.000446625,0.000621866,0.00061782,0.000469973,0.000581173,0.000381678,0.000244753,2.21E-05,-0.000277941,-4.77E-05,-5.78E-05,0.000430558,0.00016719,-0.000756571,-0.000898921,0,0,0,0,0,0,0,0,0
2,-1.035289068,0,0,0,0,0,-0.000462846,1.06E-05,-0.000248994,-0.000316742,-0.000275309,-0.000535382,-0.000363764,-0.000299795,-0.000117407,-5.83E-05,0.000419471,0.000873897,0.001078839,0.001156471,0.00118316,0.001147529,0.000972197,0.000808159,0.00067632,0.000718132,0.000813754,0.000759426,0.000755703,0.000720768,0.000698756,0.000554051,0.000750199,0.000485969,0.000639904,0.000705675,0.000632962,0.000920941,0.000382233,-0.001386445,-0.002119979,-0.001473347,-0.000645151,-0.001274479,0.000829247,0.000831543,0.000311969,0.000345441,0.000385641,-0.000143865,0.001124631,0.000846721,0.000543562,0.000381473,0.000307801,0.000517295,0.000111619,-0.000783794,-9.63E-05,0.00045515,0.000590422,-0.002374918,0.004756092,-0.000596757,-0.000773568,-0.000294117,-0.001742916,-0.000953444,-0.001413606,-0.00117228,-0.000881709,-0.000357686,0.000119678,0.000383041,0.000832096,0.000902228,0.001104625,0.000870661,0.000510316,0.000293712,-0.001097315,0.00015926,0.001385153,0.000419771,-0.000382079,4.76E-05,-0.001052676,-0.001098073,-0.000246835,-0.000709223,-0.00037438,-0.000388828,-0.000725186,-0.000664239,-0.000683603,-0.000292443,-0.000293183,-0.00047758,0.000626372,-0.00059997,-8.30E-05,-0.001245173,-0.001259434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000739179,-0.001328241,-0.001300745,-0.000638437,-9.23E-05,-6.44E-05,-0.000503332,1.37E-05,2.11E-05,0.000170091,0.000328596,0.000678224,0.000593603,0.000577664,0.000605313,0.000578522,0.000633115,0.000499656,0.000358305,0.000491708,0.000515681,0.000336519,0.000312945,0.000854966,0.001013009,0.00118333,0.001091836,0.0009945,0.001158285,0.000538775,0.000792137,0.000406573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002394853,-0.001884617,-0.002129497,-0.00239181,-0.002072751,-0.000923954,-0.00067955,-0.000698887,-0.000187634,0.000239537,0.000157441,0.000316119,0.000493977,4.61E-05,2.12E-05,0.000237413,0.000126722,0.000117533,0.000135996,0.000126251,-7.43E-05,0.000134648,-7.22E-05,-3.68E-05,9.55E-05,0.000357405,0.000296331,-6.35E-05,-4.90E-05,-0.000278178,-0.000293778,0.00011487,-0.000341865,-0.000275347,-0.000760319,9.77E-05,-0.000226386,-0.000788095,-0.000738361,0,0,0,0,0,0,0,0,0
3,-1.028121021,0,0,0,0,0,-0.001239977,-0.000621009,-0.000409304,2.48E-05,7.86E-05,0.000315806,0.000381035,0.000313001,0.000441985,0.000487224,0.000743332,0.001009734,0.001082857,0.001164119,0.001132728,0.000645916,0.000620285,0.000471945,0.000534199,0.000514066,0.000437567,0.000353469,0.000315213,0.000349356,0.000451911,0.00040864,0.000413618,0.000162697,0.000318484,0.000413077,0.000509409,0.000279812,-0.000971451,-0.002424373,-0.001774762,-0.000188474,0.000574374,-0.000288826,-0.000483686,0.000548266,0.000420586,0.000622527,0.000677957,0.000516941,0.001079402,0.000724846,0.000301355,0.000192719,0.000224283,0.000124075,2.07E-06,-0.000620546,-7.92E-05,-0.000216514,-0.000365906,-0.001171035,0.00281865,-0.000102054,0.000427398,0.000263393,-0.001293242,-0.001060898,-0.001448759,-0.00100963,-0.000831004,-0.000335288,-5.29E-05,0.000299461,0.000381169,0.000370239,0.000537542,0.000589348,0.000757979,0.000657062,-0.001000478,4.95E-05,0.000858443,-0.000117064,-0.000310701,-0.000279973,-0.000981111,-0.001195979,-0.000827013,-0.000997372,-0.000821983,-0.000621919,-0.000715812,-0.000588499,-0.000734799,-0.000370231,-0.001157165,-0.000384159,-0.000734791,2.81E-06,0.000402983,0.000854581,0.00042749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000433832,-0.000257749,-0.001108664,-0.000713375,-0.001047838,-0.001048834,-0.001220828,-0.000658119,-0.000780802,-0.000748567,-0.000376652,-0.000178844,6.19E-05,9.41E-05,0.000256127,0.000815674,0.000924572,0.000719171,0.001626012,0.001145935,0.001424176,0.001077863,0.000859621,0.001012711,0.001554321,0.001011796,0.001186769,0.000540882,0.000715952,0.000727033,0.000322046,0.000105913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002161797,-0.001900149,-0.002099411,-0.002290161,-0.001979982,-0.001334285,-0.001297311,-0.000676935,-0.000493354,-0.000296915,1.20E-05,0.000347161,0.000567336,0.000516993,0.000863601,0.000612368,0.000581683,0.000793429,0.00089178,0.000534768,0.000380779,0.000184965,0.00045851,-2.80E-06,-3.04E-05,0.000106302,0.000215549,5.72E-05,0.000129989,-0.00029918,-0.000200392,-8.94E-05,-0.00069025,-0.000541742,-0.000508318,-0.00087049,-0.00031222,-0.000839673,-0.000730167,0,0,0,0,0,0,0,0,0
4,-2.153879801,0,0,0,0,0,-0.001818689,-0.000767249,-0.000856011,-0.000612609,-0.000302495,-0.000421735,-0.000267812,-0.000129326,-0.00022572,2.50E-06,0.000310287,0.000612594,0.000772706,0.000945365,0.001028047,0.000974191,0.000866657,0.00107823,0.000885782,0.001044144,0.001102556,0.001106234,0.001025624,0.001094617,0.001123163,0.000893237,0.001068688,0.0009046,0.000888034,0.000952482,0.000987892,0.000741314,-0.000220977,-0.001384281,-0.0021028,-0.001237906,-3.55E-05,-0.000216939,0.001298896,0.000627997,0.000488827,0.0005664,0.000312842,-3.59E-05,0.000786737,0.000639609,0.000464252,0.000466721,0.000291093,0.000413328,0.000136428,-0.00049347,-7.81E-06,-0.000137889,-0.000112512,-0.001932803,0.004070091,-0.000682302,-0.00078056,0.000174344,-0.000743017,-0.000525959,-0.000588243,-0.000433694,-0.000349232,-0.000396903,-0.000151917,-8.94E-06,-3.96E-06,-5.13E-05,-3.95E-05,-6.30E-05,-0.000201538,-0.000585935,-0.001080265,0.00101289,0.001053064,-0.000178352,0.000183954,-0.000542346,-0.001253033,-0.000736666,-0.000461752,-0.000327855,-0.0003114,-0.000468814,-0.000531549,-0.000479059,-0.000203458,-4.34E-05,3.10E-05,0.000214686,0.000117217,0.000247538,0.000415086,-0.000458371,-0.000506609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003037281,-0.001604011,-0.002915461,-0.002808286,-0.002375843,-0.002187694,-0.001894176,-0.00145419,-0.001295104,-0.000966329,-0.00065571,-0.000241398,9.97E-05,0.000261025,0.000402909,0.000396317,0.000466245,0.000645218,0.000962727,0.001110074,0.001371961,0.000818148,0.000886585,0.000804752,0.00105072,0.000976974,0.000685441,0.000682897,3.35E-05,0.000693035,7.03E-05,0.00020059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001822256,-0.001544943,-0.001493286,-0.001173211,-0.000890562,-0.000600361,-0.000391899,-0.000113081,0.000357402,0.000563849,0.000687724,0.00096932,0.000978258,0.001100088,0.001241896,0.001181629,0.001093029,0.00116702,0.000990426,0.001024457,0.000816847,0.000742191,0.000922954,0.000345624,0.000819374,0.000744946,0.000446498,0.000240087,0.000220177,0.000274422,3.65E-05,-0.000122334,-0.000246319,-0.000431291,-0.000191381,-0.000398184,-0.000257579,-0.000997757,-0.001249984,0,0,0,0,0,0,0,0,0
5,-3.45369464,0,0,0,0,0,-0.001768478,-0.001283032,-0.001140834,-0.000693028,-0.00016899,-0.000390629,8.55E-06,6.14E-05,-6.33E-05,1.81E-05,0.000467688,0.000671649,0.000946443,0.001191151,0.001147646,0.000882705,0.000787645,0.001059381,0.00100003,0.00097786,0.001058518,0.001097396,0.00122985,0.001227191,0.001254643,0.00127526,0.001587197,0.001196626,0.001348402,0.001513293,0.001653116,0.000715921,-0.000928311,-0.002650996,-0.002423193,4.31E-07,0.001375843,0.000216643,0.001420443,0.0006212,0.000402069,0.000293595,0.000404757,-2.08E-06,0.000968951,0.000839293,0.000678616,0.000320742,0.000331164,0.000274097,0.000151994,-0.001015171,-0.000482875,-0.000919551,-0.001164144,-0.003062238,0.004010457,-0.001040332,0.000237696,0.000125802,-0.001332419,-0.000754521,-0.001111695,-0.000967946,-0.000835181,-0.000731966,-0.000401077,-0.000178288,9.25E-05,0.000127593,0.000133362,0.000151881,-1.52E-05,-0.000171968,-0.000136421,0.001327604,-0.000121826,-0.000959759,0.000396445,0.001167803,-0.000417079,-0.000923769,-0.000699983,-0.000917971,-0.000684468,-0.00103566,-0.000516244,-0.00048887,-0.000158889,0.000444661,-0.000121214,0.000193266,-0.000485909,0.00051869,0.001438665,0.001380767,0.001762368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00241565,-0.001428247,-0.003038939,-0.003387655,-0.002704497,-0.002644932,-0.002404258,-0.001859845,-0.001190398,-0.001638078,-0.000972328,-0.000343185,-0.000190644,1.35E-05,0.00065184,0.000524206,0.000762557,0.000910033,0.001773084,0.001606301,0.001547818,0.000955397,0.000646305,0.000620836,0.00095561,0.000594566,0.000729566,-0.00011017,0.000271901,6.25E-06,-9.86E-05,-0.000238739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001421994,-0.001843511,-0.001377715,-0.000833734,-0.000737991,-0.000923159,-0.000901687,-0.000374416,-0.000158707,0.000108704,0.000491591,0.000557154,0.000834638,0.001167098,0.001380614,0.00098065,0.001192292,0.001143088,0.001001082,0.001097616,0.000701395,0.000563724,0.000701581,0.000127448,0.000513367,0.000426793,0.00076492,0.00059506,0.000411411,-0.000107889,0.000400644,0.000500004,-0.000317213,-0.000283024,-0.000517073,1.49E-05,0.000613668,-0.000340353,-0.000736302,0,0,0,0,0,0,0,0,0
6,-1.345047319,0,0,0,0,0,-0.002165669,-0.000972776,-0.000992297,-0.000840475,-0.000273704,-0.00036783,-0.000421242,-0.00012179,-7.69E-05,5.63E-05,0.000579661,0.001041494,0.001199059,0.00130283,0.001105687,0.000808011,0.000619129,0.000603802,0.000486769,0.000665755,0.000815828,0.000883947,0.000791199,0.000888822,0.00108662,0.000995829,0.00127693,0.000874448,0.00103489,0.001302334,0.001234149,0.001008059,-0.000305827,-0.002080655,-0.001925337,-0.000643951,8.63E-05,-0.001182474,8.37E-05,0.00017666,-0.000254648,0.000109303,0.000144435,-0.000369836,0.000776694,0.00096369,0.000660792,0.000510093,0.000461352,0.000430921,0.000392081,-0.000103489,0.000331975,0.000756937,0.00086605,-0.00076868,0.003216927,-0.000232993,-0.000351804,7.09E-05,-0.000834252,-0.000511446,-0.000664311,-0.000617533,-0.000424092,-3.38E-05,7.79E-05,0.000637745,0.000596169,0.000614694,0.000721905,0.000654889,0.000549538,0.00022958,-0.001282407,-0.000642848,0.000297474,-0.000313664,-0.000275603,0.000103602,-0.001042186,-0.000921628,-0.000434107,-0.00087294,-0.000370933,-0.000536405,-0.000887018,-0.000963084,-0.001213152,-0.000858218,-0.001019603,-0.000704742,7.06E-05,3.27E-05,0.000295207,-0.001149591,-0.002175553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000926461,-0.000173863,-0.001295463,-0.001445091,-0.000982867,-0.000970866,-0.001339953,-0.000566763,-0.000611893,-0.000322146,-0.000365615,0.000110861,0.000368779,0.000253524,0.000368164,0.000566993,0.000661969,0.000369346,0.000773181,0.001297091,0.001156419,0.001021253,0.00084246,0.001028679,0.001299983,0.00181861,0.000946981,0.001287812,0.000781786,0.001353288,0.000818572,0.000701044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002088039,-0.001790605,-0.002193229,-0.002042378,-0.001740863,-0.001159116,-0.000688866,-0.000603262,-0.000162414,0.000257451,0.000188194,0.000496064,0.000618126,0.000238665,0.000262389,0.000718246,0.000450045,0.000400331,0.000333508,0.000276328,1.48E-06,-0.000312273,-9.88E-05,-0.000276976,-0.000431596,0.000329823,-0.000180376,-5.23E-05,-0.000322255,0.000121608,-7.78E-06,-0.000160638,0.000448516,-0.000386265,-0.000526833,0.000218931,0.000507715,-0.00043261,-0.000359258,0,0,0,0,0,0,0,0,0
7,-1.564855616,0,0,0,0,0,-0.003168083,-0.000928565,-0.001095756,-0.000856859,-0.000156917,-0.000814711,-0.000757589,-0.00056125,-0.000624387,-0.000489461,-9.18E-05,0.000226733,0.000486877,0.000628294,0.000497733,0.000649395,0.000673542,0.00097569,0.000945087,0.001299145,0.001381967,0.001210268,0.001245465,0.001336698,0.001590757,0.001443951,0.001864821,0.001436125,0.001557211,0.001645111,0.001723632,0.001691447,0.000630472,-0.001172037,-0.00236136,-0.001938381,-0.000944724,-0.00141647,-0.000972072,0.000139489,0.000434646,0.00089334,0.000889124,0.000364163,0.001838844,0.001495859,0.001047381,0.001077375,0.00104344,0.00100202,0.000525378,-0.000148001,0.000517974,0.000419222,0.000904879,-0.001966803,0.005068358,-0.000648705,-0.00183388,-0.000182868,-0.001269625,-0.000897647,-0.000902037,-0.000917415,-0.000851728,-0.000889301,-0.000610615,-0.000395218,-0.000401068,-0.000716183,-0.000336293,-9.30E-05,1.85E-05,-0.000220684,-0.001879658,-0.000189646,0.001436236,0.001109381,-0.00069122,-0.001437083,-0.001335277,-0.000520468,0.000337752,-2.73E-05,0.000387162,0.000168118,-0.000112654,-7.42E-05,-0.000167283,0.000414257,-0.000291901,0.000241724,3.92E-05,-0.000239641,0.000782266,-0.000128818,0.000344443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001962027,-0.000735042,-0.001914383,-0.001609051,-0.001164271,-0.001311996,-0.001175128,-0.000529798,-0.000271884,-0.000107794,0.000302727,0.000393073,0.0003907,0.000610983,0.000508347,0.000475565,0.000390999,0.000158014,0.000565717,0.000396484,0.000481937,2.43E-05,-0.000105511,-8.95E-05,-6.88E-05,0.000379294,0.000195974,-7.17E-05,0.001307183,0.000158559,0.000109186,-0.000633198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00195933,-0.001500871,-0.001573413,-0.001392281,-0.00071258,-0.000357719,4.05E-05,0.0003836,0.000532299,0.00070305,0.000821079,0.000947065,0.000979743,0.001137351,0.001222403,0.0010229,0.000788169,0.000470902,0.000343307,0.000737229,0.000170317,6.56E-05,0.00034261,-3.83E-05,0.000436924,0.000369042,0.000575081,0.000505468,0.000551753,6.94E-05,-0.000130916,-0.000122813,-0.000257002,-0.000564961,-0.000529775,-0.000133035,-0.000471086,-0.001324156,-0.001765495,0,0,0,0,0,0,0,0,0
8,-1.644391667,0,0,0,0,0,-0.001236981,-0.000739616,-0.001004711,-0.000836408,-0.000465996,-0.00077137,-0.000490846,-0.000440339,-0.000350441,-0.000249416,0.000224357,0.000690595,0.001035333,0.001326568,0.001257734,0.001104209,0.000926268,0.00090378,0.000750925,0.000764596,0.000842906,0.000714619,0.000651527,0.000820535,0.000789782,0.000650316,0.000862596,0.000696547,0.00067992,0.000738073,0.000769735,0.000417481,-0.000320631,-0.001613533,-0.001765944,-0.000666812,0.000357767,-0.000256028,0.001276662,0.001025144,0.000598078,0.00062841,0.000684436,7.16E-05,0.001072915,0.000788364,0.000184128,0.000322198,-7.96E-05,6.57E-06,-0.00029478,-0.001114736,-0.000347804,-0.00035924,-0.000285541,-0.002164556,0.004584938,-0.000290322,-0.000436944,-0.000303114,-0.001610852,-0.001133345,-0.001243727,-0.000940495,-0.000811216,-0.000430209,-0.000271924,0.000148065,0.000538915,0.000375968,0.000264908,0.000329037,0.000199199,-0.000134601,-0.000574186,0.000976051,0.000831337,-0.000225096,0.000127062,-0.000642629,-0.001067072,-0.000916561,-0.000186002,-0.000234415,0.000100886,-0.000159536,-0.000124152,-0.000333911,-0.000257573,7.33E-06,1.59E-05,5.46E-05,-0.000562249,0.000220753,0.000138984,-0.000377946,-0.000959126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002116709,-0.00132543,-0.002252916,-0.002353044,-0.00275746,-0.002311215,-0.002298764,-0.00178302,-0.001521726,-0.001276621,-0.000853173,-0.000468952,-0.000227826,0.000170597,0.000347519,0.000536346,0.000541291,0.000719727,0.001102872,0.001245808,0.001632121,0.001183493,0.001058554,0.000902353,0.001440002,0.001714473,0.001306182,0.001208888,0.001050626,0.000694546,9.84E-05,1.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001775823,-0.00159353,-0.001586659,-0.001211823,-0.000725776,-0.000517601,-0.000705273,-0.000136818,0.000134447,0.000493415,0.000658179,0.000822439,0.000948025,0.000892848,0.000989818,0.001069197,0.001052043,0.00072245,0.00045707,0.000696382,0.000218417,0.00017879,0.000179955,4.94E-05,0.000510546,0.000771442,0.000353137,0.000867488,0.000636067,0.000238163,-0.000218912,-3.43E-05,-0.000362237,-0.00032846,-0.00029369,-0.000332892,-0.000550345,-0.001207182,-0.001432896,0,0,0,0,0,0,0,0,0
9,-1.41630536,0,0,0,0,0,-0.000129756,6.74E-05,5.47E-05,3.60E-05,0.000117387,2.68E-05,2.29E-05,2.00E-06,-1.59E-05,5.47E-05,0.000357608,0.000773457,0.00106963,0.001357803,0.001048633,0.000802914,0.000698868,0.00049638,0.000367746,0.000336143,0.000440033,0.0003137,0.000336323,0.000297509,0.000313319,0.000219403,0.000376494,0.00013857,0.00015262,0.000122949,0.000312174,-6.65E-05,-0.001139657,-0.002364688,-0.001989153,-0.000162264,0.000802075,0.000182764,0.002334396,0.000622842,0.00040824,0.000374853,0.000423895,-3.04E-05,0.000635598,0.000712809,0.000466614,0.000373954,0.000425993,0.000263967,0.000287235,-0.000578481,-5.03E-05,-0.000487425,-0.000286316,-0.002288736,0.003856411,-0.000837252,-0.000378424,-8.94E-05,-0.001181833,-0.000773236,-0.00093868,-0.000897635,-0.000650989,-0.000629099,-0.000328792,7.76E-05,0.000161263,-9.13E-05,0.000159555,9.25E-05,-0.000105209,-0.00042815,-0.000674396,0.000661318,0.000227703,-0.000522552,0.000344632,0.000270152,-0.000605284,-0.000965655,-0.000787259,-0.001220068,-0.000839127,-0.00075065,-0.00048781,-0.00049065,-0.000427514,-6.70E-05,-0.000187932,-5.98E-05,0.00047751,0.000625919,0.000436773,0.000617889,0.000602077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001725369,-0.001489373,-0.001951193,-0.002139425,-0.002197299,-0.001974359,-0.002327085,-0.001614241,-0.001393824,-0.001219919,-0.000720656,-0.000479273,-0.000262986,9.65E-05,0.000262436,0.000437277,0.000541095,0.000670196,0.001049289,0.001130723,0.001315344,0.001063444,0.000964832,0.000844001,0.001014543,0.000858651,0.000636983,0.000287211,0.000629111,0.000385188,0.000362665,0.000261877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001663553,-0.001484356,-0.001444953,-0.001118455,-0.00084568,-0.000507895,-0.0005246,-0.000124545,0.000203152,0.000351867,0.000568331,0.000736529,0.00098774,0.000843504,0.001111846,0.000883334,0.000992375,0.001007486,0.000987468,0.000803226,0.000796172,0.000693523,0.000936647,0.000412424,0.000491957,0.000822705,0.000511832,0.000245957,0.000166471,0.000219951,7.27E-05,0.000116927,-0.000140581,-0.000119378,-0.000269336,-0.000183415,-0.00027771,-0.00080836,-0.000811652,0,0,0,0,0,0,0,0,0
10,-1.141885362,0,0,0,0,0,-0.000635706,-0.000329186,-0.000767214,-0.000643597,-5.54E-05,-0.000413177,-0.000148286,-0.000192083,-0.000237989,1.89E-05,0.000139447,0.000162685,0.000417222,0.000689419,0.000735527,0.000756787,0.000674029,0.000802236,0.000889416,0.000902768,0.00078879,0.001008955,0.0009678,0.000982405,0.001274126,0.000982311,0.001396317,0.00090687,0.001075427,0.001128953,0.001019994,0.000157526,-0.000751135,-0.001738532,-0.001419274,-0.000538588,0.000366442,-0.000822956,-0.001279365,8.27E-05,7.80E-05,0.000498252,0.000588568,-1.69E-05,0.001391978,0.000925785,0.000486397,0.000481125,0.000262564,0.000414462,-0.000336896,-0.001448554,-0.000608439,-0.000640476,-0.000757455,-0.003969385,0.006508052,-0.000397813,0.000746757,0.001375514,-0.000451241,0.000642148,-7.84E-05,-0.000176578,-1.85E-05,0.000263956,0.000240177,0.000591201,0.000694395,0.000334659,6.91E-05,0.000359527,0.000514436,5.48E-05,-0.000732573,0.001286139,0.001124291,-0.000103722,0.000331137,-0.000510556,-0.000850852,-0.000744086,-0.000432985,-0.000513379,-0.000773138,-0.001010547,-0.001193393,-0.001085896,-0.000910448,-0.000955691,-0.00195098,-0.000870299,-0.001636658,-0.001637194,-7.28E-05,-0.001262603,-0.000674377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001276454,-0.000917791,-0.001696977,-0.001839979,-0.00183501,-0.001448539,-0.000938744,-0.000808295,-3.97E-05,-9.28E-05,0.000293033,0.000757475,0.000821456,0.000782988,0.000888373,0.000987929,0.001559341,0.001033335,0.001870955,0.001803903,0.001503016,0.000839537,0.001254356,0.000740738,0.000981956,0.00078333,0.00068659,0.000420423,0.000277699,0.000136717,0.000272051,5.60E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001968207,-0.002256688,-0.002005095,-0.00185237,-0.001487883,-0.001004008,-0.000814126,-0.000492406,-0.000168678,-0.000335139,-1.55E-05,0.000139366,0.000409714,0.000430228,0.000940647,0.000568459,0.000623305,0.000879563,2.67E-05,0.00054301,-0.000123106,-0.000180789,-0.000289505,-0.0002941,-2.17E-05,0.000250214,-9.47E-05,0.000288407,0.00017108,3.17E-05,2.80E-05,0.000226354,4.90E-05,-0.000207972,-0.000760035,0.000495021,0.000205446,-0.00049564,-0.001789125,0,0,0,0,0,0,0,0,0
