Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,31.3535741,0,0,0,0,0,-0.013219225,-0.00968933,-0.005515713,-0.003058401,0.00922883,0.012744563,0.007744062,0.010564972,0.009809642,0.009827664,0.007344934,0.007155217,0.002757607,0.002021753,0.001483434,-0.003333272,-0.00467714,-0.0069996,-0.002914147,-0.005877297,-0.005545541,-0.005823788,-0.004894271,-0.006465345,-0.00412053,-0.006511858,-0.005680153,-0.005284171,-0.005287549,-0.004695183,-0.005758087,-0.007520974,-0.023837961,-0.021069679,0.006500611,0.025507501,0.013693452,0.01030018,0.009039609,-0.004368619,-0.012825881,-0.008156291,-0.006102199,-0.001075302,-0.006982743,-0.004107716,-0.002431611,-0.000762214,-0.000988144,-0.00115809,-0.000106971,0.013783371,0.004707867,0.012882183,0.010015166,0.025422622,-0.023797711,-0.017069714,-0.000741244,-0.003811198,-0.007528046,-0.012504189,-0.023070424,-0.010040417,-0.008092039,-0.008249384,0.000591469,0.000571546,-0.005311352,0.00767372,0.007595169,0.011249568,0.018226533,0.014018327,0.009911508,-0.017850952,-0.000218826,-0.01335371,-0.005460273,2.90E-05,0.001530364,-0.002011167,-0.012289216,-0.006659788,-0.013558359,-0.004843028,-0.003882837,0.003754815,-0.000202344,0.002611747,0.007818833,0.009797239,0.000334997,0.014236516,0.022863504,0.007647231,0.003916834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006969911,0.006085302,0.017825439,0.027647862,0.019550982,0.01496543,0.008603169,-0.002000467,-0.004736838,-0.003530904,-0.007331938,-0.012372668,-0.010058715,-0.012417039,-0.005713748,-0.008725899,-0.005667734,-0.007451854,-0.001106712,0.00166055,-0.005600966,-0.008319625,-0.002537064,-0.003412221,0.010509409,0.004129394,0.005357387,-2.04E-05,0.010608884,0.001376064,-0.004363465,0.006335196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012109687,0.005321794,0.004187954,-0.015588518,-0.010213933,-0.003175049,0.000758741,-0.007489083,-0.004953558,-0.003528817,-0.002952389,0.003616206,-0.005208017,0.002199894,-0.003547368,0.002776691,0.000867972,0.005221777,0.010000204,0.011643202,0.003714814,0.008011248,0.005853375,0.00309359,0.002369012,-0.001893943,-0.011986189,0.002314116,0.001567065,-0.001300514,-4.91E-05,0.004305786,-0.002216674,0.002549762,-0.009211001,-0.009937704,0.002839328,0.002017171,-0.001378674,0,0,0,0,0,0,0,0,0
2,33.43331773,0,0,0,0,0,0.003599554,0.001988332,0.002607404,0.005428446,0.000314871,0.006512818,0.004382721,0.00717162,0.007704404,0.004407899,0.00277792,0.0004859,-0.00255233,-0.005498459,-0.008125441,-0.010478142,-0.007419115,-0.007346931,-0.002944577,-0.004050277,-0.00447098,-0.004538139,-0.005129769,-0.003361047,-0.002677181,-0.002709372,-0.004074982,-0.003676415,-0.002593505,-0.003660111,-0.005921023,-0.008881677,-0.020841921,-0.012984587,0.009020299,0.019814248,0.010851779,0.011524228,-0.008383925,-0.005282089,-0.003324872,0.00076011,-7.05E-05,0.006844703,-0.001621422,4.35E-05,-0.004936657,-0.001477493,2.20E-05,-0.00668386,-0.000305648,0.003294011,0.001551095,0.003052443,-0.00017141,0.018736783,-0.011895051,-0.005728242,0.006519189,0.004271633,-0.002816822,-0.007354155,-0.012697824,-0.00389206,-0.010278054,-0.003519984,-0.001792598,-0.000811189,-0.004256545,0.004578814,0.006317076,0.009154215,0.01659024,0.01442028,-0.001913464,-0.01499084,-0.00091529,0.00093436,-0.014345231,-0.009147096,-0.003605375,-0.008311331,-0.016216242,-0.015152493,-0.013908099,-0.009013855,-0.008274734,0.001342737,0.000310917,0.003760706,0.005314981,0.006055149,0.002640722,0.000580681,0.014858507,0.014526716,0.026195248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013663079,0.017961845,0.006964463,0.013693318,0.016061137,0.014578622,0.010945116,0.00782986,-0.000675378,-0.000923753,-0.000798499,-0.007609804,-0.00412639,-0.005232018,-0.008452923,-0.004626031,-0.005863801,-0.002927267,0.000931743,0.003025076,0.002237585,-0.003981684,-0.0057525,0.000448339,-0.000949439,-0.006310817,0.000337808,-0.00022254,0.004239305,-0.000651286,-0.0051359,-0.001806367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000213519,0.005931669,0.001328267,-0.010409503,-0.008474928,-0.008089351,-0.002141527,-0.006242349,-0.007313243,-0.006727231,-0.006302247,-0.001320077,-0.002125615,-0.001395057,-0.003003623,0.002202768,0.003902029,0.005922679,0.009429278,0.005786722,0.006782274,0.005941892,4.89E-05,0.000796889,-0.005367394,-0.002455928,-0.003682774,-0.00463969,0.004442886,0.005208997,0.003145305,0.002070895,-0.002507722,0.007812239,0.003558219,0.008642212,0.014450578,0.007206228,0.011276968,0,0,0,0,0,0,0,0,0
3,47.18830842,0,0,0,0,0,0.009038631,0.005579499,0.003989753,0.001317897,0.001447387,0.006372795,0.002229843,0.005120488,0.000274876,0.004903513,0.002016486,0.00061668,-0.002152903,-0.002653721,-0.005159099,-0.004835581,-0.008745153,-0.010326329,-0.006952892,-0.005734486,-0.006284719,-0.00727888,-0.005251645,-0.006387453,-0.00205536,-0.004775753,-0.003221138,-0.004840307,-0.001918128,-0.002934345,-0.001881894,-0.004475047,-0.013885072,-0.011870841,0.007006789,0.015763368,0.011644448,0.015937101,0.009389423,-0.003974165,-0.00665226,-0.006620986,-0.005591606,-0.0002962,-0.008610423,-0.009272206,-0.001470641,-0.001874907,-0.001108083,0.000594607,0.001735705,0.010619398,0.002645091,0.006070432,0.000415058,0.016127313,-0.009016075,-0.000792577,0.003528486,-0.009492969,-0.007733307,-0.009095184,-0.018826636,-0.008979551,-0.007940515,-0.004098395,0.002758101,0.001950762,-0.002274291,0.00803697,0.00744992,0.009653205,0.015357616,0.009217746,0.0053502,-0.014123963,0.006670516,-0.014947985,-0.003730376,-0.003116176,-0.005480211,-0.00871157,-0.017249882,-0.007290875,-0.011413154,-0.011004386,-0.005125562,-0.003785892,0.001876956,0.004268011,0.011452342,0.009624667,0.009067847,0.018313595,0.009321518,-0.001683385,-0.001381198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010539966,0.007119814,0.023908512,0.021355836,0.011079619,0.007524033,0.010551276,0.001337698,-0.00515317,-0.000694606,-0.006638049,-0.008884535,-0.011458052,-0.00857524,-0.007839561,-0.005998916,-0.005443635,-0.003344962,0.001464232,-0.005487154,-0.008290815,-0.011730344,-0.004030494,-0.002815173,0.011405114,0.005024505,0.009946573,0.004635122,0.024860241,0.011994848,0.003144431,0.014951337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002594832,0.001554384,0.000469924,-0.013616924,-0.004288142,0.002357734,-0.00159326,-0.004121211,-0.004105459,-0.00805227,-0.004840404,0.000354658,-0.005781603,0.002709613,0.000469779,0.006355562,-0.002218052,0.001315337,0.004041159,0.004241686,0.005481102,0.004330423,0.001603642,0.000687988,-0.002412556,-0.002063484,-0.001041184,0.005142846,0.003605226,0.004504229,-0.00244109,0.00667021,-0.008313976,0.00366202,-0.017816182,-0.007902437,-0.009084035,-0.00710693,0.001402683,0,0,0,0,0,0,0,0,0
4,32.33810308,0,0,0,0,0,-0.00515691,-0.003889292,0.001141048,0.007810311,0.011395209,0.016847064,0.013271314,0.012399035,0.008618178,0.008648458,0.002079622,-0.001279865,-0.008435015,-0.012981621,-0.010389156,-0.015746137,-0.009437729,-0.00840767,-0.003514424,-0.00399613,-0.004584538,-0.0059688,-0.006081711,-0.003378527,-0.003315962,-0.001542578,-0.003088411,-0.005294686,-0.001924086,-0.003276665,-0.006990834,-0.011445571,-0.021595988,-0.012762058,0.010771221,0.019939862,0.014665676,0.015003899,-0.010723835,-0.000128037,-0.002740551,0.001109093,0.006053873,0.008049598,0.000481172,-0.00087247,-0.005476747,-0.003994319,-0.005744542,-0.005987101,-0.007982933,0.001318179,-0.000167903,0.004844873,0.003331551,0.016179651,-0.01088529,0.007206778,0.003971269,-0.004354118,-0.005288377,-0.013085993,-0.016181316,-0.011115066,-0.011845171,-0.007822122,-0.004293831,-0.006596511,-0.004154824,0.003406371,0.009180598,0.010837934,0.016690883,0.014440158,0.002568695,-0.016653297,-0.001698544,6.34E-05,-0.014937156,-0.019443602,-0.00520538,-0.004233492,-0.008210154,-0.007080122,-0.00717411,-0.000144594,-0.000179361,0.003812467,0.007345094,0.007452012,0.015675336,0.008456798,0.008336561,0.007840102,0.0135041,0.005163343,0.012678884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003533776,-0.002336898,0.027865905,0.01904569,0.025119067,0.015223318,0.01339897,0.009119429,0.003309409,0.001302821,0.000880384,-0.004604138,-0.007154326,-0.007581012,-0.009610958,-0.010663864,-0.006924187,-0.00438008,-0.009187753,-0.005850549,-0.008158773,-0.011742935,-0.006949406,-0.001553716,0.006198364,-5.14E-05,0.004597449,-0.000168369,-0.007017332,-0.000161706,-0.002390102,0.004199596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002414053,0.005396775,-0.000867786,-0.014498888,-0.014092362,-0.009553951,0.002325297,-0.001811575,-0.002669,-0.004122846,-0.006527588,-0.005344205,-0.002241213,-0.000728728,-0.001993035,0.001338441,-0.001108523,0.007536135,0.001428526,0.003760399,0.007838522,0.00887073,0.002191669,0.005896199,-0.000955048,0.000909297,-0.000754272,-0.000323137,0.003807149,0.009212739,6.32E-05,0.005453694,-0.006179763,0.006245896,0.00265818,0.00296631,-0.001948835,0.014390519,0.025404736,0,0,0,0,0,0,0,0,0
5,39.84535517,0,0,0,0,0,0.007050832,0.011021052,0.006646103,0.00862248,-0.002154739,0.00317107,0.002292514,0.003349826,0.005376292,0.007919111,0.005046722,0.000959916,-0.005082369,-0.010248099,-0.010544263,-0.013963651,-0.009932963,-0.009426579,-0.007393848,-0.008818589,-0.006779125,-0.005567212,-0.005182737,-0.005412002,-0.003964175,0.000680105,-0.002903304,-0.002929043,0.000248823,0.001640342,-0.000538037,-0.006757018,-0.015330438,-0.011716636,0.005601782,0.016441241,0.01607702,0.019763805,0.005617583,-0.001629876,-0.005145741,-0.00395025,-0.005046333,-0.004401816,-0.010501126,-0.006535544,-0.008371104,-0.005731964,-0.00438811,-0.003319332,0.00215062,0.007781295,0.002703679,0.006309459,0.006082119,0.014878164,-0.006948177,-0.00096918,0.002362375,-0.010192436,-0.005215647,-0.010036084,-0.01516563,-0.008510626,-0.008343903,-0.003215627,0.002309931,0.007173982,0.006026929,0.013950122,0.01379565,0.012892166,0.014218922,0.010143214,0.009479759,-0.021835318,-0.002929949,-0.004749085,-0.010558294,0.005061154,-0.003722173,-0.013496492,-0.019224083,-0.024552009,-0.015182895,-0.010558743,-0.006556432,-0.001426287,0.002026894,0.009519745,0.019465012,0.011638058,0.009607937,0.004242205,-0.001319933,-0.00227497,0.004516831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010842428,-0.004636525,0.013218849,0.017595984,0.018384752,0.010854532,0.010700094,0.00799881,0.005878938,0.001936597,-0.000101497,0.000193322,-0.009872498,-0.007985966,-0.007756546,-0.001798985,-0.008590527,-0.004097054,-0.006403068,-0.00058556,-0.002738815,-0.008393007,-0.00607984,-0.000542589,0.00178675,0.000656124,0.007810716,0.007582577,0.009490885,0.002900528,0.006467754,0.006706446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005696294,0.002774667,-0.003304872,-0.010844123,-0.013744865,-0.006544174,-0.00202016,-0.006647256,-0.00574616,-0.003758277,-0.007014485,-0.001479868,-0.000825831,-0.002111495,-0.003925293,0.00196182,0.001539355,0.003919647,0.007881935,-1.59E-05,0.003700487,0.009171585,0.00190431,0.004121111,-0.003181763,-0.002414273,0.000991459,-0.002815413,0.002886032,0.005671,0.001485828,0.006626715,-0.000112521,0.00705543,-0.001109543,0.004263983,0.004699224,0.009300759,0.012152823,0,0,0,0,0,0,0,0,0
6,35.50753294,0,0,0,0,0,-0.005427165,-0.002082451,-0.000217571,0.001385474,0.006265686,0.019597583,0.011342748,0.014032842,0.008041685,0.006049896,0.003815351,-0.002910259,-0.006974479,-0.009264783,-0.010021409,-0.012257327,-0.005362289,-0.008261054,-0.000867774,-0.002339014,-0.001223795,-0.001754435,-0.002802857,-0.002358591,-0.000664852,-0.007137577,-0.002729229,-0.004557295,-0.001410014,-0.002790949,-0.006562694,-0.011041669,-0.02290142,-0.01721059,0.005115936,0.021238717,0.019936276,0.023850635,-0.014729909,-0.005252179,-0.001821973,0.000810502,-0.00207474,0.006381679,0.003542508,-0.002303991,-0.005473469,1.50E-05,-0.007649371,-0.006506876,-0.007535137,-0.003742989,-0.002116494,0.006193567,0.001567928,0.016456438,-0.009756497,-0.002873852,0.000671987,0.00548036,-0.00639651,-0.006691438,-0.011505674,-0.002634973,-0.008612997,-0.004524975,-0.002059295,-0.001866098,-0.002954896,0.004370083,0.003344655,0.010545637,0.019468496,0.011657472,8.51E-05,-0.020742763,0.004262658,0.002697362,-0.013163239,-0.023850864,-0.00213857,-0.001967405,-0.012114439,-0.004914751,-0.009928888,-0.008386295,-0.010777652,-0.005705259,-0.004405851,0.000144831,-0.002361838,0.004339575,0.014265049,0.011337027,0.025285549,0.017595779,0.022244219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006009617,0.001283972,0.013973606,0.009172188,0.023871967,0.017775478,0.013427905,0.010384318,0.001441083,0.00313166,0.002551177,-0.006241084,-0.011288378,-0.00595528,-0.006807032,-0.013164341,-0.007685754,-0.006682414,-0.007958076,-0.008989705,-0.007812438,-0.01299757,-0.007893699,-0.003842146,0.007228649,0.003017915,0.007473119,-0.002602406,0.017970284,0.005057311,-0.004093565,0.000807466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005905694,0.008438334,-8.83E-05,-0.012539696,-0.0114031,-0.005740224,-0.001510508,-0.008933372,-0.008828696,-0.006889366,-0.011863242,-0.000659706,-0.008437443,-0.008347849,-0.00679066,0.002457808,-0.001139593,0.005432625,0.006860075,0.012065654,0.01247239,0.007706439,0.003491833,0.008722483,-0.002901124,0.006139522,0.008210501,0.002406028,0.009102745,0.011320651,0.00846236,0.008934353,-0.008178988,0.014320979,-0.004083695,-0.003503467,-0.001589163,0.000411532,0.006158457,0,0,0,0,0,0,0,0,0
7,33.57092004,0,0,0,0,0,-0.004263296,0.006330245,0.002457631,0.01249727,0.004441455,0.007757062,0.002620511,0.003643802,0.004629942,0.006317388,0.00584889,0.003116902,-0.003607504,-0.008444865,-0.0082844,-0.01205556,-0.012502575,-0.008986701,-0.003369392,-0.004882934,-0.004467219,-0.00508505,-0.006971845,-0.004686485,-0.004907515,-0.004373731,-0.005498229,-0.006597862,-0.00391471,-0.00365476,-0.008018943,-0.002675103,-0.007940546,-0.008158942,0.00532391,0.016943514,0.009540341,0.009230003,-0.010913872,0.000121196,-0.006518718,0.003677586,-0.000390471,0.003587042,-2.37E-05,0.001503134,-0.004771145,0.000146101,-0.006096305,-0.001637768,-0.005370716,0.0030876,0.004488616,0.009072217,0.006036554,0.015804417,-0.010020317,0.0052896,0.003858915,-0.008345454,-0.012677838,-0.014724442,-0.028695351,-0.014205058,-0.013416488,-0.009659069,0.000459241,0.000415519,0.002031281,0.008894338,0.017421467,0.016183741,0.01577549,0.018015018,0.00332827,-0.027754175,0.001360871,-0.006481034,-0.015216101,-0.006616202,-0.003624001,-0.005754557,-0.007618234,-0.003978504,-0.008013219,-0.007669379,-0.004019015,0.007242738,0.005472129,0.009301452,0.015046095,0.012444808,0.0037578,-0.008758958,0.006331301,0.018071824,0.011244472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004737626,0.009383126,0.016362013,0.017948303,0.019776516,0.01332873,0.008322702,0.001160182,-0.002340502,0.001991109,-0.004685837,-0.01053652,-0.012712122,-0.012962318,-0.010111754,-0.013886154,-0.012267493,-0.005080255,-0.009101558,-0.004311887,-0.009481687,-0.011467853,-0.006177161,-0.004091721,0.010422629,0.010739717,0.008523371,0.014390837,0.014641013,-0.002482455,-0.004556868,0.010547539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002309578,0.004312554,0.004153276,-0.011260396,-0.014969613,-0.004132002,0.006453599,-0.000641466,-0.001034342,-0.002449997,-0.00572099,0.005430306,-0.005025712,0.006211885,-0.002737388,0.005695873,0.006388631,0.012821474,0.014936256,0.007684002,0.004223156,0.002084194,-0.002809276,-0.005573278,-0.008044344,-0.006789086,-0.003765665,-0.002145048,0.000253131,0.006461114,0.00068766,0.003264555,-0.01083988,0.001740044,0.000927878,-0.003313516,-0.004851512,0.001748891,0.015244548,0,0,0,0,0,0,0,0,0
8,42.4693767,0,0,0,0,0,0.004863242,0.002993826,0.00404215,0.005831563,0.004123944,0.010011716,0.006298099,0.009361587,0.004707725,0.008823001,0.002692071,0.00214987,-0.007021258,-0.013498038,-0.01098238,-0.01291704,-0.009393543,-0.008038101,-0.005549231,-0.006422732,-0.005794127,-0.006462774,-0.003926697,-0.003298959,-0.004140071,-0.003635157,-0.002524136,-0.004567172,-0.001683744,-0.001351723,-0.003901111,-0.006942235,-0.015171684,-0.012775306,0.009172723,0.016689214,0.01306417,0.016103002,0.005874062,-0.005319033,-0.007414765,-0.001805209,-0.00977709,0.000635264,-0.006890445,-0.009105043,-0.004906746,-0.004053434,-0.005308415,0.000852514,0.000709878,0.008201593,0.004249259,0.004586476,0.00027562,0.011251713,-0.009897977,-0.004457126,0.005420427,-0.005894066,-0.004750583,-0.008860191,-0.012287334,-0.006825633,-0.010813589,-0.004992827,0.001051598,0.000970215,-0.001394978,0.010938172,0.013590753,0.012386842,0.011827117,0.005817459,0.009739983,-0.004537313,0.001737013,-0.017475655,-0.003682324,0.000548046,0.006270159,0.000545483,-0.012722852,-0.010161164,-0.012472954,-0.006219859,-0.005607671,-0.001858542,0.002122275,0.000505791,0.008670559,0.007732093,0.010838504,0.010635405,0.006087875,-0.000400076,-0.003836542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010161038,-0.009035985,0.0192365,0.021043132,0.015870758,0.008555029,0.007551658,0.006965672,0.001410568,-0.001238357,-0.004847902,-0.010308699,-0.008424971,-0.008685113,-0.010372232,-0.00714686,-0.007889546,-0.006913522,0.001021329,-0.005337885,-0.008539313,-0.01558636,-0.00502529,-0.001629125,0.009947682,0.005011237,0.014582362,0.001378818,0.004019083,0.006743904,0.005558145,0.007226781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001249244,0.003388202,-0.00341523,-0.015852884,-0.011655759,-0.003967048,-0.00070233,-0.007565346,-0.005776769,-0.008743876,-0.011581551,-0.005893642,-0.005006867,-0.0050307,-0.003106776,0.002610966,-0.003634344,0.003955085,0.00407295,0.00408577,0.00222568,0.00997513,0.001308168,0.008129557,-0.001442973,-0.000861434,0.010531444,0.002686476,0.005133212,0.012690257,0.001348908,0.011216334,0.001119812,0.012307221,0.005792455,-0.006515055,0.012767202,0.007553433,0.020870499,0,0,0,0,0,0,0,0,0
9,31.99288841,0,0,0,0,0,-0.008132755,-0.000531777,0.001226068,0.006703677,0.001909281,0.010207086,0.010807551,0.013533476,0.014147385,0.013041621,0.007050734,0.006833251,0.000431112,-0.004143372,-0.007193606,-0.010523891,-0.00909442,-0.013721967,-0.011362999,-0.011939444,-0.011370182,-0.009161925,-0.008584612,-0.007469657,-0.005658647,-0.002063291,-0.00121785,-0.003429897,0.002034291,0.002466445,-0.005965057,-0.01371856,-0.020406496,-0.007245871,0.011633285,0.01739645,0.01426994,0.012542969,-0.03910144,0.002591926,0.004027878,0.009532243,0.005693426,0.007579137,-0.004242558,-0.00400663,-0.002216808,-0.001296737,-0.002268742,-0.003365379,-0.005474453,0.000931833,-0.002401545,0.000555426,-0.006178981,0.018316675,0.005050368,-0.004599132,0.005267083,-0.001462465,-0.00974513,-0.011639284,-0.018644367,-0.009172727,-0.012504331,-0.007407824,-0.001558357,-8.07E-05,-0.003053439,0.006496309,0.007444625,0.011646685,0.020199212,0.016236747,0.001999838,-0.015111277,0.008321282,-0.008046729,-0.006999191,-0.007726685,-0.000117119,-0.005881939,-0.010148074,-0.013440411,-0.006780267,-0.003733054,0.001449199,0.003637689,0.003244706,0.000440056,-0.003406893,0.005238481,-0.013462958,-0.000415967,0.020938303,0.018311505,0.018480817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002619222,0.009047905,0.014232088,0.018451786,0.018842568,0.014155084,0.0144121,0.007535291,0.000470747,-0.003350989,-0.002218699,-0.01436741,-0.012150146,-0.012224932,-0.013514948,-0.011599085,-0.006875328,-0.006758419,-0.008393,-0.001573301,-0.003698265,-0.005695878,-0.005294824,0.003720506,0.005832331,0.003176032,0.00714295,0.010829728,-0.001656581,0.000787425,-0.003181889,0.009873537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003731389,0.004230854,-0.007708764,-0.021800991,-0.021935473,-0.006271751,-0.000144464,-0.008622227,-0.00532252,-0.005058419,-0.006654995,0.004440988,-0.001653841,0.000874637,-0.005511548,0.002604374,0.005599051,0.001322376,0.009150001,0.007796237,0.008199714,0.012320567,-0.001527382,0.003188624,-0.00393522,-0.008193676,-0.000888599,0.002046562,0.003575513,0.006905734,0.002168135,0.004015135,0.002943434,0.004785366,0.008408988,-0.00072982,0.012692902,0.022675842,0.029656963,0,0,0,0,0,0,0,0,0
10,34.6029554,0,0,0,0,0,-0.016276188,-0.003023887,0.004046012,0.004020692,0.006649676,0.00845638,0.008039879,0.009178429,0.008076194,0.007692313,0.005451622,0.002959188,-0.001788869,-0.005168009,-0.006900292,-0.010908565,-0.011204239,-0.013649008,-0.011800536,-0.011271366,-0.008268007,-0.010305024,-0.00841222,-0.006228099,-0.000639341,0.002886858,0.002435561,0.001536757,0.005041779,0.009069372,0.006619418,-0.000515625,-0.016752715,-0.015182557,0.010295821,0.023268756,0.015872772,0.014599603,-0.007273709,-0.00323008,-0.002814137,-0.002551333,-0.001611761,0.003098481,-0.002726485,-0.004593761,-0.004697286,-0.003669559,-0.007561826,-0.007332121,-0.005365366,-0.002679534,-0.004279315,-0.002349441,-0.007245992,0.01736633,-0.01591827,0.000293552,0.009800678,0.00556689,-0.002182881,-0.006633065,-0.013012217,-0.005450554,-0.006681424,-0.003393215,-0.000681561,0.003077346,-0.000113553,0.003808043,0.008245961,0.011188567,0.017997279,0.015203968,0.013971487,-0.013997771,-0.001342097,-0.010307954,-0.00905467,-0.001151414,0.00214032,-0.006735803,-0.009983188,-0.006365896,-0.007992724,-0.003268004,-0.003431816,0.00027011,-7.68E-05,0.00050209,0.005015941,0.005371292,0.007393536,0.011651968,0.005241629,0.008562623,0.006212758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001310852,-0.003538416,0.008091282,0.015570314,0.014571182,0.012493391,0.009491214,0.008488,-0.002880625,0.005335291,-0.00317332,-0.006553674,-0.004768679,-0.004297412,-0.00591017,-0.0055279,-0.006562187,-0.005180185,-0.002462603,-0.002610444,-0.005116944,-0.003268688,-0.005143945,-0.005545347,0.004792468,0.002974731,0.003179431,-0.000729786,0.004249205,0.005929116,-0.003606792,-0.000181935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002832257,0.006233741,0.001518131,-0.00596342,-0.002968606,0.005072231,0.001159978,-0.00069114,-0.000694911,-0.002615349,-0.004451216,0.003679348,0.001174266,0.000502526,-0.006722615,0.003243681,-0.00188031,-0.00198389,0.002935826,0.001233527,-0.001291903,0.000677687,-0.003184641,0.002883543,-0.002588648,-0.00413216,-0.002898764,0.000786796,-0.002654464,0.008902613,-0.001735433,-0.002424317,-0.003694699,0.002486692,-0.002283308,-0.006510968,0.003230484,0.002500815,0.016509757,0,0,0,0,0,0,0,0,0
