Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,15.76122131,0,0,0,0,0,-0.006107833,9.90E-05,-0.000274367,0.004509963,0.006832126,0.007023981,0.005932529,0.002629508,0.003505769,0.001149314,-0.00023644,-0.000162998,-0.003249666,-0.00555196,-0.005207676,-0.006181471,-0.004413145,-0.003849388,-0.000196957,0.000347266,0.000266864,-0.001182971,-0.000415012,0.000268777,0.00025461,1.70E-05,0.00040863,0.00071707,0.000636099,0.00074211,-0.001232214,-0.001646448,-0.013554309,-0.014723335,0.001151162,0.016706732,0.011534594,0.010785844,-0.00227674,-0.004528333,-0.006131841,-0.004797579,-0.003207328,-0.001554148,-0.002654659,-0.001910202,-0.000707342,0.001835868,-0.000552422,-0.0011955,0.001378055,0.002912744,0.002568369,0.001641748,0.004167268,0.006582723,-0.012181606,-0.005775146,0.002857763,-0.000595845,-0.001620209,-0.002190284,-0.005632365,-0.002530345,-0.003943041,-0.001906693,0.001782606,0.000730102,-6.75E-05,0.000448157,0.008376217,0.008449684,0.008989399,0.009317127,0.009294018,-0.014835872,-0.0016788,-0.008512431,-0.002458064,0.004804607,0.005208259,-0.00267004,-0.008424126,-0.009277985,-0.0130246,-0.011108152,-0.008588504,0.000187233,0.002539471,0.002932292,0.002021489,0.004859134,-0.003938764,-0.004717824,0.000532426,0.006184008,0.018220943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003324822,-0.002659476,0.002861264,0.009882504,0.010700595,0.008536492,0.002906697,0.002402854,0.001106309,0.000792333,-0.001860773,-0.001531195,-0.004279967,-0.004285828,-0.002255701,-0.00401518,0.001558867,0.001038499,0.007519407,0.008965531,0.006620041,0.002666526,-0.000944405,0.001013009,-0.000963081,-0.003619792,-0.001780091,-0.007806562,-0.003799886,-0.004992705,-0.004695348,-0.001589311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004050558,0.004777401,0.000407805,-0.005298623,-0.007314018,-0.006286746,-0.001297568,-0.005754251,-0.005348989,-0.002717454,-0.003640573,-0.000587587,0.002942911,0.002612609,-0.001990811,0.002534956,0.004235875,0.006981971,0.008672846,0.010741306,0.007811992,0.007430259,0.003474767,-0.00011979,-0.0047735,-0.00767095,-0.005690099,-0.005556053,-0.008412249,-0.001200785,-0.003863238,-0.005286851,-0.005841598,0.001896362,-0.002091651,0.004308271,0.003788263,0.005711376,0.011289834,0,0,0,0,0,0,0,0,0
2,19.56292066,0,0,0,0,0,-0.004888724,-0.002307358,0.000216668,0.003751403,0.004540456,0.004689338,0.004041746,0.006694675,0.00703906,0.005263116,0.002619475,0.000164401,-0.004018169,-0.007587519,-0.007584361,-0.007082616,-0.008947143,-0.005451272,-0.002804071,-0.003958679,-0.002561203,-0.002241068,-0.001259134,0.000371349,0.000560024,0.003204585,0.001275288,0.000366691,0.002495505,0.003485277,-0.00103479,-0.006278761,-0.016034022,-0.01798988,0.003627103,0.020572436,0.018526509,0.01377958,-0.021837052,-0.000658601,-0.001352867,-0.001358187,0.000755569,0.003415966,-0.007603828,-0.003293284,-0.003958844,0.000240493,-0.001179848,0.000485188,0.002021118,0.004439127,0.000515402,0.001535838,-0.003607433,0.011632928,-0.001654793,0.004174229,0.000628619,-0.011174505,-0.004105458,-0.006128599,-0.011311978,-0.007046497,-0.005121393,-0.004503389,0.000688494,-0.000891071,-0.00085632,0.004919113,0.008631649,0.006657335,0.006435753,0.00446329,0.000879149,-0.012523577,0.0003802,-0.005455355,0.002253629,-0.002890331,0.001585715,0.000410932,-0.005477199,-0.003684421,-0.010036654,-0.009626982,-0.009764987,0.000711883,0.002483966,0.007822738,0.013193397,0.010211926,-0.002376913,0.006350645,0.012256587,0.006878678,-0.004745091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008892472,0.004950919,0.011193601,0.009221128,0.008667137,0.004164236,0.001523566,0.003954591,-0.003791331,0.000158291,-0.005994508,-0.006717768,-0.003592604,-0.005073031,-0.001659584,-0.00579407,0.001203181,-0.004092971,-0.001535097,0.000572475,-0.001886573,0.000876781,-0.000343934,0.004568717,0.005626457,0.002809805,-0.002968707,-0.002970986,0.000134095,0.00183546,-0.001034628,-0.000929619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003401317,0.001841504,-0.001373493,-0.003685157,-0.007272707,-0.004144354,-0.00379673,-0.00772877,-0.005454723,-0.000933494,-0.004957412,0.002633265,0.00316743,0.001034135,-0.00067542,0.004319907,0.008944557,0.00427755,0.007594113,0.006387772,0.00494053,0.00666677,0.002386788,0.002664189,-0.000397621,-0.003314244,0.000450483,-0.006117934,-0.008309556,-0.003301656,-0.00159268,-0.004558636,-0.001767001,-0.003034527,-0.003319123,-0.006224295,9.90E-05,0.005813392,0.017223662,0,0,0,0,0,0,0,0,0
3,19.81073934,0,0,0,0,0,-0.004638615,0.000523369,-0.003334771,0.00471136,0.007696697,0.013686869,0.008510805,0.00767181,0.006061037,0.004952463,0.001211579,-0.001155335,-0.003953589,-0.004885853,-0.00628951,-0.007709666,-0.004890655,-0.004848939,0.001378222,-0.001738855,-0.002484865,-0.002352654,-0.002302142,-0.00283468,-0.00182688,-0.005299501,-0.003091462,-0.001634076,-0.003348186,-0.005535948,-0.005705194,-0.004610321,-0.011907012,-0.009416374,0.003866558,0.015273753,0.009690515,0.007595964,-0.01063459,-0.002863522,-0.0068374,-0.001795933,-0.001122695,0.004168989,0.000696477,0.000296565,-0.001456663,-0.000214405,-0.001008016,-0.000648308,1.89E-05,0.004389549,0.001946882,0.004436734,0.001349007,0.008398593,-0.007246473,0.001393554,0.002952644,-0.001716147,0.00072253,-0.005797029,-0.008845827,-0.002678679,-0.006072153,-0.004583009,-0.000124552,0.000732888,-0.001736049,0.001627429,0.005605346,0.006285245,0.009678238,0.012138164,0.002353159,-0.014100338,-0.003493592,0.001558052,-0.006054708,-0.007655407,-0.00222454,-0.001044811,-0.006604709,-0.005480558,-0.010981854,-0.011171742,-0.009818398,-0.004819249,-0.00574259,-0.000172977,-0.008248333,0.000903006,-0.00484431,0.003088211,0.014584234,0.021673153,0.017878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003105524,0.002703626,0.007202677,0.00511995,0.005898344,0.00382054,0.001482985,0.002350013,0.001291828,-0.001280702,0.00048559,-0.005720227,-0.003560286,-0.002591239,-0.000244815,-0.001379358,0.003724843,-0.002471074,0.003444045,0.002720955,0.001299627,-0.002762023,0.000551311,0.003026844,0.004263981,-0.001998371,0.00063362,-0.005361695,0.009713733,-0.001628917,-0.002080049,-0.004618843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007034714,0.004225709,0.003644261,-0.002227938,-0.00305424,-0.005115385,-0.002026736,-0.006944517,-0.007784368,-0.006276336,-0.007957294,-0.006567412,-0.00470504,-0.001242102,-0.000793727,-0.001664932,0.001069246,0.003705826,0.00444204,0.006438229,0.00549826,0.005275767,0.004010083,0.001977611,-0.000650173,-0.000449925,-0.000393531,0.000243827,-0.003319782,-0.000991557,0.004852846,0.003376234,-0.005870975,0.001024584,0.006055726,0.008226273,-0.0002158,0.006807199,0.005420843,0,0,0,0,0,0,0,0,0
4,22.03231452,0,0,0,0,0,-0.002526016,0.003533468,0.001963557,0.005014949,0.009954195,0.006057695,0.005659438,0.006234818,0.00504386,0.001769499,-0.002635924,-0.000948763,-0.004440837,-0.007147377,-0.005752008,-0.004409281,-0.006377915,-0.006055343,-0.001571718,-0.001315723,-0.002637652,-0.003389527,-0.00425245,-0.001082211,-0.001763964,0.00090284,-0.002705805,0.001497055,-0.002158667,-0.002649781,-0.003759065,-0.001368137,-0.013992143,-0.014690688,0.004775729,0.016018009,0.013544524,0.015004175,-0.019339041,-0.001676935,-0.004649812,0.000491138,0.001523439,0.004135033,-0.001075309,-0.005860124,-0.003885066,0.000730971,-0.003726547,-0.00204349,-0.002519086,0.002423317,0.005810166,0.002865206,-0.000262368,0.018972409,-0.007024552,-0.003522256,-0.000573918,-0.005738297,0.000390123,-0.003124396,-0.010488909,-0.002383304,-0.006128856,-0.006292585,0.000180751,-0.003966111,-0.000150324,0.006882977,0.007716795,0.009078223,0.012482501,0.012345431,-0.001163842,-0.01879398,-0.00085856,-0.006214592,-0.001818337,-0.006118307,0.002156866,0.007383822,-0.010447979,-0.008834578,-0.010278262,-0.013165392,-0.010039666,0.000448063,0.003423145,0.007809419,0.009953965,0.007742787,-0.007957282,0.008659542,0.008574641,0.000176898,0.000881118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002443385,-0.000965407,0.001490812,0.005677995,0.007725228,0.009434402,0.007677898,0.005791186,-0.004747619,-0.002235967,-0.001463558,-0.003567479,-0.007540365,-0.009668217,-0.005977095,-0.009726604,-0.002803597,-0.006130043,0.00052694,0.005772622,0.001475251,0.000506783,0.004421291,0.007874435,0.00383817,0.0048258,0.006211289,-0.005792403,-0.00142804,-0.003449927,0.002168848,0.001200769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00207642,-0.001735114,-0.007529423,-0.010340642,-0.011382712,-0.010655171,-0.005911135,-0.009385722,-0.011434184,-0.010376842,-0.009326409,-0.002095356,-0.003509758,0.001126948,-0.003933811,0.001463453,0.001982199,0.006751446,0.010063888,0.005259587,0.014294299,0.00985877,0.010671885,0.002886127,0.003055901,-0.00295459,-0.00158601,0.000650397,0.00270831,0.005297689,0.003307846,0.003151867,-0.00716124,0.00766996,0.008963636,0.000704976,0.008841406,0.014702323,0.02437114,0,0,0,0,0,0,0,0,0
5,15.73942342,0,0,0,0,0,0.002888071,0.001471391,-0.000903923,0.002892648,0.004758763,0.00759796,0.004623479,0.006204627,0.005596714,0.006378097,0.003077241,-5.72E-05,-0.003704767,-0.005766908,-0.008850621,-0.009968164,-0.008111301,-0.007181196,-0.003380787,-0.003230752,-0.004025799,-0.002453315,-0.000521072,-0.002300307,-0.001410355,0.000839852,-0.001066373,-0.001212265,-0.000169287,-0.000260092,-0.00170449,-0.004921703,-0.015913576,-0.014314414,0.006137161,0.021593345,0.018315611,0.013391693,5.81E-06,-0.004605706,-0.006705067,-0.002852046,-0.00486801,0.00040361,-0.003532576,-0.002044793,-0.004252085,-0.001225887,-0.000485339,-0.00139358,0.001569244,0.003975265,0.003208366,0.001475552,0.000383942,0.005541753,-0.007076706,-0.001453542,0.00281884,-0.004206566,0.00178585,-0.005159001,-0.005792252,-0.002756762,-0.005035965,-0.002895292,0.001199933,0.001131171,0.001011363,0.003433208,0.007298181,0.007148909,0.007445991,0.009006633,0.004447637,-0.0067709,-0.006408411,-0.003052612,-0.006766488,-0.001845475,-0.007902319,-0.007355898,-0.014947068,-0.016970492,-0.017504015,-0.015584555,-0.012509188,-0.002914874,-0.001674693,0.001996495,0.005217161,0.00411252,0.003142262,0.014099869,0.010406273,0.014877752,0.01599489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003213202,-0.001705228,0.005473843,0.002619776,0.004788104,0.003291717,0.004070797,0.00293634,0.003205843,0.0010538,0.002951735,-0.002390489,0.000702896,-0.000621339,-0.000944033,0.003373913,0.002655375,0.001995105,0.004290567,0.005943535,0.003009037,-0.001874987,0.001222126,0.001032647,0.001883527,-0.002041661,-0.002607611,-0.011101867,-0.00285412,-0.003497974,-0.004474461,-0.002524562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000761396,0.002530026,-0.000783148,-0.004809656,-0.008471546,-0.004452108,-0.001118276,-0.003860561,-0.006477722,-0.00329054,-0.002951786,-0.001298823,-0.000156282,-0.001279418,0.000845802,0.004147297,0.003404096,0.004123939,0.005160046,0.002967763,0.00644351,0.006890702,0.00519902,0.003197986,0.000184092,-0.00017571,-9.45E-05,-0.000911267,-0.00171707,0.001196308,0.003111227,0.002993935,0.003026553,-2.53E-05,0.000311718,0.003780759,0.003968909,0.00563954,0.013323965,0,0,0,0,0,0,0,0,0
6,22.28487771,0,0,0,0,0,-0.01098951,0.000714763,0.001184305,0.007994072,0.008662608,0.012225201,0.009994437,0.011100125,0.01003884,0.008270555,0.002857342,-2.93E-05,-0.004687314,-0.008854651,-0.008748427,-0.010336121,-0.007703515,-0.005101409,-0.002674046,-0.003882269,-0.003383107,-0.00190755,-0.002699075,-0.002766671,-0.001404854,-0.000232314,-0.00076184,-0.000887201,0.000411458,-0.000625674,-0.003917616,-0.009888245,-0.019983793,-0.014620946,0.00842755,0.023840352,0.016578168,0.008213646,-0.016921028,-0.010622714,-0.009144988,-0.00546299,-0.003272239,0.000107211,-0.003512285,-6.85E-05,0.000351951,0.002774084,0.002780638,0.000221616,0.006892494,0.008507825,0.005328953,0.002105891,0.002809717,0.009967108,-0.010032451,0.0006727,0.000236568,-0.006183981,0.000555203,-0.00271782,-0.006665287,-0.00249875,-0.003999773,-0.003693851,-0.001812298,0.001350974,-0.000136908,0.004906639,0.00601491,0.006230044,0.006649442,0.005191655,0.006406721,-0.014192881,-0.008097695,-0.002123135,-0.000777706,0.002177077,0.002628136,-0.000242884,-0.010104393,-0.00915455,-0.011740337,-0.013212333,-0.007899073,-0.002469943,0.000430264,0.005421835,0.00939235,0.006891128,0.000654702,0.0027033,0.001595584,0.002370574,0.001884743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003958701,-0.003230279,0.006670391,0.005904255,0.010284971,0.007067267,0.00614401,0.006441486,0.00397424,0.001796523,0.002759873,-0.000819809,-0.002907424,-0.002680871,0.000704683,0.000908038,0.001400991,-0.00160957,0.000829199,0.002511475,-0.000256271,-0.003440495,-0.006410929,0.001914655,0.00323011,-0.001477775,-0.004081916,-0.006281924,0.003804722,-0.003836475,-0.001382274,0.002997774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005703484,-0.003683942,-0.002889718,-0.007434688,-0.007893303,-0.005088972,-0.004125142,-0.004196963,-0.00440688,-0.003907421,-0.004555874,-0.000987951,-0.000437028,0.0012116,0.000908577,-0.000456555,0.003608802,0.004350221,0.005536517,0.00577559,0.007672843,0.010513591,0.006018836,0.005731151,0.003573465,0.00052337,0.003226269,0.001572531,-0.001827445,-0.000190763,0.002052407,0.001678772,-0.004095544,-0.000661066,-0.003189713,0.000582068,-0.001994387,0.003756237,0.005055947,0,0,0,0,0,0,0,0,0
7,21.20277634,0,0,0,0,0,-0.002541029,-0.002127474,0.000797005,0.004010465,0.005068849,0.004935327,0.002100754,0.003899731,0.003200409,0.003399047,0.003232457,0.003233729,0.000107137,-0.001653938,-0.00296785,-0.005466122,-0.004806279,-0.004772706,-0.002367429,-0.000336077,-0.001265873,-0.001867949,-0.000860202,3.51E-05,-0.000378496,0.000587325,0.001232309,-0.000858563,0.000576582,0.00087084,-0.001892662,-0.005442685,-0.01856447,-0.022122159,-0.000223226,0.020661779,0.018140665,0.012379996,-0.011577675,-0.003843479,-0.004298282,-0.001120152,-0.000157134,0.001686109,0.000551045,-0.00271568,-0.00093306,-0.000399677,-0.002578483,-0.001502641,8.84E-05,-0.001546065,0.003574197,0.004041207,0.003695649,0.006887069,-0.003878034,-0.003929162,-0.002956754,-0.002262511,-0.003231954,-0.004032435,-0.006989478,-0.003083056,-0.005420921,-0.005030508,0.000584423,0.00032085,0.000503557,0.001045354,0.004244349,0.006724801,0.010074468,0.006430021,0.001877602,-0.007241751,-0.002373447,-0.000957989,-0.007897858,-0.004083058,-0.000855553,-0.00449675,-0.006922653,-0.007163068,-0.008067338,-0.006705635,-0.004367017,-0.001464969,0.003221809,0.002301395,0.003151453,0.005240858,-0.001317212,0.00429195,0.00584476,0.011374688,0.009028054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002865206,0.000180515,0.007811386,0.009204732,0.008329735,0.007419682,0.007114044,0.003015436,-0.002380537,-0.001545744,-0.000394735,-0.003372927,-0.003998587,-0.00619806,-0.002733168,-0.004963935,-0.001832679,-0.000868824,0.004129408,0.00022246,0.001148303,0.000205242,0.000365959,0.001284413,0.001121954,0.000249272,0.00086068,-0.004667201,0.002760348,-0.001235767,-0.002491916,0.000853812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000529068,0.003038607,6.03E-05,-0.011652877,-0.008693828,-0.003368532,2.75E-05,-0.004611683,-0.003309723,-0.005803249,-0.005926799,-0.000607052,-0.00216413,0.000902868,-0.002661747,0.001856836,-0.000193002,0.001228811,0.004636003,0.003611824,0.003097598,0.003207017,0.001426443,-0.000251289,-0.001265246,-0.003474876,-0.003496644,0.001825723,0.000150302,0.003161073,0.004488049,0.002117265,0.00376851,0.006202952,0.002714322,0.004434751,0.007453704,0.009370187,0.013999013,0,0,0,0,0,0,0,0,0
8,24.61837766,0,0,0,0,0,-0.002999122,0.005571503,0.00461662,0.004943368,0.004459494,0.005733183,0.002719789,0.004424737,0.003833066,0.001931977,0.001322363,-0.000470529,-0.002600167,-0.003945509,-0.003268768,-0.004046574,-0.005946982,-0.003840232,-0.002858889,-0.002262612,-0.00183242,-0.003526381,-0.003648757,-0.002579621,-0.000706103,0.000717608,-0.000576461,-0.001453829,-0.000557707,0.000294918,-0.002058873,-0.005376953,-0.015011041,-0.0139529,0.003260709,0.018749839,0.015929181,0.005960585,-0.012242208,-0.009162516,-0.00689581,-0.004599896,-0.003800946,-0.001871511,-0.000715217,-9.29E-05,-0.000671514,0.001556481,0.001449334,0.001395504,0.001745049,0.001705681,0.005441713,0.002989092,0.004525283,0.009542654,-0.002909533,-2.58E-05,-0.00281768,-0.003726198,-0.00618791,-0.003922113,-0.005658145,-0.00124827,-0.003061906,-0.00098165,0.002453841,0.001444929,0.002610736,0.004880924,0.005520299,0.00728385,0.00921447,0.008961814,0.00101078,-0.013718473,-0.001122958,0.001165653,-0.006496443,-0.001023004,-0.000213525,-0.003812352,-0.003669596,-0.004005384,-0.006309713,-0.00745974,-0.010466549,-0.002745641,-0.004564518,-0.0004093,-0.000397961,0.000682789,-0.00017741,0.000597403,0.006784738,0.001643193,0.002185341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002217417,0.002133272,0.001505342,0.00344049,0.006807521,0.003938858,0.003506963,0.004763996,0.000638469,0.000586683,-0.001162039,-0.000946537,-0.004485798,-0.003477592,-0.000284431,-0.001644385,-0.002030775,1.09E-05,0.000952778,0.004332118,0.001304444,-0.002851489,-0.001307396,0.001699045,0.004369028,0.003818285,0.002255872,-0.001231957,0.00447574,0.000766515,-0.003253375,-0.001464863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001870856,0.002296468,-0.003998055,-0.007977949,-0.007564741,-0.001832376,-0.001771811,-0.001199105,-0.002343719,-0.000510846,-0.002257541,0.001970747,-0.000185937,0.003710905,-0.000364444,0.006460682,0.003994132,0.00678907,0.00962874,0.006124281,0.007125172,0.004464818,0.008136725,0.001188418,0.000764415,-0.003262093,-0.001971238,-0.000201275,-0.002503367,-0.001299051,-0.00122657,0.001077279,-0.00943701,-0.00184524,-0.003971667,-0.003862482,-0.000383554,-0.001043725,0.007826323,0,0,0,0,0,0,0,0,0
9,27.7380406,0,0,0,0,0,0.001374191,0.003899955,0.002492662,0.005769632,0.005963117,0.008263148,0.006421526,0.007988034,0.008274535,0.00607445,0.005022753,0.002756889,-0.000114085,-0.002122255,-0.005555559,-0.008181424,-0.007120434,-0.006116089,-0.003385156,-0.005239841,-0.005341557,-0.004391754,-0.003877897,-0.004529879,-0.005230143,-0.003539734,-0.002851067,-0.004177966,-0.002218947,-0.002365271,-0.003264989,-0.008597187,-0.016296115,-0.01422104,0.005742298,0.019924244,0.013308565,0.010243646,-0.002953732,-0.007253158,-0.007720878,-0.004899973,-0.005475047,-0.000499773,-0.00551178,-0.002061965,-0.003570415,-0.000337124,-0.001544838,-0.001447418,0.00137843,0.005512512,0.005077536,0.003587409,0.001192497,0.015328693,-0.013740744,0.001244174,0.002615351,0.000283395,0.000633492,-0.002928303,-0.006646688,-0.001697648,-0.002455852,-0.002120076,0.000788666,0.001118787,-0.00144132,0.003942545,0.002645258,0.003999214,0.00672957,0.008904767,0.008150048,-0.013321473,-0.006947211,-0.002082486,-0.00060159,-0.00346051,0.000631001,0.0004673,-0.004258728,-0.004475919,-0.007389855,-0.009526756,-0.006742782,-0.002426805,-0.004445719,0.000447076,-8.68E-05,0.000178304,-0.005276135,0.005313831,0.00389369,0.008148588,0.004039467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010063917,0.002444515,0.00228242,0.004914249,0.00918769,0.006564633,0.003886263,0.00329823,0.002247624,0.001781877,-0.001005417,0.001015884,-0.001575359,-0.00338132,0.001588768,-0.000719889,0.000531703,-0.00320141,-0.00296809,-0.001328628,-0.002654246,-0.005161043,-0.002021786,0.00214063,0.001681091,0.001261962,0.003032988,0.000849477,0.00264873,-0.003369341,0.000936596,0.005164584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006550685,-0.007310072,-0.005328588,-0.005430272,-0.006505549,-0.006106439,-0.003627797,-0.004502108,-0.00366126,-0.004426044,-0.004399302,-0.003543654,-0.002524828,1.46E-05,-0.000544181,0.001020648,0.002024907,0.004337489,0.003218044,0.006052238,0.005928609,0.002128668,0.004271796,0.004475121,0.005584124,0.002869501,0.005644048,0.003888785,0.003999753,0.005558339,0.004320062,0.005775108,7.77E-05,0.004872125,0.005588062,-0.002547594,0.005918168,0.004442706,0.013188178,0,0,0,0,0,0,0,0,0
10,20.89782699,0,0,0,0,0,-0.01604903,-0.008514597,0.002151682,0.008491159,0.011248638,0.012132064,0.012215141,0.010736844,0.009405944,0.00755915,0.006752429,0.002581048,-0.004157375,-0.010000466,-0.014410654,-0.015971054,-0.012867997,-0.009548051,-0.004841661,-0.005158444,-0.00264435,-0.001625673,-0.001651118,-0.00063444,-0.001265115,0.003191574,0.000726045,-0.000540075,0.001591798,0.002733927,5.31E-05,-0.003691044,-0.015150588,-0.014457755,0.005096693,0.023197539,0.017066308,0.010181009,-0.010534253,-0.003544002,-0.004763937,-0.003454686,-0.00053998,0.001988882,0.000699703,-0.0003343,-0.001611397,-0.001208461,-0.000553495,-0.002311867,-0.000943548,0.002450177,0.000741933,-0.00042168,-0.002418756,0.012255114,-0.008323375,-0.001978676,0.001635189,-0.004744496,-0.00920843,-0.007408675,-0.013812722,-0.005849695,-0.006328347,-0.002399296,0.001548293,0.002096183,0.000408912,0.006077507,0.005630538,0.005963926,0.008224828,0.008841415,0.006557436,-0.009404616,-0.007787845,-0.005475895,0.004948758,0.003426269,0.001259331,-0.001008661,-0.004040769,-0.004357713,-0.003271541,-0.00834812,-0.00807496,-0.000648108,-0.002896049,0.003880253,0.004284261,0.004167438,-0.002388166,0.00347761,0.008858758,0.008226893,0.00543478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003505983,0.000523045,0.006442238,0.00435637,0.005617225,0.007100165,0.000877046,0.003645967,-8.44E-05,0.003106891,0.000740686,-0.003143676,-0.000638954,-0.002096666,0.001062612,-0.00260956,-0.000712956,-0.003016209,-0.000454476,-0.002557569,-0.008217834,-0.005579558,-0.004674854,0.003149516,0.004037561,0.001855976,0.003702616,-0.000323758,-0.001596026,-0.001601523,-0.001152463,0.00660528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001373778,-0.002103683,-0.000373584,-0.004177527,-0.007052086,-0.005610869,-0.003448559,-0.005537803,-0.004975884,-0.005453529,-0.006420797,-0.002407613,-0.002541974,0.001541133,0.001344005,0.003480265,0.003983315,0.004970214,0.002239646,0.005134427,0.005327528,0.003059631,0.004612529,0.000956639,0.001265733,0.00124829,0.00408167,0.001684447,-0.00046025,0.002542958,0.001502806,0.002744248,-0.005318893,0.003309216,-0.001439797,-0.000471087,0.006235452,-0.000447595,0.00849948,0,0,0,0,0,0,0,0,0
