Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,48.79723991,0,0,0,0,0,-0.000147972,-0.001230877,-6.24E-05,0.000423681,0.000832757,0.000636095,0.000514569,0.000756065,0.000813586,0.001094653,0.000612464,0.00030076,-0.00010231,-0.000384967,-0.000544856,-0.001245691,-0.000868797,-0.001115705,-0.000875547,-0.00087615,-0.00100953,-0.000971168,-0.000853104,-0.000813329,-0.000459446,0.000128432,-0.000107148,-0.000265429,0.000113826,0.000106017,4.81E-06,-0.000660029,-0.001526094,-0.001994568,0.000709007,0.002070032,0.001900876,0.001670401,-0.00135719,4.75E-06,-0.000287028,-0.000109326,0.000271954,0.000232852,-0.00036958,0.000310792,-5.93E-05,-0.000425251,0.000299592,-3.72E-05,0.000259751,2.97E-05,0.000282376,0.000410194,-0.000117907,0.001377423,-0.00053503,0.000913916,-0.000297064,-0.001701567,-0.00216157,-0.002452783,-0.00283896,-0.002053353,-0.002088013,-0.001226734,-0.000234743,7.24E-05,0.000276366,0.001158614,0.001243829,0.001287361,0.00189401,0.001863245,0.001304799,-0.001157658,-0.000823756,-0.00076194,-0.000729096,0.000252526,-2.23E-05,-0.000636886,-0.001096475,-0.000679504,-0.000604169,-0.000473653,-0.000394766,1.16E-05,0.000111242,0.000645113,0.000976852,0.000907346,0.000494592,0.001903328,0.000992589,0.001971506,0.002445962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000163751,0.00091505,0.002167767,0.002438535,0.001613106,0.001495905,0.000951764,0.001159291,0.000351067,0.000212486,0.000216985,-7.30E-05,-0.000303543,-0.000547081,-0.000901213,-0.000464698,-0.000877453,-0.000824675,-0.001324086,-0.001582761,-0.002037167,-0.001912591,-0.000792836,-0.000307704,0.000722018,0.000780171,0.000142977,0.000194136,0.001171108,0.000653621,-0.000239459,0.000521372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001678865,0.001703415,0.00177313,0.000495965,0.000958891,0.00082464,0.000863753,0.000315772,-0.000231413,-0.00042339,-0.000627117,-0.000596439,-0.000611837,-0.000554999,-0.000728128,-0.000964593,-0.000959127,-0.000782155,-0.001448022,-0.001237069,-0.001251211,-0.001038089,-0.000931241,0.000129903,-0.000312206,-1.98E-05,5.68E-05,0.000850683,-1.74E-05,0.000143978,-3.92E-05,0.000949133,-7.20E-05,-0.000378191,0.001277608,0.000816335,0.000776956,-0.000149548,0.001749252,0,0,0,0,0,0,0,0,0
2,47.59991733,0,0,0,0,0,0.000202557,-0.000517221,-8.44E-05,0.000553641,0.000444377,0.000427388,-0.000195656,0.000315463,0.000378343,0.00085342,0.00041046,0.000194148,-0.000289041,-0.000620525,-0.00087596,-0.001480532,-0.001504448,-0.001333167,-0.00131083,-0.00110005,-0.001088942,-0.000867102,-0.00064245,-0.000638161,-0.000331742,0.00033703,0.000251219,2.25E-05,0.000313313,0.000515729,0.000136603,-0.000563309,-0.002127253,-0.002200191,0.001456646,0.003550009,0.002638683,0.001467323,-0.000879461,0.000319103,-0.000358923,0.000173715,1.64E-05,0.000127178,-4.55E-05,9.32E-05,-0.000191641,-0.000600872,-4.89E-05,-0.00042646,-8.64E-05,0.000328705,0.000354232,0.000304741,3.93E-05,0.00049648,-9.73E-05,-0.000113567,-0.000772632,-0.002201956,-0.002343924,-0.002514934,-0.002578839,-0.002122119,-0.001615464,-0.001296118,-0.00024477,9.91E-05,0.000774077,0.000970672,0.001743384,0.00166486,0.001886081,0.001438678,0.001420602,-0.001339485,-0.000301652,-0.000221654,-0.001155082,0.000548166,-0.000258959,-0.001223344,-0.0017409,-0.001201558,-0.001234915,-0.000999829,-0.000412826,0.000270169,0.000558338,0.001142964,0.001558779,0.001418087,0.000326615,0.002066417,0.002079537,0.001801173,0.002007967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.85E-05,0.000580794,0.002364827,0.001212655,0.00101072,0.00101251,0.000333385,0.000447063,0.000443027,0.00022683,-7.64E-05,-0.00052409,-8.96E-05,-0.000328819,-0.000200607,-0.000109465,-0.000270452,-2.57E-05,-0.000190953,-0.000324822,-0.000477544,0.000187539,-0.000203279,-0.000270281,-0.00040421,-0.000543206,-0.000781899,-0.001153948,0.000606982,8.44E-06,-0.000554419,-0.000143515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002706918,0.002254346,0.002007033,0.001426548,0.001479917,0.000868212,0.000935196,0.000220001,-4.42E-05,7.95E-05,-0.000440472,-0.00018585,-0.000272266,9.72E-06,-0.000198679,-0.000385722,-0.000239855,-8.27E-05,-0.000722933,-0.001236834,-0.00111137,-0.001047885,-0.000968753,-0.000593091,-0.000985313,-0.001351048,-0.000684053,2.89E-05,-0.000880557,-0.000578043,2.20E-05,-2.18E-05,-9.35E-05,-0.000534683,-2.03E-05,-0.000747347,0.000498285,0.000466711,0.00094541,0,0,0,0,0,0,0,0,0
3,48.42207121,0,0,0,0,0,-3.02E-05,-4.67E-05,3.22E-05,0.000492646,-8.83E-05,0.00041689,0.000190735,0.000795676,0.000632623,0.000676896,0.000424089,0.000223456,-0.000385611,-0.000980874,-0.001099567,-0.001747682,-0.001472693,-0.001123143,-0.001174244,-0.001044865,-0.000952532,-0.000668651,-0.00051705,-0.000376538,-0.000201669,0.000697563,0.000616607,0.000521235,0.000970575,0.001187184,0.000746298,-0.000453836,-0.002051564,-0.001973154,0.001173917,0.00377426,0.003142328,0.001905886,0.00011056,4.44E-05,-0.000603448,-0.000550791,-0.000930281,-0.000704415,-0.000899868,-0.000517785,-0.000269307,-0.000844566,-0.000470305,4.79E-05,0.000178855,0.000373042,8.23E-05,-2.80E-06,0.000176626,0.001038678,-0.002058556,9.60E-05,0.000261554,-0.00190144,-0.001499194,-0.001594927,-0.002067737,-0.001632721,-0.00128018,-0.000727382,3.62E-06,0.000477428,0.001180867,0.001494802,0.002165345,0.001765068,0.001489095,0.001732377,0.003462629,-0.001805255,-0.001264613,-0.001546264,-0.001156751,0.002281029,0.000628342,-0.001357709,-0.001912825,-0.001835495,-0.001526989,-0.001363765,-0.001017337,-0.000362377,0.000206949,0.001007221,0.002104466,0.001170878,0.000874101,0.001163625,0.001503354,0.000467579,0.000198808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000596754,-0.000295332,0.00032884,0.000702349,0.000783952,0.000412429,0.000449675,8.28E-05,0.000451921,9.25E-05,-0.000240008,-0.000181989,-0.000586368,-0.000429358,-8.54E-05,-0.000355536,-2.17E-05,5.76E-05,-9.19E-05,7.15E-05,-4.08E-05,-3.61E-05,-0.000249546,0.000104806,0.000505155,-3.44E-05,-0.000329354,-0.000650135,0.000809293,0.000589986,-6.43E-05,0.000624238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002608046,0.001389941,0.001737274,0.001816288,0.000811245,0.000784555,0.000553543,4.95E-05,-0.000569986,-0.000398717,-0.000436201,-0.00053907,-0.000376404,-0.000390288,-1.03E-06,-0.000170251,-0.000252282,-0.000412857,-0.000864108,-0.000675575,-0.001025951,-0.000303239,-0.000509249,0.000129418,-0.000379436,-0.000653301,-0.000585352,0.000419207,-0.000885699,-0.000907738,-0.00012673,0.000293182,-0.000339188,-0.000616099,-0.000290997,-0.000189351,-0.000462562,0.000681224,0.000346497,0,0,0,0,0,0,0,0,0
4,48.78016428,0,0,0,0,0,0.00070619,0.00045324,0.000691212,0.000739794,-0.000256441,8.82E-05,-4.88E-05,0.000219209,0.000453839,0.000694408,0.000319416,0.000274522,-0.000208623,-0.000552658,-0.000647787,-0.001283147,-0.001389899,-0.001359815,-0.001295443,-0.001297654,-0.001346888,-0.001079466,-0.000765376,-0.000791816,-0.000487601,8.69E-05,-0.000128227,-0.000385269,1.78E-05,0.00026232,-0.000107041,-0.001150263,-0.002147045,-0.0017177,0.00130496,0.003340773,0.002856575,0.002357216,-0.000837359,0.000118514,0.000272482,0.000177106,0.000284053,0.000299287,-0.000379464,-0.000526065,-0.000774164,-0.000759675,-0.000762099,-0.001172513,-0.000524727,-0.000257797,-0.000255687,-0.000456011,-0.000337212,6.13E-06,-0.000567563,-4.44E-05,-0.00049538,-0.001187321,-0.000937585,-0.001124728,-0.001214366,-0.001199901,-0.000892386,-0.000676765,6.57E-05,0.000527748,0.000467811,0.000935646,0.00118551,0.001232911,0.001444345,0.001252639,0.001616909,-0.000423114,7.37E-05,-0.000277693,-0.00069408,9.48E-05,7.47E-05,-0.000930333,-0.001368519,-0.001178034,-0.001394279,-0.00140251,-0.00082668,-9.20E-05,0.000489027,0.000640265,0.001324927,0.000829983,0.000438172,0.001224963,0.00106013,0.001319825,0.001782787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000783176,1.53E-05,0.001394067,0.001770984,0.001082805,0.001358666,0.001259971,0.001138586,0.000651678,0.000625194,0.000120787,-0.000317053,-0.00011079,-0.000188158,-4.37E-05,-0.000187971,0.000622319,8.48E-05,0.000161925,6.99E-05,-0.000273624,-0.000215825,-0.000249838,-0.000481332,-0.000523619,-0.001142788,-0.00158739,-0.001336382,-0.000681666,-0.000321582,-0.000465278,-0.000383339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001256411,0.001476352,0.001270026,0.000873369,0.000723007,0.000764728,0.000827428,0.0003439,8.71E-05,0.000318881,1.68E-05,-1.76E-05,0.000339934,0.000277675,0.000249942,3.16E-05,0.000486022,0.000197543,-9.30E-05,-5.33E-06,-0.000176902,-0.000114207,-0.000158374,-0.00012803,-0.000873829,-0.000422914,-0.000788445,-0.00062623,-0.001399004,-0.000696915,-0.000678285,-0.000152719,0.000152815,-0.000834019,-0.000675866,-0.000906344,-0.000272312,-0.000401754,0.00035815,0,0,0,0,0,0,0,0,0
5,47.45022706,0,0,0,0,0,0.000316536,0.000172978,0.000513195,0.000490706,0.000463047,0.000507228,9.88E-05,0.000195542,0.000251913,0.000455798,0.000205744,0.000363168,-6.39E-06,-0.000335114,-0.000614135,-0.000853267,-0.001102905,-0.001065025,-0.000955963,-0.001002432,-0.000822263,-0.000959383,-0.000739297,-0.000675398,-0.000573001,-0.000463775,-0.00042187,-0.000685127,-0.000302092,-0.000228091,-0.00023516,-0.000279327,-0.001011004,-0.001868698,0.000699695,0.002608644,0.001848592,0.000971952,0.000455457,0.001027128,8.21E-05,0.000251411,0.000390936,-9.30E-06,0.000199796,0.000133824,-0.000227925,-0.000942906,-0.000493085,-0.00054093,-0.000323342,-0.000404208,-0.000244082,0.000558671,6.45E-05,-9.34E-05,0.000844895,-6.04E-05,-0.000200446,-0.001805326,-0.002839849,-0.002993879,-0.003147068,-0.002499242,-0.002060181,-0.001027606,2.08E-05,0.000707108,0.000842405,0.002192703,0.002980497,0.002487634,0.002195939,0.002324525,0.001161243,-0.000268925,0.000112143,-0.001156956,-0.001583684,0.000267138,-0.000914886,-0.001621952,-0.002026205,-0.001466571,-0.001712802,-0.001167067,-0.000839178,6.74E-05,0.000431053,0.00116549,0.002308557,0.000943878,0.001050576,0.001598078,0.001228177,0.000518959,-0.000744317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000819175,0.000333844,0.001535973,0.002427453,0.001646574,0.001343769,0.001110617,0.00057719,0.000143712,0.000260734,-2.52E-05,-0.000584602,0.000201255,-8.00E-05,-2.43E-05,-0.000100231,2.25E-05,7.39E-05,0.000150606,-0.000569077,-0.000724864,-0.0006908,-5.50E-05,0.000509191,0.000353115,-9.85E-05,-0.000340768,-0.000223605,0.001019166,0.00082569,-0.000122241,9.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002179253,0.001352201,0.001912543,0.001031527,0.000975151,0.000717736,0.000482369,0.000410153,-0.000294131,0.00034868,0.000502396,0.000379068,-3.19E-05,0.000389007,8.47E-05,0.000457554,-2.63E-05,-0.000144304,-0.000676534,-0.000417281,-0.000995269,-0.000583664,-0.000778069,-6.49E-05,-0.00097748,-0.000705382,-0.000654778,-0.000546984,-0.000971165,-0.001070458,-0.000392941,-0.000403546,-0.000244329,-0.001580705,-0.000895781,-0.000295461,-0.001923074,-0.001371575,-0.000667931,0,0,0,0,0,0,0,0,0
6,50.10844858,0,0,0,0,0,-0.000368899,-0.000553245,-0.000326951,0.000213422,-0.000609505,-0.000246606,-0.000479806,0.000246099,0.000452383,0.00086986,0.000382237,7.32E-05,-0.000717363,-0.001577762,-0.002125905,-0.002128096,-0.001633024,-0.001122573,-0.00101164,-0.000510621,-0.00013335,0.000113386,0.00026339,0.000510066,0.000841008,0.001375081,0.000926574,0.001281197,0.001161142,0.001060927,0.000844101,-0.000425417,-0.003140547,-0.00246026,0.00144349,0.004219395,0.003905346,0.003175733,0.000317914,-0.001750167,-0.001086634,-0.00145386,-0.001161049,-0.000628096,-0.00149501,-0.001454943,-0.000716001,-0.000462959,-0.000396794,-0.000453683,0.000374548,0.001250866,0.000509003,-0.000397913,0.000680956,0.001680616,-0.004921638,-0.000445928,-0.001074619,-0.001921581,0.001412939,0.001195855,0.001068164,0.000792599,0.000581898,0.000322463,0.000221538,-0.000303237,-9.04E-05,-0.000504235,-4.63E-05,-3.80E-05,-0.000172045,-0.000488951,0.002125127,-0.002271549,-0.002326712,0.000275476,0.00095407,0.001649844,0.001885133,0.000579333,-0.000138737,-0.001050747,-0.001070464,-0.001438436,-0.000523632,0.000944617,0.001431457,0.001298965,0.00195574,0.001315908,-0.00015625,0.000191451,-0.000765196,0.001097475,0.002115283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00239187,0.002041582,0.001621654,0.001303668,0.000354037,0.000701949,0.000189579,0.000471814,0.000425136,0.000439744,-0.000305235,-0.000188676,-0.000707443,7.45E-05,0.000239527,0.000330878,0.000210588,0.000175507,0.000833503,0.000799475,0.000268475,0.000956781,-0.000483075,-0.000462347,-0.001799652,-0.001794692,-0.002499939,-0.003339015,-0.001420813,-0.001432281,-0.001228755,0.000473037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001146962,0.000917928,0.001718328,0.001453795,0.000873408,0.001564168,0.000870285,0.000393528,0.000120006,0.000335175,5.96E-05,0.000317503,0.000620301,0.000286661,0.000197022,0.000317043,0.000287011,-0.000604266,-0.000470558,2.58E-05,0.000479773,0.000219772,-0.000100418,-0.0003489,-0.000111661,-0.000992609,-0.000956865,-0.000257542,-0.00208603,-0.002225913,-0.001268141,-0.001274444,0.000289406,-0.000533783,-0.001914075,-0.000161698,-0.000853199,-0.000229598,-0.001959544,0,0,0,0,0,0,0,0,0
7,49.81134233,0,0,0,0,0,0.000483461,-0.000681227,0.000295971,0.000640513,0.000696441,0.000677063,0.000421602,0.000354451,0.00085497,0.000781424,0.000283299,0.000446054,0.000104626,-7.36E-05,-0.000258654,-0.00082411,-0.000912677,-0.001130154,-0.001094502,-0.001022966,-0.001250517,-0.001140119,-0.000932851,-0.000888613,-0.000782865,-0.000269071,-0.000424804,-0.000663682,-0.000327179,-0.000208162,-0.000387664,-0.001065498,-0.001923558,-0.001812119,0.001329923,0.002852605,0.001861528,0.001055881,-0.000971391,0.000155002,-0.000519727,-0.000526279,0.000310311,0.000361684,-0.0003853,-0.000292329,-0.00053784,-0.000534097,-0.000237445,-0.0001697,-0.000160343,0.000220149,0.000441006,0.000886456,0.000293333,0.001778443,-0.002367622,0.001081481,0.000470306,-0.001311165,-0.001545795,-0.002468054,-0.002793387,-0.001986948,-0.001478508,-0.001005837,-8.89E-05,0.000188114,0.000587027,0.00141925,0.002180659,0.001988809,0.002263864,0.00237877,0.00174976,-0.001313274,-6.68E-05,-0.000730685,-0.001435713,-0.000282552,-5.31E-05,-0.000688975,-0.001248024,-0.000670446,-0.001432621,-0.000679502,-0.000533365,-0.000282733,4.58E-05,0.000332504,0.000526881,0.000345352,-0.000535791,7.91E-05,0.000959758,0.001266591,0.000902807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000437179,0.000201717,0.001409256,0.00168558,0.001042366,0.001175738,0.000371429,0.000498219,-0.000197672,0.000100448,-7.65E-05,-0.000463823,-0.000384645,-0.000357537,-0.000109901,-0.000595704,0.000108735,0.000147085,-8.73E-05,-0.000585483,-0.000746348,-0.000621206,-0.000108246,-2.66E-06,0.000645253,0.000267575,0.000118325,0.000175434,0.001792897,0.000674975,0.000218927,0.000827256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001701609,0.000575755,0.001226957,0.00067748,0.000276576,0.000198568,0.000492377,-0.000345717,-0.000419935,-0.000553514,-9.04E-05,-0.000383219,-0.000331026,0.000135767,6.52E-06,-4.05E-05,-2.59E-05,-5.41E-05,-0.000937396,-0.000478194,-0.000663719,-0.00042794,-0.000482246,6.00E-05,-0.000540391,-0.000145754,-0.000757241,0.000215924,-0.000478555,-0.000436773,-0.000412573,0.000403588,0.000344753,-0.000746702,0.000518227,-0.000206959,4.28E-05,-0.000171314,0.001445309,0,0,0,0,0,0,0,0,0
8,46.11196402,0,0,0,0,0,-0.00130577,-0.001056069,-0.000597364,0.000156937,9.07E-05,0.000630236,0.000250138,0.000540991,0.000969856,0.001186115,0.001077421,0.000769729,0.000211388,-0.000177435,-0.000841049,-0.001252104,-0.001435527,-0.001207483,-0.000961907,-0.000919483,-0.000639741,-0.000758412,-0.00062884,-0.000467302,-0.000428846,0.000348111,0.00029381,0.000160574,0.000478594,0.000657197,0.000552004,-0.000816672,-0.002706837,-0.002703561,0.001030092,0.003175094,0.002767521,0.002291169,0.000347803,0.00010042,-0.000413868,-0.000217499,0.000243787,0.000348727,-0.000773279,-9.10E-05,-0.00065062,-0.000724595,-0.000513451,-0.000840965,-0.000254017,-0.000284272,-0.000460039,-0.000774816,-0.001458567,0.000623852,-0.000750505,0.000438037,0.000672818,-0.001508651,-0.001009261,-0.001468767,-0.001739995,-0.00155983,-0.001259584,-0.000723663,8.14E-05,0.000361289,0.000481062,0.000728388,0.001798401,0.001739719,0.002197102,0.002016031,0.002497614,-5.91E-05,-0.000467813,-0.000789743,-0.001621721,0.000565739,0.000140182,-0.001566817,-0.002031596,-0.002086229,-0.001990021,-0.001985088,-0.001391511,-3.76E-05,0.000334799,0.001060529,0.001491765,0.001197881,0.000683877,0.001023458,0.001255434,0.002087161,0.001771611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.59E-05,0.001604139,0.003678564,0.00204816,0.001164233,0.001688793,0.001168827,0.000687269,0.001024662,0.00042979,3.53E-05,1.05E-05,-8.04E-05,-0.000146934,4.36E-05,2.64E-06,-0.000287744,-0.000175572,-0.000324759,-0.000691262,-0.000368647,0.000446269,-0.000227573,-0.000764728,-0.000841675,-0.00066841,-0.00094109,-0.001029183,0.000714336,0.000166691,-0.000449897,0.000504517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001922072,0.001538017,0.00197768,0.001168591,0.00134623,0.000831136,0.000591347,0.00027893,-0.000307072,0.000248392,-0.00034265,-0.00046048,-0.000362653,-0.000136674,-0.000754479,-0.000512617,-0.000937822,-0.000786327,-0.00139103,-0.001439884,-0.001491626,-0.000466841,-0.000803675,0.000185519,-0.000336644,-0.000729749,-0.000604123,0.000182817,-0.000798199,0.000262456,3.00E-05,0.00049986,-0.000559194,-0.000977397,0.000494902,0.000722855,0.000190995,0.000893405,0.002040819,0,0,0,0,0,0,0,0,0
9,48.16294867,0,0,0,0,0,0.000777015,0.000267591,-0.000106263,0.000261015,-0.000237119,0.000109325,-0.00027337,0.000257989,6.93E-05,0.000672864,0.000448993,0.000435324,-8.48E-05,-0.00041882,-0.000948738,-0.001318542,-0.00125185,-0.001313478,-0.001308352,-0.001121911,-0.000868317,-0.000692546,-0.000656652,-0.000626513,-0.000285931,7.52E-05,-1.31E-05,0.000131181,0.000235221,0.000215042,5.23E-05,-0.000648792,-0.002311859,-0.002173754,0.000572143,0.003014244,0.002692501,0.002699295,0.00038152,-0.000343883,0.00015955,5.45E-05,-0.000303964,0.000366516,-0.000381581,-0.000758557,-0.000440967,-0.00066726,-0.001014505,-0.000892668,-0.000457718,-0.000136634,-0.00064905,-0.001096356,-0.000853175,0.000544619,-0.002469416,0.000628748,0.000394927,-0.000917276,0.000148798,-6.10E-05,-0.000274926,-0.000162268,-0.000267974,-0.000311474,9.88E-05,0.000233068,0.000173934,0.000602579,0.000963802,0.000948592,0.001143581,0.001090611,0.002627986,-0.000353158,-0.001435725,-0.000538857,-0.000385187,6.58E-05,-0.000206366,-0.000739213,-0.001556582,-0.001832765,-0.002335814,-0.002044063,-0.001355431,-0.00025267,0.000277692,0.000561898,0.001381323,0.000533257,0.00138647,0.001289231,0.000689854,0.001695899,0.002269143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001973563,0.001094901,0.002376263,0.001934764,0.000866041,0.001337307,0.001263769,0.001160561,0.001136247,0.000985022,0.000683403,8.17E-05,-1.87E-05,0.000239089,0.000539849,0.000114385,0.000397108,0.000217362,-8.85E-05,-0.000282698,-0.000449724,0.00014818,-6.67E-05,-0.000501296,-0.001001335,-0.001566032,-0.001958267,-0.002179774,-0.000391408,-0.000217881,-0.000504226,-0.000163579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001613044,0.001300819,0.001698285,0.000900988,0.001009632,0.001494887,0.001197176,0.000704839,0.000316605,0.000380754,-0.000202012,7.01E-05,-0.000440156,-6.08E-05,-0.000340717,-0.000370636,-0.00019641,-0.000816869,-0.00078425,-0.000831715,-0.000896729,-0.000440496,-0.000431911,2.68E-05,-0.000134718,-0.000229006,-0.000723094,-4.08E-05,-0.001635157,-0.000978301,3.88E-05,0.000182757,-0.000247058,-0.000501212,-0.000923646,-0.000192086,-0.000603719,1.67E-05,4.90E-05,0,0,0,0,0,0,0,0,0
10,48.79056381,0,0,0,0,0,0.000316828,1.45E-05,0.000669303,0.000647943,0.000383891,0.000444599,-8.62E-05,0.000241658,-1.65E-05,0.000335042,4.63E-05,-0.000150623,-0.00053299,-0.00093364,-0.000786559,-0.000743295,-0.000742558,-0.000542758,-0.000581981,-0.000467283,-0.000355643,-0.000232947,-0.00016133,-0.000149621,-0.000208617,-0.000236641,-2.48E-05,-0.00026717,3.36E-05,-0.000108266,-0.000462275,-0.001233725,-0.001847564,-0.001692572,0.000317667,0.002324978,0.001930232,0.001779084,0.001241797,-0.000539164,-0.000420867,-0.000210057,-9.30E-05,9.77E-05,-0.000453782,-0.00030345,-0.000455295,-0.000395801,-0.000349925,-0.000191383,9.73E-05,0.000626989,0.000417947,0.000801677,0.000729352,5.65E-07,-0.000719758,-0.0004269,-0.001499823,-0.002066883,-0.000955789,-0.001040535,-0.001718471,-0.001357105,-0.000989492,-0.00111593,-0.000215582,-2.98E-05,0.000393042,0.001269623,0.001267667,0.001147964,0.000931888,0.001049096,0.001218295,-0.000954142,-0.000798613,0.000344912,-0.000892536,0.000154927,-0.000482392,-0.000510119,-0.001318538,-0.001066716,-0.000872253,-0.000998488,-0.000477828,8.29E-05,0.001051293,0.001226049,0.00235109,0.001452173,0.000888325,0.002029707,0.001215215,0.000424555,-0.000217012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001093863,-0.001242844,0.00182392,0.002584382,0.001681986,0.00194757,0.001746143,0.001386084,0.001250546,0.00093003,0.000532518,-0.000107412,-8.46E-05,-0.000518928,0.000239061,4.77E-05,-0.000162662,-0.000371012,-0.000177009,-0.00107568,-0.001427858,-0.00099289,-0.000574453,-0.000592782,-0.00055566,-0.000746381,-0.000870716,-0.001071569,0.000326226,0.000210013,-0.000333455,-0.000329456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001733953,0.001300215,0.001796541,0.000645379,0.000513115,0.000936191,0.000834444,-2.52E-05,-0.000365323,-0.000832408,-0.000721342,-0.000288651,-0.000737644,-0.000827668,-0.000674536,-1.43E-05,-0.000252533,8.99E-05,-0.000536708,-0.000133627,-0.000365507,-0.000165024,-0.000729864,-0.000498317,-0.000377614,-0.000131085,-0.000541027,0.000242126,-0.000338561,-0.000838405,0.000130201,0.000664389,4.80E-05,0.000328738,-0.00023122,0.000496122,6.19E-05,0.000707807,-0.000777111,0,0,0,0,0,0,0,0,0
