Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,135.3115936,0,0,0,0,0,0.025147746,0.025792211,0.025189683,0.009660072,0.005085045,0.00795916,0.003771293,0.005454013,0.003917415,0.006095868,0.003168446,-0.004141382,-0.01531286,-0.025016652,-0.029831213,-0.043694033,-0.043141522,-0.043192619,-0.039702425,-0.034780857,-0.034020333,-0.027524013,-0.020955417,-0.017521985,-0.015469674,0.002283543,-0.00019076,-0.009872941,0.002054555,0.007745534,0.001551481,-0.013683058,-0.029319279,-0.022634844,0.062011402,0.089812649,0.055194633,0.016747747,0.016696266,0.000894659,-0.01786809,-0.018966793,-0.015805857,-0.012810819,-0.007464115,-0.015185275,-0.025193154,-0.024525184,-0.026181627,-0.024098385,-0.025719281,-0.007021205,0.00131483,0.008282608,0.008564359,0.015005964,0.009079906,0.008002638,0.01799626,-0.005157821,-0.023916916,-0.032101485,-0.049057554,-0.034875465,-0.011757059,-0.002314325,0.012381828,0.019773394,0.031042048,0.048041321,0.051667131,0.050490694,0.054861788,0.054135463,0.05397915,-0.023414326,-0.024114272,-0.041201159,-0.035582393,0.006851213,-0.01226102,-0.04420579,-0.05293116,-0.064097015,-0.057570629,-0.040912286,-0.033353662,-0.009642491,-0.004038955,0.005235549,0.037178665,0.007121833,0.008155245,0.057681038,0.0357803,0.010916485,0.016532119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005603601,-0.004520124,0.05976807,0.039894593,0.040548267,0.050360916,0.036267615,0.025824637,0.030173794,0.023924573,0.003362008,0.000841327,0.009761413,0.00015853,-0.001316379,-0.002287339,0.010746149,-0.010146938,0.006143196,0.002675783,-0.011299067,0.004427785,-0.017723056,-0.022004244,-0.024652183,-0.023822695,-0.038751235,-0.01853106,-0.023934767,-0.012029967,-0.026979888,-0.012409115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061232798,0.051556723,0.062383477,0.051360558,0.028245591,0.018394334,0.017957119,0.006851417,0.00018359,-0.005663694,-0.001157086,-0.009800663,-0.006441681,0.00031533,-0.005091098,0.003529616,0.000323937,-0.003656931,-0.011684673,-0.018501378,-0.020294246,-0.012452636,-0.008903812,-0.008269666,-0.013284578,-0.022740808,-0.005718655,-0.003411867,-0.021255063,-0.010110648,0.004495357,-0.00948861,-0.003440698,-0.018836451,0.002044742,-0.027704005,0.006936856,-0.006410794,0.008864249,0,0,0,0,0,0,0,0,0
2,122.1030973,0,0,0,0,0,0.001216645,-0.013263807,-0.005982746,0.004445651,0.01716552,0.017931161,0.015033345,0.02098497,0.018379883,0.017598158,0.018619716,0.01048993,0.001463461,-0.004580765,-0.016577381,-0.03549163,-0.032267168,-0.039517211,-0.02993258,-0.033207323,-0.030092656,-0.022653823,-0.022117208,-0.014699351,-0.008373022,-0.003212156,0.003200148,-0.006119894,-0.000388175,0.009731378,0.00257138,-0.021464094,-0.057381269,-0.033667075,0.060781573,0.0909274,0.052469948,0.015558481,-0.001166081,-0.017127815,-0.023937764,-0.012133097,-0.007015852,-0.002733621,-0.002287222,-0.011596592,-0.013681805,-0.011471789,-0.007641329,-0.018495161,-0.020790334,-0.0069317,-0.001103491,-0.001735819,-0.003487053,-0.015808767,0.063029116,-0.001376307,0.006544625,-0.01866286,-0.034446774,-0.050300285,-0.064643834,-0.038008151,-0.028984246,-0.018935619,-0.000688915,0.020625678,0.023226119,0.036945517,0.048357712,0.050099919,0.057506655,0.037477298,0.02665899,0.007883927,0.042214169,-0.025629021,-0.006204377,-0.015117614,-0.031443024,-0.042288167,-0.066284755,-0.070243534,-0.062631584,-0.037632792,-0.024799711,-0.012473999,0.008972894,0.016401015,0.027460819,0.018698915,0.002153015,0.054237501,0.046860192,0.03219289,0.047886876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00983323,0.055400881,0.068234381,0.056582702,0.04120744,0.037753283,0.026086781,0.021500096,0.011142515,0.006810051,0.003231145,-0.012754828,-0.008777721,0.000355193,0.0042353,0.005937036,0.001812332,0.00321422,0.001650256,-0.003657406,-0.014003259,0.002110731,-0.003707011,-0.012506305,-0.012509992,-0.028183655,-0.026846009,-0.028328852,-0.017577608,-0.017824171,-0.019820658,-0.000194975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026114656,0.023734358,0.035468758,-0.00330926,-0.000345725,0.004551715,0.006121034,-0.006883465,0.002189081,-0.004838825,-0.007511051,0.001151254,-0.000705141,0.005789715,0.010588869,0.00823171,0.000876703,0.004421343,-0.008518723,-0.00740444,0.003118839,-0.005277024,-0.009838402,-0.002726147,-0.01887728,-0.012480647,-0.011354707,-0.002983322,-0.007618281,0.014502853,-0.019284717,0.008116971,-0.013668808,-0.028920748,0.001968779,-0.014282686,-0.001747707,0.015325024,0.023791693,0,0,0,0,0,0,0,0,0
3,118.4539087,0,0,0,0,0,0.014302312,-0.009750715,0.000328632,0.007876998,-0.000227859,0.004098752,0.00381875,0.009108049,0.007357688,0.009138442,0.006705999,0.010711197,0.005206248,0.00179717,-0.005923404,-0.014537655,-0.02219917,-0.034699252,-0.031824387,-0.029616294,-0.035818272,-0.027915737,-0.026927619,-0.025342272,-0.026228101,-0.008791346,-0.01474287,-0.020405544,-0.015324349,-0.01102049,-0.018420744,-0.023257266,-0.030504792,-0.015888846,0.045015893,0.057073064,0.043697791,0.025040808,0.008792795,0.015245952,-0.000413692,0.00423249,-0.007982905,-0.00636051,0.002037725,-0.002245206,-0.010107924,-0.017894456,-0.013575287,-0.014348581,-0.01640436,-0.01344163,-0.000648299,-0.002615139,0.001330959,-0.018090679,0.050655193,-0.023277145,-0.013947097,-0.035011129,-0.063950728,-0.050647685,-0.071421373,-0.048437112,-0.039591105,-0.015658248,0.003954057,0.017603511,0.029632333,0.038566769,0.055634562,0.055603232,0.063746182,0.056166242,0.051113643,-0.020153789,0.00373865,-0.010182363,-0.026761287,0.026533234,-0.036564408,-0.057893294,-0.070996995,-0.085014378,-0.059617377,-0.043547598,-0.036864242,-0.01068713,0.001948894,0.004333584,0.017951825,0.008062076,0.016628882,0.069724896,0.071928418,0.052836166,0.066993043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022731621,0.066520423,0.076846541,0.066595946,0.051228759,0.045765927,0.0302435,0.026752232,0.022659417,0.015285805,0.004099013,-0.005391236,0.005711582,-0.006250887,-0.010882347,0.011612843,0.002243679,-0.003241893,-0.002600829,-0.006329537,-0.003007403,-0.007544341,-0.000529973,-0.000607928,-0.020098683,-0.014145547,-0.012269205,-0.017419905,-0.012384691,-0.003432835,-0.012902049,0.002875818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041306711,0.048996162,0.03699556,-0.00048591,-0.006403312,0.015135176,0.017409482,-0.002852342,0.001204443,-0.000193158,-0.013673756,0.001621642,-0.011638914,-0.012629596,-0.024253503,-0.015705418,-0.012236237,-0.002467429,-0.006821235,-0.020640009,-0.022009877,-0.010729028,-0.024264752,-0.023008767,-0.032181718,-0.025034258,-0.029053416,-0.013187968,-0.024916165,-0.006830438,-0.009292174,0.001631999,-0.002313121,-0.002358407,-0.006471749,0.018867469,0.018649144,0.033757229,0.042236855,0,0,0,0,0,0,0,0,0
4,110.1978446,0,0,0,0,0,0.013466697,0.00022618,0.003557909,0.00521789,-0.001055094,-0.004309248,-0.000848784,0.014476805,0.005164613,0.015517935,0.010650715,0.019489461,0.00294587,-0.012328489,-0.015179229,-0.039019643,-0.03655151,-0.035823323,-0.025268058,-0.023321696,-0.022971877,-0.017187027,-0.015702014,-0.002743471,-0.005579692,0.00841714,0.002795134,-0.0034336,0.000416029,0.012604235,-0.003686677,-0.02317336,-0.062074118,-0.047578261,0.043632253,0.08600978,0.068372732,0.027781605,0.043114382,-0.012469208,-0.024109308,-0.010052125,-0.014457102,-0.009353679,0.006120565,-0.001911699,-0.018686423,-0.008268845,-0.008028247,-0.012419081,-0.018338081,-0.003663521,0.014676421,0.010888561,0.020847226,-0.023550619,0.068270031,-0.034708891,-0.031515053,-0.021106137,-0.057894123,-0.058076301,-0.072411431,-0.048518445,-0.037596928,-0.022778692,-0.002361531,0.013011782,0.01790816,0.036851737,0.048174849,0.056604647,0.061910073,0.045173809,0.030831645,-0.018319631,0.040950456,-0.006866869,-0.031689695,0.001605835,-0.042635917,-0.057145128,-0.063032201,-0.089124031,-0.056404366,-0.037738093,-0.014723674,0.00018326,0.016672528,0.012518542,0.033010282,0.016848948,0.007352901,0.055903928,0.069456886,0.035776795,0.044038453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016099974,0.044484358,0.040374882,0.030739682,0.045239572,0.058521283,0.061296541,0.039138559,0.040661957,0.021454988,0.009846369,0.001883659,0.008691656,0.004362929,0.00673533,0.019795432,0.007849742,0.011835654,0.017708024,0.000191205,-0.012511765,0.005617552,-0.019159077,-0.026037354,-0.042849199,-0.027152283,-0.03311286,-0.030787162,-0.027290488,-0.025082296,-0.036371474,-0.014602892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048791396,0.049231199,0.05958162,0.025666351,0.000401962,0.019607002,0.020794179,0.010809582,0.010720004,-0.006047801,-0.007334316,0.006704238,-0.01111369,-0.006828424,-0.006112654,0.013397224,0.005032704,-0.001793684,0.006851338,-0.006056467,-0.005828088,0.004933687,-0.019910924,-0.022217281,-0.035546748,-0.028544653,-0.017971549,-0.014521191,-0.025111134,-0.008104879,-0.033060134,-0.020057692,-0.019781996,-0.027563874,-0.002626174,-0.011354782,0.010922193,0.007216236,0.026044259,0,0,0,0,0,0,0,0,0
5,173.2018879,0,0,0,0,0,0.041655692,0.025472655,0.030839044,0.03724768,0.014303523,0.017834852,0.014590664,0.018276854,0.018654582,0.012791313,0.016622886,0.011992449,0.002938092,-0.005239926,-0.010187156,-0.026365685,-0.029753763,-0.032660402,-0.041654447,-0.037712629,-0.035524734,-0.033353013,-0.034259602,-0.028868638,-0.027643129,-0.014757819,-0.017257219,-0.023486859,-0.013998915,-0.001829642,-0.009943683,-0.029771747,-0.04406372,-0.030271775,0.045470541,0.087702087,0.060494482,0.019682034,0.00010421,-0.008672631,-0.016587236,-0.019466939,-0.014404383,-0.015407358,0.002258448,-0.001290721,-0.007393188,-0.016955425,-0.009414846,-0.007072558,-0.002014603,-0.004153859,0.009962723,0.008474516,0.033903832,0.006362758,0.024820793,-0.019743061,-0.023574388,-0.032351195,-0.058493693,-0.056487543,-0.055572622,-0.045899231,-0.030681944,-0.017440255,-0.000343282,0.014476168,0.032665797,0.039940736,0.04983148,0.04963066,0.050848876,0.031814684,0.026155704,-0.058136989,0.000462452,-0.000975688,-0.035784886,0.016661347,-0.024660813,-0.065658713,-0.065806764,-0.074471701,-0.049745544,-0.032418579,-0.02339627,-0.002348619,0.014693352,0.022905092,0.043541222,0.025734332,0.050846126,0.05480828,0.036475531,0.047294818,0.045152878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034426706,-0.021550311,0.029972542,0.037500078,0.036514104,0.032953895,0.02986854,0.024613854,0.019685035,0.008407298,-0.001992636,0.001660894,-0.004069047,-0.000891004,0.000732879,0.004567219,-0.000370964,-0.009067164,0.008748939,0.00740893,0.00521982,0.005078279,-0.003727755,-0.010676788,-0.025876773,-0.008101861,-0.023518936,-0.007139307,-0.024301151,-0.001495131,-0.021488553,-0.012624266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007629057,0.019646521,0.011243593,-0.019621791,-0.021277184,0.006377037,0.014839537,0.006930144,0.008862046,0.010602231,0.000711213,0.007209359,0.01106986,0.01299109,-0.003691832,0.015336224,0.00613207,0.008172599,0.011447697,-0.002979965,-0.002880976,0.007392165,-0.005731603,0.001998056,-0.022949236,-0.010877836,-0.02305704,-0.01791065,-0.014046422,-0.000237978,0.000116237,0.00331892,-0.011374528,-0.005584841,0.003180776,0.005968619,0.012682607,0.000643368,-0.006597508,0,0,0,0,0,0,0,0,0
6,135.6984135,0,0,0,0,0,0.005306687,-0.018510658,-0.007746424,0.009920326,0.015986365,0.020643321,0.010729016,0.016245934,0.018447378,0.019126919,0.020356417,0.008505168,-0.003925835,-0.012786717,-0.026162775,-0.040472052,-0.034481902,-0.03612128,-0.026821792,-0.025229845,-0.024883832,-0.014355156,-0.014849019,-0.009214699,-0.004241664,0.007295539,0.007454139,0.002710745,0.003742473,0.010651262,0.004193909,-0.013605278,-0.04705589,-0.031536709,0.058387764,0.094255268,0.051742245,0.007797159,-0.027661007,-0.008316969,-0.028913486,-0.019519417,-0.014729195,-0.021423755,0.005264362,-0.002747348,-0.006816105,-0.018287782,-0.011188171,-0.007498685,-0.007821149,-0.001401363,0.008541041,0.009193963,0.022545292,-0.004375276,0.069271015,-0.005768676,-0.009596133,-0.026465175,-0.057127095,-0.051005999,-0.06327759,-0.036234328,-0.025932206,-0.014975466,0.011723054,0.02693227,0.040610881,0.048001418,0.053976493,0.052910803,0.057571875,0.036148384,0.000416594,-0.023313138,0.043552831,0.000355862,-0.024668667,-0.018025846,-0.050232928,-0.061248138,-0.062044607,-0.064447769,-0.052207881,-0.039561112,-0.026833385,-0.013164636,0.006315347,0.017748246,0.024778532,0.017841104,0.006696331,0.035740991,0.033049792,0.026218417,0.049983611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014593125,0.022673086,0.052648961,0.041023237,0.031460866,0.038061334,0.026731806,0.01770614,0.011053554,0.01120425,0.010162485,0.004744959,0.000879136,0.006008233,0.003740088,0.016970257,0.005550751,-0.004324228,0.01060857,0.003372003,0.003205607,0.006613381,0.003144781,0.001486036,-0.002104657,-0.017815457,-0.008982794,-0.020039894,-0.020617117,-0.008932112,-0.021054284,0.004705204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040747999,0.035339265,0.029032583,-0.002141194,0.001962349,0.002158201,0.006752553,-0.003987365,-0.000584355,0.000150431,-0.01038231,-0.005453197,-0.002249751,0.005367074,-0.011672559,-0.007518543,-0.013402202,0.001822711,-0.010035528,-0.021840095,-0.018959839,-0.010336721,-0.023714847,-0.009440583,-0.02366963,-0.016061242,-0.024561686,-0.00856475,-0.008036253,0.001090784,-0.012163321,0.004479997,-0.018534238,-0.007291794,0.000182794,-0.003697827,0.004141155,0.010933341,0.014172346,0,0,0,0,0,0,0,0,0
7,115.678914,0,0,0,0,0,0.020526501,-0.011788082,-0.01967044,-0.001390217,0.000115958,-0.00437963,0.000623542,0.014251992,0.013336973,0.023095874,0.022983035,0.013516072,0.003915108,-0.003840037,-0.013088178,-0.022552218,-0.032219042,-0.032639694,-0.031145118,-0.031672599,-0.026468928,-0.023110086,-0.021825129,-0.015303172,-0.009621455,-0.00375802,0.00476016,0.001198277,-4.43E-05,0.019275806,0.006141413,-0.008711403,-0.028152419,-0.007264443,0.051566185,0.068632869,0.025847635,-0.009814404,-0.001887992,-0.022270748,-0.031636918,-0.015765349,-0.004223452,-0.003194499,0.006519355,-0.002373848,-0.010240919,-0.003964276,-0.000709553,0.003127787,-0.003342204,0.00474318,0.0120944,-0.014532653,-0.000338853,-0.019716869,0.116462164,-0.001807441,-0.008203231,-0.012021017,-0.054230262,-0.02878016,-0.055490408,-0.033629114,-0.023644093,-0.00936274,0.006081963,0.014596693,0.02799926,0.028332674,0.028375996,0.032307833,0.037171846,0.013349239,-0.024855578,0.00848533,0.079481868,-0.001230825,-0.014448142,-0.0397506,-0.060196618,-0.069762391,-0.062514547,-0.063201141,-0.049172068,-0.028985708,-0.025202783,0.000396773,0.006533316,0.018625984,0.017076881,0.019434972,0.031028749,0.042331753,0.048673694,0.043526439,0.057865486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047795629,0.093064061,0.070861532,0.051175237,0.0315841,0.047596475,0.035497243,0.02479377,0.008183045,0.009397794,0.002281514,0.008011967,-0.005744088,-0.003727253,-0.002852009,0.006794032,0.006253331,-0.001120877,0.002574913,0.011910257,-0.011244798,-0.003613746,-0.022663895,-0.028665755,-0.035141303,-0.046778482,-0.031492781,-0.015156341,-0.021927619,-0.02476577,-0.01710653,0.004788313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008148865,0.017541642,0.033345682,0.001758665,0.011404387,0.00467568,0.0124767,0.009235611,0.010598607,0.020285817,0.00576433,0.006967349,0.004044578,0.012825965,0.0103779,0.010547097,0.007518404,0.006994687,-0.003701907,-0.005429209,-0.002088888,0.012052957,-0.010640087,-0.009823377,-0.01309955,-0.017632508,-0.015025308,0.011792079,-0.001722093,0.005836585,-0.020309186,-0.006262625,-0.032854461,-0.044790951,-0.026726331,-0.040736725,-0.02852658,-0.02363851,-0.026207861,0,0,0,0,0,0,0,0,0
8,130.8168484,0,0,0,0,0,0.031793692,-0.005621465,0.009577508,0.015086976,0.008502885,0.008609747,0.003044805,0.000617826,0.002770796,0.005261668,0.006577669,-0.008369732,-0.017546668,-0.026472359,-0.032564433,-0.040225139,-0.029845493,-0.02983043,-0.019339394,-0.017334412,-0.020827459,-0.01146138,-0.010563743,-0.007770968,-0.008465047,0.006499503,-0.002830389,-0.00365721,-0.004663778,0.001920326,-0.006886375,-0.014013016,-0.030038136,-0.023414186,0.059729204,0.076408325,0.037789624,0.00587958,-0.033002093,-0.013683578,-0.022693304,-0.010671735,-0.00605023,-0.006629666,-0.001112391,-0.003268761,-0.008983957,-0.009948825,-0.00889101,-0.009419778,-0.00562082,-0.007840775,0.005042181,0.00967053,0.004507371,-0.009373805,0.057102882,-0.02127085,0.011406369,-0.008555232,-0.043338396,-0.039053437,-0.048092384,-0.031961347,-0.029517326,-0.00634808,0.012208358,0.020803813,0.028123218,0.040011201,0.047657067,0.048919403,0.05315115,0.036005755,0.006113265,-0.001277177,0.040652206,-0.016730361,-0.013728938,-0.016101752,-0.04690312,-0.051938657,-0.064626799,-0.067271881,-0.0535053,-0.035115102,-0.031593922,-0.013170574,5.59E-05,0.008566387,0.011700908,0.010924142,0.011759937,0.043769049,0.042262581,0.029428049,0.062993661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009163082,0.051184667,0.066305957,0.073708595,0.048360096,0.053848481,0.034026104,0.026826191,0.018809199,0.016160123,0.009060512,0.001898948,0.003192688,0.000964961,-0.00496461,0.00704559,0.00229116,-0.001278304,-0.000826627,-0.00294151,-0.016795326,-0.007784634,-0.00588593,-0.000333981,-0.01454905,-0.021423268,-0.00579549,-0.017815426,-0.040839952,-0.007702178,-0.022914976,0.003980997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031288625,0.032468456,0.028221795,-0.005892597,-0.018369473,-0.002303799,0.000978101,-0.006861427,-0.014252188,-0.014100131,-0.022791613,-0.007277612,-0.003250884,-0.008800642,-0.008420397,-0.002305082,-0.008091167,-0.002356855,-0.011115939,-0.010494704,-0.005635289,-0.00844904,-0.02317068,-0.012012499,-0.026486752,-0.01261249,-0.011861464,-0.013396776,0.000878287,0.006933593,-0.007895667,0.009025041,-0.007836678,-0.001127418,0.012036203,0.008731498,0.026276258,0.004396837,0.021119071,0,0,0,0,0,0,0,0,0
9,126.5171596,0,0,0,0,0,-0.029498256,-0.024451417,-0.000378564,0.02273425,0.023016728,0.027885245,0.021838814,0.022335641,0.017619658,0.018644057,0.018282807,0.015258717,0.005621628,-0.002440628,-0.006389623,-0.021920151,-0.016771178,-0.024629616,-0.016416344,-0.01764439,-0.018062634,-0.013751237,-0.016768688,-0.013488332,-0.016284748,-0.006747967,-0.012010111,-0.015651494,-0.01360165,-0.004372876,-0.012680471,-0.017590802,-0.041615411,-0.028613923,0.043822543,0.07984357,0.043577814,0.008658114,-0.026897663,-0.027451208,-0.028097492,-0.017507966,-0.009376622,-0.006914564,0.006151955,0.002367007,-0.00362831,-0.007694474,-0.003803141,-0.005106037,-0.007108096,-0.003378256,0.010288523,0.013182762,0.021209623,-0.001770168,0.049125829,-0.011879344,0.003305662,-0.010936863,-0.047785781,-0.049152808,-0.064194445,-0.040109364,-0.029700608,-0.016980988,0.006411165,0.022544212,0.024858862,0.037658168,0.045575238,0.049140022,0.057937563,0.03954035,0.019376346,-0.015904214,0.033616348,-0.025405059,-0.027505107,-0.006255203,-0.04473985,-0.0586253,-0.069413068,-0.071558378,-0.05896854,-0.035758898,-0.02352887,-0.011742004,0.008642188,0.014914018,0.015360297,0.024305474,0.00783077,0.030944496,0.037555955,0.04760939,0.073877323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015192261,0.014977116,0.045606169,0.071516838,0.046526187,0.049122457,0.035447841,0.02368629,0.00638755,0.015328074,0.006901865,0.004596924,-0.005423666,-0.000866422,-0.002377524,0.004745237,-0.003723112,-0.009862693,0.003282938,-0.006611005,-0.01342944,-0.001160839,-0.000275637,-0.010145887,-0.004123951,-0.021377325,-0.01980405,-0.029403298,-0.026393897,-0.013579641,-0.013918662,0.004228799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012868717,0.01723316,0.017648681,-0.027849746,-0.029924528,-0.009092248,0.004626726,-0.007209626,-0.014372241,-0.007768876,-0.016038524,0.00127168,-0.004730275,0.00248896,-0.00206752,0.006631842,9.24E-05,0.012254183,0.000343948,-0.003869566,-0.001528116,0.012701963,-0.006046699,0.002335683,-0.016983504,-0.000146691,-0.019494949,-0.001891949,0.005038567,0.001002895,0.001101347,0.009480905,0.005712118,0.002316747,0.013023916,-0.005003544,0.012190921,0.019482324,0.011347113,0,0,0,0,0,0,0,0,0
10,77.18625403,0,0,0,0,0,0.001959362,-0.018094991,-0.009409762,0.00166007,0.006970452,0.011344061,0.008985241,0.015429438,0.013493895,0.015547705,0.012715852,-0.000480609,-0.015832365,-0.02933558,-0.03818702,-0.048014616,-0.044916342,-0.035715451,-0.025707696,-0.022607232,-0.021590782,-0.00669872,-0.003308455,0.003851388,0.010493632,0.02460219,0.027065306,0.017827104,0.02226131,0.027787428,0.02304211,-0.004923048,-0.03549994,-0.019038841,0.057983854,0.092298346,0.056649944,0.013224118,-0.007305383,0.005103245,-0.022106946,-0.018167511,-0.01481694,-0.016014923,-0.002248103,-0.008102466,-0.013629779,-0.02362657,-0.018416027,-0.021113462,-0.022742105,-0.018982664,-0.004638868,-0.002028132,0.005866532,-0.028144708,0.06274224,-0.000707284,0.015531329,-0.005696221,-0.042727078,-0.030482717,-0.050868825,-0.028677504,-0.025301879,-0.004873575,0.018512791,0.024497596,0.036894029,0.044779299,0.057189675,0.058111439,0.063714601,0.053296471,0.037649257,-0.014391539,0.008208283,-0.008328168,-0.04048551,-0.009146893,-0.047336602,-0.056853899,-0.066104747,-0.084363861,-0.065732279,-0.053527065,-0.046493498,-0.028201051,-0.004797637,0.004022507,0.011082128,-0.000595628,0.001545634,0.05391413,0.079640275,0.05887699,0.059511993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024350328,0.042486911,0.04434251,0.004464425,0.011304553,0.012368339,0.01696298,0.007171861,0.020891949,0.004235501,0.004016424,-0.009242939,-0.001757193,0.002390377,0.010083521,0.013826873,0.021098564,0.018255193,0.022338918,0.016832173,0.013228345,0.006250776,-0.002954471,0.005070187,-0.011688231,-0.024581203,-0.017079499,-0.025201965,-0.031839641,-0.012716133,-0.019573713,-0.01208461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067566089,0.05326305,0.043891613,0.022864881,0.019562901,0.012850642,0.008577105,-0.0083318,-0.007482053,-0.010068207,-0.016134058,-0.012301448,-0.007114267,-0.001125377,-0.001377706,-0.00789266,-0.001051934,0.002018452,-0.00754998,-0.015857689,-0.014479504,-0.008352282,-0.022773912,-0.029976482,-0.035239458,-0.031198809,-0.02609239,-0.006570268,-0.029023053,-0.010139719,-0.010528437,-0.009399987,-0.013984849,-0.006408241,-0.01029294,0.001142307,0.016866317,0.019974166,0.036834142,0,0,0,0,0,0,0,0,0
