Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,-1.563377814,0,0,0,0,0,-0.000395329,0.001070097,0.000736954,0.000785488,0.000743269,0.000422448,0.000130408,5.61E-05,7.13E-05,0.000144609,0.000163556,0.000418395,0.00016285,-3.17E-05,-0.000260752,-0.000844299,-0.000694544,-0.000636199,-0.00030875,-0.000368737,-0.000336626,-0.000306804,-0.000186321,-8.39E-05,0.000251958,0.000299368,0.000591793,-7.87E-05,0.000140811,0.000305162,0.000168528,-8.56E-05,-0.001403979,-0.002172933,0.000121094,0.002256235,0.002366405,0.000141357,0.000445214,3.93E-05,-0.000440185,-0.000183028,-4.82E-05,-0.000596172,0.000927945,0.00056282,6.83E-05,-1.46E-05,-0.000302804,-9.29E-05,-0.000503043,-0.001255827,-0.00031109,0.000110014,0.000200101,-0.002708543,0.004940864,-0.000537398,-0.000708447,0.000419563,-0.001622942,-0.001001042,-0.00106077,-0.001020216,-0.000959614,-0.000506079,3.57E-05,0.000414611,0.000841208,0.000806123,0.001021626,0.001208999,0.00127584,0.001165942,-0.000391825,-0.000393103,0.000852628,-6.46E-05,-0.000687205,-0.000149421,-0.001401118,-0.001378496,-0.001061687,-0.001394259,-0.000966975,-0.001095629,-0.000882672,-0.000474833,-0.00055724,-0.000101175,0.00011312,-0.000157295,0.000451742,0.000122358,0.000696128,0.000385589,0.000488169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002026359,-0.003025748,-0.002502622,-0.001964285,-0.001386515,-0.001279705,-0.001167893,-0.000714468,-0.000115871,-0.000481053,7.50E-05,0.000255696,0.000201531,0.000407054,0.00053822,0.001288445,0.000667642,0.000629337,0.001035154,0.000948088,0.001220547,0.000943245,0.000854821,0.000865889,0.000933184,0.000362539,0.000712097,-0.000207352,0.000683417,0.000266802,0.000329036,-0.000111007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000526954,-0.000605588,-0.000581476,-2.59E-05,-0.000363802,-0.000204968,-0.000390291,-0.000116211,-0.000297331,0.000324888,0.000217389,0.000260612,0.000717623,0.000258007,0.000465677,0.000430071,0.000623874,0.000486717,0.000212766,0.000381403,-0.000270657,0.000123743,5.05E-05,7.20E-05,-0.000393261,-1.64E-05,5.57E-05,0.000258361,-0.000167376,-0.000537991,-0.000373542,-0.000207088,-0.00037763,-0.000180168,-0.000336851,-0.000293031,-0.000701019,-0.000414102,-0.000661345,0,0,0,0,0,0,0,0,0
2,-1.411621997,0,0,0,0,0,-0.001604111,-0.000512489,-0.000841441,-0.000664493,-0.000510671,-0.000684973,-0.000846638,-0.000563104,-0.00073283,-0.000763969,-0.000346628,-3.74E-05,0.000371666,0.000659111,0.000924335,0.00106411,0.000974367,0.001139608,0.001044846,0.001330083,0.001312194,0.001081424,0.00102908,0.001080692,0.001016145,0.00077231,0.000994015,0.000919081,0.000868521,0.000696574,0.000764684,0.000707855,-0.000164338,-0.00155387,-0.002120934,-0.001033647,0.000119002,-0.000345608,0.000348197,0.000303199,0.000247571,0.000456172,0.000258134,0.00018105,0.00054243,0.000386944,0.000317535,0.000493184,0.000468071,0.000617263,0.00030464,-0.000250427,0.000177819,5.77E-06,-6.65E-05,-0.000888722,0.003365085,-0.000592215,-0.000536487,0.000366252,-0.000379424,-6.65E-05,-0.000357104,-0.000189611,-0.000165155,-0.000293455,-0.000106935,-0.000370049,-0.000392457,-0.00049478,-0.000204684,-0.000285311,-0.000456218,-0.000364613,-0.000845971,0.000380515,-0.000104286,-0.00027518,-0.000655131,-0.000422193,-0.00025491,7.47E-05,0.000148482,3.35E-06,-0.000299271,-0.00034573,-0.000463177,8.30E-05,-0.000140916,0.000289572,0.000247544,0.000166463,-0.000248445,-0.000187177,0.000237213,-3.55E-05,-0.001521928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001294578,-0.002066342,-0.002600353,-0.001734092,-0.00157143,-0.001697228,-0.001902305,-0.001224283,-0.001081953,-0.000622486,-0.000421775,-0.00032665,-0.000324324,6.85E-05,0.000168368,0.000172345,0.000351185,0.000451832,0.000677818,0.000786454,0.001166292,0.000665566,0.000717537,0.000720185,0.000997043,0.000886231,0.00095243,0.000373787,0.000710846,0.000820807,0.000323506,0.000169571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001109412,-0.00142877,-0.001675801,-0.001097391,-0.000710321,-0.000759411,-0.000580426,-0.000231303,3.15E-05,0.000180374,0.000491813,0.0007785,0.000895265,0.000587893,0.000777246,0.001085229,0.000966365,0.000884872,0.001197792,0.001245214,0.000826232,0.000451438,0.000648236,0.000397685,0.000589339,0.00060623,0.000314886,0.00043226,0.000169336,-0.000426945,5.79E-08,-4.50E-05,-0.000477428,-0.000105617,-0.000510127,3.99E-05,-0.000913233,-0.001509012,-0.000768294,0,0,0,0,0,0,0,0,0
3,-2.321693742,0,0,0,0,0,-0.000765911,-0.000345958,-0.000353986,-0.000145693,-0.000433909,-0.000757774,-0.000506651,-0.000297661,-0.0002556,0.000157534,0.000409271,0.000948034,0.001016248,0.001048559,0.000822473,0.000465441,0.000489117,0.000653246,0.000627858,0.000643208,0.000863871,0.00084051,0.000882903,0.001041872,0.001178641,0.001031294,0.001296533,0.000906861,0.000926083,0.001029403,0.001052409,0.000941855,-0.000688631,-0.002064183,-0.001926869,-0.000270295,0.001018991,-6.31E-05,0.000878906,0.000597433,0.000100607,0.000520401,0.000670324,0.000388912,0.001254068,0.000690283,0.000201341,9.67E-05,-4.09E-05,3.16E-05,-0.000625302,-0.001327178,-0.00073363,-0.000838391,-0.000818127,-0.003234051,0.004812217,-0.000647271,-0.000170793,0.001028685,-0.000608205,-0.000313651,-0.000804968,-0.000321397,-0.000459595,-0.000214312,-0.000187747,0.000381085,0.000559042,-3.87E-05,0.000135545,0.000255775,0.000348187,-8.49E-05,-0.000541263,0.00089631,0.001989839,0.000193751,0.000533081,-0.000873731,-0.001259541,-0.000942592,-0.000675759,-0.00079494,-0.000917725,-0.000961996,-0.000801551,-0.000539787,-0.00049147,-0.000185829,-0.000404024,0.00030889,0.000224688,-0.001002848,2.89E-05,0.000260551,0.000348689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002934758,-0.003144682,-0.003939693,-0.003264969,-0.002817671,-0.002368814,-0.002159706,-0.001696589,-0.001676704,-0.001065059,-0.000639998,-7.74E-05,-0.000223214,0.000499417,0.00067685,0.000657491,0.000932237,0.000883503,0.001662129,0.00168556,0.002285289,0.001686332,0.001397665,0.001120986,0.001247017,0.001058647,0.000843875,0.00038129,0.000715324,-0.000129965,6.59E-05,0.000185791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00189724,-0.001685876,-0.001277094,-0.000838254,-0.000902097,-0.000636779,-0.00045006,0.000115787,0.000119001,0.000481825,0.001149382,0.001374059,0.001220798,0.001354079,0.001796587,0.001746609,0.001069576,0.001369873,0.001175283,0.001058883,0.000811063,0.000667532,0.000790416,-0.000148206,-3.96E-05,-2.64E-05,-2.96E-05,-0.000135343,-0.000358499,-0.000528135,-0.000682361,-0.000900569,-0.000629239,-0.000866075,-0.00097345,-0.001218604,-0.000863107,-0.001619939,-0.001702942,0,0,0,0,0,0,0,0,0
4,-1.613023596,0,0,0,0,0,-0.002275479,-0.00092007,-0.000996024,-0.000488302,0.000317459,-0.000468913,-0.000241728,-0.000290149,-0.000324921,-0.000342011,-9.85E-05,-0.000470663,-0.000323518,-0.000220273,-0.000118356,-6.67E-05,-3.56E-05,0.000438899,0.000589722,0.000923855,0.000871223,0.000937231,0.001253372,0.001246873,0.001601597,0.00169314,0.002063927,0.001661468,0.001911096,0.001968747,0.001926342,0.00093271,-0.001164366,-0.002555671,-0.001730093,0.00075818,0.001533364,0.000271137,0.000349474,8.43E-05,-2.76E-05,-3.32E-06,8.36E-05,-0.000456864,0.001200704,0.000664052,0.00036607,0.000587787,0.000595596,0.000559433,0.000153458,-0.000354994,-0.000201703,-4.66E-05,0.000281653,-0.002325927,0.004332237,-0.000613742,-0.0008355,-0.000137592,-0.000962051,-0.000335995,-0.000638793,-0.000385295,-0.000108953,-4.09E-05,-6.92E-05,7.66E-05,0.000431406,-3.04E-05,-2.94E-05,2.47E-05,-0.000169233,-0.000408726,-0.001015219,0.000580013,0.001037794,0.000128634,-0.000507116,0.000219858,-0.000722149,-0.000683766,0.000242765,-9.04E-05,-0.000323047,-0.000307746,-0.000850563,-0.000231277,-0.000473206,-0.000271433,-0.000484998,-0.000369073,-0.000716886,-0.001138072,-0.000751079,-0.00065617,-0.000135085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000974786,-0.001694289,-0.003093832,-0.002916834,-0.002183501,-0.001914868,-0.002211388,-0.001451272,-0.000705741,-0.000811727,-0.000630018,-8.59E-05,0.000117042,0.000666539,0.000622754,0.000957659,0.000510292,0.000581478,0.001438513,0.001710449,0.001710396,0.000802792,0.000720907,0.0005568,0.00096559,0.000972366,0.001170747,0.000368705,0.001063019,-2.07E-05,0.000480911,-0.000767435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001043691,-0.001263276,-0.001260148,-7.60E-05,-0.000236631,-0.000688929,-0.00077807,-0.000408104,-0.000138842,0.000655206,0.000811488,0.000370479,0.00112498,0.000928028,0.001041756,0.000778499,0.001073738,0.001059314,0.00083187,0.001161174,0.000400076,0.000293239,0.000347,0.000278739,0.000395762,0.000449595,0.000415096,0.000505087,0.00021883,-1.22E-06,-0.000236232,-0.000186239,-0.000443961,-0.000237685,-0.00062236,-0.000263569,-0.000677561,-0.001037829,-0.00097775,0,0,0,0,0,0,0,0,0
5,-3.939676544,0,0,0,0,0,-0.001339421,-0.000568428,-0.001026671,-0.000264724,0.000363084,-0.000238946,-0.000189493,-0.000240392,-0.000218579,-0.000277696,5.81E-05,0.000187653,0.000241171,0.000282514,0.000311938,9.13E-05,-2.37E-05,0.00011058,6.15E-05,2.44E-05,0.000379968,0.000278713,0.000583058,0.000499415,0.000570572,0.000362022,0.001322818,0.000722627,0.001140381,0.001425333,0.001162167,0.00054416,-0.000577842,-0.001612577,-0.001077901,0.001291292,0.001246587,-0.000333644,-0.000368199,-0.000248057,-0.000793007,-0.000536139,0.000127556,-0.0003112,0.000537894,0.000560687,0.000328977,0.000512516,0.000258925,0.000511978,0.000509575,-6.94E-05,-0.000444212,-0.00033665,0.000115762,-0.002267188,0.002989628,-0.001284009,-0.000524236,-0.000278851,-0.000870954,-0.000439416,-0.000881587,-0.000736387,-0.000311543,-0.00053564,0.000271764,0.000644502,0.000743287,0.000429812,0.000990313,0.001122397,0.000786908,0.000346104,0.000739672,0.000593651,0.001258681,-0.000317761,-0.000340499,0.000769551,-0.0004759,-0.001519578,-0.001140493,-0.001764674,-0.001761709,-0.001442546,-0.001313545,-0.000660611,-0.000599174,-0.00019817,-0.00036349,-5.74E-05,-0.000556157,0.000621529,0.001219015,0.001236009,-0.000242303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001307872,-0.001776206,-0.00157956,-0.000721477,-0.00120308,-0.001480877,-0.001172855,-0.000942233,-0.000397437,-0.001026239,-0.00043523,-0.000124273,-0.000226377,0.000263494,0.000747755,0.000540367,0.001329338,0.000816989,0.001793108,0.002014399,0.002065933,0.001795766,0.000957152,0.000648203,0.000675031,0.000647144,0.000942691,-1.38E-05,0.000531823,0.000169449,-0.000300955,-0.000632607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00095874,-0.001019624,-0.001006435,-0.001263935,-0.000672727,-0.000465498,-0.000124749,-0.000325031,-0.000220564,0.000480982,0.000907291,0.00099802,0.001197406,0.000864545,0.001343774,0.00089548,0.001467708,0.000607835,0.000879416,0.00103233,0.000218594,0.00035275,8.55E-05,0.000207005,-0.000411522,-0.000455477,-0.000423554,9.47E-05,-0.001084103,-0.001003942,-0.000315684,-0.00069323,-0.00112084,-0.000973301,-0.001717031,-0.001149306,-0.001548011,-0.001452414,-0.002239918,0,0,0,0,0,0,0,0,0
6,-3.823060867,0,0,0,0,0,-0.000250392,7.93E-05,-0.000198465,-7.56E-05,0.000254685,-4.91E-05,-0.000143299,-5.77E-05,-0.000383904,-0.000258869,8.91E-05,0.000310053,0.000611724,0.000921524,0.000827596,0.000731572,0.000553675,0.000576931,0.000344364,0.000406467,0.000465043,0.000312772,0.000284319,0.000223353,0.000305403,-7.67E-05,7.67E-05,-0.000175227,-0.000124013,-0.000197891,-5.21E-05,3.20E-06,-0.000822628,-0.001917474,-0.001761272,4.90E-05,0.000920258,-0.00036248,0.001880088,0.000450977,-4.11E-05,0.000102776,0.000194751,-0.000292912,0.000787196,0.000683346,0.000675652,0.000407821,0.00028454,0.000438513,6.85E-05,-0.000545616,-3.70E-05,-0.000259529,2.78E-05,-0.002313641,0.004176326,-0.001123007,-0.000602111,-0.000671444,-0.001569317,-0.001093025,-0.001324635,-0.000944925,-0.000711611,-0.00055188,-0.000113267,0.000110486,0.000435585,0.000547884,0.000795747,0.000709092,0.000503365,0.000239547,-0.000447847,0.001699687,0.000972007,-0.000697127,3.19E-05,8.64E-06,-0.001455929,-0.001460069,-0.001299891,-0.00150853,-0.001361373,-0.001235135,-0.000864633,-0.000395778,-0.000200846,0.000290363,0.000750283,0.000394795,0.000911247,0.000813013,0.000688888,0.000154619,-0.000134548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000928139,-0.001052069,-0.001668462,-0.001099344,-0.001484133,-0.001500498,-0.001606586,-0.001152395,-0.001159213,-0.000972925,-0.000375637,-0.000384775,2.28E-05,6.34E-05,0.000182483,0.000642595,0.00064249,0.000304134,0.001398602,0.001286118,0.001320251,0.000531113,0.000784229,0.000300208,0.000852354,0.000493468,0.00042859,-0.000145811,0.000486173,0.000385875,0.000203463,6.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001112483,-0.001260219,-0.001370464,-0.001032817,-0.000731547,-0.000385243,-0.00049459,-2.67E-05,0.000117608,0.000805367,0.000944747,0.001029404,0.001399538,0.001221293,0.001363258,0.001366315,0.001234257,0.001339472,0.001115306,0.001155126,0.001008339,0.000707382,0.000880774,0.000585919,0.000530547,0.000564693,0.00027896,0.000198826,0.000158434,-0.000551044,-0.000108398,-0.000229532,-0.000457353,-0.000545383,-0.001091997,-0.001185195,-0.001100047,-0.001295056,-0.001949147,0,0,0,0,0,0,0,0,0
7,0.82371128,0,0,0,0,0,-0.000760542,-0.000442283,-0.000733845,-0.000598841,-0.000456176,-0.000693872,-0.000758176,-0.000316836,-0.000222443,-9.61E-05,0.0002379,0.000558301,0.000775419,0.000943008,0.000800613,0.000540836,0.000492172,0.000501159,0.000294603,0.000335837,0.000582487,0.000590771,0.000646048,0.000692421,0.000744858,0.000786712,0.000929591,0.000724402,0.000819852,0.000983269,0.000957821,0.000453927,-0.00071019,-0.00184447,-0.00165922,-2.06E-05,0.001054393,0.000309089,0.00074729,0.000711881,0.000723555,0.000670746,0.000442974,-0.000152647,0.000650683,0.000594044,0.000382791,0.000319079,0.000380179,0.000436418,0.000145899,-0.000337438,-0.000177652,-0.000236138,-5.98E-05,-0.00162055,0.002679669,-0.000752294,-0.000884663,-0.000582206,-0.001071263,-0.000603951,-0.000445328,-0.000360775,-0.000219132,-0.000175427,-0.00013785,0.000284662,0.00053285,2.74E-05,0.00010949,3.14E-05,-0.000210169,-0.000844855,-0.000842697,0.000965934,0.001400778,0.000105768,0.000460769,-8.50E-05,-0.000684506,-0.000955826,-0.000463188,-0.000439817,-0.000113616,-0.000585214,-0.000610139,-0.00074594,-0.00069563,-0.000617283,-0.000749053,-0.000506404,-0.000252488,-0.000659363,-0.000623457,-0.001073931,-0.000956766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001431138,-0.000642424,-0.001766236,-0.002205343,-0.00205421,-0.001866118,-0.001794653,-0.001360319,-0.000942997,-0.000609589,-0.000255943,4.14E-05,0.000156761,0.000554113,0.000706842,0.000846449,0.000720967,0.001072895,0.001238089,0.001606932,0.001834713,0.001939507,0.001637289,0.001698847,0.001700532,0.00174103,0.00177475,0.001133757,0.001582617,0.001035524,0.000852837,0.000770492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002020201,-0.002107852,-0.002230698,-0.00204294,-0.001671786,-0.001158895,-0.001001244,-0.000674386,-0.000309789,-2.73E-05,0.000157555,0.00043931,0.000400949,0.000346574,0.000272982,0.000413024,0.000288269,0.000332678,6.67E-05,0.000227975,-3.10E-05,-9.51E-05,0.000184669,-0.000122458,8.70E-05,0.000105207,0.000113658,-0.000156926,-0.000134827,-0.00019638,-0.000467355,-0.000727625,-0.000486874,-0.001154725,-0.001370944,-0.001141182,-0.000404883,-0.001224712,-0.001678258,0,0,0,0,0,0,0,0,0
8,-2.382816869,0,0,0,0,0,-0.000594815,0.000879241,0.000600296,0.000412855,0.00011647,-0.000548647,-0.000889013,-0.00086821,-0.001093564,-0.000797841,-8.83E-05,0.000949246,0.00131046,0.001651847,0.001149234,0.001028457,0.000551227,0.000338195,8.48E-05,0.000299446,0.000410362,0.000170136,0.000521063,0.000364317,0.000603384,0.000396583,0.001237446,0.000262739,0.000314418,0.000535679,0.001048216,0.000372468,-0.00079696,-0.002291641,-0.002715439,-0.000818027,0.000372592,-0.001474503,0.003752868,0.000571232,0.000263738,0.000506547,0.000664224,0.000492555,0.002552979,0.001204259,0.0015506,0.001117327,0.000546531,0.000770573,-0.000185391,-0.002208477,-0.001066148,-0.00138296,-0.000987881,-0.006824517,0.008092271,-0.001662863,-0.000754378,0.001421598,-0.001931956,-0.000936975,-0.001024763,-0.000903148,-0.000626998,-0.000910816,-0.000462177,-0.000214475,0.000144108,0.000108276,0.000147143,0.000393529,0.000285797,0.000740475,0.000555916,0.003398522,0.001636053,-0.000178314,0.000918751,0.000565649,-0.001263909,-0.001260294,-0.001543166,-0.001247784,-0.001917995,-0.001222283,-0.000927858,-0.000771373,-0.000752267,-0.000393386,-4.77E-05,-0.000221545,0.000162242,-0.001790085,-0.000511254,0.000152649,0.000370742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002402354,-0.004830019,-0.004292375,-0.002259925,-0.001776653,-0.000829449,-0.001491399,-0.000891008,-0.000455188,0.000388636,0.00056352,0.000689983,0.001114259,0.00116168,0.001453106,0.000637585,0.001429054,0.001215094,0.001998687,0.001225342,0.002509792,0.00125521,0.000955095,-5.83E-05,-0.0004487,-0.000702719,-0.000111581,-0.000479404,0.000164279,-4.10E-05,0.000893865,0.000575819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000839548,-0.001406396,-0.000122371,-0.000424741,0.000152785,-7.25E-05,0.00022324,-5.77E-05,0.000829094,0.000394472,0.001102413,0.0010947,0.000740657,0.001147104,0.001201411,0.001414562,0.000993267,0.000826359,0.000971872,0.000521963,-0.000142798,-0.000463587,-0.000255899,-0.000550998,-0.000471242,0.000439535,-0.000765272,0.000760826,-4.46E-05,-0.001409219,-0.000623867,0.000118055,0.00108181,0.000109225,-0.000712231,0.000819069,-0.000169047,-0.000888669,-0.000639073,0,0,0,0,0,0,0,0,0
9,-2.115183797,0,0,0,0,0,-0.000996081,-0.000487511,-0.000342339,-5.94E-05,0.000270263,5.31E-05,-6.72E-06,-2.83E-05,1.25E-05,0.00014129,0.000266981,0.000390893,0.000561412,0.00076347,0.000758083,0.000385422,0.000150584,0.000187546,0.000166036,0.000219919,0.000147232,0.000185007,0.000333687,0.000301271,0.000526807,0.000411766,0.000905985,0.000604968,0.000736469,0.000860337,0.000939631,0.000429596,-0.000669282,-0.001447278,-0.001026666,0.0002083,0.000549325,-0.000445005,0.000623099,0.000610192,4.08E-06,0.000375266,0.000242105,-9.04E-05,0.000801769,0.000656517,0.000308979,-2.80E-05,-9.29E-05,0.000336437,-0.000369686,-0.000731194,-0.000205674,-8.56E-05,3.93E-05,-0.001874077,0.00422625,-0.000334022,-0.000409469,-2.36E-05,-0.001712283,-0.001333387,-0.001709067,-0.001270442,-0.000654183,-0.000464127,0.000178108,0.000591322,0.00078647,0.000569289,0.000900618,0.000977747,0.001058623,0.000885424,-0.000337248,0.000606741,0.001232195,-0.000542915,-0.000531749,-0.000261503,-0.001264255,-0.001247032,-0.000754219,-0.000754701,-0.000900318,-0.000551675,-0.000586235,-0.000594257,-0.00078006,-0.00047179,-0.000874013,-0.000537439,-0.000836937,0.000203093,0.001078055,0.000251952,-0.000135903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002205928,-0.001598195,-0.002391651,-0.002156891,-0.001786077,-0.001904423,-0.001816714,-0.001427796,-0.001025116,-0.000932485,-0.000744183,-0.000363853,-0.000222912,0.000138341,0.000523406,0.000447379,0.000858192,0.000840684,0.001208424,0.001390886,0.001724969,0.001181285,0.001116501,0.000962625,0.00145855,0.001496996,0.001125756,0.001238507,0.000893915,0.00072478,0.000277363,0.000234649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000855685,-0.001241859,-0.000915398,-0.000680729,-0.000652926,-0.000544758,-0.000292391,-0.000212212,0.000178906,0.000368398,0.000660219,0.000905808,0.000697354,0.000967812,0.001022502,0.000853047,0.000881318,0.00092275,0.000853116,0.000826745,0.000273916,9.86E-05,0.000164351,-0.000137087,-2.41E-05,9.87E-05,-0.000196391,0.000135055,-0.000204348,-9.55E-05,-0.000273081,-0.000191452,-0.000428012,-0.000782492,-0.000867554,-0.000367323,-0.000614033,-0.001371934,-0.001117521,0,0,0,0,0,0,0,0,0
10,-1.757995123,0,0,0,0,0,-0.000691749,-1.18E-05,-0.000258625,-1.97E-05,5.90E-05,-0.000230191,-0.000165927,-5.94E-06,-0.000123692,3.82E-05,0.000256961,0.000546674,0.000590153,0.000583359,0.00040397,0.000216554,0.000103169,0.000244196,0.000207448,0.000387749,0.000574634,0.000543515,0.000545746,0.000677745,0.000683599,0.000644694,0.001012605,0.000750411,0.000775271,0.000880618,0.00091593,0.000217486,-0.001149207,-0.002106757,-0.001944149,1.98E-05,0.00118186,0.000338256,0.00188775,0.001073667,0.000540053,0.00047868,0.000267574,-0.000111611,0.000816106,0.000531915,0.000475207,0.000308921,-4.05E-05,0.00030649,-0.000192843,-0.001032184,-0.000568027,-0.000813683,-0.000732849,-0.002947701,0.004588259,-0.000879344,-0.000721723,0.00027112,-0.001379524,-0.00076687,-0.001152164,-0.000707424,-0.000656516,-0.000528325,-0.000170726,-7.44E-05,5.52E-05,0.000109459,0.000328378,0.000272994,0.000142284,-3.60E-05,-0.000781351,0.001792737,0.001263037,-0.000565107,0.000451495,5.72E-06,-0.000900262,-0.000950982,-0.000728811,-0.000830944,-0.000929007,-0.000867744,-0.000547244,-0.000453905,-0.00018021,0.000134364,0.000100056,0.000287611,0.000231881,-1.84E-05,0.000465776,0.000131325,-0.000200462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002555938,-0.001980209,-0.003035523,-0.002911401,-0.002553398,-0.002313592,-0.002318236,-0.001879841,-0.001759845,-0.000938738,-0.000704481,-0.000357465,-7.37E-05,0.000347303,0.00035772,0.000436955,0.000619251,0.000858958,0.001220653,0.001123688,0.001690155,0.001345264,0.001146358,0.000999143,0.001154241,0.001064516,0.000641225,0.000669,0.000342367,0.000800268,0.000550223,0.00124531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001957011,-0.002114346,-0.001811072,-0.001411363,-0.000764753,-0.000668095,-0.000486757,-0.000173697,0.000342217,0.00052489,0.000783062,0.001038879,0.001014115,0.00115072,0.001216064,0.001411354,0.001284632,0.001435676,0.00136012,0.001220765,0.001048063,0.000791289,0.000604476,0.000502755,0.000707731,0.000827437,0.000398885,0.000195895,-0.000140364,0.00013521,-0.000206671,-0.000541858,-0.000548616,-0.000321465,-0.000448711,2.67E-05,-0.000865724,-0.001515733,-0.001311197,0,0,0,0,0,0,0,0,0
