Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,28.62875674,0,0,0,0,0,0.00785111,0.010390076,0.013132996,0.013078737,0.008342455,0.009026284,0.004527766,0.004911657,0.001706044,0.00262835,0.001098014,-0.00089093,-0.004071445,-0.006017212,-0.007065379,-0.009485663,-0.009315693,-0.010810702,-0.008316571,-0.008859633,-0.009599774,-0.010264617,-0.009769626,-0.008485566,-0.006541285,-0.006201407,-0.006453625,-0.007462053,-0.006428482,-0.005879275,-0.008878553,-0.011439443,-0.016340874,-0.012415427,0.011913506,0.02519203,0.01497644,0.014080599,-0.011196148,-0.004213598,-0.002090069,0.003617952,0.001980379,0.005607223,0.003839041,-0.000154891,-0.000538336,0.000446095,-0.003471674,-0.001545437,-0.002430405,-0.002328512,0.004238354,0.003132565,0.007354677,0.002977806,-0.004117972,-0.006885217,-0.00293297,-0.006261839,-0.011047483,-0.01257832,-0.0166396,-0.011195673,-0.012613888,-0.007540401,-0.003852887,-0.002011995,0.000326341,0.004505374,0.007044605,0.01079515,0.015346261,0.013265482,0.007760497,-0.0117156,0.001810515,-0.005857839,-0.014057626,-0.00602421,-0.005572508,-0.009686366,-0.013159774,-0.012536901,-0.013782948,-0.006926967,-0.006658434,-0.002649646,0.00098116,0.005145798,0.007639984,0.005890829,0.012296043,0.01075,0.016765006,0.020289889,0.025555398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001229624,0.005317367,0.009353531,0.010411709,0.008263855,0.006009637,0.003307603,0.00417922,0.003086544,-0.002226347,-0.001341282,-0.006471203,-0.006213146,-0.006354654,-0.005444242,-0.00400162,-0.003813418,-0.000390859,0.003621916,0.004029906,0.000347038,-0.004160906,-0.003915665,-0.001501737,-0.001341227,-0.00406168,-0.001307975,-0.006205141,-0.000573422,-0.001254078,-0.004615957,-0.001640209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006121498,0.010870895,0.007792105,-0.004409563,-0.005220798,0.002884146,0.001995211,0.00215422,-0.000644321,0.000349447,-0.003228523,0.002808329,0.000114422,0.003824604,0.001180372,0.003930096,0.006946857,0.006606259,0.006828134,0.005202302,0.005089205,0.004595332,-0.000505385,-0.000535245,-0.004618003,-0.002861566,-0.003278921,0.000316773,0.003624922,0.005841836,-0.000386527,-9.05E-05,-0.000235795,0.002865666,0.002714832,-0.000522948,0.000654362,0.005474862,0.004330775,0,0,0,0,0,0,0,0,0
2,24.94665329,0,0,0,0,0,-0.017515286,-0.006490874,0.003169026,0.014995451,0.010781717,0.010453507,0.009782888,0.011098266,0.009930805,0.008769901,0.00699908,0.007931129,0.000867206,-0.005175159,-0.006704221,-0.011996834,-0.007810256,-0.010034429,-0.00742001,-0.005754043,-0.006618566,-0.006118964,-0.005965957,-0.00520138,-0.005288321,-0.00335495,-0.006574722,-0.006990971,-0.005221168,-0.003271192,-0.007889386,-0.013669383,-0.025879846,-0.019555438,0.01092601,0.032671169,0.019112861,0.015489046,-0.016739522,-0.006984634,-0.002115288,0.000379977,0.001262186,0.003361958,-0.004186735,-0.002683782,-0.005248006,-0.0042155,-0.005323091,-0.007725413,-0.003670703,0.004002737,0.005364452,0.004908834,0.006304743,0.01739266,-0.00933284,-0.004918461,-0.005347665,-0.010204265,-0.009453412,-0.00894097,-0.017366446,-0.009608717,-0.005398061,-0.008091411,0.001198733,0.001563694,0.00584136,0.008625462,0.010437012,0.012136321,0.01605746,0.013415358,0.010992431,-0.019455445,-0.002712709,-0.010525381,-0.013323628,0.004812338,-0.002286941,-0.007180992,-0.01521012,-0.012185023,-0.012175621,-0.00712638,-0.004003308,-0.001462234,0.003702586,0.004249413,0.008803399,0.00264924,-0.002641664,0.017744477,0.015936113,0.011024625,0.016337644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012901454,0.014121446,0.024119885,0.02116457,0.015932983,0.013582863,0.007804893,0.007919637,8.04E-05,0.003976701,-0.002342848,-0.007833912,-0.006715685,-0.005778733,-0.002492255,-0.005103495,-0.007754735,-0.005306924,-0.002536172,-0.003017302,-0.008085849,-0.00557511,-0.007746954,0.001376257,-0.00243552,-0.004209921,0.005186446,-0.002363585,0.004762053,-0.005769438,0.000978002,-0.000644281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001219039,0.000232333,-0.004949039,-0.019801806,-0.016343304,-0.001336101,0.003529323,-0.004623415,0.000538501,-0.004611631,-0.002294669,0.001010274,-0.000285942,0.005002047,-0.001611675,0.001963096,0.005419224,0.009655699,0.007330215,0.006281281,0.007573173,0.007248961,0.001362989,0.007513844,-0.00022204,0.003102783,-0.00097623,0.000236387,0.000258738,0.005450586,-0.003169911,0.002216607,-0.00142573,0.003531978,-0.001593768,-0.002724199,-0.003139693,0.010939201,-0.003746326,0,0,0,0,0,0,0,0,0
3,38.20958872,0,0,0,0,0,0.00620185,0.007356791,0.007726094,0.009769362,0.008391594,0.012776108,0.008456546,0.008579373,0.007961672,0.005400205,0.00391096,0.001435564,-0.003299838,-0.006727774,-0.008158996,-0.011462381,-0.011042598,-0.013010967,-0.010279852,-0.011315187,-0.011105381,-0.011220104,-0.010848936,-0.010419042,-0.009630599,-0.007437681,-0.007084308,-0.008998154,-0.006751214,-0.005511542,-0.007650728,-0.013458215,-0.02142396,-0.015573259,0.009769213,0.027870206,0.02211301,0.013057149,0.002354009,-0.002949173,-0.006145754,-0.003271706,-0.004825011,-0.001738457,-0.002554777,-0.00337935,-0.004092402,-0.004129159,-0.004438898,-0.003852641,-0.001608197,0.000278452,0.00396544,0.004932095,0.004745787,0.008263456,-0.001302867,-0.005450307,-0.001834877,-0.007523481,-0.010696222,-0.012286588,-0.015454269,-0.009975699,-0.010341499,-0.006246634,-0.000869566,0.000824794,0.002800933,0.009534489,0.012365619,0.012706252,0.014092338,0.0123766,0.009691334,-0.011639861,-0.003147003,-0.003309904,-0.011517339,-0.00130897,-0.003806617,-0.00776433,-0.011452722,-0.010525721,-0.010965478,-0.0091826,-0.004462284,-0.001986718,0.001623456,0.004944364,0.009830827,0.004271769,0.007719506,0.010041247,0.009326478,0.01085703,0.014002986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004150977,0.001574906,0.011033837,0.010066791,0.010554517,0.008344226,0.006347114,0.005056214,0.001787817,0.001274712,-0.000149615,-0.004240013,-0.004271417,-0.003313746,-0.003688731,-0.003409571,-0.003703065,-0.004225849,-0.000667238,-0.004969158,-0.005022588,-0.00769125,-0.004927356,-0.001305617,0.000379807,-0.001404518,0.001937966,-0.004486291,0.002251371,0.001202489,-0.002900874,0.001286247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007548175,0.007711097,0.004910573,-0.00074091,-0.000429775,0.002793075,0.004301432,0.000530931,-0.0009333,-4.74E-05,-0.002272984,-0.001280631,-0.001815013,9.14E-05,-0.001617646,0.000762121,-0.000172855,0.003595923,0.002392903,0.002704725,0.00321927,0.003291877,0.002251573,0.003430367,-0.001263113,0.001082538,0.001229612,0.002973075,-0.000455217,0.00584688,0.001261144,0.003865344,-0.001033735,0.004235567,0.001923605,0.001839229,-2.11E-05,0.004037678,0.007310379,0,0,0,0,0,0,0,0,0
4,33.38125265,0,0,0,0,0,-0.002233732,0.000283154,0.000656667,0.00537908,0.008598476,0.00926935,0.008558593,0.007148213,0.007602013,0.006258692,0.005487565,0.002312798,-0.002903716,-0.00760693,-0.008890192,-0.01002111,-0.008547273,-0.008060552,-0.004834436,-0.00411297,-0.004403334,-0.003068441,-0.003426864,-0.004108672,-0.003503234,-0.002687528,-0.003180332,-0.003871712,-0.002792329,-0.003304511,-0.00471927,-0.008576106,-0.017196151,-0.01552043,0.002291871,0.014324316,0.012168622,0.011328105,0.013710889,0.000480208,-0.003274206,-0.000887447,-0.002032001,-0.002142195,0.000410445,0.000423191,-0.002446038,-0.003768696,-0.003638261,-0.005433801,-0.00238147,-0.000509008,-0.001114734,0.003187603,0.004159466,0.00395157,-0.006511021,-0.001529461,0.000426001,-0.006327563,-0.009261245,-0.011512128,-0.013948152,-0.005830164,-0.00821207,-0.003160758,0.000339846,0.001570638,0.002745884,0.006247747,0.009434989,0.010424957,0.012703391,0.011785486,0.00983328,-0.011215638,-0.005042814,-0.003086185,-0.009683107,-0.001265997,-0.007133543,-0.008407882,-0.012485875,-0.013983922,-0.012252268,-0.010049256,-0.006297774,-0.000719476,0.000950629,0.005264712,0.012046147,0.006923994,0.006848151,0.011199161,0.010300485,0.01228405,0.01444392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00697819,0.001966476,0.011127733,0.008387134,0.009392647,0.007339584,0.007462414,0.005461627,0.002063322,0.000125836,-0.001070648,-0.000967868,-0.003444275,-0.00199655,-0.00053524,0.001186025,-0.000838181,-0.00459329,0.002147388,0.000391047,-0.001809959,-0.002105609,-0.002509382,0.001459603,0.001317192,-0.000946052,2.67E-05,-0.003218151,-0.003590282,-0.005412492,-0.003058042,0.000575482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016275681,0.014650727,0.012591098,0.005587894,0.001284149,0.00040513,0.003099715,-0.002951604,-0.005061522,-0.003936188,-0.005282149,-0.004731687,-0.001497786,-0.003436368,-0.005267208,-0.003789064,-0.003741645,-0.003003187,-0.002873282,0.000463814,-0.000658352,-0.002405158,-0.001535722,-0.0019084,-0.007778528,-0.002200415,-0.003103691,-0.000192955,-0.004507768,0.000598826,-0.000381286,0.002474483,0.003069688,0.003747614,0.003624621,0.012446356,0.008654926,0.007030759,0.010011105,0,0,0,0,0,0,0,0,0
5,40.25794464,0,0,0,0,0,0.003058778,0.006437029,0.007757178,0.011593215,0.01264932,0.013475148,0.008725408,0.008798818,0.009207563,0.007409446,0.005185931,0.002470346,-0.002243791,-0.006301024,-0.007112484,-0.009705647,-0.010865108,-0.011655982,-0.010216831,-0.010769575,-0.011434434,-0.010268576,-0.01067832,-0.010680455,-0.008248933,-0.009090425,-0.00598492,-0.007404532,-0.005876346,-0.005200411,-0.007075765,-0.011353848,-0.017741936,-0.009869413,0.014399284,0.022481237,0.013500255,0.006221707,-0.010641658,-0.000290569,-0.004792377,5.97E-05,-0.00150392,0.000765606,0.002724014,-0.00012112,-0.002669266,-0.002324526,-0.005708381,-0.00382533,-0.00497632,-0.001534808,0.001835237,0.0022634,0.004639698,0.003539265,0.003296729,-0.00611207,-0.005349831,-0.001200533,-0.007752827,-0.006967035,-0.014305441,-0.009461403,-0.008066622,-0.005987827,-0.001270572,0.001526005,0.003735622,0.009360073,0.013532003,0.013580913,0.014694011,0.015139759,0.005997202,-0.008622569,-0.002298424,0.003577219,-0.010335432,-0.001734683,-0.001474797,-0.004931794,-0.012573447,-0.013973897,-0.011623159,-0.009031844,-0.005027218,-0.000481322,0.00502656,0.005808315,0.009933543,0.004261564,0.006590487,0.00387262,0.007400039,-0.004097049,0.002362653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00672153,-0.004496046,0.011207618,0.009818392,0.016475862,0.013458607,0.009620661,0.008210856,0.00201944,0.005083149,0.000745022,-0.003145686,-0.005455498,-0.00440732,-0.003364982,-0.002021348,-0.004491017,-0.008327481,-0.003432155,-0.001200577,-0.005455313,-0.004700184,-0.005091967,0.000751756,0.001858168,0.000732123,-0.001209787,-0.000364356,0.002130528,0.000305105,-0.000575837,0.01303302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000217079,0.003196309,0.001071045,-0.009187276,-0.008273887,-0.001502209,0.001452176,-0.002371545,-0.002018296,-0.00347331,-0.003119379,-0.001034941,-0.00038349,0.00103214,-0.001769936,-0.000551737,-0.00054741,0.00652739,0.006171042,0.006008479,0.004895385,0.007292157,0.002359924,0.002012474,-0.001585661,-0.003165479,0.000675458,0.005403037,0.002153738,0.0017614,0.002340772,0.004189203,-0.003326816,0.001357524,-0.001034258,0.00692071,0.007770873,0.008350504,0.006767447,0,0,0,0,0,0,0,0,0
6,44.07458973,0,0,0,0,0,0.004514999,0.000829998,0.001922951,0.006716222,0.003471577,0.006499699,0.003346819,0.005117945,0.004300622,0.004192779,0.002933902,0.00155076,-0.002760052,-0.006233427,-0.007328771,-0.008747166,-0.00819987,-0.007774979,-0.004858649,-0.005318566,-0.006563012,-0.005202571,-0.003061822,-0.002766438,-0.002595647,0.000485172,-0.002198093,-0.002104569,-0.001576592,-0.000605008,-0.003104717,-0.005677784,-0.012598083,-0.011745834,0.005052696,0.016308867,0.010254739,0.009017035,-0.014540814,-0.002185395,-0.00092257,-0.000151239,-0.00183535,0.000979477,-0.000751555,0.000339418,-0.001792998,-0.000932989,-0.003904341,-0.004459729,-0.000816703,0.002384746,0.002862792,0.005797733,0.008870795,0.013312754,-0.019337759,-0.004073613,0.006546533,-0.002581721,-0.006399711,-0.008645572,-0.011794908,-0.006917694,-0.00641701,-0.000857121,-0.00052908,0.003109523,0.004897466,0.007963041,0.010229177,0.012435144,0.015266862,0.012478617,0.011973795,-0.021226673,-0.006783067,-0.00700151,-0.010234444,0.002927249,0.000832852,-0.006269678,-0.012710448,-0.010472438,-0.010563242,-0.007702224,-0.00693881,-0.004781597,-0.003133795,-0.002997262,-0.004412898,-0.00170444,0.002896333,0.007969209,0.006028138,0.014863869,0.019343945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002573892,0.005741129,0.011653399,0.007002101,0.011805617,0.009553647,0.00176861,0.004664462,0.003792344,0.004272571,-0.003606555,-0.004529182,-0.004974286,-0.006956226,-0.003406459,-0.003854164,-0.003842722,-0.003419635,0.00061377,-0.001666674,-0.00230717,-0.00504452,-0.0018064,0.004798519,0.003502326,0.000137318,0.006287246,-0.001625574,0.002834231,0.002920431,0.003485616,0.002145834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00891603,0.008068499,0.002529562,-0.004934295,-0.01072845,-0.001866358,-0.002208572,-0.00593726,-0.007144164,-0.00599879,-0.008231422,-0.004005353,-0.003502729,-0.002866478,-0.002952236,-0.000873785,0.001285279,0.002364976,0.000254455,0.006339228,0.004171481,0.003506177,-0.001977158,0.00265196,-0.003235811,-0.00300958,-0.002682004,0.000865005,0.002238651,0.003944183,0.001744444,-0.000142973,0.000356396,0.006766691,0.004339914,0.001483106,0.006394991,0.013043745,0.012056112,0,0,0,0,0,0,0,0,0
7,47.40270293,0,0,0,0,0,-0.001810627,0.006283703,0.006732643,0.010251971,0.007402941,0.012466252,0.007854272,0.007812869,0.006492544,0.005408982,0.004894084,0.001227118,-0.002547017,-0.004996959,-0.004254567,-0.008828878,-0.010023576,-0.010097813,-0.008073631,-0.009573302,-0.00879558,-0.010020612,-0.00916337,-0.008074487,-0.005386052,-0.004875323,-0.005293246,-0.006054849,-0.004013162,-0.002647926,-0.003993332,-0.005471842,-0.016327495,-0.015994923,0.009277303,0.023056155,0.015379832,0.005648695,-0.011783051,-0.002117947,-0.006525107,-0.004249878,-0.002738267,-0.000447408,0.002101638,0.002438796,-0.001396041,-0.001015234,-0.00132639,-0.003573753,0.001142136,0.005672793,0.011035762,0.013927514,0.017870102,0.023626323,-0.009625316,-0.002789346,-0.008452042,-0.012566598,-0.014518304,-0.01853416,-0.021288286,-0.016953218,-0.01364674,-0.008722609,-0.003503126,-0.000255214,0.00209528,0.009837321,0.013958763,0.014744501,0.016987366,0.017378559,0.001196031,-0.032248211,-0.008748184,0.000376049,-0.020330865,-0.002694442,0.001122496,-0.004182816,-0.007495581,-0.004402862,-0.005432991,-0.005427643,-0.000452107,0.002186903,0.004925682,0.010978466,0.015019867,0.012544237,0.013214394,0.003179829,0.000899425,-0.001654433,0.006556472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006421782,-0.011156175,0.006505496,0.010139117,0.015379146,0.013775426,0.005340519,0.009058788,0.003755282,0.004373241,-0.001287145,-0.006753462,-0.007279149,-0.006033541,-0.007154216,-0.006140468,-0.00823563,-0.008170077,-0.003642116,-0.002581116,-0.008213875,-0.009962452,-0.006594583,-0.003200171,0.004568687,0.001912097,0.002122372,0.002252826,0.007393096,0.002749703,-0.002881942,0.002079782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001549121,0.003177906,-0.004035257,-0.009938436,-0.01053671,-0.001763763,0.000647028,-0.002537745,-0.000738409,-0.002627091,-0.00508603,-0.001517032,0.00100746,0.002576183,-0.002599863,0.004911609,0.001312007,0.006115455,0.008324709,0.008813113,0.008095702,0.007674009,0.004815458,0.004032404,-6.24E-05,0.002465825,0.003186966,0.007271307,0.006184442,0.006469372,0.004448086,0.00511074,-0.003139114,0.005427972,0.006553435,0.002959985,-0.002835993,0.003172314,0.010989915,0,0,0,0,0,0,0,0,0
8,32.82751588,0,0,0,0,0,0.00522877,0.005218528,0.008143029,0.006548086,0.002934181,0.004671347,0.00297439,0.000631763,0.000795437,0.000777627,-0.000167446,-0.000646172,-0.004209544,-0.006433323,-0.008816695,-0.009337839,-0.008126084,-0.006956095,-0.003117006,-0.002508719,-0.002959809,-0.002243911,-0.001713296,-0.000752778,0.000433089,0.001373592,0.000974374,9.25E-05,0.001309978,0.000914301,0.000892376,-0.002673777,-0.010063256,-0.004969263,0.008138444,0.011505221,0.002136791,0.00409759,0.010130443,0.002922084,-0.00319218,0.001600885,0.000147636,0.001662625,0.002653862,-0.000445956,-0.003357436,-0.003131246,-0.008122377,-0.006834159,-0.007817587,-0.004427464,0.000463513,0.001445049,-0.000216567,0.004076176,-0.00626733,0.004389838,0.002885558,0.003825486,0.001460661,-0.004478351,-0.008488823,-0.006007515,-0.006136047,-0.002360845,-0.002035446,-0.000637958,0.001202768,0.004550097,0.004632431,0.007045592,0.011404992,0.012470208,0.007599007,-0.008298992,-0.009174656,-0.000227698,-0.009603778,-0.010352011,-0.007692163,-0.003315641,-0.00957513,-0.006293492,-0.007431846,-0.007320236,-0.001518979,-0.001865916,-0.00070921,0.004764004,0.013062796,0.004887512,0.007349321,0.011201708,0.008700205,0.009360736,0.002144798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007697116,-0.010508273,0.009476887,0.008228514,0.008520992,0.007193989,0.008279257,0.003406687,-0.000627961,-0.003733202,-0.003589358,-0.006365153,-0.005594424,-0.004608524,7.69E-05,-0.002222287,-0.004649483,-0.00276077,0.00138192,0.000507381,-0.001896245,-0.00777952,-0.004693051,-0.002456721,9.40E-05,-0.001430921,-0.002446823,-0.001215338,0.008755852,-0.001991145,-0.000943505,0.001617991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011540662,0.012631032,0.010354359,0.007515407,0.005778529,0.001320448,0.002050694,-0.00051516,-0.000399272,-0.001687594,-0.000751445,-7.49E-05,-0.000697708,0.00147359,0.000224644,0.006420017,0.003207127,0.006194146,0.003131408,0.00430465,0.002196829,-0.000479321,-0.000115035,-0.004956805,-0.005245253,-2.39E-05,-0.00560813,-0.001434604,-0.005373574,-3.34E-05,0.00101046,0.004154076,-0.005183795,-0.004139977,0.000227823,0.002836836,-0.005383487,0.004620195,0.002158781,0,0,0,0,0,0,0,0,0
9,43.55665701,0,0,0,0,0,0.00977254,0.004660553,0.004944125,0.008052176,0.0094487,0.007549246,0.00603002,0.006177939,0.004142777,0.00417652,0.00297479,0.004182647,0.000575314,-0.002120991,-0.003385264,-0.008686703,-0.008821499,-0.010528355,-0.008568583,-0.010165938,-0.010105606,-0.010458709,-0.009124834,-0.00899133,-0.009393249,-0.006742807,-0.008367839,-0.008863493,-0.007322606,-0.005814996,-0.007290539,-0.008053402,-0.013449053,-0.011486038,0.007563166,0.019502543,0.014417654,0.009907055,0.001024362,0.00238194,-0.001700349,-0.00158756,-0.00252038,-0.001327654,-0.002362498,-0.001701908,-0.005848379,-0.005679161,-0.004145363,-0.004587816,-0.00320147,0.000774105,0.004577969,0.007046833,0.006776815,0.008172209,0.007167443,-0.002423989,-0.007547281,-0.009451407,-0.015817161,-0.016236321,-0.018442224,-0.015371348,-0.01129251,-0.006888636,-0.000134372,0.002869113,0.008477635,0.013703888,0.014045965,0.013982723,0.01550468,0.014472813,0.006784146,-0.013430284,-0.004620063,-0.005347688,-0.006088145,0.003467044,-0.001786616,-0.007170813,-0.013704405,-0.010863877,-0.009276951,-0.008805633,-0.00467463,-0.003023549,-0.001682392,0.003264531,0.006824671,0.003626977,0.008731666,0.015847821,0.010595304,0.000412882,0.004082396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007603833,-0.005451559,0.012685295,0.009773164,0.013106261,0.012183827,0.008686774,0.008571799,0.00522333,0.004290611,0.000327542,-0.00296173,-0.003750352,-0.00200717,-0.003191827,1.00E-04,-0.002153106,-0.006707271,-0.005063281,-0.007413808,-0.008029647,-0.007739996,-0.004768172,0.003015018,0.003044037,-8.79E-05,0.004567471,0.005407401,0.003600061,0.000204362,0.000208495,-0.001145569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006967797,0.004123341,0.004711837,-0.002302273,-0.003270208,-0.001595031,0.001015366,-0.002471443,-0.001484506,-0.00161799,-0.001875754,-0.002686627,-0.002816591,-0.001093321,-0.001553513,0.000613239,0.000400286,-0.000289738,0.000606314,0.00339431,-0.000898054,0.001954923,-0.004076993,0.002560329,-0.003463698,-0.000257482,0.001744016,0.003262828,0.001094969,0.00288588,-0.001534726,0.004402093,-0.003698013,0.003234168,0.0016995,0.004225584,0.002743638,0.009647995,0.005927989,0,0,0,0,0,0,0,0,0
10,36.83084007,0,0,0,0,0,0.008727073,0.011423889,0.008211766,0.00489905,0.000980041,0.003490816,0.000896604,0.001374633,0.003942195,0.005400124,0.003947497,0.007736885,0.002841774,-0.000290569,-0.002111069,-0.00591325,-0.004777744,-0.01037269,-0.007262728,-0.008356861,-0.00873996,-0.009224208,-0.008311796,-0.007040418,-0.004899417,-0.007853028,-0.006000251,-0.005947283,-0.00535855,-0.004468783,-0.006445597,-0.008726226,-0.017746824,-0.014499547,0.009738913,0.015425494,0.012526524,0.01498991,-0.003077361,0.006293898,-0.000443716,0.008360826,0.003858453,0.006614739,-0.003162089,-0.006792933,-0.006662391,-0.010048176,-0.01108775,-0.011452862,-0.012003903,-0.005122017,-0.001732573,0.004686964,4.71E-08,0.011001436,0.002525695,-0.007226469,-0.004218211,0.000230193,-0.004691234,-0.0065432,-0.010776977,-0.009360091,-0.008796774,-0.003305495,0.001948741,0.000927938,-0.001540826,0.011794221,0.007061045,0.010870651,0.019047391,0.018932127,-0.003388919,-0.009633888,0.003264161,0.006364052,-0.016367676,-0.011770873,-0.004731964,-0.001126845,-0.0082965,-0.007515329,-0.006158799,-0.001194219,0.005823203,0.001582837,-0.000449975,0.004744863,0.008851288,0.007824493,0.005348355,0.006192969,0.007808564,-0.001500876,-0.001247037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012775855,-0.016839271,0.002831045,0.008844318,0.014253309,0.012438278,0.015636456,0.009469739,0.00559719,0.003361075,-0.000958185,-0.005732047,-0.007775645,-0.006282941,-0.005851332,-0.002204978,-0.002949874,-0.004623242,-0.002281625,-0.001670832,-0.006757746,-0.008188836,-0.005842303,-0.000488962,0.001344064,-0.004741417,0.00208138,0.001827893,0.004048974,0.002477779,-0.003783568,-0.004100689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017587375,0.018444027,0.01287386,0.001034623,0.005555502,0.008787856,0.005463711,0.000201677,-0.002966912,-0.002510736,-0.004320221,0.000131819,-0.004007491,-0.000712376,-0.003666251,0.003951829,0.001499424,0.000567202,0.006621712,0.002323343,-0.000377657,0.002813194,-0.004560578,-0.001588309,-0.005992576,-0.006113137,0.000549926,0.008329552,0.003735337,0.00463683,-0.002868154,0.003751713,0.00053173,0.00333792,-0.000340442,-0.004710253,0.000285993,0.009573031,0.015430532,0,0,0,0,0,0,0,0,0
