Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,26.60882161,0,0,0,0,0,0.002514483,-0.002028426,0.00132166,0.004994319,0.006197543,0.009235244,0.000848482,0.0044807,0.001814831,0.002771663,0.000849237,0.002117069,-0.00202348,-0.00406168,-0.006948391,-0.00816794,-0.010943751,-0.008600647,-0.007058215,-0.002743831,-0.004982058,-0.004231296,-0.002923229,-0.00136687,-0.001894336,0.004455507,0.002044935,0.001610716,0.002431481,0.002821716,7.91E-05,-0.004128919,-0.017268545,-0.018567492,0.003238046,0.023123589,0.019995848,0.013999418,-0.009583818,-0.007601726,-0.008647538,-0.003827625,-0.006122834,-0.004023693,-0.005342131,-0.00533585,-0.004061015,0.001336894,0.000985494,-0.000784403,-9.34E-05,0.008477002,0.007341598,0.002272869,0.001560142,0.004768072,-0.004346714,-0.00881851,-0.001174155,-0.002866501,0.000301391,-0.002401065,-0.008779144,-0.002952653,-0.004593339,-0.004134457,0.00181264,-0.00180947,0.003186784,0.004375694,0.009668979,0.010402731,0.012344259,0.010671615,-0.00197436,-0.004787886,0.002331098,-0.008398028,-0.000332012,0.004183377,0.001208787,-0.001442193,-0.005271309,-0.005319372,-0.005957277,-0.01014631,-0.009592966,-0.003999775,-0.001925638,-0.001614376,0.0031021,0.001885589,0.001397267,-0.001273034,0.004694928,0.003622717,0.002604358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002100881,0.012988818,0.018150811,0.008993961,0.011129331,0.010163843,0.004191985,0.001893193,-0.00109959,0.003356055,-0.001806842,-0.005426298,-0.005526482,-0.005596873,-0.006234477,-0.006850338,-0.007412407,-0.003912669,-1.73E-05,-0.001244529,-0.010510125,-0.01075956,-0.005594671,0.000864787,0.007330191,0.010112299,0.006120178,0.002374955,0.011559552,0.009599121,0.005329371,0.011226538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002435276,0.002481112,-0.005013977,-0.018870631,-0.016351435,-0.007079593,-0.000249135,-0.004816729,-0.003277174,-0.00493026,-0.003256663,-0.00039162,-0.00435954,0.001846902,-0.00210541,0.005978469,0.007113923,0.009205579,0.010173667,0.009041579,0.008028173,0.006986959,0.004829443,-0.001870113,0.000922537,-0.003451284,-0.008404176,0.001934225,-0.005434771,-0.000634415,-0.004481788,-0.006563793,-0.008908124,-0.000641481,-0.008027501,0.000398934,-0.007502461,0.000814809,0.012946171,0,0,0,0,0,0,0,0,0
2,29.79489357,0,0,0,0,0,0.004422341,-0.00196464,-0.000202034,0.00291878,0.000860559,0.004613353,0.002330317,0.00402887,0.004804307,0.002196338,0.000899381,-0.000256728,-0.004295024,-0.0080354,-0.005654038,-0.008120658,-0.004779555,-0.002312596,-0.000542198,-0.000608067,0.000528466,-0.001265477,0.001073614,0.001836368,0.000941337,0.002561589,0.002136349,0.004178189,0.00325661,0.003030896,-0.000692289,-0.00357881,-0.006504495,-0.010613907,0.000741929,0.008958084,0.00954131,0.002994924,-0.019379588,0.001056833,0.000966767,0.002436158,-0.00220365,0.002979038,-0.00691716,0.000471514,0.002176631,0.003957121,0.003202395,0.003458731,0.003607404,0.005266504,0.004300567,0.000404365,-0.00838241,0.013619007,-0.014039387,-0.001575897,0.008245012,-0.004176571,-0.003681906,-0.00579669,-0.012947362,-0.007592992,-0.006593776,-0.007184282,-0.002203345,0.000571361,-0.000552161,0.003894149,0.00574313,0.003345577,0.003017309,-0.003654419,0.014293295,-0.002544148,-0.014175026,-0.002535119,0.00497908,0.020761461,0.017246518,0.004983121,-0.004352597,-0.008013208,-0.005963864,-0.014447946,-0.003198735,0.001426592,0.007167092,0.006989246,0.011435554,0.008661221,-0.010633513,0.000916108,-0.003916006,-0.00760287,-0.005503072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002103353,-0.000395944,0.017886298,0.004374536,0.012121318,0.004031443,-0.004209154,-0.001074915,0.000938312,2.86E-05,-0.006891857,-0.003209202,-0.010368722,-0.007870644,-0.003201348,-0.006307855,-0.006713031,-0.006547755,-0.002437871,-0.00058966,-0.006238634,-0.005646218,-0.004938263,0.003827981,0.00432878,0.007449621,0.002285565,0.007376121,0.006184733,0.004885683,0.003683603,0.018005045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001885832,-0.001418254,-0.005060945,-0.007093228,-0.010512628,-0.005689223,-0.002750969,-0.008078189,-0.002049161,-0.003047585,-0.005925609,0.000545529,0.001893305,0.002796747,-0.001877036,0.004201958,0.001903989,0.00418472,0.00723493,0.008571307,0.005287544,0.00503195,0.003155385,-0.002783411,0.000844446,-0.005058784,0.001055981,0.001609336,-0.003853943,-0.00246694,0.001124549,0.002564775,-0.011470296,0.001552393,0.008224331,-0.001692371,-0.008261437,0.005666419,0.014455761,0,0,0,0,0,0,0,0,0
3,28.03086489,0,0,0,0,0,-0.006698122,-0.006129845,-0.006250523,0.004463737,0.004495224,0.008210333,0.004625687,0.008581431,0.003287823,0.007032667,-0.001885307,-0.004995699,-0.011992787,-0.01664382,-0.017553219,-0.011810972,-0.007689207,-0.00077492,0.006342858,0.008151146,0.006111971,0.006944921,0.010706608,0.007702429,0.007035047,0.011923368,0.002809638,0.004579516,0.003635424,0.000345532,-0.00134832,-0.0061287,-0.018464516,-0.021806172,-0.005347638,0.0181466,0.025873382,0.029624205,-0.019992522,-0.007217653,0.000395728,0.001196578,-0.001720012,-0.004686644,-0.007257064,0.00085753,-0.001387416,0.000543202,0.005013265,-0.002366377,0.000116371,0.00429193,-0.006117399,0.000133085,0.001516305,-0.002496547,0.00017071,-0.006217668,0.002693239,-0.018099208,-0.003531811,-0.000599513,-0.007227461,-0.003368512,-0.002990279,0.00112259,0.004018411,0.000504152,-0.001271978,0.009007494,0.008467351,0.00873337,0.007977974,0.004039552,-0.002767685,-0.007707158,-0.005726066,-0.012304325,0.005567506,0.008416952,-0.000143855,0.000754991,-0.009519302,-0.002262804,-0.005842947,-0.010806834,-0.011731314,-0.000595444,-0.003032929,0.004708231,0.003324755,0.010682251,0.019887265,0.003836637,0.006365232,-0.008969052,-0.000522385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018290736,0.00797882,0.027244494,-0.001720073,0.007037428,0.005769547,0.000789883,0.006118025,-0.000106249,0.006917648,-0.000154917,-0.006044608,-0.002394387,-0.008101857,0.002598054,-0.008854987,-0.004624338,-0.009450409,-0.002624148,-0.007529521,-0.01269127,-0.01549878,-0.001853078,0.008373416,0.012003638,0.001817517,0.012379761,0.005652401,0.010859072,-0.000916065,0.00020653,0.012464017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001064616,-0.008602558,-0.010710868,-0.010404125,-0.017677543,-0.007614637,-0.011527254,-0.01416039,-0.016259436,-0.008961633,-0.010607534,-0.007435031,-0.00421925,0.001389684,-0.00537926,0.006887282,0.005005384,0.008730344,-0.000807607,0.013144436,0.012794566,0.016593593,0.008078651,0.007642017,0.006413764,-0.005233299,0.007973874,-0.000230792,-0.004349579,-0.005945939,-0.008833671,0.00204973,-0.008027859,-0.002294298,-0.014586722,0.0076366,0.001261534,0.010459091,0.005821529,0,0,0,0,0,0,0,0,0
4,21.73123959,0,0,0,0,0,-0.013678749,-0.005913322,0.001421431,0.009118436,0.012764669,0.011213082,0.010133351,0.009876211,0.006153158,0.00885172,0.002749057,0.002089508,-0.00147352,-0.004044826,-0.007060158,-0.008356867,-0.007949797,-0.008903754,-0.004841521,-0.004615254,-0.002984694,-0.003358263,-0.001200584,-0.002511656,-0.001976208,4.46E-07,0.00144361,-0.001903896,0.001070519,0.002707801,-0.000468433,-0.008624122,-0.025784044,-0.025378924,0.004438917,0.029521523,0.027313703,0.013435922,-0.022145655,-0.011570867,-0.010159459,-0.005284443,-0.003785879,0.000365326,-0.000692451,0.001818394,0.001712619,0.001715901,0.004497931,0.003979193,0.001792879,0.009105777,0.005750684,0.001936157,-0.000709541,0.000986088,-0.008846526,-0.003577082,0.00264735,-0.005373885,-0.002695143,-0.002253658,-0.006694583,-0.004170366,-0.008432116,-0.001828156,-0.002931541,-0.00073192,-0.00200913,0.003261802,0.003985569,0.00718983,0.012175301,0.006470861,0.01129639,-0.006029101,-0.009276549,-0.002900603,0.000434304,0.009145046,0.009081853,0.00600708,-0.00830424,-0.007178132,-0.010894064,-0.014820182,-0.011006861,-0.006732153,-0.001930054,-0.00314831,-0.003189003,-0.00362403,-0.003728664,0.001784727,0.010940304,0.002091028,0.010901414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009083998,-0.006229631,0.013977752,0.005115776,0.004054649,0.004701458,0.004130217,0.003320401,0.001277933,0.002431199,-0.002938024,-0.004642804,-0.005338974,-0.006261091,-0.003301287,-0.002781263,-0.002010529,0.000670245,0.003695995,0.001843531,-0.001357235,-0.001215851,-0.003017703,0.011456532,0.005156168,0.001252419,0.002264005,-0.007121148,0.001438799,0.000782647,0.003459144,0.00858349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003236853,0.002058287,-0.001109712,-0.012187925,-0.007306783,-0.004408442,-0.004630166,-0.008149124,-0.006243804,-0.004171153,-0.003821144,-0.001837177,-0.003741778,0.000726334,-0.000195066,0.004664306,0.00455705,0.00691681,0.005743629,0.011597459,0.006108756,0.006959021,0.006909884,-0.000184612,-0.001418471,-0.000768303,0.005973886,0.001339975,-0.003929462,-0.001839638,-0.002441262,-0.001805561,-0.002774232,-0.001240017,-0.011031561,-0.003004729,-0.006024497,0.005693652,0.015862435,0,0,0,0,0,0,0,0,0
5,25.12839643,0,0,0,0,0,0.008281582,-0.000100648,0.00191008,0.007107841,0.008264181,0.01161988,0.006532718,0.00764801,0.004996776,0.004459416,0.002277868,0.002269156,-0.002778931,-0.005999071,-0.011281261,-0.013035397,-0.009898403,-0.011845963,-0.004420614,-0.004141834,-0.003027042,-0.003298642,-0.003399118,-0.002944876,-0.00347011,-0.001276042,-0.000727566,-0.000768349,-0.000233847,0.001184531,-0.000851707,-0.004031129,-0.018841027,-0.016817036,0.00758853,0.024017128,0.016078725,0.009247294,-0.022059074,-0.007727327,-0.011313453,-0.00563827,-0.003503342,-0.000293205,0.004691679,0.004079559,0.003435755,0.005073942,0.00152111,0.006416958,0.004166864,0.004509201,0.012151375,0.005006267,0.011154039,0.01018542,-0.007381449,-0.006351381,-0.006489648,-0.007441759,-0.008056856,-0.006723764,-0.012662474,-0.008331037,-0.011283946,-0.008431991,-0.004209287,-0.002197355,0.000999633,0.001178747,0.003834026,0.006736394,0.009899453,0.003713783,0.000208264,-0.010705163,-0.008666241,-0.0018372,-0.008278525,0.003406408,0.007819413,0.003734094,-0.003772302,-0.003825627,-0.007653625,-0.012745541,-0.001831945,9.74E-05,0.005334562,0.011744869,0.007006493,0.014100846,0.005786425,0.000660224,0.000717518,0.001872164,0.00839799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000658299,-0.002913245,0.011041912,-0.000367562,0.004497825,0.007335246,0.004862374,0.003580076,-0.000899119,0.00518695,0.003407546,-0.000246745,-0.005205994,1.24E-06,1.12E-05,-0.004307316,-0.005640451,-0.005093148,-0.000367329,-0.007952915,-0.011815375,-0.009042052,-0.007178926,-0.000156716,0.003073581,0.00110035,0.000837462,-0.009152784,0.007633564,-0.000761916,-0.005069117,0.011504887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007805818,0.001532364,-0.002286029,-0.014205406,-0.009877975,0.001632836,0.003824666,0.002066236,-0.001437092,-0.005322005,-0.001031626,0.003995394,-0.002571189,0.001409376,0.003523913,0.003314865,0.001299488,0.004830558,0.004800214,0.007069181,0.002913054,0.008595597,0.001882424,-0.001399926,-0.001058509,0.005315117,0.001925624,0.012429646,0.001990318,0.008410782,0.005593292,0.004854333,-0.008619537,0.004205956,0.004500217,0.010168878,-0.008682687,0.005402206,0.007101111,0,0,0,0,0,0,0,0,0
6,28.0249655,0,0,0,0,0,0.002834238,0.003280735,0.002625934,0.007929398,0.0004909,0.00812161,0.006442212,0.00616475,0.007595231,0.007226997,0.005441451,0.002717546,-0.005784958,-0.013671231,-0.012479944,-0.016726114,-0.009794131,-0.00642738,-0.00434247,-0.003247683,-0.002343421,0.000567519,0.000246672,-0.000518101,-0.000902761,-0.002166773,-0.002073483,-0.000857298,-0.001572471,-0.003166302,-0.004861172,-0.008312993,-0.022347515,-0.022714997,0.00297041,0.031331499,0.034442663,0.027785834,-0.014707654,-0.008494191,-0.001484432,-0.002151004,-0.003109053,-0.005938408,-0.004556349,-0.003923892,-0.006559775,-0.006354441,-0.003981771,-0.009378641,-0.004489852,0.001479109,0.002318704,0.005792445,0.010760139,0.000811171,0.000334143,-0.012511504,-0.010909785,-0.007595475,-0.001677887,0.001179622,0.002476361,-0.000986109,-0.002674487,-0.000159752,0.005424589,0.003017844,0.00483319,0.004477327,0.008838953,0.009412457,0.010466783,0.005895851,-0.005726498,-0.013701914,-0.003051384,0.00804789,-0.017481011,-0.001888075,-0.002025919,-0.000640803,-0.005788734,-0.003068886,-0.008449699,-0.01152083,-0.008006778,-9.68E-05,0.00223755,0.003454924,0.005198507,0.005433061,0.002076489,-0.008127442,0.008745817,0.000596285,0.014493384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003176792,0.0095364,0.002687386,-0.002277867,0.006588879,0.008443257,0.000878421,0.004470546,0.008665815,0.002733909,0.002870149,0.000264124,-0.000100098,-0.001983162,8.10E-05,0.001593194,-0.000305687,-0.000236872,0.001440832,-3.61E-05,-0.004409511,-0.002466927,-0.003309373,0.004227437,0.001982437,-0.00128329,-0.003775846,-0.01391795,0.003202564,-0.006439983,-0.006552043,-0.009385318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002069788,0.003070956,0.000138806,-0.012648854,-0.011166777,-0.002512527,-0.001141324,-0.00519977,-0.005783673,-0.001046017,-0.005207031,-0.006368611,-0.001270779,-0.000441229,-0.001218681,-0.001200953,0.004103967,0.010923579,0.007546135,0.014234818,0.011856206,0.016238771,0.010820009,0.002789556,0.004021412,0.009756328,0.005474477,0.002134912,-0.004158758,-0.001865224,0.002115244,-0.003346826,-0.004480227,-0.007035838,0.001751655,0.001399137,-0.006663736,0.007590491,0.003068914,0,0,0,0,0,0,0,0,0
7,21.8944936,0,0,0,0,0,0.000753663,-0.003670493,0.002373048,0.002979524,0.001549214,0.005281638,0.00614851,0.006707299,0.005957951,0.007134398,0.002870698,-0.001458716,-0.005600162,-0.009656553,-0.012643222,-0.015119263,-0.0105742,-0.006189897,-0.002506707,-0.004856793,-0.001677281,1.12E-05,-0.000633923,0.001262893,0.000876267,0.004369472,0.002530966,0.002228433,0.003603568,0.002459439,0.001397441,0.000821255,-0.013977908,-0.020052303,-0.000893459,0.017701587,0.021856306,0.017080664,-0.018345203,-0.003908088,-0.004620996,-0.002291393,-0.000519324,0.006028571,-0.006023751,-0.001336763,-0.002951015,-0.003086629,-0.000306851,-0.001902815,-5.33E-05,0.004207577,0.004458717,0.000125702,-0.004373242,0.017726961,-0.021354051,-0.00489342,0.004362854,-0.008571548,0.001109164,-0.002167565,-0.005078967,-0.001368605,-0.006270023,-0.000392707,0.000820313,0.000544729,0.00018515,0.004992653,0.004007912,0.003485701,0.005853428,0.003527091,0.009362416,-0.012227744,-0.009555766,-0.002520832,0.00661215,0.001022081,0.010882082,0.008572829,-0.004293966,-0.00126825,-0.008775132,-0.015981377,-0.014056341,-0.002845227,-0.005459807,0.003414751,3.18E-05,0.003346907,-0.000881238,0.007162123,0.020935135,0.003547665,0.006594349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009781875,0.002300825,0.014956273,0.010652069,0.003624888,0.005709107,-0.0016307,0.004369556,-0.000593373,-0.001605797,-0.004663286,-0.005437864,-0.005751761,-0.004863141,-0.00264976,-0.002848688,-8.71E-05,-0.003745733,-0.003346165,-0.005335035,-0.007832014,-0.004535353,0.00090967,0.007258217,0.002351103,0.001650143,-0.002003662,-0.009954932,0.001874847,-0.00248416,-0.004390898,0.010531673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002251994,-0.001270398,-0.000668242,-0.011788493,-0.011276841,-0.002258726,-0.00018722,0.000685871,-0.00608142,-0.003003767,-0.001719918,-0.000567469,-0.003517569,0.003237232,0.005116804,0.010411692,0.003638077,0.012561156,0.004365004,0.013421031,0.015113994,0.013638099,0.011056544,0.008212975,0.00604353,0.000531929,0.006252116,-0.004176349,-0.004981718,-0.00338746,0.001160136,-0.003732473,-0.008841974,-0.005163699,-0.002922018,-0.005112332,-0.00950984,0.001172436,0.020437294,0,0,0,0,0,0,0,0,0
8,30.66457131,0,0,0,0,0,0.013858129,0.003072745,0.000619829,-8.28E-05,0.001271923,0.006146318,0.003939915,0.006549893,0.001020158,0.005283836,0.001956321,-0.001048932,-0.004584112,-0.006322262,-0.008041388,-0.010662124,-0.010394352,-0.007925688,-0.006149609,-0.005653353,-0.003142701,-0.002615407,-0.002646897,-0.001215925,-0.000863867,-0.002407415,0.000189988,0.000431224,0.002845497,0.002051417,-0.000810117,-0.003126081,-0.014878823,-0.018400087,-0.002762204,0.019542023,0.021081124,0.021892459,-0.00792351,-0.001376572,-0.003177455,-0.006335248,-0.00605106,-0.008270612,-0.011823308,-0.006558809,-0.00092393,0.002415768,0.001087757,0.003211412,0.004365362,0.009615684,0.000385063,0.000916848,-0.001105174,0.01094308,-0.012785624,-0.012794208,0.001165328,-0.013711292,0.002718323,-0.000726727,-0.003410108,-0.002624834,-0.007377455,-0.000919434,0.005494451,0.003877207,0.001854138,0.005409486,0.01157972,0.008595335,0.008061141,0.004686877,-0.000345872,-0.002785607,-0.009174258,-0.009085434,0.006662052,0.011527569,0.007758261,0.003812251,-0.006622539,-0.004351737,-0.011933675,-0.019780003,-0.014111828,-0.009112747,-0.003747422,0.001553633,0.006683317,0.005899694,0.01608381,-0.00211809,0.002754733,0.005055565,-0.007547027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001112303,0.001627235,0.014214749,0.013475145,0.018895364,0.01288499,0.001449946,0.004862005,2.62E-05,0.0005074,-0.001813168,-0.002193291,-0.008901854,-0.008450595,-0.004008348,-0.006916576,-0.004506296,-0.005755668,-0.008193965,-0.0040074,-0.01464438,-0.009638306,0.002744257,0.006598905,0.016430357,0.010228106,0.00405407,-0.007517503,0.006286922,0.010081597,0.000804375,0.009838054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005514146,0.000305042,0.002206328,-0.012858833,-0.010449359,-0.005018965,-0.001775437,-0.007079335,-0.011301794,-0.005069212,-0.004517082,-0.002806026,-0.005048004,0.000132095,-8.59E-05,0.006324146,0.001895845,0.007295087,0.007627013,0.010758887,0.012616111,0.012254513,0.007944456,0.010696282,-0.000221887,0.002013833,-0.001653056,-0.003934242,-0.010289275,-0.008693195,-0.006906821,-0.001360855,-0.00472299,-0.006104261,-0.002808978,0.006294494,-0.008276613,0.002920745,0.011081408,0,0,0,0,0,0,0,0,0
9,21.72827952,0,0,0,0,0,-0.002748713,-0.00196973,-0.000155534,0.004922741,0.006752839,0.010506024,0.007638483,0.004406693,0.004851861,0.006612699,0.002464298,-0.002206705,-0.006752073,-0.009692544,-0.011382219,-0.008851799,-0.006124537,-0.003008799,0.002228093,0.003009903,0.003138378,0.004493217,0.003625466,0.002179497,0.002057703,0.000564492,-0.000353071,0.001594035,-0.000103621,-0.002577373,-0.003892227,-0.005977573,-0.01794239,-0.019995258,-0.001257647,0.017460267,0.017320591,0.013120202,-0.016679044,-0.00831074,-0.008378116,-0.00495112,-0.000861533,0.002335764,0.001848257,-0.000727883,0.002643199,0.003854471,0.000477152,0.001189097,0.001347693,0.007520591,0.010260492,0.009792996,0.012131927,0.011041314,-0.020519728,-4.05E-05,-0.000419154,-0.002250637,-0.001206769,-0.004814911,-0.009849351,-0.00505069,-0.009021452,-0.004792581,-0.000985148,-0.000911891,-0.003714575,0.00043572,0.003014835,0.005816801,0.010587205,0.008834994,0.001099574,-0.020845211,-0.01000393,-0.003656677,-0.00831293,-0.006775687,-0.00294916,0.003794904,-0.0045586,-0.002159855,-0.008931186,-0.011453521,-0.00810177,-0.002743618,-4.08E-05,0.000832417,-0.002200777,0.002456756,0.003082742,0.002022852,0.015461029,0.018474139,0.01777819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007114249,0.004395236,0.014646973,0.008384478,0.003009616,0.003579166,0.00061966,-0.00108817,-0.004944143,-0.000727613,-0.002962636,-0.007297972,-0.008311199,-0.006667195,-0.003077569,-0.00261587,0.000771224,-0.000257144,0.004289747,0.001962601,-0.005626008,-0.004830254,0.002203392,0.003681083,0.009512784,0.002051535,-0.000100584,-0.007320075,-0.000677467,-0.000661729,0.001500282,0.007155913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004087584,0.006121815,0.002586062,-0.012752618,-0.016885967,-0.006478801,-1.10E-05,-0.006870832,-0.007003571,-0.005273348,-0.005293971,-0.00596001,-0.005383607,0.00187748,0.004551293,0.006571803,0.003818971,0.010338853,0.006377566,0.009237148,0.010760815,0.010748178,0.010207331,0.003189721,0.000809244,0.003239953,-0.003105989,-0.004484419,-0.00100254,-0.004675266,-0.003986383,-0.003092971,-0.003332383,-0.002620405,0.002342554,0.003507498,-0.009078675,0.002911041,0.004457172,0,0,0,0,0,0,0,0,0
10,24.0276783,0,0,0,0,0,-0.001346332,0.001402512,0.001750453,0.003017019,0.005836598,0.012165415,0.010320916,0.012518056,0.009837438,0.010959263,0.006558397,0.005253818,-0.00108643,-0.006072848,-0.010269384,-0.016014964,-0.015335418,-0.015282609,-0.011398676,-0.008900084,-0.007781822,-0.006115836,-0.003599165,-0.004083086,-0.004192353,0.003223181,0.002764603,-0.001539462,0.002673489,0.00393154,0.002219684,1.30E-05,-0.012633971,-0.012168654,0.007818284,0.019483963,0.015085837,0.005224915,-0.008484227,-0.006289239,-0.013216359,-0.001822389,-0.005064984,-0.002302751,0.000623166,0.006415371,-0.001155903,-0.000775119,0.002512634,0.00131514,0.001204285,0.007605648,0.008489365,0.012370261,0.012818696,0.010060944,-0.017314847,-0.002910264,-0.004883252,0.002358166,-0.005959009,-0.011049171,-0.011503059,-0.00794065,-0.010523053,-0.005687298,-0.001756778,-0.001689433,-0.005042953,0.006876195,0.007061496,0.009980383,0.01486368,0.014689708,0.002030413,-0.020030179,-0.009260813,-0.002025341,-0.013462302,0.00141106,0.001901965,0.004684812,-0.007626407,-0.00610719,-0.009971465,-0.01095912,-0.005452438,-0.001227188,-0.005816338,0.005771792,0.005424688,0.005263786,0.007832548,-0.0037083,0.011548698,0.006301017,0.014775742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000290236,-0.014174107,-0.010404534,-0.002619382,0.01070933,0.011446811,0.002951877,0.003963657,0.002179781,0.003111175,0.004245657,-0.000166445,-0.003340621,-0.003068366,-0.007942168,-0.003868684,-0.001984901,-0.000985071,-0.002709781,0.000344027,-0.004584806,-0.014194375,-0.010898973,0.000504025,0.006647648,0.002821534,-0.000761666,-0.003134781,0.010164754,0.004935559,-0.000762907,0.007744462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003799349,0.001237046,-0.002376402,-0.007022255,-0.007086022,-0.008884605,-0.002516635,-0.003702761,-0.007360449,-0.002448033,-0.001345673,-0.001574674,-0.001225266,-4.62E-05,0.001237931,0.008650196,0.012208071,0.013291135,0.014534575,0.010401709,0.009736589,0.01025643,0.005484319,0.000392819,-0.008354814,0.002302012,-0.000648646,0.004356335,-0.003428994,-0.00650941,-0.002975066,0.000851649,-0.002108435,-0.002220417,0.001756569,0.002091282,-0.004166956,-0.003058183,0.015785141,0,0,0,0,0,0,0,0,0
