Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,48.49206537,0,0,0,0,0,-0.001316353,-0.000712704,-0.00022833,0.000168786,8.27E-05,0.000915698,0.000391523,0.000242945,0.000635461,0.00081078,0.000507458,0.000674447,0.000167446,-0.000140061,-0.000100107,-0.000705298,-0.000426698,-0.000721787,-0.000412361,-0.000394483,-6.30E-05,-0.000112799,-0.000447118,-0.000223551,0.000323062,3.36E-05,-2.94E-05,-0.000368929,-4.42E-05,-0.000188823,-0.000423365,-0.000802414,-0.002696513,-0.002453333,0.001004554,0.003243997,0.00242807,0.001134506,-0.002075234,-0.001005128,-0.00035428,0.000293475,0.000511131,0.00055208,2.98E-05,-6.54E-05,0.000116452,-0.000145971,-1.35E-05,-0.000678329,-0.000349569,-0.000512443,0.000427274,-0.000432153,-0.000205009,-0.000247769,-0.001900241,0.000718246,-0.000522911,0.000271206,7.55E-05,-0.000303866,-0.000775523,-0.001275157,-0.000683501,-0.000457115,-0.000322567,0.000175239,-0.000641458,0.000247091,0.001263998,0.001407148,0.001878844,0.001874228,0.001495484,-0.000473713,-0.000763705,0.000395737,-0.000531122,-0.000204019,0.000248156,0.000339243,-0.00104614,-0.000605383,-0.002211735,-0.001548286,-0.000742615,0.000136647,0.00100367,8.41E-05,0.000943544,0.000145341,-0.00032602,-0.000682517,0.000378633,0.00031413,0.001702817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000440782,-0.000932093,0.001087548,0.001481116,0.001715249,0.002108823,0.001624316,0.001693737,0.001340366,0.001526405,0.000869275,0.000308174,0.000513263,0.000853708,0.000553438,0.000500443,0.000923176,0.000946111,8.19E-05,-0.000380245,-0.000925314,0.000115778,0.000535534,-0.000317626,-0.00053087,-0.001350685,-0.003003879,-0.002234074,-0.000176133,-0.000340292,-0.00093712,0.000265776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00086412,0.001344909,0.001663367,0.001014962,0.000476438,0.001208334,0.001058828,0.000923412,0.000415371,8.90E-05,-5.04E-05,0.000326752,-0.000146464,-0.000270727,-0.000496843,-0.000209936,-0.000326159,-0.000210036,-0.000749967,-0.000323063,-0.000350306,-0.000519627,-0.00017426,-1.46E-05,-0.000215366,0.000478383,-0.000539135,-0.001461885,-0.002028567,-0.000557993,-0.000336612,-0.001075339,-0.000586774,-0.001045732,-0.00064581,0.00024435,-0.00191975,-0.002017476,-6.52E-05,0,0,0,0,0,0,0,0,0
2,48.29693325,0,0,0,0,0,-0.000143063,-0.000193287,-0.00012455,0.000580058,0.000213576,0.000821355,3.10E-05,0.000820449,0.000691339,0.001016828,0.000650432,0.000555565,3.76E-05,-0.000364788,-0.000743823,-0.001217232,-0.001445968,-0.001138682,-0.001282077,-0.00117277,-0.001158814,-0.000947098,-0.00067405,-0.000594532,-0.000305751,1.73E-05,0.000371438,-1.04E-05,0.0004629,0.000669797,0.000408058,-0.001090274,-0.00222548,-0.001622152,0.001253506,0.003473268,0.002198725,0.000966928,-0.000917352,-5.64E-05,-0.000420199,-0.000600345,-7.34E-05,-4.28E-05,0.000157447,-0.000213156,-0.000225947,-0.000396358,-0.000554088,-0.000499095,-4.97E-05,0.00026068,0.000325713,-0.000307514,-0.000569294,-0.000189467,5.16E-05,0.000338322,-0.000362466,-0.001371269,-0.001652261,-0.000854293,-0.001785451,-0.001322189,-0.001327401,-0.000796241,-3.67E-05,0.000415046,0.000885644,0.001551724,0.001625292,0.001552714,0.001588454,0.001526743,0.002346992,-0.000130373,-0.00066483,-9.66E-05,-0.00112339,0.000481558,-0.000730073,-0.001045308,-0.00160805,-0.001154279,-0.000606647,-0.001007434,-0.000750571,-0.000484939,-0.000328721,0.00067249,0.001503632,0.000640143,0.000739401,0.002138342,0.000801207,0.000753128,-0.00031809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001703791,-0.001414623,0.001585256,0.001547434,0.001046874,0.001159619,0.001398984,0.00103219,0.000948224,0.000483162,-0.000143378,-8.80E-05,0.000236098,-0.000286812,0.000216306,-1.73E-05,0.000121424,0.000353439,-1.47E-05,-0.000504713,-0.000325129,-0.000272337,-0.000133765,-0.000300948,-0.000511339,-0.000319978,-0.000858939,-0.000202556,0.000313122,0.000103686,5.09E-05,1.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002043492,0.001613428,0.002074107,0.001346407,0.001449844,0.001257544,0.001063939,0.000493984,-0.000150572,0.000105726,-0.000124219,-0.000155633,-0.000438773,-0.000378985,-0.000289442,-0.000264748,-0.000264822,-0.000383165,-0.001036729,-0.001318102,-0.001385861,-0.001047612,-0.001060057,-0.000938222,-8.74E-05,-0.001000987,-0.000721232,0.000711395,-0.001136008,-0.000555004,-3.37E-06,0.000760749,-1.61E-05,-0.000850464,-0.000526347,-0.001029216,3.97E-05,0.000379292,0.001607683,0,0,0,0,0,0,0,0,0
3,49.27121003,0,0,0,0,0,0.001430846,0.001466101,0.001039882,0.000811964,0.000416531,0.000225761,-0.000111972,-8.09E-05,-1.13E-05,-2.04E-05,-5.95E-05,-0.000156344,-0.000292786,-0.000402313,-0.000505517,-0.000744871,-0.000868283,-0.000998628,-0.001071439,-0.001041461,-0.000999863,-0.000928005,-0.000894758,-0.000869564,-0.000741774,-0.000446396,-0.000377945,-0.000523951,-0.000317773,-0.000257056,-0.000283789,-0.000637411,-0.000721308,-0.000390798,0.000670063,0.000857949,0.000360109,0.001013753,0.001278916,-0.000245292,0.000273321,0.000102023,-2.75E-06,0.000338436,6.00E-05,-0.000271108,-0.000364183,-0.000777649,-0.000768563,-0.000860266,-0.000583702,-0.000335825,-6.31E-05,-0.000379572,0.000313611,0.000883309,-0.001956124,-0.000172475,-0.000626892,-0.000617406,-0.0002756,-0.000557859,-0.00060974,-0.000863268,-0.000379762,-0.000264054,-0.000157114,0.000195906,0.00026013,0.000601098,0.000830155,0.000944135,0.001166883,0.001793512,0.00219894,-0.000522634,-0.001699563,0.00019131,-0.001079825,0.000411355,0.000128072,-0.000118764,-0.00057702,-0.000581709,-0.000322266,-0.000216869,0.000228772,-2.96E-05,0.000278594,0.000402096,0.001308856,0.000147236,0.000950817,0.000238228,0.000258945,0.000107275,0.000215697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000188334,0.00045374,0.001560473,0.001572836,0.001889102,0.001556724,0.001499826,0.000961498,0.00090566,0.000736431,0.000274283,0.000153245,-4.36E-05,-0.000360486,0.000135931,-0.000256636,-0.000407995,-0.000306096,-0.000648063,-0.000844733,-0.000947684,-0.000273714,-0.000390654,-0.00060421,-0.000910318,-0.000471943,-0.00106873,-0.000680757,-0.00020002,6.42E-05,0.000143579,0.000560066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00219222,0.001774257,0.001950957,0.001401974,0.001353288,0.001028194,0.000733155,0.000368782,0.000128145,-0.000321737,-0.000529613,-0.000746769,-0.000822354,-0.000596997,-0.00098999,-0.00088865,-0.000717269,-0.000583967,-0.000745305,-0.001167321,-0.001112133,-0.000784719,-0.000898248,-0.000312285,-0.000362981,-0.000189458,-0.000530713,0.000395016,-0.000104503,0.000385212,0.000362256,0.000327295,0.000277457,8.54E-05,0.000815998,0.000995412,0.000954138,0.00119081,0.000762122,0,0,0,0,0,0,0,0,0
4,47.94881585,0,0,0,0,0,-0.002221068,-0.000640759,-0.000767426,4.72E-05,0.000239008,7.07E-06,-0.000323909,0.000125373,0.000478479,0.000390179,0.00094042,0.001199636,0.00080701,0.000324632,5.84E-05,-0.000386521,-0.000428608,-0.000458224,-0.00031616,-0.00010336,3.01E-06,-1.90E-05,-1.14E-05,-0.000122572,4.25E-05,0.000394294,0.000314396,7.01E-05,0.000282184,0.0002829,-9.30E-05,-0.000729633,-0.003033234,-0.002919057,-1.79E-05,0.003043626,0.002763642,0.00241402,-2.37E-05,-0.000481513,0.000107822,1.74E-07,-1.26E-07,0.000947072,-0.000222887,-0.000631568,-0.000405867,-0.000985595,-0.00065969,-0.001223148,-0.0013012,-0.00087015,-0.000299315,-0.000275584,-0.000843024,0.000573262,-0.001780444,-0.000477139,0.000143229,0.000496594,0.000252656,-0.000343708,-0.0006136,-0.001200213,-0.000197145,-0.000173312,-0.000115621,-2.12E-05,-0.000215626,-0.000451315,0.0007689,0.00077193,0.001216574,0.00201377,0.002622836,-0.000511248,-0.002157085,0.001524347,-0.001704524,0.000691285,0.000418565,-0.000322796,-0.000734655,-0.000780836,-0.000394751,-0.000754326,0.000330697,0.000480704,0.001113994,0.000637357,0.001019306,0.000911315,-4.29E-05,-0.000567208,0.000249495,0.000507383,0.001749355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000462584,0.000443876,0.000479596,0.000644675,0.002099776,0.001704427,0.001542706,0.00155428,0.002126536,0.001660732,0.001372064,0.001519256,0.000973042,0.001002662,0.001362096,0.000834165,0.000330494,0.000611272,-0.000768872,-0.001044247,-0.000857046,-0.000292032,-0.000594556,-0.000889453,-0.00179151,-0.002483911,-0.002348479,-0.002732532,-0.00141065,-0.002031058,-0.001189011,-0.000670212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000930013,0.000629799,0.000991921,0.001301238,0.000870171,0.00136204,0.001525423,0.000818937,0.000503816,0.000830213,0.000575423,-0.000415546,-0.000242117,-9.42E-05,-0.000848757,-0.000641325,-0.000820749,-0.001089855,-0.000765241,-0.001630925,-0.000769715,-0.000353214,-0.000346155,-0.000207924,-0.000559837,-0.000144329,-0.000347913,-0.000395349,-0.001579768,-0.000342596,-0.000259605,-0.000826601,-0.000646365,0.000551339,0.000694334,0.002258877,0.000626304,0.000899193,0.00030132,0,0,0,0,0,0,0,0,0
5,49.43059056,0,0,0,0,0,0.001165221,0.000935374,0.000628324,0.000560259,0.000538122,-0.000110082,-0.000278897,-0.000134426,-0.000131735,3.20E-06,-0.00013157,-0.000676216,-0.000882398,-0.001174075,-0.00101459,-0.001184347,-0.001230337,-0.001052378,-0.001184449,-0.00095061,-0.000833341,-0.000821217,-0.000703428,-0.000604071,-0.000410528,-0.000185406,-4.89E-05,-0.000169786,-2.14E-06,0.000162023,-0.000144745,-0.000892753,-0.001549717,-0.000484312,0.001895132,0.003095017,0.001616236,0.000337206,-0.000407846,-0.001070405,-0.001141046,-0.000661682,-0.000655848,-0.000357174,-0.000593789,-0.000514615,-5.82E-05,-0.000134541,2.75E-05,3.86E-05,1.33E-05,0.000373692,0.000978698,0.000533599,0.000550935,0.001100879,-0.001442909,-0.000249286,-0.000784209,-0.000773235,-0.000668299,-0.000537641,-0.000841412,-0.00081376,-0.00063991,-0.000323578,-0.000344383,-0.000181197,0.000219674,0.000668934,0.000628243,0.000745633,0.000922818,0.001013171,0.001724071,-0.000527553,-0.00026053,0.000314701,-0.000822159,-7.68E-05,-0.00011031,-0.000676084,-0.001017734,-0.000761698,-0.001301567,-0.000750852,-0.000565966,-0.00016777,0.000293701,0.000748578,0.001382095,0.000620117,0.001417435,0.0019349,0.001041951,0.000308674,0.001198548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000668612,0.000248306,0.001084024,0.002243402,0.001679971,0.001546345,0.001382288,0.00103273,0.000732441,0.001106434,0.00037096,0.000640004,0.000188633,0.00026302,0.000376987,0.000140279,-0.000156418,0.000225764,-0.000549715,-0.000839569,-0.001207434,-0.000515001,-0.000379474,-0.000912129,-0.001364548,-0.001394124,-0.001434294,-0.001306613,-0.000963995,-0.000268618,1.44E-05,0.000491822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001808695,0.001092631,0.001266204,0.000734271,0.000865705,0.000834769,0.000791586,0.000569264,0.000128678,-3.68E-05,-0.000306298,-0.000142022,-0.000458007,-0.000264265,-0.000464637,-0.000421438,-0.000349593,-0.000473879,-0.000751245,-0.000463585,-0.000472865,-0.000480568,-0.000415069,-0.000232633,-0.000292371,-0.000511076,-0.000234223,0.0005769,-0.000187817,-9.71E-06,-8.00E-05,-0.000211708,0.000145326,-0.00063513,-0.000138644,-0.000244355,0.000253253,-0.000308593,-0.000103685,0,0,0,0,0,0,0,0,0
6,48.08537475,0,0,0,0,0,0.001436603,0.000741521,0.000748864,0.000501198,0.000167815,-0.000542685,-0.000797182,-0.000648408,-0.000261597,-3.60E-05,-6.51E-05,-0.000346872,-0.000657864,-0.001128014,-0.001284528,-0.001696573,-0.001639461,-0.001269703,-0.001201796,-0.000872239,-0.000696405,-0.000333063,-0.000149617,-5.49E-05,0.000276315,0.000382943,0.000463201,0.000268589,0.000448411,0.000649844,0.000507639,-4.28E-05,-0.001503894,-0.001742877,0.000622391,0.003083222,0.002672226,0.001178962,0.000749909,-0.000677161,-0.000959264,-0.000930595,-0.000281012,-0.000264729,-0.000360508,-0.000483769,-0.000394113,-0.00039127,-0.000528228,-0.000209134,-0.000306172,-0.000160081,0.000453516,0.00034062,-2.28E-05,0.000140362,0.00049097,-0.000233524,-0.000388245,-0.001324507,-0.001120207,-0.000726742,-0.001448971,-0.000835216,-0.000737937,-0.000606451,0.00025817,0.00032336,0.000856918,0.001584311,0.00172633,0.001572117,0.001539215,0.00112693,0.001050083,0.000304304,0.000945456,-0.000954334,-0.000375691,0.000383226,-0.000674493,-0.001061499,-0.001325937,-0.001864535,-0.001506302,-0.001443888,-0.000798544,-0.000216741,0.000613625,0.000827584,0.002043942,0.000847731,0.000343525,0.000182577,-0.000136579,-0.000617144,-7.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273421,0.001008116,0.003673994,0.0034016,0.001805847,0.001869394,0.001452683,0.001363488,0.000336971,0.000898251,0.000363504,0.000256823,-0.000161547,0.000147972,1.08E-05,0.000611929,0.000415121,0.000193407,0.000395355,-0.000232307,-0.000816294,-0.000395859,-0.000303588,-0.001020231,-0.000787497,-0.001454865,-0.001667447,-0.00151595,-0.00126373,-0.000224205,0.000533202,0.00106292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000912651,0.000596684,0.000614216,-0.000253789,-0.000363541,0.000546219,0.000450987,-0.000270171,-0.00028174,-9.54E-05,0.000166409,-0.000389861,-2.83E-05,8.67E-05,8.06E-05,0.00026761,0.000267992,0.001034374,0.000709104,7.83E-05,0.000363944,0.000518184,-4.89E-05,-0.000430432,-0.000385723,-0.000431216,-0.001006929,-0.000490191,-0.000754303,-0.000954115,-0.001298335,-0.00055004,-0.000688483,-0.000880504,-0.001141539,-0.001105222,-0.000449767,-0.00027138,-0.000737879,0,0,0,0,0,0,0,0,0
7,49.67708683,0,0,0,0,0,0.002013295,0.001017023,0.000505011,0.000414919,0.000359107,4.17E-05,-0.000399264,-0.000398847,2.72E-05,-5.15E-05,0.000226912,0.000586283,0.000328756,0.000208449,0.000434314,0.00011872,-0.000135442,-0.000268915,-0.000741984,-0.000463919,-0.00022775,-0.000690247,-0.000672733,-0.000753564,-0.000660785,-0.000900478,-0.000427411,-0.000682386,-0.000361503,-0.000185422,-0.000686001,-0.001036965,-0.002167832,-0.002424037,-0.000139518,0.003085555,0.002445531,0.001569552,-0.00310894,-0.000424987,-0.000175432,-0.000282789,0.000395624,9.28E-05,-0.000902964,-0.000387985,0.000279763,-0.000541551,-0.000305636,-0.000402211,0.000478162,0.000386297,0.000468433,-0.000588481,0.000718051,0.001794368,-0.002835299,0.000544572,-0.00159467,-0.000921235,-0.00124449,-0.000450402,-0.00010487,-0.000686311,-0.000374424,-0.000833293,0.00075909,0.000867376,0.00083441,0.000886562,0.00162303,0.001619064,0.001918754,0.001504159,0.000916754,-0.001061263,-6.46E-06,2.29E-05,-0.000948602,0.001030971,0.000487948,-0.000778983,-0.001041241,-0.001032805,-0.001654172,-0.001566379,-0.000481086,-0.00015406,0.000372867,0.000760241,0.000697026,0.000844549,-0.001677011,0.000871299,0.000214662,-0.000141934,-0.000892175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000222137,-0.002290366,0.001934502,0.002114008,0.001307493,0.001891252,0.001731064,0.001674771,0.001496296,0.001221704,0.000601536,0.000410484,8.48E-05,0.000174074,0.000530377,0.000104288,0.0007154,0.000464878,-2.52E-05,-0.000375931,0.000146198,0.000820525,0.000114416,-0.000536805,-0.000665954,-0.001889472,-0.002328671,-0.001592998,-0.001166524,0.000102456,1.58E-05,0.000579991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000967628,0.001208844,0.000268199,-0.000596599,8.65E-05,0.000617878,0.001097127,0.000390258,0.000383363,0.000118407,-1.26E-05,7.08E-05,-0.000283317,0.000166985,-0.000398393,0.000154383,-0.000263211,5.92E-05,0.000151291,0.00026252,-0.000266358,0.00040646,0.000105541,-3.93E-05,8.73E-05,-0.000290851,-0.000931296,-0.000590774,-0.001754761,-0.000830314,-0.000142947,-0.000449561,-0.000802312,-0.000748913,-0.00077119,0.000547145,-0.000881425,-0.000460683,3.37E-05,0,0,0,0,0,0,0,0,0
8,49.19577442,0,0,0,0,0,6.45E-05,0.000134792,0.000128504,0.000213188,0.000128479,0.000121312,-0.000113505,0.000305506,0.000591485,0.000681288,0.000689199,0.000465919,8.26E-05,-0.000386974,-0.000592567,-0.001113145,-0.001181345,-0.001107922,-0.000925128,-0.000774556,-0.000527619,-0.000423929,-0.00039714,-0.000162319,0.000197946,0.000688177,0.000912748,0.00046037,0.000871526,0.001223362,0.001121262,-9.08E-05,-0.002071707,-0.002218846,0.000470762,0.002740528,0.001884159,0.000842165,0.000357381,-0.000725945,-0.000875543,-0.000498086,-0.000258624,-5.22E-05,2.47E-05,8.76E-05,-0.000184932,-0.000301938,-0.000100825,-0.000189907,1.66E-05,-0.000122288,0.000663907,0.000252444,0.001081468,0.000343925,0.000414041,-0.000356906,-0.00109096,-0.000698653,-0.001547116,-0.00092372,-0.001222158,-0.001317912,-0.001143225,-0.000580582,3.30E-05,0.000258514,0.000433915,0.000636383,0.000978941,0.00125443,0.00161033,0.001332671,0.001088267,-0.001780012,-0.000250147,0.000149096,-0.001691017,0.000172869,-0.000114276,-0.000777703,-0.000473976,-0.000849299,-0.000327911,-0.000640554,-0.000300012,-0.000172507,4.82E-05,0.000567001,0.000958407,0.000304854,0.000892118,0.000209152,0.001150924,0.00065141,0.000316006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000311387,-0.000425139,0.001251095,0.000827926,0.001358746,0.000800606,0.001088686,0.000887804,0.000757553,0.000438142,-0.000208345,0.000361016,2.49E-05,-0.000211736,0.000231844,-7.42E-07,-6.88E-05,-0.000117856,-0.00041017,-0.000806425,-0.000862692,-0.00044926,-0.000353653,-0.000221692,-0.000278955,-0.000111907,-0.000643197,-0.000441696,-0.000276004,0.000176848,0.000442543,0.000764595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001143191,0.00072021,0.000917317,0.000612777,0.000806202,0.000433946,0.00029459,0.000204142,-0.000184038,5.24E-05,-0.000112742,-0.0003113,-0.000411797,-0.00044621,-0.000467396,-0.000288577,-0.000671962,-0.000457727,-0.000606846,-0.00099008,-0.000822147,-0.00068899,-0.000212035,-0.000122929,-0.000412547,-0.000432212,-0.000428003,0.000207425,-0.000320085,-0.00018469,-0.00031955,0.000388252,-0.000284551,-0.000478128,0.000382504,0.000572323,0.001133311,0.000466051,0.001114926,0,0,0,0,0,0,0,0,0
9,48.49541836,0,0,0,0,0,-1.61E-05,0.000292805,-0.000616763,0.000474332,0.000188631,0.000300209,-0.00020669,0.000393118,0.000312518,0.00078607,0.000441427,0.000634085,1.72E-05,-0.000467753,-0.001022812,-0.001124424,-0.000951523,-0.000941428,-0.000906342,-0.000820561,-0.000363607,-0.000396249,-0.000386715,-0.000342295,-0.000193646,0.000326638,-0.000207945,1.37E-05,3.05E-06,-0.000245128,-0.000110235,-0.00081553,-0.002611147,-0.002691557,0.000595854,0.003866958,0.003612702,0.002212588,0.0013571,-0.001332146,-0.000856244,-0.00108057,-0.00138128,-0.000830497,-0.001169644,-0.00106204,-0.000756242,-0.000255788,-0.000566464,-5.43E-05,0.000279993,0.000530506,4.41E-05,-0.000297789,-0.000401755,0.000465759,-0.001457851,0.000203162,-0.000157131,-0.000615078,0.000387341,0.000136993,-0.000174364,-0.000156525,-0.000452002,-0.000236358,-9.08E-05,0.000125307,-3.52E-06,0.000455508,0.000797794,0.000579809,0.000536532,0.000606217,0.001412769,0.000373051,-0.001350749,-0.001155606,8.16E-07,0.000614325,0.000514453,0.000484253,-0.000972384,-0.001238697,-0.001464191,-0.002217554,-0.000959719,-0.000314173,0.000826502,0.001114925,0.002220386,0.001441529,0.002540339,3.49E-05,-0.000217952,0.000802632,0.00059261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002210001,0.000856485,0.001300687,0.0018746,0.001549028,0.000984504,0.000602477,0.001043758,0.000692212,0.000455228,0.000611253,0.000374932,-0.000407631,-0.00023041,0.000349641,0.00020111,-0.000587662,0.000107291,-0.000310183,-0.000423945,-0.001089912,-0.000759737,-0.000731255,-0.0005848,-0.000502402,-0.001535834,-0.002203916,-0.001927257,-0.00058099,-0.000691235,-0.000193763,0.00092532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000712007,6.93E-05,0.000952684,0.000568685,0.000597868,0.001348207,0.000420221,7.33E-05,0.00015189,0.000535002,-6.39E-05,0.000196214,0.000276728,-0.000152049,-0.000383165,6.74E-05,-0.000165435,-0.000242928,-0.000421488,0.000309836,-0.000267824,0.000199092,0.000219335,0.000474384,0.000929702,0.000521658,0.000233915,0.000531148,-0.000898276,-0.000634079,-0.000712182,0.000345212,-0.000320285,-0.000555124,-0.000955282,-0.000334405,-6.94E-05,-0.000324053,-0.001370785,0,0,0,0,0,0,0,0,0
10,47.80994818,0,0,0,0,0,0.000144256,-0.000252555,-0.000336164,-4.39E-05,-0.000190141,0.000103046,-0.00050134,1.38E-05,4.15E-05,0.000273128,0.00024494,0.000188143,-7.23E-05,-0.000297503,-0.000550262,-0.000808875,-0.000854481,-0.000721885,-0.000804667,-0.000666882,-0.000656979,-0.000331973,-0.00015427,-3.00E-05,0.000251652,0.000539021,0.00070616,0.00032385,0.000713847,0.000576945,0.000436605,-0.001203517,-0.002666468,-0.001998496,0.000566404,0.003334406,0.003073983,0.002236598,0.001438984,-0.000311591,-0.000360954,-0.000627806,-0.000701129,-0.000595256,-0.00085639,-0.000781715,-0.000543796,-0.001176619,-0.000864951,-0.000660082,-0.000693605,-0.000394474,-8.42E-05,-0.000191169,0.000251122,-0.001387362,-0.000968824,0.000602895,-0.000445147,-0.000943858,-0.000653665,-0.000923794,-0.001087215,-0.001239438,-0.000382405,-0.000383138,-2.23E-05,0.000654022,0.001364929,0.001124138,0.00159705,0.001435571,0.001262647,0.001681905,0.002299038,0.000348603,-0.001309917,6.14E-05,-0.001139685,0.00102434,-0.00022635,-0.000921387,-0.001000528,-0.000799311,-0.000463616,-0.000812544,-0.000331562,-0.000426551,0.000608244,0.000341757,0.001066428,0.000343597,0.000614713,0.001080002,0.000615514,0.000955041,0.000373509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.34E-06,0.000368968,0.000606609,0.000836846,0.001035055,0.000681763,0.000876767,0.000923968,0.000987137,0.000481737,0.00030616,-6.81E-05,-7.50E-05,0.000307909,0.000753583,0.00011154,1.20E-05,0.000553749,0.000224087,5.12E-05,-0.00044114,-0.000493336,1.30E-05,-0.000794965,-0.000899522,-0.000672511,-0.001279999,-0.000943152,0.000437716,-0.000170299,-0.000731178,-0.000353054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002806281,0.002654735,0.002197427,0.001398408,0.00119678,0.001469261,0.000967457,-0.000192503,-0.00014048,2.35E-05,-0.000278968,-0.000707128,-0.000555725,-0.000558147,-0.000241704,-0.000764258,-0.000533628,-0.00083216,-0.000914772,-0.001262666,-0.001452077,-0.000871109,-0.001387166,-0.00047054,-0.001009605,-0.000496589,-0.001200233,0.000118543,-0.001235755,-0.000859133,-0.000162079,-0.000240776,0.000576516,-0.000151801,0.000845575,0.000901856,-4.99E-05,0.000628895,-0.000415083,0,0,0,0,0,0,0,0,0
