Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,16.05665961,0,0,0,0,0,-0.002097769,0.002071756,0.000257793,0.00154403,-0.000438328,0.001104248,0.000775256,0.001403787,0.002426698,0.00165141,0.002209129,0.001018031,-0.001022866,-0.002725397,-0.003725906,-0.004016308,-0.002803246,-0.001728302,-0.001254735,-0.000216562,3.93E-05,0.000590224,0.000903782,0.00068042,0.000792277,0.001564531,0.00176074,0.001549068,0.001778525,0.00203119,0.002085244,-0.000374716,-0.00327838,-0.005288565,-0.001981052,0.003130494,0.005377557,0.006444641,0.008168793,0.000556755,0.000572503,-0.000687092,-0.001696959,-0.002078443,-0.002419641,-0.002217699,-0.002558579,-0.002533902,-0.001440738,-0.002274719,-0.000574794,0.000640299,-0.002001551,0.000345546,0.001576178,0.002450167,-0.005602912,0.00174728,0.001779229,-0.000572154,-0.000264128,-0.001725474,-0.002420341,-0.001110651,-0.001264164,-0.000268762,0.001060727,0.000510264,0.000971413,0.002153764,0.003712954,0.003251471,0.003171588,0.001953461,0.001890913,-0.005774941,-0.002128107,-0.001909902,-0.005033149,0.000166411,-0.002483475,-0.004113842,-0.004292287,-0.005016524,-0.003247599,-0.001203463,-0.00312792,-0.000126097,-0.001758353,0.000538204,0.003960925,0.001393576,0.005808469,0.006255807,0.002268044,0.003887895,0.004076283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004682557,-0.006188217,0.000987707,-0.001333237,0.000387403,-0.001585735,-0.001081459,-0.001167469,-0.00025684,-0.001362707,-0.002717334,-0.002199204,-0.001968174,-0.00271269,-0.000364872,-0.000139738,-0.0016769,-0.002049604,-0.000453665,0.00078919,0.001370615,0.000653518,6.93E-05,0.000874848,0.002346113,0.001569636,0.00309819,0.003092142,2.29E-05,0.002825805,0.000460989,-0.001336426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001180672,0.004126174,0.002378817,0.002073274,-0.000126353,-0.001189731,0.000186373,-0.001882229,-0.002481775,-0.001269615,-0.002159238,-0.001913832,0.000434168,-0.001120617,-0.002003244,-0.000811953,-0.001904048,-0.001063765,-0.001066666,0.000122438,-0.001314662,0.000924794,4.56E-05,0.000620949,-0.000358718,-0.000306877,0.000871378,0.000542647,0.001904942,0.002894265,0.002049628,0.002994338,0.002021012,0.001858662,0.001680201,0.002734276,0.00557292,0.003418812,0.007521162,0,0,0,0,0,0,0,0,0
2,17.0972285,0,0,0,0,0,-0.001235204,0.001630599,9.39E-05,-0.000349481,0.000796981,0.000188705,0.000243734,0.001108725,0.000849329,0.001653315,0.001554136,0.000968216,-0.000225554,-0.001138928,-0.001839195,-0.002292569,-0.002291347,-0.001568707,-0.00143163,-0.000762748,-0.000360816,0.000798066,0.00107256,0.000544998,0.001008483,0.001598987,0.002379557,0.001889463,0.002539786,0.001398574,0.002282198,0.000814893,-0.003403117,-0.00600098,-0.003432756,0.001694701,0.002468928,0.004933746,0.00933823,0.00031883,-0.000512885,-0.000307435,-0.000957493,-0.001140255,-0.000531634,-0.000489794,0.000610627,0.000234648,-0.000168493,-0.000167115,0.000510805,0.002148473,0.000119611,0.002247133,0.003224253,0.001675595,-0.003140763,-0.002760468,-0.002540809,-0.001982392,-0.002324032,-0.003034015,-0.004840994,-0.002440796,-0.001846324,-0.002630969,-0.001081219,-0.001067657,-0.000864098,0.002116065,0.002464037,0.002142599,0.002027835,0.001044721,0.001160639,-0.005848877,-0.00200629,-0.001796134,-0.000859759,-3.03E-05,-0.002281499,-0.000866093,-0.004133369,-0.004365408,-0.004261157,-0.003396104,-0.000994846,8.82E-05,0.001185504,0.003005174,0.007874449,0.004066259,0.005734556,0.005828556,0.003372532,0.002401696,0.00111843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007880273,-0.003573448,0.00112019,0.001762748,0.0039957,0.001722925,0.001826542,3.93E-05,-0.000501249,-0.001176005,-0.001682783,-0.001403444,-0.001173157,-0.003027634,-0.000903552,-0.001295957,-0.002039746,-0.002684062,-0.001154715,0.000127926,-0.001205175,-0.002876464,-0.000584365,-0.000526078,0.000976705,0.001651468,4.37E-05,0.000322952,0.000758335,0.00076004,0.000976933,0.001977956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001450811,0.003228739,0.002305905,0.001227428,-0.000265017,-6.52E-05,0.00024901,-0.000498066,-0.000704597,-0.000278959,-0.000468145,-0.000307898,2.44E-05,0.001033797,-0.002190206,-0.001657209,-0.000524469,0.001283633,0.001353,-0.000866708,0.000903002,0.000345217,0.001160638,0.000666053,0.000461137,0.000381148,0.000353335,0.001202276,0.000832991,0.000250216,0.001955329,0.001808044,0.000245681,0.002455805,0.002395023,0.001038889,0.003212274,0.003559429,0.001359727,0,0,0,0,0,0,0,0,0
3,16.83428419,0,0,0,0,0,0.004152378,0.002411142,0.002186477,0.001962838,0.001565991,0.002253439,0.001750942,0.001536515,0.00155245,0.002098391,0.001904232,0.001054758,-0.000551164,-0.001695266,-0.002792001,-0.004163343,-0.003246899,-0.00342469,-0.002493507,-0.002715965,-0.002698835,-0.001791663,-0.001494149,-0.00165334,-0.001208494,-0.000442909,-0.000316763,-0.001186653,-0.00051681,-0.000574747,-0.000676676,-0.001880583,-0.004742963,-0.004749474,0.000714037,0.00564759,0.004780283,0.004364346,0.005234746,0.002499133,-1.70E-05,0.001104524,0.00017785,-0.00023535,0.000477697,-0.001086147,-0.001188113,-0.002092226,-0.003177978,-0.002548314,-0.003234192,-0.002363481,-0.001448887,0.000666646,0.000267643,-0.001265768,0.001661163,-0.001235794,0.001332986,-0.000547491,-0.002642452,-0.002877615,-0.004356063,-0.002591241,-0.002373581,-0.001006547,0.000557235,0.000693293,0.001289177,0.0028279,0.003216236,0.003992785,0.005380156,0.004919761,0.002651378,-0.002844135,-0.002547715,-0.001201582,-0.002415802,-0.00129863,-0.002704736,-0.002902758,-0.003527227,-0.00399915,-0.003862488,-0.002048332,-0.001667781,-0.000955556,-0.001140268,6.46E-05,0.000707469,0.000452139,0.001804919,0.004005834,0.00394427,0.002795769,0.002508452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001817667,-0.003419478,0.001893314,0.001788028,0.002625619,0.001878059,0.000698054,0.000847668,0.000887489,-0.000497447,-0.000705343,-0.001247607,-0.000401353,-0.00118093,-0.000466847,-0.000217586,-0.000359228,-0.001162604,-0.000960047,-0.001048912,-0.001208884,-0.001296731,2.66E-05,0.000141241,0.001672165,0.000513029,0.00181151,0.001360163,0.000825315,0.001084672,0.001385644,0.000659642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001437529,0.001155808,0.00160083,0.000297944,-0.000632708,-0.000282647,0.000461897,-0.000526776,-0.001111283,-0.000158477,-0.001109857,-0.000245122,-0.000300595,-0.000432818,-0.000519337,0.000227209,-6.31E-05,0.000630248,0.000346289,-0.000537108,0.000128554,0.000145169,-0.000381852,0.000215558,-0.000806024,-8.52E-05,-0.000346426,-0.000317091,0.000205757,0.001164356,-0.000417863,0.00187437,0.001398323,0.001193571,0.002032177,0.001812426,0.002714781,0.002497126,0.002798873,0,0,0,0,0,0,0,0,0
4,15.39772375,0,0,0,0,0,0.000715626,-0.00041721,0.000815519,0.001792987,0.001409286,0.001958696,0.002496641,0.002917701,0.00251937,0.003395761,0.002304613,0.002039042,6.21E-05,-0.001456917,-0.002251098,-0.00306004,-0.002637968,-0.002567014,-0.00196219,-0.001623326,-0.001947258,-0.001436621,-0.000756662,-0.001187799,-0.000930447,0.000254586,-0.000326395,-0.000691419,-0.000187817,0.000115657,-0.000100478,-0.002005478,-0.006383195,-0.007663166,-0.000815889,0.006023458,0.005961649,0.004603266,0.004562889,0.000340056,-0.001209072,-0.000760732,-0.001152698,-0.00067811,8.00E-05,-8.43E-05,-0.000678034,-0.00111455,-0.000675305,-0.001230681,-0.000593061,0.001184163,-0.000422871,0.000398418,0.001638285,0.001536193,-0.003825303,-0.002252272,0.000157894,-0.001502405,-0.002283241,-0.002889203,-0.003908035,-0.002537249,-0.002520042,-0.001099346,0.00011328,0.00021223,0.000369536,0.001123295,0.00238917,0.002850778,0.003343657,0.003420154,0.002345443,-0.003704434,-0.001844686,-0.001602917,-0.002657093,0.001894766,0.000125593,-0.001868493,-0.002539548,-0.004323659,-0.00390083,-0.002380994,-0.001100833,0.000171868,0.001238512,0.00142893,0.002349146,0.002218515,0.003440306,0.000220614,-0.000450382,0.004133722,0.005488575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001692251,0.001421085,0.003438232,0.003161874,0.002262154,0.002603294,0.00140555,0.00077941,0.001771235,-0.000338815,4.48E-05,-0.000321063,-0.00065472,-0.000883232,-0.00023268,7.40E-05,-0.000435481,0.000271077,0.001553879,0.002056931,0.000946088,-0.001411033,-0.001316903,-0.000836745,-0.000988098,-0.00065264,-0.000899227,-0.00218142,-0.001748428,-0.002404014,-0.001529444,-0.000461959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000945522,0.00132448,0.000805628,-0.002424627,-0.002829628,-0.00043257,0.000261567,-0.000159322,-0.000415621,0.000483588,0.000329478,-1.99E-05,0.000817502,0.00083621,8.71E-05,0.0016648,0.000484632,0.001371526,0.001481796,0.002032067,0.001205361,0.001625895,0.001521943,-0.000576424,-0.001283574,-0.000335693,-0.00112467,-0.000471581,-1.12E-05,-0.000728528,-0.002098971,-0.000858573,0.001000006,-8.84E-05,-0.000362367,3.36E-05,8.94E-05,-0.000597913,0.000725334,0,0,0,0,0,0,0,0,0
5,17.16508059,0,0,0,0,0,0.000688923,0.000926688,0.001334854,0.000592715,0.000455748,0.00095284,0.00119932,0.001480295,0.001260779,0.00122371,0.001249947,0.001098389,0.000300614,-0.000210785,-0.000910146,-0.001397225,-0.001308899,-0.001661334,-0.001580451,-0.001736401,-0.001545029,-0.001501057,-0.001417243,-0.001302071,-0.001231793,-0.000760678,-0.00060007,-0.001070467,-0.000688297,-0.000185925,-0.000523153,-0.000684687,-0.001742335,-0.001949338,-0.000703159,0.000383308,-0.000141198,0.000514311,0.001590471,0.000434118,-9.16E-05,0.000570846,0.000113008,-0.000143753,0.000763188,0.000273203,0.000755971,0.000536315,0.000253566,0.000803905,0.000625275,0.000362793,0.000704479,0.000478573,0.001246763,-3.46E-05,0.001267368,-0.001214709,-0.000949898,-0.00177517,-0.003234949,-0.002432326,-0.002800808,-0.002128455,-0.001827086,-0.001673387,-0.000794848,-0.000807342,0.000154447,0.000489836,0.001581275,0.001298049,0.000911386,0.000194236,0.000181449,-0.002061291,0.001393171,-0.001104052,4.13E-05,5.13E-05,-0.001125872,-0.002398565,-0.002441646,-0.003041447,-0.002308095,-0.001077338,-0.000226756,0.000818339,0.001358839,0.002378319,0.003240909,0.002643645,0.003146014,0.001915658,0.001950735,0.001950222,0.003804859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001288792,0.001822057,0.00371353,0.004919205,0.004065471,0.003437289,0.002906789,0.002426018,0.001599896,0.000617339,0.000623399,0.000159305,-0.0001439,-5.63E-05,-8.32E-05,-0.000594919,-0.00100303,-0.000823649,-0.000345209,-0.000610355,-0.001825325,-0.001730932,-0.001452307,-0.002073286,-0.001802276,-0.002512058,-0.001449621,-0.001691533,-0.002021586,-0.001649678,-0.001144196,-0.000992228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000150071,0.001077045,0.000656177,-0.002010941,-0.000949198,0.000101097,0.000169502,-7.46E-06,-7.97E-05,0.000229521,-0.000687408,0.000114782,0.000338997,-0.000545963,-0.000980095,0.000461572,7.14E-06,0.001076908,0.000627169,0.000456282,0.000291507,0.001441316,0.000426266,0.000565261,0.000381028,-0.000410517,-0.000164643,-0.00037342,-0.000147041,0.000517063,-0.000241662,0.000996678,-0.00053431,-5.07E-05,0.001145012,0.001035209,0.001418406,0.00211667,0.001643368,0,0,0,0,0,0,0,0,0
6,16.1047843,0,0,0,0,0,0.001519302,0.001583416,0.001423626,0.000679007,0.000962525,0.000781939,0.000735041,0.000989309,0.001317979,0.001066825,0.00088929,0.000212312,-0.000480087,-0.000940348,-0.001349477,-0.001787397,-0.001885863,-0.001963018,-0.00175468,-0.001916773,-0.001526956,-0.001334608,-0.001120604,-0.001109839,-0.000591565,4.39E-05,-5.68E-06,-0.000135309,0.000161027,0.000536385,0.00065067,-0.000139617,-0.002074511,-0.003987907,-0.001518615,0.001259714,0.001058036,0.000608054,0.001866169,-0.000173033,-0.001052989,-0.00109632,-0.000816677,-0.001083972,0.000707607,0.000622011,0.000885554,0.001022068,0.001682869,0.001785407,0.00247517,0.00228505,0.002651642,0.003421064,0.005064346,0.002268845,0.000559492,-0.001330437,-0.003429946,-0.004561216,-0.004374952,-0.004450717,-0.004181178,-0.003252371,-0.002525323,-0.001960247,-0.000432569,0.000283016,0.001114138,0.001815673,0.001928503,0.002203715,0.002310512,0.001337664,-0.000428395,-0.005265959,0.000337423,0.000126755,-0.00284741,0.0001564,-0.001862746,-0.003312202,-0.00395136,-0.003854719,-0.003333185,-0.002667748,-0.002205281,-0.000780418,-0.000233265,0.00100988,0.001990592,0.001362325,0.002203376,0.005768431,0.003847028,0.002482861,0.003101969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000838002,0.001262044,0.002052032,0.00367103,0.003911907,0.003947572,0.003419612,0.002546193,0.002598021,0.000982464,0.000578732,-4.60E-05,0.00013589,-0.000312188,-0.00028166,3.67E-05,-0.000659991,-0.000536393,3.42E-05,0.000565893,-0.000280526,-0.000402243,-0.000170503,-0.000553786,-0.000611495,-0.00100724,-0.000410084,-0.000783216,-0.000656409,0.000207512,-0.000296496,-0.00149134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221033,0.002821596,0.001816858,0.000418904,4.86E-05,-0.000108217,-0.000215491,-0.00087226,-0.001278447,-0.000521775,-0.00153184,-0.00054941,-0.00027579,-0.000989534,-0.001682941,-0.000242814,-0.000944023,-0.000411268,-0.000509972,-0.0002959,-0.00010938,-3.25E-05,-0.000312642,0.00047232,2.57E-05,-0.000277783,-0.000552029,4.38E-06,0.000487067,0.00065662,0.000450425,0.001514264,-0.000138547,-1.51E-05,0.001780001,0.00151168,0.002471138,0.002296587,0.001212268,0,0,0,0,0,0,0,0,0
7,20.59191182,0,0,0,0,0,0.002917904,0.002331313,0.00231694,0.000935069,-0.000421542,-0.000137946,0.000574566,0.000878071,0.001228379,0.001509038,0.001291457,0.00057689,-0.000407431,-0.001265456,-0.002183079,-0.00239118,-0.002485124,-0.002033291,-0.002566824,-0.001943435,-0.001265717,-0.001511218,-0.000857801,-0.001045672,-0.000683688,0.000435677,-0.000346158,-0.00060126,0.000553606,0.001449983,0.001393789,-0.000303916,-0.004451565,-0.005173916,8.47E-05,0.004160353,0.004568172,0.004433246,0.003022321,-0.000338398,-0.000889092,-0.000928273,-0.001115727,-0.000822898,-0.002109305,-0.000669582,-0.000654273,-0.000343085,0.000330741,-8.41E-05,0.001295444,0.003564969,0.002511648,0.002619156,0.002897117,0.008575847,-0.009719983,-0.002008826,-0.000936114,-0.002956241,-0.000983204,-0.002692562,-0.002563104,-0.001785361,-0.002182818,-0.001550029,-0.000706325,-0.000347508,-6.35E-05,0.002363697,0.002465033,0.002032749,0.002100602,0.002244436,0.002740531,-0.008402222,-0.001963991,-0.001757824,-0.001784732,0.00174254,-0.000770534,-0.002672774,-0.005249196,-0.005840523,-0.005639064,-0.004952246,-0.003756335,-0.001096782,-0.000635399,0.001852471,0.004823539,0.002389938,0.005196931,0.005692962,0.002911274,-5.38E-05,0.003029254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20E-05,0.00243012,0.004886351,0.007405798,0.006034116,0.005088574,0.003937815,0.003753326,0.002316577,0.001838605,0.000449316,0.000476621,0.000137812,-0.00073487,-0.000158367,0.001613084,-0.001359739,-0.001299473,1.93E-05,0.000925662,0.000967053,-0.001167772,-0.000577791,0.000229339,-0.001093161,-0.000411506,-0.001005716,-0.002000155,-0.000945217,0.000110454,-0.000484743,0.000919867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00135666,0.001529926,-0.000883062,-0.003340313,-0.002804926,-0.002054166,-0.001055225,-0.000632082,-0.000856665,-0.000228272,-0.001043134,-0.00022867,0.000203879,-0.00050453,-0.002148624,0.000631554,-0.000284151,0.001136245,0.001303816,0.001155615,0.001539026,0.000634627,0.000118871,-0.001062691,-0.001183541,-0.001877084,-0.001126712,-0.002328932,-0.000814511,-0.001804333,-0.00226195,-0.000790989,-0.002610603,-0.000419121,-0.003609866,-0.00136173,0.000186225,0.001880139,0.002708224,0,0,0,0,0,0,0,0,0
8,15.69473319,0,0,0,0,0,0.006208229,0.005491358,0.003924489,0.00328239,0.002047062,0.002447166,0.001503923,0.001104087,0.001033241,0.001472074,0.000703099,-0.000345711,-0.001672109,-0.002493518,-0.002670595,-0.003626594,-0.003416569,-0.003835136,-0.003028735,-0.003284987,-0.003271736,-0.003136207,-0.00220433,-0.002681343,-0.002400032,-0.00173845,-0.00211423,-0.002823442,-0.002271571,-0.002130307,-0.002192402,-0.002179047,-0.003477072,-0.003376871,0.000935999,0.003874169,0.003951916,0.004992284,0.010522881,0.002001366,3.84E-05,-0.000391883,-0.000307783,-0.00100974,-0.001152569,-0.001538548,-0.002683199,-0.002431458,-0.002054781,-0.002910849,-0.002036591,-0.0002305,-0.002006905,-0.000542724,-5.15E-05,-1.72E-05,-0.003145399,0.000336849,0.002027387,-0.002632632,-0.001069442,-0.003147082,-0.003872245,-0.0026332,-0.001696355,-0.000255019,0.000755805,0.001743942,0.0015616,0.003318806,0.004213612,0.004481746,0.005324599,0.005380493,0.005860401,-0.003521464,-0.002601111,-0.002157831,-0.002355887,0.001900698,-0.002094573,-0.00497223,-0.00598046,-0.007311681,-0.005380463,-0.003678751,-0.00352273,-0.002171142,-0.002277808,-0.000289684,0.002233909,0.000335323,0.006082132,0.005455225,0.001700251,0.0022879,0.003168846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002259097,-0.005614631,0.003142235,0.00239747,0.002493174,0.000784706,0.000844756,0.000201919,0.000431278,-0.001151987,-0.00275595,-0.001490461,-0.001630192,-0.003089276,-0.002168646,0.000184201,-0.000425185,-0.001361625,-0.000645511,0.000849375,0.001203947,9.69E-05,0.000324106,0.000776041,0.001153579,-2.60E-05,0.002512281,0.001082919,0.001766195,0.001984659,0.001369757,0.000651918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003125842,0.002314291,0.002126195,0.002169632,-0.000332752,-0.000863532,-0.000939195,-0.00174465,-0.002162776,-0.000910932,-0.000992827,-0.000820538,0.001036922,-0.000744244,0.000271322,0.00163677,0.000383437,0.001381858,0.001272758,0.000868263,0.002224452,0.001365479,0.001331805,0.000639746,-0.000857634,-0.001591653,3.32E-05,-0.000897294,-0.000749549,3.78E-05,0.000468441,0.002352241,0.001429448,0.001492378,0.001679142,0.000504394,0.002538197,0.004330166,0.004709899,0,0,0,0,0,0,0,0,0
9,17.6119439,0,0,0,0,0,0.001707545,0.000645481,0.000592262,0.000786989,2.49E-05,0.00082848,0.000903763,0.001706987,0.001257974,0.001866863,0.000667743,-0.000554787,-0.00165509,-0.002537787,-0.003453369,-0.004051334,-0.00294002,-0.002473221,-0.002198913,-0.002034711,-0.001219224,-0.001138114,-0.000505105,-0.000629931,0.000304244,0.001422177,0.000831928,0.00083578,0.001362964,0.001970388,0.001370742,-0.000584804,-0.003730295,-0.00386544,0.001362694,0.004856783,0.0035301,0.00295102,0.002932369,-0.000264391,-0.001691399,-0.002225665,-0.002568856,-0.002150801,-0.00241845,-0.001283554,-0.000296832,-2.43E-05,0.00098519,0.000899989,0.00199968,0.003844533,0.001803789,0.00172368,0.002174536,0.006132733,-0.005542995,-0.001099779,-0.000576119,-0.00238601,-0.001246835,-0.002921554,-0.002276669,-0.001978347,-0.001334148,-0.001238316,-0.000338169,0.000121017,-0.000202991,0.00159322,0.001333896,0.00088025,0.000903131,0.000479081,0.000833282,-0.004706587,-0.001033793,-0.001794167,6.44E-05,0.001411982,-2.51E-05,-0.001901729,-0.003174043,-0.003739719,-0.003191576,-0.002419534,-0.001256769,-0.00054209,3.96E-05,0.001611992,0.003377595,0.00211698,0.003273306,0.00554733,0.002283171,0.002937984,0.002157063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003854364,0.005466111,0.005397309,0.005019745,0.003904949,0.002300179,0.00151527,0.001658928,0.000458506,-0.000341349,-0.000825954,-0.000878563,-0.001260639,-0.001632593,-0.001493029,-0.000520782,-0.001772322,-0.001417612,-0.001129673,-4.54E-05,-0.000732726,-0.000989096,-0.001731522,-0.000301653,-0.001019565,-0.000580488,-0.000777497,-0.001158326,-0.000340456,0.000597546,-0.000439251,0.000629217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000936383,0.002328109,0.000552278,-0.000143664,-0.000212403,-0.000106184,0.000249548,-0.000357798,-0.000438189,-0.000178691,-0.000664202,-0.000603796,0.00029731,-0.000479559,-0.001876197,-0.000331373,-0.000497934,-0.000458226,0.00017281,-0.000420154,0.00070675,0.000160815,-0.000253831,0.000351603,-0.000644148,-0.000964512,-0.000222107,-0.001900757,-0.000317186,0.000175496,-0.001001708,-0.001281291,-0.001216763,-0.000241445,-0.000182344,0.000365369,0.001642938,0.000993088,0.001884297,0,0,0,0,0,0,0,0,0
10,12.21942437,0,0,0,0,0,0.000183639,0.000717859,0.000473378,0.001049835,-0.000792452,0.000425642,0.000189453,0.001746795,0.002523204,0.002982471,0.001901944,0.001679577,-0.000330129,-0.001840447,-0.003433861,-0.004248418,-0.003713825,-0.003714599,-0.002606981,-0.002293337,-0.002135911,-0.000732546,-0.001012741,-0.000231518,0.000572612,0.000922213,0.001103598,0.001086901,0.001298769,0.001897134,0.001084921,-0.001049497,-0.006925101,-0.007294274,-0.001019582,0.004814594,0.006078126,0.007489303,0.002654285,0.002419224,0.000937644,0.001594902,0.001095617,0.000788955,-0.000763377,-0.001580601,-0.001232189,-0.002177619,-0.002647989,-0.002639059,-0.003008923,-0.001704128,-0.001616107,-0.00149713,-0.001904311,0.000326755,-0.002674949,-0.001020931,0.001610933,-0.001172348,-0.001704232,-0.001608053,-0.003740576,-0.002377769,-0.001629319,-0.000628913,0.000516156,0.001073631,0.00033719,0.002391147,0.003012704,0.003293761,0.004459427,0.004683964,0.004221745,-0.000841506,-0.000325991,-0.003282895,-0.002210364,0.000599373,-0.001279663,-0.002977892,-0.005299331,-0.005394307,-0.00533725,-0.003756809,-0.001748881,-0.000578358,-0.001060766,0.001208036,0.001618725,0.002304785,0.002334966,0.001193855,0.004149811,0.004119264,0.005930835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000390565,0.001492666,0.002572598,0.007058406,0.005060708,0.004483359,0.003895777,0.002701257,-0.000158727,0.000183385,-0.000738967,-0.001589573,-0.001306717,-0.002417191,-0.001438031,-0.000355822,-0.000273476,-0.001432248,0.000552924,0.001427772,0.000152601,-0.001249108,0.000889592,-0.001323398,-0.000253284,-0.00109073,-0.000747952,-0.00072856,-0.000162989,-0.001423395,-0.000693598,0.001078269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004607515,0.005613263,0.004720573,0.001694183,-0.000137921,0.001874984,0.001240991,-0.000340305,-0.001344847,9.33E-05,-0.001810109,-0.000338225,-0.000534115,-0.001165181,-0.001519093,0.000354455,0.000368011,0.001560915,0.001492014,-0.000665622,0.000217348,0.000431039,-0.001428552,-0.000393459,-0.003156738,-0.003322596,-0.002708077,-0.00169681,-0.001205457,-0.000241684,-0.002199414,0.000858462,0.001318812,-0.000440546,0.000831274,0.001071741,0.001577705,0.003639647,0.002489132,0,0,0,0,0,0,0,0,0
