Model,Intercept,WVL_366,WVL_376,WVL_385,WVL_395,WVL_405,WVL_414,WVL_424,WVL_434,WVL_443,WVL_453,WVL_463,WVL_472,WVL_482,WVL_492,WVL_502,WVL_511,WVL_521,WVL_531,WVL_541,WVL_550,WVL_560,WVL_570,WVL_580,WVL_589,WVL_599,WVL_609,WVL_619,WVL_628,WVL_638,WVL_648,WVL_655,WVL_658,WVL_665,WVL_668,WVL_675,WVL_685,WVL_694,WVL_704,WVL_714,WVL_724,WVL_734,WVL_743,WVL_753,WVL_763,WVL_773,WVL_782,WVL_792,WVL_802,WVL_812,WVL_821,WVL_831,WVL_841,WVL_850,WVL_860,WVL_870,WVL_880,WVL_889,WVL_899,WVL_909,WVL_918,WVL_928,WVL_938,WVL_947,WVL_957,WVL_967,WVL_976,WVL_986,WVL_995,WVL_1005,WVL_1015,WVL_1024,WVL_1034,WVL_1044,WVL_1053,WVL_1063,WVL_1072,WVL_1082,WVL_1091,WVL_1101,WVL_1111,WVL_1120,WVL_1130,WVL_1139,WVL_1149,WVL_1158,WVL_1168,WVL_1177,WVL_1187,WVL_1196,WVL_1206,WVL_1215,WVL_1225,WVL_1235,WVL_1244,WVL_1253,WVL_1253,WVL_1263,WVL_1263,WVL_1273,WVL_1283,WVL_1293,WVL_1303,WVL_1313,WVL_1323,WVL_1333,WVL_1343,WVL_1353,WVL_1363,WVL_1373,WVL_1383,WVL_1393,WVL_1403,WVL_1413,WVL_1423,WVL_1433,WVL_1443,WVL_1453,WVL_1463,WVL_1473,WVL_1483,WVL_1493,WVL_1503,WVL_1513,WVL_1523,WVL_1533,WVL_1542,WVL_1552,WVL_1562,WVL_1572,WVL_1582,WVL_1592,WVL_1602,WVL_1612,WVL_1622,WVL_1632,WVL_1642,WVL_1652,WVL_1662,WVL_1672,WVL_1682,WVL_1692,WVL_1702,WVL_1712,WVL_1722,WVL_1732,WVL_1742,WVL_1752,WVL_1762,WVL_1772,WVL_1782,WVL_1792,WVL_1802,WVL_1811,WVL_1821,WVL_1831,WVL_1841,WVL_1851,WVL_1861,WVL_1868,WVL_1871,WVL_1873,WVL_1878,WVL_1888,WVL_1898,WVL_1908,WVL_1918,WVL_1928,WVL_1938,WVL_1948,WVL_1958,WVL_1968,WVL_1978,WVL_1988,WVL_1998,WVL_2008,WVL_2018,WVL_2028,WVL_2038,WVL_2048,WVL_2058,WVL_2068,WVL_2078,WVL_2088,WVL_2099,WVL_2109,WVL_2119,WVL_2129,WVL_2139,WVL_2149,WVL_2159,WVL_2169,WVL_2178,WVL_2188,WVL_2198,WVL_2208,WVL_2218,WVL_2228,WVL_2238,WVL_2248,WVL_2258,WVL_2268,WVL_2278,WVL_2288,WVL_2298,WVL_2308,WVL_2318,WVL_2328,WVL_2338,WVL_2348,WVL_2358,WVL_2368,WVL_2378,WVL_2388,WVL_2398,WVL_2408,WVL_2418,WVL_2428,WVL_2437,WVL_2447,WVL_2457,WVL_2467,WVL_2477,WVL_2487,WVL_2497
1,1.900575956,0,0,0,0,0,0.00017661,0.000239994,1.01E-05,-0.000187926,-0.000424961,-0.000461421,-0.000479115,-0.000452936,-0.000287672,-0.00035434,-0.000131534,-0.000178082,1.89E-05,0.000142281,-7.45E-05,1.72E-05,5.20E-06,0.000108514,7.52E-05,0.000127799,0.000326168,0.000357422,0.000320579,0.000400556,0.000603758,0.000691681,0.000686912,0.000572663,0.000666043,0.000726292,0.00071077,0.000432719,-0.000263782,-0.000884651,-0.001034962,-0.000410058,0.000302616,-8.48E-05,0.000812948,0.000247293,-1.57E-05,-5.35E-06,-0.000127493,-5.46E-05,-1.45E-06,6.74E-05,0.000204382,9.63E-05,8.31E-05,0.000244116,0.000168838,9.51E-06,7.30E-05,-8.65E-05,-0.000136547,7.48E-05,-0.000532717,-0.000317131,8.11E-05,-0.000133695,0.000359261,0.000121531,0.000223706,0.000188743,-6.39E-05,-0.000142417,-0.000195095,-0.00012345,-0.000222186,-6.85E-06,-0.000245842,-0.000347783,-0.000401787,-0.000307392,-4.00E-05,0.000491704,-0.000629633,-0.000102043,0.000371437,0.000485994,0.000145196,0.000292702,0.000172594,0.000115475,7.22E-05,-0.000133855,-0.000118073,-0.000125144,-0.000147775,0.000113667,0.000420739,2.17E-05,0.00060358,0.000509423,-2.49E-05,-0.000368856,-0.000558248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000663123,-0.000803448,-0.000846263,-0.000707061,-0.000852494,-0.000845192,-0.000619782,-0.000402867,-0.00067888,-0.000440773,-0.000240504,-0.000134026,-9.31E-05,6.12E-06,0.000195151,9.66E-05,8.51E-05,0.000144863,0.000276026,9.07E-05,0.000112946,0.000166269,0.000253046,0.000215199,0.000368083,0.000348108,-0.000193813,-0.000135308,-4.56E-05,0.000772776,0.000587444,0.000811806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000326747,-0.000314941,-0.000522921,-7.32E-05,4.77E-05,4.94E-05,-5.77E-05,0.000176526,0.000143598,-0.000134619,0.000273584,0.000411044,0.000238834,-3.59E-05,0.000262875,0.000216008,0.000153936,8.31E-05,0.000174775,0.00010455,0.000142111,8.87E-05,0.000221287,7.75E-05,0.000309623,0.000338519,0.000205692,-4.99E-05,-0.000213546,-0.000123981,0.000332649,3.60E-05,-9.88E-05,-0.000181891,9.57E-05,-7.52E-05,0.000182078,-0.000514556,-0.00016596,0,0,0,0,0,0,0,0,0
2,1.846336594,0,0,0,0,0,-0.000319193,-0.000238349,-0.000381546,-0.000316217,-0.000387048,-0.000222943,-0.000170192,-6.28E-05,1.22E-05,3.21E-05,7.10E-05,5.54E-05,0.000139305,0.000219016,0.000132748,0.000120274,4.16E-05,0.000199325,0.000247785,0.000249062,0.000266855,0.00037094,0.000404049,0.00047771,0.000572337,0.00052368,0.00068299,0.000631845,0.000664706,0.000624505,0.000726351,0.00036993,-0.000358983,-0.000896448,-0.000976355,-0.000520193,5.95E-05,0.000196159,-0.000157603,0.000224111,0.00026908,0.000219918,0.000176038,7.69E-05,0.000270963,0.000103277,-3.51E-05,-0.000179177,-0.000168899,-0.00019411,-0.000310067,-0.000233143,-0.000240464,-5.89E-05,3.30E-05,0.000221735,-0.000399626,4.28E-05,2.34E-06,0.000296127,0.00030349,0.0002763,0.000350161,0.000307284,0.000170159,0.00013912,4.86E-05,7.06E-05,-3.00E-05,-0.000105367,-9.90E-05,-3.05E-05,9.51E-05,0.000339941,-0.000227335,-0.000312899,-0.000164248,0.000327102,-0.000124213,-0.000263005,0.000262733,0.000543258,0.000509615,0.00066342,0.000309723,7.75E-05,3.17E-05,-0.000111512,-0.000227387,-0.00028938,-0.000610661,-0.00044802,-0.000829741,-0.000837039,-0.000322776,-1.71E-05,-0.000309675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000576487,-0.000220805,-0.000774807,-0.000838924,-0.000885913,-0.000745172,-0.000717279,-0.000584286,-0.000373915,-0.000309258,-0.000278914,-0.000207331,-9.39E-05,-4.65E-05,0.000171295,7.14E-06,0.000258492,0.000409924,0.000542356,0.000614107,0.000586054,0.000357951,0.000414781,0.000510711,0.000409154,0.000539288,0.000217446,0.000132985,0.00048745,0.000333543,0.000349027,0.000217337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000250011,-0.000244644,-0.000266252,-5.23E-05,5.06E-05,-5.12E-05,-0.000124047,4.13E-05,8.20E-05,-8.16E-06,0.000266707,7.80E-05,0.000107382,0.000180548,0.00027208,0.000139784,0.000110417,0.000215764,2.38E-05,0.000222021,4.56E-05,-0.000102188,1.48E-05,-0.000209417,-3.11E-06,0.000195548,6.60E-06,-4.39E-05,-9.18E-05,-0.000140906,4.23E-05,-4.26E-05,-0.000511694,-0.000294776,-0.00015333,-0.000316743,-0.000563976,-0.00041803,-0.000418699,0,0,0,0,0,0,0,0,0
3,1.467015435,0,0,0,0,0,-0.000514357,-0.00014084,-0.000192318,-4.22E-05,-5.14E-06,6.87E-05,2.04E-05,2.82E-05,5.64E-05,4.00E-05,3.29E-05,3.29E-05,5.75E-05,9.14E-05,0.000105426,0.000145942,0.000144109,0.000224593,0.000192434,0.000165333,0.000234791,0.000209796,0.000270866,0.000241421,0.00037383,0.000237242,0.00041664,0.000393922,0.000401649,0.000387948,0.000393556,0.000122429,-0.000386412,-0.000465362,-0.000605464,-0.00042363,-0.00022215,-0.000214868,-0.000251141,-0.000127733,-2.93E-05,0.000155638,0.000141864,0.000175634,0.000318458,0.000175979,0.000158684,0.000139712,0.000180071,0.000171921,6.19E-05,1.34E-05,8.24E-06,3.64E-05,3.85E-05,-0.000215855,0.000337159,-3.41E-05,-0.000143006,0.000212139,0.00027797,0.000180705,0.000245882,0.000234315,0.000178377,-3.05E-05,-0.000100708,-5.08E-05,-0.000270892,-0.000483162,-0.000453612,-0.000400608,-0.00036377,-0.000305701,-0.000607326,0.000238436,0.000630751,0.000351059,-0.00012918,-0.000545895,-0.000103151,0.000325414,0.000368144,0.000433304,0.000296661,0.000239634,0.000252778,8.61E-06,1.44E-05,-1.03E-05,-0.000194982,-5.56E-05,5.24E-05,-0.000552361,-0.000201322,4.38E-05,-0.000298292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000468302,-0.000431741,-0.000785018,-0.0006621,-0.000661274,-0.000715956,-0.000465104,-0.000431781,-0.000377608,-0.000398388,-0.000138037,-0.000148064,-0.000143595,3.45E-05,-2.46E-05,0.000101554,0.000152256,0.000344144,0.000457742,0.000523418,0.000717288,0.000471364,0.000407318,0.000271226,0.000383732,0.000226024,8.35E-05,9.00E-05,7.29E-05,0.000140405,-7.65E-05,1.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000289523,-0.000122813,-0.00021421,-8.50E-05,-5.20E-05,-0.000117248,-0.0001598,2.11E-05,0.000129564,9.44E-05,0.000221142,0.000140133,0.000227517,0.000257674,0.000415381,0.000140668,0.000233987,0.000165891,0.000304205,0.000173454,0.000196983,0.000163776,0.000236789,6.93E-05,0.000114431,6.51E-05,-7.21E-06,-2.82E-05,1.07E-05,-0.000127105,5.46E-06,-0.00014155,-0.000347281,-0.000284897,-0.000409317,-0.000169611,-0.000272905,-0.000420084,-0.000766169,0,0,0,0,0,0,0,0,0
4,1.255633718,0,0,0,0,0,0.000258854,0.000201732,-0.000211375,-0.000278815,-0.000376098,-0.000153407,-0.000222415,-0.000235152,-0.000195864,-0.000213455,-0.00015358,-0.000285773,-5.17E-05,0.000183324,0.000142313,0.000239536,0.000169608,0.000212497,0.000200042,0.000208259,0.000270062,0.000291893,0.000283909,0.000360907,0.000465594,0.000378457,0.000528825,0.000561378,0.000527308,0.000522173,0.000557625,0.000297368,-0.000397102,-0.000767141,-0.000858317,-0.000517556,-0.000120894,-0.000181045,-2.98E-05,0.000216365,7.87E-05,3.30E-05,7.62E-05,-5.56E-05,0.000254633,8.80E-05,-0.000118956,-0.000222736,-0.000140791,-0.000142681,-0.000155524,-0.000146987,-0.000405762,-4.16E-05,-8.04E-05,-0.000100492,0.00034233,7.29E-05,0.0001854,0.000317389,0.000386126,0.000283591,0.00044608,0.000323877,0.000316056,0.000311373,0.000163836,0.00034505,6.65E-05,-3.41E-05,9.79E-05,0.000122251,0.000142245,0.000251455,-0.000361537,-0.000186129,0.000136994,0.000279075,0.000106758,-0.00035307,-3.75E-05,0.000343624,0.000275,0.000518997,0.000148978,-0.000161057,3.21E-05,-0.00012989,-0.000316772,-0.000191784,-0.000563692,-0.000395196,-0.000598203,-0.000855439,-0.000666153,-0.000174618,-0.000706617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000430546,-0.000592987,-0.000420571,-0.000359945,-0.000787772,-0.000541706,-0.000617076,-0.000601245,-0.000515562,-0.000409432,-0.000398958,-0.000247321,-0.000154954,-7.91E-05,4.10E-05,-0.000187905,0.000234245,0.000320614,0.000508175,0.000719288,0.000777394,0.000526376,0.00049248,0.000443155,0.000665216,0.000453286,-2.02E-05,6.30E-05,0.000354061,0.00047788,0.000359794,0.000272067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000353219,-0.000242304,-0.000294193,-0.000162719,-1.58E-05,-0.000156311,-0.000257617,3.38E-05,6.33E-05,3.54E-05,0.000341586,0.000276859,0.000342954,0.000194198,0.000314086,0.000300901,0.000268694,0.000309057,0.000194575,0.000151019,0.000299068,6.24E-05,0.00013232,7.51E-06,-4.88E-05,0.000154255,-7.03E-05,-0.000522393,-0.000209462,-0.000475518,0.000139748,5.51E-06,-0.000506145,-0.000421019,-0.00037358,0.000188503,-0.000634576,-0.000341657,-0.000617781,0,0,0,0,0,0,0,0,0
5,2.098284072,0,0,0,0,0,9.73E-05,1.32E-05,0.000110398,4.90E-06,-0.00017926,-0.000209201,-0.000168828,-0.000115074,-3.73E-06,-6.65E-05,-0.000137833,-0.000149888,-0.000142404,-0.00015963,-0.0002162,-0.000212974,-6.70E-05,-1.81E-05,4.77E-05,6.90E-05,0.000160145,0.000258701,0.000240316,0.000386514,0.000444626,0.000755152,0.000473073,0.000515009,0.000523206,0.000620811,0.000654125,0.000428408,-0.000242451,-0.000751108,-0.000847916,-0.000471144,0.000195682,0.000107916,-0.000413977,0.000107582,0.000139136,0.000223192,0.000177535,0.000194947,0.000263765,0.00020081,3.96E-05,-0.00016528,-0.000161588,-0.000285566,-0.000200309,-0.000325264,-0.000288069,-0.000206281,-9.15E-05,0.00037506,-0.000869344,0.000287626,0.000430946,0.000202492,0.00039457,0.000235643,0.000360414,0.00024951,0.000176436,0.000172414,1.68E-05,8.10E-05,5.29E-05,8.80E-06,-2.83E-05,1.94E-05,0.000100244,0.000201439,4.96E-05,-0.000359079,-0.000428175,6.41E-05,-7.32E-05,8.42E-05,0.000300393,0.000365176,0.000598063,0.000539517,0.000463724,0.00020939,0.000299673,-7.75E-05,-0.000127603,-0.000119779,-0.000559891,-0.000339278,-0.000423254,-0.00109729,-0.000747892,-0.000276996,-0.000469121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000417009,-0.00034025,-0.000657447,-0.000848232,-0.000864349,-0.000830747,-0.000751402,-0.000520527,-0.000424483,-0.000482742,-0.000292297,-0.00011776,-0.000143494,-7.88E-05,6.22E-05,-3.97E-06,0.000125617,0.000279119,0.000274407,0.000440513,0.000592961,0.000432982,0.000254738,0.000468486,0.000516263,0.000556547,0.000376779,0.000178654,0.000289044,0.000215273,0.000440002,0.000258201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000292547,-0.000286158,-0.000359491,-7.58E-05,-0.000281921,-0.000280546,-0.000200837,8.88E-05,0.000125658,-1.65E-05,0.00021106,0.000219857,7.71E-05,7.93E-05,0.000145577,0.000193474,4.30E-05,0.000260005,0.000159934,0.000147788,0.000307125,1.28E-05,6.77E-05,-4.73E-06,1.74E-05,2.16E-05,7.16E-05,-0.000108788,-0.0001016,-4.26E-05,-6.31E-05,-5.30E-05,3.70E-05,-0.000199218,-0.000172746,-3.31E-05,-0.000303581,-9.45E-05,-0.000296798,0,0,0,0,0,0,0,0,0
6,1.845470201,0,0,0,0,0,5.43E-05,-0.000148371,-0.000346404,-0.000309027,-0.000302519,-0.000239657,-0.000193069,-0.000184826,-8.66E-05,2.68E-05,3.17E-05,-3.50E-05,1.43E-05,7.59E-05,2.90E-05,8.01E-05,0.000148603,0.00027546,0.000264422,0.000249207,0.000320607,0.000336934,0.000410185,0.000397272,0.000539011,0.000514786,0.000448489,0.000455452,0.000471872,0.000436549,0.000570652,0.000444419,-0.000141373,-0.000593698,-0.001068493,-0.000978359,-0.000304928,0.000283044,0.000631012,0.000557576,0.000315004,0.000239354,0.000124678,0.000132111,-5.42E-05,-0.000139877,-0.000137787,-0.00027788,-0.000270073,-0.000334395,-0.000281785,-0.000247187,-0.000399565,-0.000434948,-0.000513111,0.000354571,-0.000728823,0.000160523,0.000602159,0.000322769,0.00079127,0.000537472,0.000712323,0.000632746,0.000473064,0.000341759,0.000160802,0.000139953,-8.42E-05,-0.000286644,-0.000255783,-0.000314176,-0.000287302,-0.000165435,0.000176409,0.000136254,-0.000268936,-0.000110678,0.000268571,-9.85E-05,5.96E-05,0.000234637,0.000189613,0.000288533,0.00013912,-2.40E-05,3.88E-05,-0.000128071,-0.00010005,-7.26E-05,-0.000255545,-5.63E-05,3.19E-06,-0.000689604,-0.000625322,-0.000377924,-0.000654976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.48E-05,0.00020467,-0.000443728,-0.000559299,-0.00059256,-0.000786277,-0.000646297,-0.000499962,-0.000538196,-0.000562613,-0.000368694,-0.00016192,-0.000127919,2.72E-05,4.78E-05,2.89E-05,0.000139364,0.000211264,0.000400035,0.000509097,0.000635667,0.000481576,0.000567618,0.000300578,0.000367615,0.000338646,0.000215027,0.000106214,0.000268899,0.000257263,0.000307826,0.000695603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000620673,-0.000685335,-0.000613142,-0.000278671,-0.00010406,-0.000261637,-0.000347946,-4.41E-05,-5.25E-05,-7.17E-05,0.000106511,0.000131635,0.00032323,8.43E-05,0.000310457,0.000250444,0.000129814,0.000181668,0.000199499,0.000146041,0.000321288,0.000229341,0.00025683,0.000254819,0.000168667,6.76E-05,-5.52E-06,-0.000251768,-0.000300439,-0.000200046,4.31E-05,3.20E-05,-0.000157067,-0.000199011,-8.84E-05,-6.38E-05,-0.00019158,-0.000258837,-0.000805723,0,0,0,0,0,0,0,0,0
7,1.341336278,0,0,0,0,0,-0.000232027,-0.00014784,-0.000131704,-0.000153625,-0.000155243,-0.000172943,-0.000140202,-0.000109356,-8.62E-05,-0.000104913,-7.57E-05,-7.68E-05,6.76E-05,0.000160061,0.000109985,0.000140918,0.000163396,0.000293151,0.000302993,0.000270761,0.000348845,0.000361204,0.000349229,0.000385179,0.000408287,0.000522046,0.000412076,0.000431727,0.000423582,0.000471362,0.000463094,0.000275574,-0.000101956,-0.000519762,-0.001060319,-0.0010254,-0.000304276,-0.000131369,-0.000128962,0.000286934,0.000426484,0.000466953,0.000372991,0.000402726,0.000370986,0.000272606,9.29E-05,4.22E-05,-1.52E-05,4.64E-05,-0.000113976,-0.00022375,-0.000276225,-0.000253628,-0.000380419,-0.000102142,8.64E-05,-9.56E-06,0.00013066,0.000231403,0.000363903,0.00010378,0.000220265,0.000109913,0.000147474,3.13E-05,-0.00018676,-7.55E-05,-0.000221152,-0.00027932,-0.000321966,-0.000319494,-0.000247664,-8.87E-05,-0.000222648,0.000303701,-0.000219095,2.83E-06,0.000161156,-9.20E-05,2.66E-05,0.000226593,0.000246797,0.000375427,0.000138087,-4.38E-05,2.38E-05,-9.77E-05,-6.26E-05,4.88E-06,-8.46E-05,-0.000105316,0.000185284,-0.000191089,8.93E-06,0.000201526,-6.51E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00039942,-0.000641633,-0.00083714,-0.000757626,-0.000782525,-0.000747319,-0.000872517,-0.000491973,-0.00069004,-0.00035114,-0.000366674,-0.00014602,-0.000174312,-6.21E-05,-1.61E-05,-0.00010999,0.000138051,8.77E-05,0.000115598,0.000162242,0.000333422,0.000515839,0.000349457,0.000372805,0.000565793,0.000379194,0.000113775,8.48E-05,8.15E-05,0.000239396,0.000192078,0.00016924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000431824,-0.000315128,-0.000379097,-0.000271736,-0.000236589,-0.000289465,-0.000190911,-2.80E-05,-5.01E-05,-5.14E-05,0.000234166,0.000118518,0.000227796,0.000189415,0.000490495,0.000296943,0.000334572,0.000481081,0.000386392,0.000372081,0.000399068,0.0002866,0.000201783,0.000236975,0.000270235,0.000157223,0.000135322,-0.00014015,-1.81E-05,-2.74E-05,0.000238711,-8.89E-05,-0.000188087,-0.000283803,-5.53E-05,0.000152914,-0.000235092,-0.000165939,5.73E-05,0,0,0,0,0,0,0,0,0
8,1.809486582,0,0,0,0,0,-0.000704145,-0.000298437,-0.000337295,-0.000178757,-0.000141038,-2.53E-05,-3.31E-06,2.18E-05,-5.85E-07,8.62E-05,1.96E-05,-2.06E-05,2.18E-05,9.38E-05,5.73E-05,9.56E-05,9.29E-05,0.000196668,0.000221495,0.000283562,0.000303473,0.000315601,0.000379349,0.000393676,0.000475038,0.000470498,0.000519092,0.000471028,0.000515231,0.000551872,0.000592267,0.000343372,-0.000314062,-0.000816695,-0.000958016,-0.000431188,9.01E-05,0.00025295,-1.20E-05,5.30E-05,0.000188243,9.18E-05,0.000119715,0.000135762,0.000158954,4.32E-05,-3.13E-05,1.69E-05,9.84E-06,-1.30E-05,-6.32E-05,-4.35E-05,-0.000233848,-0.000195666,-0.000128125,9.58E-05,-0.000662454,0.000125763,0.000282039,0.000430516,0.000339696,0.000276908,0.000351133,0.000379726,0.000215237,0.000112327,-4.90E-05,-4.42E-05,-0.000214993,-0.000378292,-0.000263726,-0.000168395,-6.44E-05,-7.20E-05,-0.000201562,-1.17E-05,-6.15E-05,3.23E-05,-0.000136015,-8.20E-06,0.000257627,0.0003724,0.000402196,0.000512284,0.000229956,7.07E-05,4.44E-05,-0.000119345,-0.000133792,-0.000296939,-0.000646749,-0.00035199,-0.000355927,-0.000729861,-0.000400123,0.000209992,0.000127653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000152472,-0.000249027,-0.000540098,-0.000652836,-0.000782929,-0.000673538,-0.000638074,-0.000619358,-0.000477977,-0.00037956,-0.000247632,-0.000193835,-6.03E-05,-4.94E-05,4.18E-05,1.72E-05,0.000162956,0.000369989,0.000573443,0.000503782,0.000663267,0.00046016,0.000320665,0.000518783,0.000532086,0.000422203,0.000408202,0.00019697,0.000208007,0.00034479,0.000393522,0.000307914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00037829,-0.000345738,-0.000417,-0.000350476,-0.000308869,-0.000275441,-0.000343489,-0.000103286,-3.14E-06,-8.31E-05,0.000125538,0.000106046,0.00019943,0.000144466,0.000250576,9.65E-05,0.000181236,0.000147611,0.0002201,0.000335441,0.000163579,0.000123355,0.000157621,-7.41E-05,-4.42E-05,6.87E-05,-6.15E-05,-0.0002529,-0.000175125,-0.000267253,-8.38E-05,-0.000238115,-0.000306212,-0.000401542,-0.000431111,-0.000121342,-0.000480297,-0.000501847,-0.00032201,0,0,0,0,0,0,0,0,0
9,1.521214818,0,0,0,0,0,-0.000236478,1.10E-05,-0.000157641,-0.000206889,-0.000195836,-0.000361005,-0.000339486,-0.000294057,-0.000199301,-0.000254321,-0.00010356,-0.000151435,2.03E-05,0.000176086,7.18E-05,0.000206539,0.000138946,0.000228787,0.000156451,0.000125534,0.000250964,0.000305507,0.000277873,0.000316294,0.000475576,0.000409098,0.000454319,0.000490098,0.000451706,0.000560775,0.000636708,0.0006209,0.000255258,-0.000355162,-0.001126499,-0.000973149,-0.000254046,0.000396671,0.000197164,0.00057773,0.000762327,0.000516301,0.000464447,0.000459926,0.000498636,4.35E-05,-6.11E-05,-0.00010457,-0.000202404,-0.000269694,-0.000472139,-0.000753372,-0.000511113,-0.000619714,-0.00050638,-2.24E-05,-0.000139552,-0.00014601,-4.77E-05,0.000328967,0.000229651,0.000288569,0.000354991,0.000143331,0.000163689,-2.83E-05,-0.000207891,-6.27E-05,-0.000201507,-0.000309359,-0.000285853,-0.000232655,-0.000194971,1.88E-06,0.000247625,0.000166273,-0.000338382,0.000250412,0.000231314,2.11E-05,0.000393076,0.000600622,0.000550118,0.000691187,0.000354265,0.000186251,0.000161275,-3.09E-05,-9.20E-06,-7.51E-05,-0.00047807,-0.000189978,-0.000199686,-0.00073375,-0.000287503,3.19E-05,-0.000102378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142961,0.000426674,-9.62E-05,-0.000356592,-0.000596184,-0.00058796,-0.000685745,-0.000547935,-0.000783729,-0.00041024,-0.000387022,-0.000356212,-0.000224374,-6.36E-05,-7.50E-05,-0.000211329,0.000154442,0.000271247,0.000284792,0.000352384,0.000540174,0.000447259,0.000570956,0.00022398,0.00017093,0.000288131,-2.20E-06,-8.45E-05,0.000478214,0.000155726,0.000412649,0.000565409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000444676,-0.000440199,-0.000385759,-0.000197371,-0.000232665,-9.09E-05,-0.000252264,-2.31E-05,-2.27E-05,-1.10E-05,0.000285805,0.00020783,7.88E-05,0.00022207,0.000342995,0.000227125,0.000334219,0.000380264,0.000362611,0.000228815,0.000199834,0.000132602,9.41E-05,-6.11E-05,-6.57E-06,-1.14E-05,-0.000224282,-0.000227786,-0.000157537,-0.000244644,-0.000196039,-1.70E-07,-4.14E-05,-0.000346517,-0.000283305,-0.000229612,-0.000938862,-0.000248147,-0.000737897,0,0,0,0,0,0,0,0,0
10,1.381436773,0,0,0,0,0,-0.00042927,-0.000206585,-0.000300447,-0.00027073,-0.000125804,-0.000153,-9.04E-05,-3.83E-05,-3.24E-05,2.03E-05,-2.43E-05,-3.62E-05,4.01E-05,0.000141401,9.26E-05,0.000151226,0.000242106,0.000374136,0.0004021,0.000368751,0.000354257,0.000409276,0.000409846,0.000451855,0.000538448,0.000436296,0.000386599,0.000448889,0.000400227,0.000352084,0.00048182,0.000299706,-0.000369168,-0.000901382,-0.001073258,-0.000702075,-0.000175257,0.000180279,0.000463331,0.000216938,0.000215865,0.000176727,0.00010011,0.000123179,0.000223597,3.42E-05,1.67E-05,-0.00014765,-0.000196304,-0.000299911,-0.000210233,-0.00039754,-0.000429057,-0.000367407,-0.000385193,8.32E-06,-0.000301666,0.000233144,0.000493687,0.000406268,0.000546423,0.000446212,0.000583114,0.000477581,0.000304869,0.000221006,8.73E-06,8.53E-05,-0.000149964,-0.000314318,-0.000285275,-0.00022646,-0.00014202,-7.76E-06,-9.09E-06,5.33E-06,-0.000254407,-8.58E-05,-0.000198164,-0.000263474,0.000120507,0.000450446,0.000483605,0.000576161,0.000281033,3.33E-05,0.000112636,-0.000196345,2.64E-05,5.56E-06,-0.000319897,-7.25E-05,0.000122302,-0.000668295,-0.000421837,-5.03E-05,2.60E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000248859,-0.000257163,-0.00065761,-0.000768146,-0.00070709,-0.000847594,-0.000718359,-0.000474051,-0.000406127,-0.000453521,-0.000249141,-0.000186408,-0.000206902,1.88E-05,0.000102348,-5.18E-05,5.33E-05,0.000292661,0.000328865,0.000421953,0.000561346,0.000435102,0.000462637,0.000253865,0.000222464,0.000217837,0.00014734,-7.10E-05,0.000103082,1.81E-05,5.39E-06,-0.000180215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000240939,-0.00020642,-0.000151534,-4.21E-06,-1.25E-05,-6.32E-05,-9.48E-05,4.07E-05,-3.87E-05,-1.43E-05,0.000159086,6.78E-05,0.000163716,3.94E-05,0.000221477,0.000224821,2.42E-05,0.000140138,3.71E-06,0.000121286,0.000307989,0.000102894,0.000295519,0.00016138,0.000212156,7.24E-05,0.00012283,-0.000100342,-3.35E-05,0.000124662,-0.000208339,0.000181528,-7.37E-05,-0.000203525,0.00011974,6.68E-05,-0.000163497,-0.000249046,-0.000231826,0,0,0,0,0,0,0,0,0
