Plot,Year,Latitude,Longitude,spp1,rba1,spp2,rba2,CAR,CAR_sd,CEL,CEL_sd,ADF,ADF_sd,ADL,ADL_sd,LMA,LMA_sd,NIT,NIT_sd,N15,N15_sd,,
AK01,2009,44.452064,-73.741362,PIST,0.49,PIRE,0.35,51.15,0.116,17.89,0.307,44.38,0.689,27.40,0.467,163.25,3.563,1.55,0.029,-2.06,0.298,,
AK02,2009,44.503280,-73.907468,ABBA,0.29,ACRU,0.27,51.09,0.118,15.09,0.352,35.10,0.832,20.84,0.525,124.01,2.464,1.81,0.034,-4.25,0.204,,
AK03B,2009,44.059720,-73.657538,PIST,0.65,PIRE,0.23,51.51,0.286,19.55,0.702,50.38,1.306,28.97,1.116,157.57,9.991,1.25,0.069,-2.25,0.525,,
AK06,2009,44.321100,-73.899105,THOC,0.70,ABBA,0.11,50.66,0.210,16.52,0.626,42.68,1.026,27.38,0.797,169.29,3.081,1.40,0.040,-3.68,0.386,,
AK08,2009,44.319901,-73.897095,ACSM,0.49,FAGR,0.32,49.76,0.200,16.53,0.737,39.50,1.119,22.32,0.807,89.37,5.091,2.11,0.041,-5.35,0.478,,
AK09,2009,43.894093,-73.742206,PIST,0.56,TSCA,0.15,51.13,0.170,16.69,2.479,43.71,4.469,26.27,1.094,129.90,8.094,1.61,0.061,-3.04,0.858,,
AK11,2009,44.292497,-74.180802,THOC,0.34,TSCA,0.26,49.79,0.292,13.72,0.939,36.61,1.440,21.58,0.997,135.11,5.683,1.45,0.075,-5.12,0.625,,
AK12,2009,44.291903,-74.180898,TSCA,0.82,BEAL,0.11,50.38,0.196,11.46,0.818,27.20,1.545,14.15,1.036,121.53,1.368,1.52,0.032,-5.18,0.481,,
AK1300,2009,44.370748,-73.896081,ABBA,0.98,BEPA,0.02,52.69,1.009,14.67,3.411,42.30,4.128,25.29,2.742,163.74,15.825,1.49,0.167,-3.23,2.131,,
AK13B,2009,44.398253,-73.886754,ABBA,0.35,BEPA,0.34,51.87,0.291,16.27,1.053,43.73,1.739,23.52,1.288,123.79,3.883,1.70,0.068,-4.86,0.693,,
AK14B,2009,44.251400,-74.236033,TSCA,0.87,ACSM,0.07,50.48,0.258,14.80,0.919,32.30,1.522,14.73,1.148,151.55,3.751,1.20,0.046,-6.88,0.599,,
AK16,2009,44.205115,-74.325710,PIRE,0.55,PIST,0.21,51.79,0.338,16.98,0.903,49.10,1.675,30.07,1.332,173.17,5.595,1.17,0.044,-2.39,0.783,,
